model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-11T15:02:14.810195

Build Times
provider,build_time_s
vllm,1383.4
sglang,203.7
torchinferno,44.3

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,164.61,136.35,271.69,sglang
ttft_p99_ms,965.96,6624.59,895.92,torchinferno
tpot_median_ms,57.25,70.17,238.28,vllm
tpot_p99_ms,155.01,7299.16,395.73,vllm
e2e_median_ms,217.83,202.35,504.17,sglang
e2e_p99_ms,1038.92,13887.39,1228.46,vllm
throughput_median_tps,6.39,6.10,2.69,vllm
total_output_tokens,1466,1461,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,181.20,198.66,403.65,vllm
ttft_p99_ms,416.91,857.25,695.21,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,203.77,339.32,515.48,vllm
e2e_p99_ms,441.78,1051.66,874.65,vllm
throughput_median_tps,4.91,2.95,1.94,vllm
total_output_tokens,1000,1000,1000,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,171.01,162.29,,sglang
ttft_p99_ms,337.75,776.52,,vllm
tpot_median_ms,54.42,97.53,,vllm
tpot_p99_ms,175.44,222.58,,vllm
e2e_median_ms,216.70,260.42,,vllm
e2e_p99_ms,393.22,820.05,,vllm
throughput_median_tps,6.39,4.94,,vllm
total_output_tokens,1450,1462,,sglang
num_requests,1000,1000,,
correctness_rate,0.98,0.98,,vllm
ttft_first_turn_ms,145.17,109.32,,sglang
ttft_last_turn_ms,167.69,191.07,,vllm
ttft_growth_ratio,1.16,1.75,,vllm

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,58.93,71.84,,vllm
ttft_p99_ms,85.22,587.08,,vllm
tpot_median_ms,27.34,67.79,,vllm
tpot_p99_ms,40.89,174.65,,vllm
e2e_median_ms,79.47,161.03,,vllm
e2e_p99_ms,114.49,629.85,,vllm
throughput_median_tps,15.61,9.15,,vllm
total_output_tokens,1462,1469,,sglang
num_requests,992,992,,
correctness_rate,0.97,0.97,,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,72.89,65.36,,sglang
ttft_p99_ms,248.10,111.56,,sglang
tpot_median_ms,15.03,22.06,,vllm
tpot_p99_ms,20.41,26.93,,vllm
e2e_median_ms,641.39,835.19,,vllm
e2e_p99_ms,1033.31,1557.26,,vllm
throughput_median_tps,57.96,42.81,,vllm
total_output_tokens,36715,36715,,vllm
num_requests,1000,1000,,
correctness_rate,1.00,1.00,,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,870.38,0.00,879.27,1,1.14,1
vllm,few_shot,1,874.10,0.00,884.93,1,1.13,1
vllm,few_shot,2,870.42,94.46,964.89,2,2.07,1
vllm,few_shot,3,879.77,0.00,979.74,1,1.02,1
vllm,few_shot,4,950.65,0.00,966.76,1,1.03,1
vllm,few_shot,5,940.57,0.00,966.57,1,1.03,1
vllm,few_shot,6,957.89,0.00,970.53,1,1.03,1
vllm,few_shot,7,960.00,0.00,970.40,1,1.03,1
vllm,few_shot,8,944.59,0.00,973.28,1,1.03,1
vllm,few_shot,9,948.00,0.00,972.99,1,1.03,1
vllm,few_shot,10,951.45,0.00,977.68,1,1.02,1
vllm,few_shot,11,960.82,0.00,980.41,1,1.02,1
vllm,few_shot,12,954.24,39.20,993.44,2,2.01,1
vllm,few_shot,13,965.91,0.00,984.75,1,1.02,1
vllm,few_shot,14,948.19,31.34,979.52,2,2.04,1
vllm,few_shot,15,941.80,0.00,984.70,1,1.02,1
vllm,few_shot,16,963.71,0.00,990.43,1,1.01,1
vllm,few_shot,17,947.50,38.02,985.52,2,2.03,1
vllm,few_shot,18,969.62,31.23,1000.85,2,2.00,1
vllm,few_shot,19,944.46,50.75,995.21,2,2.01,1
vllm,few_shot,20,959.53,0.00,995.53,1,1.00,1
vllm,few_shot,21,947.56,0.00,997.35,1,1.00,1
vllm,few_shot,22,960.17,45.30,1005.47,2,1.99,1
vllm,few_shot,23,967.60,0.00,998.52,1,1.00,1
vllm,few_shot,24,943.41,48.31,991.72,2,2.02,1
vllm,few_shot,25,962.55,0.00,1012.26,1,0.99,1
vllm,few_shot,26,939.66,0.00,994.32,1,1.01,1
vllm,few_shot,27,969.48,46.74,1016.22,2,1.97,1
vllm,few_shot,28,966.89,0.00,1012.38,1,0.99,1
vllm,few_shot,29,965.96,38.50,1004.46,2,1.99,1
vllm,few_shot,30,964.58,59.38,1023.96,2,1.95,1
vllm,few_shot,31,957.67,48.61,1006.28,2,1.99,1
vllm,few_shot,32,955.70,0.00,1009.90,1,0.99,1
vllm,few_shot,33,966.98,46.16,1013.13,2,1.97,1
vllm,few_shot,34,976.41,0.00,1023.79,1,0.98,1
vllm,few_shot,35,957.58,0.00,1024.90,1,0.98,1
vllm,few_shot,36,950.66,0.00,1009.64,1,0.99,1
vllm,few_shot,37,962.63,68.73,1031.36,2,1.94,1
vllm,few_shot,38,946.97,0.00,1015.37,1,0.98,1
vllm,few_shot,39,947.11,0.00,1017.28,1,0.98,1
vllm,few_shot,40,952.54,76.20,1028.74,2,1.94,1
vllm,few_shot,41,951.71,63.99,1015.70,2,1.97,1
vllm,few_shot,42,949.28,74.43,1023.71,2,1.95,1
vllm,few_shot,43,151.59,0.00,156.77,1,6.38,1
vllm,few_shot,44,971.06,64.10,1035.16,2,1.93,1
vllm,few_shot,45,958.98,0.00,1020.96,1,0.98,1
vllm,few_shot,46,952.80,69.91,1022.71,2,1.96,1
vllm,few_shot,47,947.31,80.79,1028.10,2,1.95,1
vllm,few_shot,48,968.95,71.45,1040.40,2,1.92,1
vllm,few_shot,49,956.23,70.74,1026.97,2,1.95,1
vllm,few_shot,50,941.52,83.56,1025.09,2,1.95,1
vllm,few_shot,51,961.19,0.00,1034.76,1,0.97,1
vllm,few_shot,52,964.42,0.00,1044.74,1,0.96,1
vllm,few_shot,53,945.78,85.18,1030.95,2,1.94,1
vllm,few_shot,54,955.14,0.00,1036.82,1,0.96,1
vllm,few_shot,55,967.47,79.41,1046.87,2,1.91,1
vllm,few_shot,56,153.53,0.00,169.55,1,5.90,1
vllm,few_shot,57,942.62,95.41,1038.02,2,1.93,1
vllm,few_shot,58,959.53,90.75,1050.28,2,1.90,1
vllm,few_shot,59,949.24,86.67,1035.91,2,1.93,1
vllm,few_shot,60,958.46,80.46,1038.92,2,1.93,1
vllm,few_shot,61,959.59,0.00,1058.83,1,0.94,1
vllm,few_shot,62,956.17,0.00,1057.76,1,0.95,1
vllm,few_shot,63,958.86,86.87,1045.74,2,1.91,1
vllm,few_shot,64,964.18,87.68,1051.86,2,1.90,1
vllm,few_shot,65,957.24,93.95,1051.18,2,1.90,1
vllm,few_shot,66,76.79,0.00,421.34,1,2.37,1
vllm,few_shot,67,486.83,0.00,487.08,1,2.05,1
vllm,few_shot,68,476.80,0.00,477.01,1,2.10,1
vllm,few_shot,69,480.12,0.00,485.08,1,2.06,1
vllm,few_shot,70,461.11,0.00,466.07,1,2.15,1
vllm,few_shot,71,438.29,0.00,456.10,1,2.19,1
vllm,few_shot,72,429.96,5.25,435.21,2,4.60,1
vllm,few_shot,73,462.78,0.00,472.54,1,2.12,1
vllm,few_shot,74,476.69,0.00,482.02,1,2.07,1
vllm,few_shot,75,412.49,0.00,436.96,1,2.29,1
vllm,few_shot,76,515.67,0.00,515.93,1,1.94,1
vllm,few_shot,77,488.76,0.00,498.56,1,2.01,1
vllm,few_shot,78,482.03,0.00,492.23,1,2.03,1
vllm,few_shot,79,475.46,28.54,504.00,2,3.97,1
vllm,few_shot,80,473.68,0.00,493.13,1,2.03,1
vllm,few_shot,81,430.51,0.00,454.09,1,2.20,1
vllm,few_shot,82,465.15,0.00,494.56,1,2.02,1
vllm,few_shot,83,442.16,0.00,452.51,1,2.21,1
vllm,few_shot,84,491.01,0.00,511.47,1,1.96,1
vllm,few_shot,85,458.32,18.19,476.51,2,4.20,1
vllm,few_shot,86,449.77,40.08,489.85,2,4.08,1
vllm,few_shot,87,459.26,0.00,495.43,1,2.02,1
vllm,few_shot,88,446.15,0.00,489.71,1,2.04,1
vllm,few_shot,89,472.53,0.00,490.65,1,2.04,1
vllm,few_shot,90,508.26,0.36,508.62,2,3.93,1
vllm,few_shot,91,442.78,44.14,486.92,2,4.11,1
vllm,few_shot,92,446.78,0.00,480.14,1,2.08,1
vllm,few_shot,93,467.18,52.82,520.01,2,3.85,1
vllm,few_shot,94,493.49,0.00,541.73,1,1.85,1
vllm,few_shot,95,455.79,4.93,460.72,2,4.34,1
vllm,few_shot,96,501.39,0.00,542.12,1,1.84,1
vllm,few_shot,97,511.59,0.00,515.18,1,1.94,1
vllm,few_shot,98,411.98,0.00,471.22,1,2.12,1
vllm,few_shot,99,519.89,0.00,534.29,1,1.87,1
vllm,few_shot,100,477.71,0.00,500.88,1,2.00,1
vllm,few_shot,101,418.95,60.01,478.97,2,4.18,1
vllm,few_shot,102,437.74,55.75,493.50,2,4.05,1
vllm,few_shot,103,456.94,0.00,519.06,1,1.93,1
vllm,few_shot,104,418.99,65.81,484.80,2,4.13,1
vllm,few_shot,105,428.91,65.57,494.48,2,4.04,1
vllm,few_shot,106,436.14,62.87,499.02,2,4.01,1
vllm,few_shot,107,483.70,61.70,545.40,2,3.67,1
vllm,few_shot,108,485.68,0.00,551.60,1,1.81,1
vllm,few_shot,109,444.31,0.00,509.82,1,1.96,1
vllm,few_shot,110,425.71,0.00,497.18,1,2.01,1
vllm,few_shot,111,421.66,66.77,488.42,2,4.09,1
vllm,few_shot,112,501.51,0.00,501.73,1,1.99,1
vllm,few_shot,113,458.52,60.14,518.66,2,3.86,1
vllm,few_shot,114,442.63,0.00,513.17,1,1.95,1
vllm,few_shot,115,470.65,70.16,540.81,2,3.70,1
vllm,few_shot,116,423.01,80.78,503.79,2,3.97,1
vllm,few_shot,117,484.08,81.01,565.09,2,3.54,1
vllm,few_shot,118,554.01,0.32,554.32,2,3.61,1
vllm,few_shot,119,489.55,68.20,557.76,2,3.59,1
vllm,few_shot,120,466.63,28.19,494.82,2,4.04,1
vllm,few_shot,121,419.05,0.00,507.44,1,1.97,1
vllm,few_shot,122,486.11,13.29,499.40,2,4.00,1
vllm,few_shot,123,512.68,0.00,529.12,1,1.89,1
vllm,few_shot,124,164.40,0.00,172.46,1,5.80,1
vllm,few_shot,125,503.82,0.00,520.33,1,1.92,1
vllm,few_shot,126,454.98,91.53,546.51,2,3.66,1
vllm,few_shot,127,449.76,96.29,546.05,2,3.66,1
vllm,few_shot,128,434.44,82.14,516.58,2,3.87,1
vllm,few_shot,129,430.45,0.00,518.60,1,1.93,1
vllm,few_shot,130,418.51,0.00,502.69,1,1.99,1
vllm,few_shot,131,129.95,0.00,144.01,1,6.94,1
vllm,few_shot,132,97.35,32.77,130.12,2,15.37,1
vllm,few_shot,133,113.09,0.00,168.23,1,5.94,1
vllm,few_shot,134,117.06,0.00,180.02,1,5.55,1
vllm,few_shot,135,160.37,0.00,172.11,1,5.81,1
vllm,few_shot,136,199.87,0.00,217.57,1,4.60,1
vllm,few_shot,137,180.53,0.00,204.74,1,4.88,1
vllm,few_shot,138,83.54,77.06,160.59,2,12.45,1
vllm,few_shot,139,155.86,0.00,180.63,1,5.54,1
vllm,few_shot,140,164.44,0.00,186.08,1,5.37,1
vllm,few_shot,141,144.83,0.00,172.46,1,5.80,1
vllm,few_shot,142,127.71,81.82,209.53,2,9.55,1
vllm,few_shot,143,159.96,0.00,193.71,1,5.16,1
vllm,few_shot,144,141.97,0.00,175.03,1,5.71,1
vllm,few_shot,145,133.55,0.00,168.36,1,5.94,1
vllm,few_shot,146,192.93,0.00,225.48,1,4.43,1
vllm,few_shot,147,200.02,0.00,232.79,1,4.30,1
vllm,few_shot,148,201.02,0.00,236.73,1,4.22,1
vllm,few_shot,149,175.12,0.00,215.41,1,4.64,1
vllm,few_shot,150,130.32,95.02,225.34,2,8.88,1
vllm,few_shot,151,187.45,0.00,228.66,1,4.37,1
vllm,few_shot,152,208.85,0.00,245.92,1,4.07,1
vllm,few_shot,153,135.47,84.18,219.65,2,9.11,1
vllm,few_shot,154,187.16,84.00,271.16,2,7.38,1
vllm,few_shot,155,150.09,0.00,212.00,1,4.72,1
vllm,few_shot,156,201.20,78.58,279.78,2,7.15,1
vllm,few_shot,157,178.87,0.00,246.20,1,4.06,1
vllm,few_shot,158,203.35,0.00,259.62,1,3.85,1
vllm,few_shot,159,157.39,62.44,219.82,2,9.10,1
vllm,few_shot,160,238.54,0.00,238.75,1,4.19,1
vllm,few_shot,161,239.24,0.00,239.46,1,4.18,1
vllm,few_shot,162,179.96,99.35,279.31,2,7.16,1
vllm,few_shot,163,180.82,71.13,251.95,2,7.94,1
vllm,few_shot,164,163.64,98.74,262.38,2,7.62,1
vllm,few_shot,165,172.12,0.00,256.51,1,3.90,1
vllm,few_shot,166,224.56,0.00,233.85,1,4.28,1
vllm,few_shot,167,248.75,0.00,272.78,1,3.67,1
vllm,few_shot,168,194.96,0.00,272.62,1,3.67,1
vllm,few_shot,169,198.99,74.47,273.47,2,7.31,1
vllm,few_shot,170,179.19,86.84,266.04,2,7.52,1
vllm,few_shot,171,274.19,0.00,305.07,1,3.28,1
vllm,few_shot,172,218.43,0.00,245.71,1,4.07,1
vllm,few_shot,173,194.17,108.82,302.99,2,6.60,1
vllm,few_shot,174,200.51,105.98,306.49,2,6.53,1
vllm,few_shot,175,212.21,0.00,242.53,1,4.12,1
vllm,few_shot,176,160.62,113.53,274.15,2,7.30,1
vllm,few_shot,177,143.36,101.23,244.59,2,8.18,1
vllm,few_shot,178,204.41,113.36,317.76,2,6.29,1
vllm,few_shot,179,208.83,0.00,244.37,1,4.09,1
vllm,few_shot,180,185.76,0.00,190.17,1,5.26,1
vllm,few_shot,181,249.14,0.00,260.39,1,3.84,1
vllm,few_shot,182,171.82,127.07,298.89,2,6.69,1
vllm,few_shot,183,263.02,0.00,294.61,1,3.39,1
vllm,few_shot,184,138.79,0.00,176.26,1,5.67,1
vllm,few_shot,185,280.09,125.79,405.88,2,4.93,1
vllm,few_shot,186,211.14,152.22,363.35,2,5.50,1
vllm,few_shot,187,268.26,138.44,406.70,2,4.92,1
vllm,few_shot,188,232.45,152.28,384.73,2,5.20,1
vllm,few_shot,189,307.99,115.14,423.13,2,4.73,1
vllm,few_shot,190,264.47,123.31,387.78,2,5.16,1
vllm,few_shot,191,303.06,146.57,449.63,2,4.45,1
vllm,few_shot,192,226.80,155.01,381.80,2,5.24,1
vllm,few_shot,193,262.03,124.70,386.74,2,5.17,1
vllm,few_shot,194,195.01,0.00,211.66,1,4.72,1
vllm,few_shot,195,203.39,0.00,213.93,1,4.67,1
vllm,few_shot,196,194.72,0.00,209.39,1,4.78,1
vllm,few_shot,197,249.28,149.53,398.81,2,5.01,1
vllm,few_shot,198,213.12,0.00,217.93,1,4.59,1
vllm,few_shot,199,207.02,0.00,231.86,1,4.31,1
vllm,few_shot,200,224.47,0.00,228.50,1,4.38,1
vllm,few_shot,201,201.71,0.00,213.71,1,4.68,1
vllm,few_shot,202,186.38,0.00,213.62,1,4.68,1
vllm,few_shot,203,211.85,0.00,228.65,1,4.37,1
vllm,few_shot,204,226.86,0.00,239.29,1,4.18,1
vllm,few_shot,205,189.58,0.00,221.91,1,4.51,1
vllm,few_shot,206,207.35,0.00,238.11,1,4.20,1
vllm,few_shot,207,188.92,0.00,217.44,1,4.60,1
vllm,few_shot,208,218.04,0.00,226.60,1,4.41,1
vllm,few_shot,209,211.28,183.65,394.94,2,5.06,1
vllm,few_shot,210,264.34,92.52,449.39,3,6.68,0
vllm,few_shot,211,195.60,61.55,257.15,2,7.78,1
vllm,few_shot,212,224.81,65.87,290.68,2,6.88,1
vllm,few_shot,213,238.76,51.12,289.88,2,6.90,1
vllm,few_shot,214,213.99,62.31,276.30,2,7.24,1
vllm,few_shot,215,211.65,0.00,225.51,1,4.43,1
vllm,few_shot,216,204.58,0.00,209.33,1,4.78,1
vllm,few_shot,217,209.58,0.00,214.92,1,4.65,1
vllm,few_shot,218,183.10,0.00,188.18,1,5.31,1
vllm,few_shot,219,182.97,0.00,193.83,1,5.16,1
vllm,few_shot,220,190.60,0.00,200.70,1,4.98,1
vllm,few_shot,221,200.26,0.00,204.83,1,4.88,1
vllm,few_shot,222,218.00,0.00,232.08,1,4.31,1
vllm,few_shot,223,186.92,0.00,210.17,1,4.76,1
vllm,few_shot,224,206.35,88.39,294.75,2,6.79,1
vllm,few_shot,225,187.84,0.00,212.08,1,4.72,1
vllm,few_shot,226,198.91,0.00,204.05,1,4.90,1
vllm,few_shot,227,203.45,0.00,237.91,1,4.20,1
vllm,few_shot,228,176.87,28.27,205.14,2,9.75,1
vllm,few_shot,229,210.88,84.63,295.51,2,6.77,1
vllm,few_shot,230,189.41,0.00,222.57,1,4.49,1
vllm,few_shot,231,188.04,0.00,226.55,1,4.41,1
vllm,few_shot,232,205.83,37.74,243.57,2,8.21,1
vllm,few_shot,233,202.69,33.71,236.40,2,8.46,1
vllm,few_shot,234,218.95,0.00,252.85,1,3.95,1
vllm,few_shot,235,180.94,38.54,219.48,2,9.11,1
vllm,few_shot,236,184.43,37.20,221.63,2,9.02,1
vllm,few_shot,237,198.16,0.00,238.03,1,4.20,1
vllm,few_shot,238,194.18,0.00,233.60,1,4.28,1
vllm,few_shot,239,200.30,0.00,251.16,1,3.98,1
vllm,few_shot,240,263.61,0.00,263.83,1,3.79,1
vllm,few_shot,241,181.66,48.75,230.42,2,8.68,1
vllm,few_shot,242,201.34,41.96,243.31,2,8.22,1
vllm,few_shot,243,227.33,22.44,249.77,2,8.01,1
vllm,few_shot,244,184.04,38.21,222.25,2,9.00,1
vllm,few_shot,245,172.22,55.23,227.45,2,8.79,1
vllm,few_shot,246,230.94,20.13,251.07,2,7.97,1
vllm,few_shot,247,98.54,0.00,98.77,1,10.12,1
vllm,few_shot,248,87.99,0.00,122.88,1,8.14,1
vllm,few_shot,249,222.01,17.85,239.85,2,8.34,1
vllm,few_shot,250,90.60,0.00,120.47,1,8.30,1
vllm,few_shot,251,101.86,0.00,107.11,1,9.34,1
vllm,few_shot,252,227.87,51.01,278.88,2,7.17,1
vllm,few_shot,253,100.86,0.00,105.81,1,9.45,1
vllm,few_shot,254,95.69,0.00,113.39,1,8.82,1
vllm,few_shot,255,86.65,0.00,107.42,1,9.31,1
vllm,few_shot,256,93.34,48.10,141.44,2,14.14,1
vllm,few_shot,257,110.58,0.00,129.86,1,7.70,1
vllm,few_shot,258,115.86,0.00,116.08,1,8.61,1
vllm,few_shot,259,130.08,0.00,142.88,1,7.00,1
vllm,few_shot,260,91.99,0.00,128.34,1,7.79,1
