model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-01T05:01:55.477568

Build Times
provider,build_time_s
torchinferno,383.9
vllm,1313.9
sglang,233.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,343.95,163.83,150.13,sglang
ttft_p99_ms,1819.28,807.94,1144.66,vllm
tpot_median_ms,65.46,60.47,75.41,vllm
tpot_p99_ms,154.18,139.95,7743.77,vllm
e2e_median_ms,403.49,217.80,220.44,vllm
e2e_p99_ms,1910.84,883.85,8860.99,vllm
throughput_median_tps,3.22,6.82,5.50,vllm
total_output_tokens,1466,1466,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,403.30,202.85,199.07,sglang
ttft_p99_ms,1294.60,482.35,73166.38,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,534.62,225.75,338.11,vllm
e2e_p99_ms,1437.26,509.18,73272.83,vllm
throughput_median_tps,1.87,4.43,2.96,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,727.10,177.11,164.34,sglang
ttft_p99_ms,1938.14,355.07,670.62,vllm
tpot_median_ms,92.72,67.07,106.50,vllm
tpot_p99_ms,1291.24,206.69,214.10,vllm
e2e_median_ms,972.34,234.78,264.32,vllm
e2e_p99_ms,2255.42,438.43,811.14,vllm
throughput_median_tps,1.57,6.05,5.11,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,910.39,137.67,118.81,sglang
ttft_last_turn_ms,974.54,169.94,182.24,vllm
ttft_growth_ratio,1.07,1.23,1.53,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,472.90,60.15,79.50,vllm
ttft_p99_ms,893.92,142.82,838.65,vllm
tpot_median_ms,38.84,27.17,42.14,vllm
tpot_p99_ms,337.18,44.87,794.69,vllm
e2e_median_ms,510.54,80.87,132.89,vllm
e2e_p99_ms,1107.62,179.10,892.27,vllm
throughput_median_tps,2.68,14.93,9.77,vllm
total_output_tokens,1465,1474,1467,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,471.29,71.49,77.98,vllm
ttft_p99_ms,1494.17,143.26,155.76,vllm
tpot_median_ms,29.93,15.05,24.00,vllm
tpot_p99_ms,51.18,22.84,28.93,vllm
e2e_median_ms,1471.69,608.73,902.68,vllm
e2e_p99_ms,3458.02,1015.09,1696.81,vllm
throughput_median_tps,23.07,58.24,38.90,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1262.82,0.00,1271.12,1,0.79,1
torchinferno,few_shot,1,1258.21,0.00,1269.14,1,0.79,1
torchinferno,few_shot,2,1257.02,0.00,1270.02,1,0.79,1
torchinferno,few_shot,3,1261.60,0.00,1274.07,1,0.78,1
torchinferno,few_shot,4,1261.16,0.00,1275.78,1,0.78,1
torchinferno,few_shot,5,1262.64,0.00,1277.38,1,0.78,1
torchinferno,few_shot,6,1261.60,188.02,1449.62,2,1.38,1
torchinferno,few_shot,7,1258.92,188.39,1447.31,2,1.38,1
torchinferno,few_shot,8,1263.11,190.31,1453.42,2,1.38,1
torchinferno,few_shot,9,1262.27,189.45,1451.72,2,1.38,1
torchinferno,few_shot,10,1799.47,0.00,1819.44,1,0.55,1
torchinferno,few_shot,11,1819.70,0.00,1834.80,1,0.55,1
torchinferno,few_shot,12,555.13,0.00,567.29,1,1.76,1
torchinferno,few_shot,13,546.04,0.00,565.88,1,1.77,1
torchinferno,few_shot,14,1816.02,0.00,1831.66,1,0.55,1
torchinferno,few_shot,15,1810.20,0.00,1830.66,1,0.55,1
torchinferno,few_shot,16,555.25,0.00,572.19,1,1.75,1
torchinferno,few_shot,17,1807.74,0.00,1841.25,1,0.54,1
torchinferno,few_shot,18,1818.45,25.05,1843.50,2,1.08,1
torchinferno,few_shot,19,1832.34,0.00,1837.45,1,0.54,1
torchinferno,few_shot,20,1814.69,27.73,1842.42,2,1.09,1
torchinferno,few_shot,21,1805.72,37.86,1843.58,2,1.08,1
torchinferno,few_shot,22,1803.94,0.00,1847.10,1,0.54,1
torchinferno,few_shot,23,1815.68,0.00,1852.21,1,0.54,1
torchinferno,few_shot,24,1808.84,44.78,1853.61,2,1.08,1
torchinferno,few_shot,25,1806.91,48.54,1855.45,2,1.08,1
torchinferno,few_shot,26,1803.82,44.87,1848.69,2,1.08,1
torchinferno,few_shot,27,1805.79,0.00,1856.32,1,0.54,1
torchinferno,few_shot,28,1814.25,41.63,1855.89,2,1.08,1
torchinferno,few_shot,29,1804.86,0.00,1855.47,1,0.54,1
torchinferno,few_shot,30,1817.19,0.00,1859.54,1,0.54,1
torchinferno,few_shot,31,1819.76,0.00,1865.92,1,0.54,1
torchinferno,few_shot,32,1813.82,0.00,1869.95,1,0.53,1
torchinferno,few_shot,33,1807.72,0.00,1874.11,1,0.53,1
torchinferno,few_shot,34,1801.03,0.00,1865.24,1,0.54,1
torchinferno,few_shot,35,1818.56,50.13,1868.69,2,1.07,1
torchinferno,few_shot,36,1808.97,0.00,1869.62,1,0.53,1
torchinferno,few_shot,37,541.88,0.00,607.67,1,1.65,1
torchinferno,few_shot,38,1813.17,60.28,1873.45,2,1.07,1
torchinferno,few_shot,39,1809.46,0.00,1880.05,1,0.53,1
torchinferno,few_shot,40,1809.63,0.00,1884.27,1,0.53,1
torchinferno,few_shot,41,1805.91,79.45,1885.36,2,1.06,1
torchinferno,few_shot,42,1817.65,60.97,1878.62,2,1.06,1
torchinferno,few_shot,43,1816.90,0.00,1888.27,1,0.53,1
torchinferno,few_shot,44,1817.57,73.88,1891.44,2,1.06,1
torchinferno,few_shot,45,543.61,0.00,619.05,1,1.62,1
torchinferno,few_shot,46,1817.24,0.00,1888.93,1,0.53,1
torchinferno,few_shot,47,1819.30,71.44,1890.74,2,1.06,1
torchinferno,few_shot,48,1810.26,0.00,1900.70,1,0.53,1
torchinferno,few_shot,49,1821.89,69.91,1891.80,2,1.06,1
torchinferno,few_shot,50,548.01,0.00,631.02,1,1.58,1
torchinferno,few_shot,51,1816.28,87.54,1903.82,2,1.05,1
torchinferno,few_shot,52,1803.11,0.00,1898.59,1,0.53,1
torchinferno,few_shot,53,1821.60,80.64,1902.24,2,1.05,1
torchinferno,few_shot,54,1820.17,87.81,1907.98,2,1.05,1
torchinferno,few_shot,55,1809.84,0.00,1903.51,1,0.53,1
torchinferno,few_shot,56,1819.28,86.86,1906.13,2,1.05,1
torchinferno,few_shot,57,1810.20,0.00,1904.16,1,0.53,1
torchinferno,few_shot,58,1803.41,98.40,1901.81,2,1.05,1
torchinferno,few_shot,59,1818.38,92.46,1910.84,2,1.05,1
torchinferno,few_shot,60,1807.37,103.54,1910.91,2,1.05,1
torchinferno,few_shot,61,1809.11,98.79,1907.90,2,1.05,1
torchinferno,few_shot,62,1819.90,105.19,1925.09,2,1.04,1
torchinferno,few_shot,63,1806.64,115.02,1921.66,2,1.04,1
torchinferno,few_shot,64,1814.50,110.84,1925.34,2,1.04,1
torchinferno,few_shot,65,1824.07,102.67,1926.75,2,1.04,1
torchinferno,few_shot,66,1813.22,0.00,1930.41,1,0.52,1
torchinferno,few_shot,67,1802.66,119.88,1922.54,2,1.04,1
torchinferno,few_shot,68,1808.74,0.00,1931.38,1,0.52,1
torchinferno,few_shot,69,1807.74,124.36,1932.09,2,1.04,1
torchinferno,few_shot,70,640.13,0.00,650.60,1,1.54,1
