model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-13T15:02:37.139052+00:00

Build Times
provider,build_time_s
torchinferno,42.3
vllm,328.3
sglang,157.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,143.04,69.93,85.46,vllm
ttft_p99_ms,730.48,150.87,139.66,sglang
tpot_median_ms,31.19,37.46,59.94,torchinferno
tpot_p99_ms,40.49,85.09,673.65,torchinferno
e2e_median_ms,166.99,94.91,137.70,vllm
e2e_p99_ms,755.29,200.09,741.30,vllm
throughput_median_tps,6.80,13.67,9.82,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,64.57,78.24,124.50,torchinferno
ttft_p99_ms,369.10,299.63,69722.44,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,84.17,98.22,220.60,torchinferno
e2e_p99_ms,397.37,311.28,70083.36,vllm
throughput_median_tps,11.88,10.18,4.53,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,191.76,71.99,85.60,vllm
ttft_p99_ms,1013.45,163.92,519.03,vllm
tpot_median_ms,34.54,37.80,72.78,torchinferno
tpot_p99_ms,276.54,87.54,910.23,vllm
e2e_median_ms,221.41,98.07,143.33,vllm
e2e_p99_ms,1039.25,239.54,953.77,vllm
throughput_median_tps,5.00,13.30,9.16,vllm
total_output_tokens,1442,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,435.26,79.46,71.04,sglang
ttft_last_turn_ms,186.98,83.16,88.41,vllm
ttft_growth_ratio,0.43,1.05,1.24,torchinferno
ttft_first_turn_median_ms,242.09,69.25,62.09,sglang
ttft_first_turn_p99_ms,1093.93,164.07,113.69,sglang
ttft_last_turn_median_ms,188.08,69.97,87.72,vllm
ttft_last_turn_p99_ms,384.46,160.51,115.92,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,53.25,36.13,53.21,vllm
ttft_p99_ms,762.91,98.53,349.62,vllm
tpot_median_ms,34.92,23.90,387.42,vllm
tpot_p99_ms,106.40,36.71,1076.32,vllm
e2e_median_ms,74.02,54.59,431.33,vllm
e2e_p99_ms,816.52,150.63,1088.61,vllm
throughput_median_tps,19.26,24.21,3.28,vllm
total_output_tokens,1448,1461,1461,
num_requests,992,992,992,
correctness_rate,0.98,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,188.58,46.96,51.90,vllm
ttft_p99_ms,457.34,62.59,465.76,vllm
tpot_median_ms,19.41,15.59,24.56,vllm
tpot_p99_ms,25.18,17.82,70.92,vllm
e2e_median_ms,862.91,574.38,946.55,vllm
e2e_p99_ms,1535.39,1069.55,1767.02,vllm
throughput_median_tps,40.96,60.56,39.38,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,789.57,0.00,801.50,1,1.25,1,,,,,,,1,,,
torchinferno,few_shot,0,1,806.70,24.00,830.70,2,2.41,1,,,,,,,0,,,
torchinferno,few_shot,7,2,767.62,0.00,779.95,1,1.28,1,,,,,,,7,,,
torchinferno,few_shot,4,3,814.85,0.00,831.86,1,1.20,1,,,,,,,4,,,
torchinferno,few_shot,25,4,460.17,0.00,475.78,1,2.10,1,,,,,,,25,,,
torchinferno,few_shot,8,5,747.02,0.00,765.06,1,1.31,1,,,,,,,8,,,
torchinferno,few_shot,24,6,476.54,0.00,493.64,1,2.03,1,,,,,,,24,,,
torchinferno,few_shot,28,7,409.86,0.00,426.70,1,2.34,1,,,,,,,28,,,
torchinferno,few_shot,12,8,681.21,0.00,699.19,1,1.43,1,,,,,,,12,,,
torchinferno,few_shot,5,9,799.37,0.00,818.98,1,1.22,1,,,,,,,5,,,
torchinferno,few_shot,10,10,713.71,0.00,734.65,1,1.36,1,,,,,,,10,,,
torchinferno,few_shot,26,11,442.84,0.00,463.25,1,2.16,1,,,,,,,26,,,
torchinferno,few_shot,31,12,357.66,0.00,379.27,1,2.64,1,,,,,,,31,,,
torchinferno,few_shot,17,13,597.56,0.00,617.67,1,1.62,1,,,,,,,17,,,
torchinferno,few_shot,9,14,730.48,0.00,755.29,1,1.32,1,,,,,,,9,,,
torchinferno,few_shot,29,15,392.82,0.00,416.02,1,2.40,1,,,,,,,29,,,
torchinferno,few_shot,11,16,697.06,0.00,723.66,1,1.38,1,,,,,,,11,,,
torchinferno,few_shot,13,17,663.30,29.38,692.68,2,2.89,1,,,,,,,13,,,
torchinferno,few_shot,18,18,580.58,27.34,607.91,2,3.29,1,,,,,,,18,,,
torchinferno,few_shot,14,19,645.51,31.09,676.60,2,2.96,1,,,,,,,14,,,
torchinferno,few_shot,6,20,781.33,31.72,813.04,2,2.46,1,,,,,,,6,,,
torchinferno,few_shot,22,21,512.64,28.69,541.33,2,3.69,1,,,,,,,22,,,
torchinferno,few_shot,15,22,630.84,30.75,661.59,2,3.02,1,,,,,,,15,,,
torchinferno,few_shot,30,23,374.57,32.75,407.32,2,4.91,1,,,,,,,30,,,
torchinferno,few_shot,19,24,563.51,31.29,594.79,2,3.36,1,,,,,,,19,,,
torchinferno,few_shot,32,25,342.94,31.79,374.73,2,5.34,1,,,,,,,32,,,
torchinferno,few_shot,20,26,544.94,33.55,578.49,2,3.46,1,,,,,,,20,,,
torchinferno,few_shot,21,27,526.62,36.03,562.65,2,3.55,1,,,,,,,21,,,
torchinferno,few_shot,2,28,851.09,34.75,885.84,2,2.26,1,,,,,,,2,,,
torchinferno,few_shot,27,29,428.30,33.80,462.10,2,4.33,1,,,,,,,27,,,
torchinferno,few_shot,33,30,324.79,36.47,361.25,2,5.54,1,,,,,,,33,,,
torchinferno,few_shot,3,31,833.35,37.33,870.67,2,2.30,1,,,,,,,3,,,
torchinferno,few_shot,23,32,492.94,39.18,532.12,2,3.76,1,,,,,,,23,,,
torchinferno,few_shot,16,33,613.36,41.89,655.25,2,3.05,1,,,,,,,16,,,
torchinferno,few_shot,37,34,343.14,0.00,355.20,1,2.82,1,,,,,,,37,,,
torchinferno,few_shot,43,35,242.76,0.00,255.11,1,3.92,1,,,,,,,43,,,
torchinferno,few_shot,34,36,393.00,0.00,407.11,1,2.46,1,,,,,,,34,,,
torchinferno,few_shot,74,37,65.19,0.00,80.08,1,12.49,1,,,,,,,74,,,
torchinferno,few_shot,35,38,375.09,0.00,391.50,1,2.55,1,,,,,,,35,,,
