model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-10T01:09:08.136174

Build Times
provider,build_time_s
torchinferno,387.0
vllm,1314.1
sglang,195.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,310.74,163.97,146.64,sglang
ttft_p99_ms,1945.03,269.15,588.27,vllm
tpot_median_ms,79.44,56.74,78.07,vllm
tpot_p99_ms,627.46,140.09,398.48,vllm
e2e_median_ms,391.46,214.01,218.23,vllm
e2e_p99_ms,2556.94,335.90,934.32,vllm
throughput_median_tps,3.48,7.09,5.61,vllm
total_output_tokens,1461,1457,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,406.20,177.31,207.12,vllm
ttft_p99_ms,1033.77,401.76,70249.03,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,542.96,196.99,340.89,vllm
e2e_p99_ms,1452.20,449.11,70358.04,vllm
throughput_median_tps,1.84,5.08,2.93,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,724.21,167.50,163.60,sglang
ttft_p99_ms,3184.96,336.21,637.34,vllm
tpot_median_ms,70.33,55.42,102.14,vllm
tpot_p99_ms,202.88,183.17,254.60,vllm
e2e_median_ms,791.93,217.52,258.61,vllm
e2e_p99_ms,3260.29,417.93,738.68,vllm
throughput_median_tps,1.56,6.51,5.15,vllm
total_output_tokens,1450,1462,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,917.73,134.44,116.92,sglang
ttft_last_turn_ms,877.60,172.90,178.04,vllm
ttft_growth_ratio,0.96,1.29,1.52,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,373.55,59.12,82.03,vllm
ttft_p99_ms,1066.04,2027.70,592.05,sglang
tpot_median_ms,65.12,28.81,46.82,vllm
tpot_p99_ms,343.79,1704.99,140.64,sglang
e2e_median_ms,422.43,81.82,141.73,vllm
e2e_p99_ms,1189.00,2061.09,625.30,sglang
throughput_median_tps,3.47,14.73,9.83,vllm
total_output_tokens,1477,1473,1457,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,188.13,69.22,76.80,vllm
ttft_p99_ms,1260.81,128.63,145.88,vllm
tpot_median_ms,26.53,15.12,23.08,vllm
tpot_p99_ms,66.50,20.28,27.76,vllm
e2e_median_ms,1262.63,609.66,865.90,vllm
e2e_p99_ms,2583.96,1029.72,1664.27,vllm
throughput_median_tps,30.60,58.20,40.52,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1265.94,0.00,1273.97,1,0.78,1
torchinferno,few_shot,1,1264.35,0.00,1276.34,1,0.78,1
torchinferno,few_shot,2,1264.65,0.00,1277.66,1,0.78,1
torchinferno,few_shot,3,1266.91,0.00,1281.59,1,0.78,1
torchinferno,few_shot,4,1266.76,0.00,1281.36,1,0.78,1
torchinferno,few_shot,5,1271.15,303.38,1574.52,2,1.27,1
torchinferno,few_shot,6,1269.97,304.28,1574.25,2,1.27,1
torchinferno,few_shot,7,1266.44,308.15,1574.59,2,1.27,1
torchinferno,few_shot,8,1935.37,0.00,2479.11,1,0.40,1
torchinferno,few_shot,9,1932.13,0.00,2471.40,1,0.40,1
torchinferno,few_shot,10,1934.91,0.00,2473.88,1,0.40,1
torchinferno,few_shot,11,1936.70,0.00,2478.98,1,0.40,1
torchinferno,few_shot,12,1929.75,0.00,2481.00,1,0.40,1
torchinferno,few_shot,13,1933.49,0.00,2491.74,1,0.40,1
torchinferno,few_shot,14,1931.06,0.00,2482.99,1,0.40,1
torchinferno,few_shot,15,1941.29,0.00,2491.06,1,0.40,1
torchinferno,few_shot,16,1932.41,0.00,2484.41,1,0.40,1
torchinferno,few_shot,17,1927.10,0.00,2487.58,1,0.40,1
torchinferno,few_shot,18,1931.34,0.00,2493.77,1,0.40,1
torchinferno,few_shot,19,1929.91,0.00,2494.46,1,0.40,1
torchinferno,few_shot,20,1938.80,559.12,2497.92,2,0.80,1
torchinferno,few_shot,21,1939.36,556.83,2496.19,2,0.80,1
torchinferno,few_shot,22,1935.30,0.00,2497.77,1,0.40,1
torchinferno,few_shot,23,1944.28,557.92,2502.20,2,0.80,1
torchinferno,few_shot,24,1936.99,0.00,2499.83,1,0.40,1
torchinferno,few_shot,25,2496.56,0.51,2497.07,2,0.80,1
torchinferno,few_shot,26,1936.65,572.00,2508.65,2,0.80,1
torchinferno,few_shot,27,2499.03,0.37,2499.41,2,0.80,1
torchinferno,few_shot,28,1926.39,0.00,2506.49,1,0.40,1
torchinferno,few_shot,29,2501.86,0.00,2507.03,1,0.40,1
torchinferno,few_shot,30,1936.41,573.31,2509.72,2,0.80,1
torchinferno,few_shot,31,1935.73,582.00,2517.72,2,0.79,1
torchinferno,few_shot,32,1935.38,0.00,2522.69,1,0.40,1
torchinferno,few_shot,33,1934.01,594.01,2528.02,2,0.79,1
torchinferno,few_shot,34,1930.91,596.52,2527.43,2,0.79,1
torchinferno,few_shot,35,2469.83,50.28,2520.11,2,0.79,1
torchinferno,few_shot,36,1934.34,590.14,2524.48,2,0.79,1
torchinferno,few_shot,37,1934.60,0.00,2532.89,1,0.39,1
torchinferno,few_shot,38,1931.38,0.00,2525.25,1,0.40,1
torchinferno,few_shot,39,1928.40,601.83,2530.23,2,0.79,1
torchinferno,few_shot,40,2467.72,0.00,2525.56,1,0.40,1
torchinferno,few_shot,41,1931.56,601.96,2533.52,2,0.79,1
torchinferno,few_shot,42,1928.59,602.61,2531.20,2,0.79,1
torchinferno,few_shot,43,1932.75,599.49,2532.23,2,0.79,1
torchinferno,few_shot,44,1928.75,0.00,2535.08,1,0.39,1
torchinferno,few_shot,45,1945.36,0.00,2543.92,1,0.39,1
