model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-12T03:08:05.225105+00:00

Build Times
provider,build_time_s
torchinferno,43.0
vllm,331.8
sglang,166.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,143.58,72.30,80.27,vllm
ttft_p99_ms,714.72,176.61,466.98,vllm
tpot_median_ms,30.97,38.47,64.46,torchinferno
tpot_p99_ms,41.46,129.07,870.16,torchinferno
e2e_median_ms,167.57,99.61,136.01,vllm
e2e_p99_ms,729.67,224.53,871.40,vllm
throughput_median_tps,6.83,12.63,9.87,vllm
total_output_tokens,1461,1466,1466,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,57.38,70.77,124.53,torchinferno
ttft_p99_ms,268.35,283.77,69613.03,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,74.76,87.87,201.79,torchinferno
e2e_p99_ms,284.20,299.24,69654.60,torchinferno
throughput_median_tps,13.38,11.38,4.96,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,192.72,84.11,82.71,sglang
ttft_p99_ms,1008.95,189.12,469.65,vllm
tpot_median_ms,34.08,34.68,75.22,torchinferno
tpot_p99_ms,44.46,120.93,647.86,torchinferno
e2e_median_ms,220.17,110.20,143.44,vllm
e2e_p99_ms,1035.14,223.99,706.91,vllm
throughput_median_tps,5.10,12.04,9.22,vllm
total_output_tokens,1465,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,427.04,84.23,65.35,sglang
ttft_last_turn_ms,182.27,91.81,85.38,sglang
ttft_growth_ratio,0.43,1.09,1.31,torchinferno
ttft_first_turn_median_ms,208.87,70.16,65.31,sglang
ttft_first_turn_p99_ms,1097.45,182.55,105.86,sglang
ttft_last_turn_median_ms,189.75,83.20,91.68,vllm
ttft_last_turn_p99_ms,249.29,176.87,106.64,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,54.02,37.59,52.44,vllm
ttft_p99_ms,1088.57,100.17,160.60,vllm
tpot_median_ms,34.82,27.88,395.64,vllm
tpot_p99_ms,80.92,34.71,1044.47,vllm
e2e_median_ms,75.66,57.93,437.36,vllm
e2e_p99_ms,1115.72,127.47,1095.81,vllm
throughput_median_tps,19.45,22.57,3.30,vllm
total_output_tokens,1495,1467,1475,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,188.96,47.21,51.81,vllm
ttft_p99_ms,423.96,61.49,199.02,vllm
tpot_median_ms,19.10,15.53,25.39,vllm
tpot_p99_ms,26.69,17.91,87.58,vllm
e2e_median_ms,834.16,575.61,989.60,vllm
e2e_p99_ms,1538.51,1069.31,1879.54,vllm
throughput_median_tps,42.15,60.50,38.18,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,771.76,0.00,783.94,1,1.28,1,,,,,,,1,,,
torchinferno,few_shot,0,1,788.85,24.14,812.99,2,2.46,1,,,,,,,0,,,
torchinferno,few_shot,4,2,798.65,0.00,813.19,1,1.23,1,,,,,,,4,,,
torchinferno,few_shot,9,3,714.72,0.00,729.67,1,1.37,1,,,,,,,9,,,
torchinferno,few_shot,7,4,749.69,0.00,764.20,1,1.31,1,,,,,,,7,,,
torchinferno,few_shot,17,5,578.48,0.00,594.85,1,1.68,1,,,,,,,17,,,
torchinferno,few_shot,28,6,395.15,0.00,409.48,1,2.44,1,,,,,,,28,,,
torchinferno,few_shot,31,7,342.49,0.00,359.42,1,2.78,1,,,,,,,31,,,
torchinferno,few_shot,29,8,378.48,0.00,393.61,1,2.54,1,,,,,,,29,,,
torchinferno,few_shot,10,9,698.91,0.00,716.20,1,1.40,1,,,,,,,10,,,
torchinferno,few_shot,26,10,427.37,0.00,445.88,1,2.24,1,,,,,,,26,,,
torchinferno,few_shot,8,11,731.30,0.00,751.41,1,1.33,1,,,,,,,8,,,
torchinferno,few_shot,11,12,682.92,0.00,701.34,1,1.43,1,,,,,,,11,,,
torchinferno,few_shot,25,13,444.15,0.00,464.40,1,2.15,1,,,,,,,25,,,
torchinferno,few_shot,5,14,781.45,0.00,803.50,1,1.24,1,,,,,,,5,,,
torchinferno,few_shot,24,15,462.11,0.00,482.72,1,2.07,1,,,,,,,24,,,
torchinferno,few_shot,12,16,664.11,0.00,688.87,1,1.45,1,,,,,,,12,,,
torchinferno,few_shot,22,17,496.39,26.71,523.09,2,3.82,1,,,,,,,22,,,
torchinferno,few_shot,13,18,647.84,30.05,677.89,2,2.95,1,,,,,,,13,,,
torchinferno,few_shot,14,19,630.86,30.79,661.65,2,3.02,1,,,,,,,14,,,
torchinferno,few_shot,3,20,818.71,28.60,847.32,2,2.36,1,,,,,,,3,,,
torchinferno,few_shot,19,21,546.19,30.92,577.11,2,3.47,1,,,,,,,19,,,
torchinferno,few_shot,20,22,529.12,31.55,560.66,2,3.57,1,,,,,,,20,,,
torchinferno,few_shot,32,23,326.65,31.93,358.58,2,5.58,1,,,,,,,32,,,
torchinferno,few_shot,16,24,598.36,31.59,629.95,2,3.17,1,,,,,,,16,,,
torchinferno,few_shot,33,25,310.15,32.67,342.81,2,5.83,1,,,,,,,33,,,
torchinferno,few_shot,15,26,615.35,33.28,648.63,2,3.08,1,,,,,,,15,,,
torchinferno,few_shot,21,27,512.66,33.92,546.58,2,3.66,1,,,,,,,21,,,
torchinferno,few_shot,18,28,561.91,36.26,598.17,2,3.34,1,,,,,,,18,,,
torchinferno,few_shot,27,29,410.62,36.09,446.71,2,4.48,1,,,,,,,27,,,
torchinferno,few_shot,23,30,477.85,36.60,514.45,2,3.89,1,,,,,,,23,,,
torchinferno,few_shot,30,31,361.41,35.68,397.08,2,5.04,1,,,,,,,30,,,
torchinferno,few_shot,2,32,834.68,36.62,871.31,2,2.30,1,,,,,,,2,,,
torchinferno,few_shot,6,33,768.08,36.85,804.93,2,2.48,1,,,,,,,6,,,
torchinferno,few_shot,34,34,379.61,0.00,389.73,1,2.57,1,,,,,,,34,,,
torchinferno,few_shot,35,35,361.97,0.00,373.61,1,2.68,1,,,,,,,35,,,
torchinferno,few_shot,41,36,260.39,0.00,272.97,1,3.66,1,,,,,,,41,,,
torchinferno,few_shot,71,37,67.20,0.00,82.19,1,12.17,1,,,,,,,71,,,
torchinferno,few_shot,68,38,71.04,0.00,84.64,1,11.81,1,,,,,,,68,,,
