model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-02T23:10:40.993009+00:00

Build Times
provider,build_time_s
torchinferno,23.7
vllm,194.0
sglang,161.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,156.32,141.06,146.16,vllm
ttft_p99_ms,1230.34,249.37,734.69,vllm
tpot_median_ms,47.08,49.94,74.44,torchinferno
tpot_p99_ms,121.69,131.67,150.26,torchinferno
e2e_median_ms,200.51,181.69,223.53,vllm
e2e_p99_ms,1262.82,318.50,798.65,vllm
throughput_median_tps,6.38,7.77,5.43,vllm
total_output_tokens,1461,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,138.70,183.22,220.46,torchinferno
ttft_p99_ms,493.78,463.92,69429.70,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,148.79,207.14,375.31,torchinferno
e2e_p99_ms,512.61,499.83,69532.49,vllm
throughput_median_tps,6.72,4.83,2.66,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,303.91,176.56,166.52,sglang
ttft_p99_ms,444.40,368.78,688.58,vllm
tpot_median_ms,61.24,58.96,108.40,vllm
tpot_p99_ms,117.11,206.43,251.99,torchinferno
e2e_median_ms,358.34,227.20,271.22,vllm
e2e_p99_ms,495.93,429.14,829.12,vllm
throughput_median_tps,4.02,6.06,4.82,vllm
total_output_tokens,1458,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,273.16,152.86,110.18,sglang
ttft_last_turn_ms,340.83,169.04,180.94,vllm
ttft_growth_ratio,1.25,1.11,1.64,vllm
ttft_first_turn_median_ms,317.82,150.79,92.98,sglang
ttft_first_turn_p99_ms,455.96,335.53,210.93,sglang
ttft_last_turn_median_ms,353.28,164.44,186.12,vllm
ttft_last_turn_p99_ms,413.63,410.57,287.09,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,136.38,61.52,72.50,vllm
ttft_p99_ms,285.34,3889.39,497.63,torchinferno
tpot_median_ms,32.01,29.73,75.11,vllm
tpot_p99_ms,114.54,1945.64,158.75,torchinferno
e2e_median_ms,162.04,84.65,152.37,vllm
e2e_p99_ms,367.05,3927.95,533.73,torchinferno
throughput_median_tps,7.87,14.16,9.58,vllm
total_output_tokens,1465,1457,1479,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,244.29,84.28,72.75,sglang
ttft_p99_ms,571.12,326.91,472.07,vllm
tpot_median_ms,21.53,15.09,21.79,vllm
tpot_p99_ms,37.84,22.39,47.05,vllm
e2e_median_ms,993.25,627.48,863.43,vllm
e2e_p99_ms,1796.62,1048.42,1658.95,vllm
throughput_median_tps,35.86,56.25,42.08,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,8,0,1095.86,0.00,1096.31,1,0.91,1,,,,,,,8,,,
torchinferno,few_shot,1,1,1095.43,0.00,1100.94,1,0.91,1,,,,,,,1,,,
torchinferno,few_shot,11,2,1093.86,0.00,1100.43,1,0.91,1,,,,,,,11,,,
torchinferno,few_shot,17,3,1084.45,0.00,1100.62,1,0.91,1,,,,,,,17,,,
torchinferno,few_shot,5,4,1090.12,0.00,1107.52,1,0.90,1,,,,,,,5,,,
torchinferno,few_shot,12,5,1092.25,0.00,1107.34,1,0.90,1,,,,,,,12,,,
torchinferno,few_shot,10,6,1091.08,0.00,1110.11,1,0.90,1,,,,,,,10,,,
torchinferno,few_shot,9,7,1088.60,0.00,1111.55,1,0.90,1,,,,,,,9,,,
torchinferno,few_shot,15,8,1090.84,20.57,1111.41,2,1.80,1,,,,,,,15,,,
torchinferno,few_shot,14,9,1092.59,20.27,1112.86,2,1.80,1,,,,,,,14,,,
torchinferno,few_shot,3,10,1087.88,29.39,1117.27,2,1.79,1,,,,,,,3,,,
torchinferno,few_shot,13,11,1087.29,29.84,1117.12,2,1.79,1,,,,,,,13,,,
torchinferno,few_shot,6,12,1092.62,28.18,1120.80,2,1.78,1,,,,,,,6,,,
torchinferno,few_shot,0,13,1093.33,31.10,1124.43,2,1.78,1,,,,,,,0,,,
torchinferno,few_shot,18,14,1088.17,32.98,1121.15,2,1.78,1,,,,,,,18,,,
torchinferno,few_shot,16,15,1091.55,32.09,1123.64,2,1.78,1,,,,,,,16,,,
torchinferno,few_shot,20,16,1091.18,33.38,1124.56,2,1.78,1,,,,,,,20,,,
torchinferno,few_shot,2,17,1087.70,43.03,1130.74,2,1.77,1,,,,,,,2,,,
torchinferno,few_shot,22,18,1085.95,41.84,1127.79,2,1.77,1,,,,,,,22,,,
torchinferno,few_shot,31,19,1150.43,0.00,1165.40,1,0.86,1,,,,,,,31,,,
torchinferno,few_shot,24,20,1158.12,0.00,1170.21,1,0.85,1,,,,,,,24,,,
torchinferno,few_shot,35,21,1151.97,0.00,1168.74,1,0.86,1,,,,,,,35,,,
torchinferno,few_shot,43,22,1151.86,0.00,1167.76,1,0.86,1,,,,,,,43,,,
torchinferno,few_shot,37,23,1156.89,0.00,1171.36,1,0.85,1,,,,,,,37,,,
torchinferno,few_shot,39,24,1156.96,0.00,1172.41,1,0.85,1,,,,,,,39,,,
torchinferno,few_shot,7,25,1173.10,0.00,1190.51,1,0.84,1,,,,,,,7,,,
torchinferno,few_shot,46,26,1149.66,0.00,1175.19,1,0.85,1,,,,,,,46,,,
torchinferno,few_shot,38,27,1153.99,0.00,1179.54,1,0.85,1,,,,,,,38,,,
torchinferno,few_shot,30,28,1152.31,30.90,1183.21,2,1.69,1,,,,,,,30,,,
torchinferno,few_shot,29,29,1158.38,0.00,1185.22,1,0.84,1,,,,,,,29,,,
torchinferno,few_shot,47,30,1152.05,0.00,1180.76,1,0.85,1,,,,,,,47,,,
torchinferno,few_shot,34,31,1154.20,0.00,1186.25,1,0.84,1,,,,,,,34,,,
torchinferno,few_shot,40,32,1157.04,30.22,1187.26,2,1.68,1,,,,,,,40,,,
torchinferno,few_shot,28,33,1154.84,0.00,1192.45,1,0.84,1,,,,,,,28,,,
torchinferno,few_shot,48,34,1149.28,0.00,1187.94,1,0.84,1,,,,,,,48,,,
torchinferno,few_shot,36,35,1154.11,39.95,1194.06,2,1.67,1,,,,,,,36,,,
torchinferno,few_shot,45,36,1149.18,43.31,1192.48,2,1.68,1,,,,,,,45,,,
