model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-24T23:02:55.065842+00:00

Build Times
provider,build_time_s
torchinferno,440.4
vllm,575.2
sglang,294.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,137.76,139.81,vllm
ttft_p99_ms,,1008.42,577.11,sglang
tpot_median_ms,,45.14,78.16,vllm
tpot_p99_ms,,121.14,550.85,vllm
e2e_median_ms,,175.56,213.71,vllm
e2e_p99_ms,,1046.89,970.07,sglang
throughput_median_tps,,8.11,5.73,vllm
total_output_tokens,,1459,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,183.49,222.18,vllm
ttft_p99_ms,,405.30,70988.35,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,205.39,360.34,vllm
e2e_p99_ms,,432.59,71125.93,vllm
throughput_median_tps,,4.87,2.78,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,165.43,160.18,sglang
ttft_p99_ms,,317.50,273.83,sglang
tpot_median_ms,,43.91,99.60,vllm
tpot_p99_ms,,165.59,234.77,vllm
e2e_median_ms,,203.33,257.51,vllm
e2e_p99_ms,,405.75,417.44,vllm
throughput_median_tps,,6.51,5.33,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,137.85,110.70,sglang
ttft_last_turn_ms,,157.61,189.57,vllm
ttft_growth_ratio,,1.14,1.71,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,59.73,82.63,vllm
ttft_p99_ms,,3753.37,494.00,sglang
tpot_median_ms,,29.17,39.64,vllm
tpot_p99_ms,,1980.58,123.56,sglang
e2e_median_ms,,81.29,132.37,vllm
e2e_p99_ms,,3793.20,543.10,sglang
throughput_median_tps,,15.01,10.25,vllm
total_output_tokens,,1473,1466,vllm
num_requests,,992,992,
correctness_rate,,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,74.74,76.41,vllm
ttft_p99_ms,,149.90,243.34,vllm
tpot_median_ms,,14.83,22.47,vllm
tpot_p99_ms,,24.62,30.81,vllm
e2e_median_ms,,608.00,849.39,vllm
e2e_p99_ms,,993.05,1695.30,vllm
throughput_median_tps,,58.85,40.95,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,891.16,0.00,892.32,1,1.12,1
vllm,few_shot,1,890.18,0.00,892.06,1,1.12,1
vllm,few_shot,2,895.91,0.00,896.42,1,1.12,1
vllm,few_shot,3,896.79,0.00,896.93,1,1.11,1
vllm,few_shot,4,897.94,0.00,898.95,1,1.11,1
vllm,few_shot,5,908.16,0.00,918.26,1,1.09,1
vllm,few_shot,6,936.64,0.00,954.80,1,1.05,1
vllm,few_shot,7,930.65,0.00,952.62,1,1.05,1
vllm,few_shot,8,932.63,0.00,959.18,1,1.04,1
vllm,few_shot,9,936.07,0.00,961.99,1,1.04,1
vllm,few_shot,10,936.83,0.00,964.10,1,1.04,1
vllm,few_shot,11,938.06,38.30,976.36,2,2.05,1
vllm,few_shot,12,933.64,39.94,973.58,2,2.05,1
vllm,few_shot,13,952.96,0.00,979.21,1,1.02,1
vllm,few_shot,14,954.30,0.00,975.87,1,1.02,1
vllm,few_shot,15,934.99,46.53,981.52,2,2.04,1
vllm,few_shot,16,937.93,50.60,988.53,2,2.02,1
vllm,few_shot,17,946.60,0.00,981.12,1,1.02,1
vllm,few_shot,18,936.52,52.37,988.89,2,2.02,1
vllm,few_shot,19,969.47,0.00,996.30,1,1.00,1
vllm,few_shot,20,968.93,0.00,997.59,1,1.00,1
vllm,few_shot,21,946.34,55.65,1001.99,2,2.00,1
vllm,few_shot,22,959.88,0.00,994.50,1,1.01,1
vllm,few_shot,23,952.39,52.53,1004.92,2,1.99,1
vllm,few_shot,24,949.85,56.22,1006.07,2,1.99,1
vllm,few_shot,25,983.09,0.00,1005.54,1,0.99,1
vllm,few_shot,26,957.88,51.43,1009.31,2,1.98,1
vllm,few_shot,27,978.55,0.00,1008.54,1,0.99,1
vllm,few_shot,28,976.94,0.00,1010.02,1,0.99,1
vllm,few_shot,29,951.50,61.93,1013.44,2,1.97,1
vllm,few_shot,30,965.34,55.47,1020.82,2,1.96,1
vllm,few_shot,31,957.28,0.00,1002.63,1,1.00,1
vllm,few_shot,32,951.29,66.05,1017.33,2,1.97,1
vllm,few_shot,33,995.44,0.00,1013.56,1,0.99,1
vllm,few_shot,34,981.47,0.00,1013.05,1,0.99,1
vllm,few_shot,35,982.50,0.00,1014.49,1,0.99,1
vllm,few_shot,36,975.54,51.10,1026.65,2,1.95,1
vllm,few_shot,37,992.59,0.00,1027.97,1,0.97,1
vllm,few_shot,38,986.64,0.00,1019.24,1,0.98,1
vllm,few_shot,39,996.86,0.00,1020.17,1,0.98,1
vllm,few_shot,40,996.29,0.00,1032.73,1,0.97,1
vllm,few_shot,41,974.35,60.21,1034.57,2,1.93,1
vllm,few_shot,42,989.28,0.00,1022.27,1,0.98,1
vllm,few_shot,43,977.16,58.72,1035.88,2,1.93,1
vllm,few_shot,44,138.01,0.00,151.89,1,6.58,1
