model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-21T23:02:42.230879

Build Times
provider,build_time_s
torchinferno,89.8
vllm,1269.4
sglang,177.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,284.28,163.58,145.27,sglang
ttft_p99_ms,2875.93,550.69,6938.47,vllm
tpot_median_ms,160.90,60.41,80.90,vllm
tpot_p99_ms,220.91,176.34,7319.71,vllm
e2e_median_ms,384.93,217.57,223.09,vllm
e2e_p99_ms,3073.05,633.40,14224.58,vllm
throughput_median_tps,3.83,6.78,5.38,vllm
total_output_tokens,1466,1461,1466,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,283.49,207.65,215.84,vllm
ttft_p99_ms,2220.93,517.09,69956.49,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,309.24,238.30,358.97,vllm
e2e_p99_ms,2296.49,545.48,70054.79,vllm
throughput_median_tps,3.23,4.20,2.79,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1005.59,185.58,168.99,sglang
ttft_p99_ms,3230.19,403.95,859.83,vllm
tpot_median_ms,133.09,59.01,103.19,vllm
tpot_p99_ms,1278.23,196.16,261.56,vllm
e2e_median_ms,1126.39,237.01,283.08,vllm
e2e_p99_ms,3477.01,477.22,877.49,vllm
throughput_median_tps,1.14,5.75,4.89,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1415.96,154.99,109.64,sglang
ttft_last_turn_ms,947.27,176.67,194.25,vllm
ttft_growth_ratio,0.67,1.14,1.77,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,357.95,60.21,79.81,vllm
ttft_p99_ms,1893.77,88.12,699.98,vllm
tpot_median_ms,137.45,26.98,77.58,vllm
tpot_p99_ms,161.37,38.19,694.53,vllm
e2e_median_ms,469.03,80.02,161.21,vllm
e2e_p99_ms,1982.44,116.81,779.51,vllm
throughput_median_tps,3.04,15.48,8.90,vllm
total_output_tokens,1473,1461,1478,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.96,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1048.33,79.23,74.51,sglang
ttft_p99_ms,3124.13,258.11,663.35,vllm
tpot_median_ms,16.06,14.97,22.59,vllm
tpot_p99_ms,72.62,34.37,65.25,vllm
e2e_median_ms,1623.72,630.45,913.22,vllm
e2e_p99_ms,3976.14,1009.53,1629.89,vllm
throughput_median_tps,20.78,57.49,41.38,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1075.96,485.27,1561.23,2,1.28,1
torchinferno,few_shot,1,2875.44,0.00,2961.17,1,0.34,1
torchinferno,few_shot,2,2879.09,0.00,2962.46,1,0.34,1
torchinferno,few_shot,3,2878.25,0.00,2955.96,1,0.34,1
torchinferno,few_shot,4,2876.61,0.00,2969.56,1,0.34,1
torchinferno,few_shot,5,2875.93,0.00,2960.86,1,0.34,1
torchinferno,few_shot,6,2861.46,0.00,2948.43,1,0.34,1
torchinferno,few_shot,7,2870.86,0.00,2973.73,1,0.34,1
torchinferno,few_shot,8,2870.72,0.00,2965.26,1,0.34,1
torchinferno,few_shot,9,2870.14,0.00,2962.93,1,0.34,1
torchinferno,few_shot,10,2874.57,0.00,2977.79,1,0.34,1
torchinferno,few_shot,11,2872.94,0.00,2967.26,1,0.34,1
torchinferno,few_shot,12,2865.71,0.00,2968.21,1,0.34,1
torchinferno,few_shot,13,2888.56,0.00,2987.10,1,0.33,1
torchinferno,few_shot,14,2849.55,0.00,2963.78,1,0.34,1
torchinferno,few_shot,15,2876.75,0.00,2987.31,1,0.33,1
torchinferno,few_shot,16,2872.68,0.00,2978.32,1,0.34,1
torchinferno,few_shot,17,2851.50,0.00,2967.55,1,0.34,1
torchinferno,few_shot,18,2879.72,0.00,2992.88,1,0.33,1
torchinferno,few_shot,19,2870.25,0.00,2995.75,1,0.33,1
torchinferno,few_shot,20,2862.17,0.00,2983.43,1,0.34,1
torchinferno,few_shot,21,2870.52,0.00,2981.65,1,0.34,1
torchinferno,few_shot,22,2870.13,0.00,2986.11,1,0.33,1
torchinferno,few_shot,23,2867.11,0.00,2985.20,1,0.33,1
torchinferno,few_shot,24,2870.37,0.00,3001.32,1,0.33,1
torchinferno,few_shot,25,1312.06,0.00,1443.88,1,0.69,1
torchinferno,few_shot,26,2863.31,0.00,2981.64,1,0.34,1
torchinferno,few_shot,27,2861.25,0.00,2995.38,1,0.33,1
torchinferno,few_shot,28,2854.35,0.00,2986.47,1,0.33,1
torchinferno,few_shot,29,2872.06,0.00,3000.49,1,0.33,1
torchinferno,few_shot,30,2874.68,0.00,3003.93,1,0.33,1
torchinferno,few_shot,31,2870.56,0.00,3003.54,1,0.33,1
torchinferno,few_shot,32,2870.12,0.00,3010.47,1,0.33,1
torchinferno,few_shot,33,2872.84,0.00,3015.66,1,0.33,1
torchinferno,few_shot,34,2863.10,172.14,3035.24,2,0.66,1
torchinferno,few_shot,35,2872.16,181.11,3053.27,2,0.66,1
torchinferno,few_shot,36,2868.33,165.04,3033.37,2,0.66,1
torchinferno,few_shot,37,2863.55,179.76,3043.32,2,0.66,1
torchinferno,few_shot,38,2848.04,185.33,3033.36,2,0.66,1
torchinferno,few_shot,39,2857.76,181.95,3039.71,2,0.66,1
torchinferno,few_shot,40,2858.08,179.80,3037.89,2,0.66,1
torchinferno,few_shot,41,2874.08,186.32,3060.39,2,0.65,1
torchinferno,few_shot,42,2861.21,191.49,3052.70,2,0.66,1
torchinferno,few_shot,43,2862.84,189.86,3052.70,2,0.66,1
torchinferno,few_shot,44,2881.52,187.89,3069.42,2,0.65,1
torchinferno,few_shot,45,2869.64,196.19,3065.83,2,0.65,1
