model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-24T19:03:58.031651

Build Times
provider,build_time_s
torchinferno,254.2
vllm,1269.6
sglang,189.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,285.45,162.81,147.61,sglang
ttft_p99_ms,1878.37,835.35,4782.28,vllm
tpot_median_ms,155.72,58.36,75.49,vllm
tpot_p99_ms,212.59,144.47,7421.02,vllm
e2e_median_ms,385.09,213.39,216.96,vllm
e2e_p99_ms,2072.12,883.20,12177.09,vllm
throughput_median_tps,3.96,6.78,5.46,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,266.73,191.85,202.67,vllm
ttft_p99_ms,1394.63,438.95,71185.05,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,333.80,212.49,341.29,vllm
e2e_p99_ms,1432.53,476.97,71290.33,vllm
throughput_median_tps,3.00,4.71,2.93,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,655.60,171.88,155.80,sglang
ttft_p99_ms,1586.23,347.69,627.81,vllm
tpot_median_ms,198.93,62.99,104.25,vllm
tpot_p99_ms,423.81,189.55,226.02,vllm
e2e_median_ms,762.75,218.16,261.61,vllm
e2e_p99_ms,1831.65,422.68,739.18,vllm
throughput_median_tps,1.68,6.37,5.23,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,845.95,145.04,116.08,sglang
ttft_last_turn_ms,675.86,165.57,168.33,vllm
ttft_growth_ratio,0.80,1.14,1.45,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,407.74,58.64,76.42,vllm
ttft_p99_ms,1058.08,121.84,671.38,vllm
tpot_median_ms,135.24,27.63,64.24,vllm
tpot_p99_ms,156.94,45.08,672.23,vllm
e2e_median_ms,508.92,79.58,160.53,vllm
e2e_p99_ms,1193.58,149.16,740.03,vllm
throughput_median_tps,2.57,15.45,8.91,vllm
total_output_tokens,1469,1460,1463,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,919.77,69.47,68.78,sglang
ttft_p99_ms,3402.86,117.60,143.44,vllm
tpot_median_ms,17.74,15.01,22.25,vllm
tpot_p99_ms,67.27,18.89,26.96,vllm
e2e_median_ms,1582.07,606.64,846.48,vllm
e2e_p99_ms,4641.48,998.46,1558.71,vllm
throughput_median_tps,21.00,59.40,42.34,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,907.97,0.00,1094.16,1,0.91,1
torchinferno,few_shot,1,1869.67,0.00,1956.19,1,0.51,1
torchinferno,few_shot,2,1874.63,0.00,1959.10,1,0.51,1
torchinferno,few_shot,3,1872.81,0.00,1955.45,1,0.51,1
torchinferno,few_shot,4,1872.49,0.00,1965.64,1,0.51,1
torchinferno,few_shot,5,1880.04,0.00,1964.22,1,0.51,1
torchinferno,few_shot,6,1871.05,0.00,1966.69,1,0.51,1
torchinferno,few_shot,7,1871.54,0.00,1969.33,1,0.51,1
torchinferno,few_shot,8,1867.23,0.00,1971.51,1,0.51,1
torchinferno,few_shot,9,1866.70,0.00,1971.55,1,0.51,1
torchinferno,few_shot,10,1871.41,0.00,1972.07,1,0.51,1
torchinferno,few_shot,11,1868.57,0.00,1973.24,1,0.51,1
torchinferno,few_shot,12,1873.81,0.00,1972.87,1,0.51,1
torchinferno,few_shot,13,1875.77,0.00,1976.73,1,0.51,1
torchinferno,few_shot,14,1869.07,0.00,1977.16,1,0.51,1
torchinferno,few_shot,15,1860.83,0.00,1976.36,1,0.51,1
torchinferno,few_shot,16,1866.79,0.00,1985.82,1,0.50,1
torchinferno,few_shot,17,781.29,0.00,893.59,1,1.12,1
torchinferno,few_shot,18,1880.04,0.00,1990.28,1,0.50,1
torchinferno,few_shot,19,1873.04,0.00,1986.32,1,0.50,1
torchinferno,few_shot,20,1874.12,0.00,1990.61,1,0.50,1
torchinferno,few_shot,21,1871.22,0.00,1989.31,1,0.50,1
torchinferno,few_shot,22,1865.29,0.00,1989.06,1,0.50,1
torchinferno,few_shot,23,1862.36,0.00,1991.95,1,0.50,1
torchinferno,few_shot,24,1873.42,0.00,2000.56,1,0.50,1
torchinferno,few_shot,25,1864.98,0.00,1994.17,1,0.50,1
torchinferno,few_shot,26,1866.36,0.00,2000.69,1,0.50,1
torchinferno,few_shot,27,1861.07,0.00,1996.41,1,0.50,1
torchinferno,few_shot,28,1865.80,0.00,1999.79,1,0.50,1
torchinferno,few_shot,29,1875.01,0.00,1999.50,1,0.50,1
torchinferno,few_shot,30,1881.12,0.00,2010.26,1,0.50,1
torchinferno,few_shot,31,1870.92,0.00,2012.19,1,0.50,1
torchinferno,few_shot,32,1869.68,0.00,2026.79,1,0.49,1
torchinferno,few_shot,33,1875.83,158.95,2034.77,2,0.98,1
torchinferno,few_shot,34,1870.44,164.47,2034.91,2,0.98,1
torchinferno,few_shot,35,1879.73,160.91,2040.65,2,0.98,1
torchinferno,few_shot,36,1874.53,161.67,2036.20,2,0.98,1
torchinferno,few_shot,37,1867.25,169.60,2036.85,2,0.98,1
torchinferno,few_shot,38,1871.47,169.14,2040.62,2,0.98,1
torchinferno,few_shot,39,1864.65,182.38,2047.03,2,0.98,1
torchinferno,few_shot,40,1867.59,185.60,2053.19,2,0.97,1
torchinferno,few_shot,41,1883.37,167.67,2051.04,2,0.98,1
torchinferno,few_shot,42,1864.42,181.87,2046.30,2,0.98,1
torchinferno,few_shot,43,1879.69,175.68,2055.37,2,0.97,1
torchinferno,few_shot,44,1875.07,182.00,2057.07,2,0.97,1
torchinferno,few_shot,45,1869.52,195.56,2065.08,2,0.97,1
