model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-06T11:02:08.534026

Build Times
provider,build_time_s
torchinferno,462.5
vllm,1366.7
sglang,196.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,344.43,149.28,143.87,sglang
ttft_p99_ms,2161.54,243.05,855.93,vllm
tpot_median_ms,54.75,58.04,75.90,torchinferno
tpot_p99_ms,162.27,130.95,7405.66,vllm
e2e_median_ms,389.89,203.91,215.70,vllm
e2e_p99_ms,2181.19,299.53,8248.00,vllm
throughput_median_tps,3.28,7.49,5.56,vllm
total_output_tokens,1461,1449,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,292.11,187.44,196.88,vllm
ttft_p99_ms,903.81,421.66,69738.97,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,403.08,210.79,329.58,vllm
e2e_p99_ms,1014.58,441.96,69814.70,vllm
throughput_median_tps,2.48,4.74,3.03,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,763.53,172.21,163.07,sglang
ttft_p99_ms,2209.98,343.30,461.50,vllm
tpot_median_ms,55.63,68.82,104.34,torchinferno
tpot_p99_ms,149.93,198.81,517.75,torchinferno
e2e_median_ms,854.23,230.58,268.80,vllm
e2e_p99_ms,2260.01,434.64,585.96,vllm
throughput_median_tps,1.61,6.21,4.97,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,1027.42,135.46,158.16,vllm
ttft_last_turn_ms,1050.40,158.92,193.62,vllm
ttft_growth_ratio,1.02,1.17,1.22,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,385.76,58.39,78.16,vllm
ttft_p99_ms,1238.28,143.56,580.77,vllm
tpot_median_ms,32.14,28.95,48.89,vllm
tpot_p99_ms,254.28,48.10,168.28,vllm
e2e_median_ms,419.32,79.66,135.64,vllm
e2e_p99_ms,1348.71,172.26,626.97,vllm
throughput_median_tps,3.47,15.19,9.79,vllm
total_output_tokens,1472,1456,1470,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,528.99,76.49,74.71,sglang
ttft_p99_ms,1665.75,207.99,179.69,sglang
tpot_median_ms,31.73,15.07,24.23,vllm
tpot_p99_ms,54.24,23.64,29.87,vllm
e2e_median_ms,1592.24,621.24,912.03,vllm
e2e_p99_ms,3731.44,1032.90,1750.75,vllm
throughput_median_tps,21.37,57.57,38.65,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1335.54,0.00,1344.90,1,0.74,1
torchinferno,few_shot,1,1334.38,0.00,1344.26,1,0.74,1
torchinferno,few_shot,2,1331.50,0.00,1343.14,1,0.74,1
torchinferno,few_shot,3,1332.47,0.00,1345.67,1,0.74,1
torchinferno,few_shot,4,1332.73,199.50,1532.23,2,1.31,1
torchinferno,few_shot,5,1902.80,0.00,1905.95,1,0.52,1
torchinferno,few_shot,6,1892.69,0.00,1910.76,1,0.52,1
torchinferno,few_shot,7,1898.34,0.00,1908.43,1,0.52,1
torchinferno,few_shot,8,1895.05,0.00,1912.09,1,0.52,1
torchinferno,few_shot,9,1898.67,0.00,1920.10,1,0.52,1
torchinferno,few_shot,10,1887.85,0.00,1912.71,1,0.52,1
torchinferno,few_shot,11,1887.81,0.00,1916.01,1,0.52,1
torchinferno,few_shot,12,1894.21,0.00,1918.81,1,0.52,1
torchinferno,few_shot,13,1891.75,0.00,1927.68,1,0.52,1
torchinferno,few_shot,14,1895.12,25.64,1920.77,2,1.04,1
torchinferno,few_shot,15,1890.19,38.22,1928.41,2,1.04,1
torchinferno,few_shot,16,1896.02,32.96,1928.98,2,1.04,1
torchinferno,few_shot,17,1896.85,43.52,1940.37,2,1.03,1
torchinferno,few_shot,18,1889.98,0.00,1928.81,1,0.52,1
torchinferno,few_shot,19,1893.69,0.00,1933.77,1,0.52,1
torchinferno,few_shot,20,1898.94,37.37,1936.31,2,1.03,1
torchinferno,few_shot,21,1896.48,47.32,1943.80,2,1.03,1
torchinferno,few_shot,22,1892.64,47.33,1939.97,2,1.03,1
torchinferno,few_shot,23,1899.13,42.54,1941.67,2,1.03,1
torchinferno,few_shot,24,1891.10,47.90,1939.00,2,1.03,1
torchinferno,few_shot,25,1905.86,0.00,1946.42,1,0.51,1
torchinferno,few_shot,26,1895.49,0.00,1947.90,1,0.51,1
torchinferno,few_shot,27,1890.67,0.00,1947.81,1,0.51,1
torchinferno,few_shot,28,1895.94,0.00,1943.04,1,0.51,1
torchinferno,few_shot,29,1891.00,0.00,1946.25,1,0.51,1
torchinferno,few_shot,30,1889.48,60.84,1950.33,2,1.03,1
torchinferno,few_shot,31,1892.79,53.38,1946.17,2,1.03,1
torchinferno,few_shot,32,1899.85,0.00,1954.29,1,0.51,1
torchinferno,few_shot,33,1901.85,61.33,1963.18,2,1.02,1
torchinferno,few_shot,34,1891.95,0.00,1952.53,1,0.51,1
torchinferno,few_shot,35,1891.09,70.33,1961.42,2,1.02,1
torchinferno,few_shot,36,1897.54,58.75,1956.29,2,1.02,1
torchinferno,few_shot,37,1890.16,0.00,1959.78,1,0.51,1
torchinferno,few_shot,38,1901.25,66.72,1967.97,2,1.02,1
torchinferno,few_shot,39,1898.18,0.00,1966.46,1,0.51,1
torchinferno,few_shot,40,1893.72,75.03,1968.75,2,1.02,1
torchinferno,few_shot,41,1892.46,0.00,1968.66,1,0.51,1
torchinferno,few_shot,42,1894.38,76.55,1970.94,2,1.01,1
torchinferno,few_shot,43,1893.39,78.32,1971.70,2,1.01,1
torchinferno,few_shot,44,1895.30,84.06,1979.36,2,1.01,1
torchinferno,few_shot,45,1896.16,78.08,1974.24,2,1.01,1
torchinferno,few_shot,46,1888.90,0.00,1981.22,1,0.50,1
torchinferno,few_shot,47,1899.62,87.16,1986.77,2,1.01,1
torchinferno,few_shot,48,1892.92,89.88,1982.80,2,1.01,1
torchinferno,few_shot,49,1898.16,86.86,1985.02,2,1.01,1
torchinferno,few_shot,50,1888.76,94.39,1983.15,2,1.01,1
torchinferno,few_shot,51,1892.05,0.00,1986.65,1,0.50,1
torchinferno,few_shot,52,1892.06,103.90,1995.96,2,1.00,1
torchinferno,few_shot,53,836.59,0.00,844.91,1,1.18,1
torchinferno,few_shot,54,2160.91,0.00,2177.03,1,0.46,1
torchinferno,few_shot,55,831.82,0.00,846.88,1,1.18,1
torchinferno,few_shot,56,2165.21,0.00,2181.19,1,0.46,1
torchinferno,few_shot,57,2161.81,0.00,2183.91,1,0.46,1
torchinferno,few_shot,58,2161.54,0.00,2184.48,1,0.46,1
torchinferno,few_shot,59,828.73,0.00,852.67,1,1.17,1
torchinferno,few_shot,60,829.29,0.00,852.30,1,1.17,1
torchinferno,few_shot,61,2166.18,0.00,2189.95,1,0.46,1
torchinferno,few_shot,62,2165.05,25.34,2190.39,2,0.91,1
torchinferno,few_shot,63,641.45,0.00,671.90,1,1.49,1
torchinferno,few_shot,64,2164.28,29.97,2194.25,2,0.91,1
torchinferno,few_shot,65,2162.77,34.71,2197.48,2,0.91,1
torchinferno,few_shot,66,2164.64,34.44,2199.08,2,0.91,1
torchinferno,few_shot,67,2162.50,37.07,2199.57,2,0.91,1
torchinferno,few_shot,68,2164.63,37.39,2202.02,2,0.91,1
torchinferno,few_shot,69,352.21,0.00,366.22,1,2.73,1
torchinferno,few_shot,70,327.15,0.00,342.67,1,2.92,1
torchinferno,few_shot,71,275.88,0.00,290.71,1,3.44,1
torchinferno,few_shot,72,288.57,0.00,305.02,1,3.28,1
torchinferno,few_shot,73,329.30,0.00,347.28,1,2.88,1
torchinferno,few_shot,74,326.23,0.00,352.91,1,2.83,1
torchinferno,few_shot,75,307.44,0.00,323.30,1,3.09,1
torchinferno,few_shot,76,316.83,0.00,344.37,1,2.90,1
torchinferno,few_shot,77,315.99,0.00,340.58,1,2.94,1
torchinferno,few_shot,78,312.20,0.00,346.30,1,2.89,1
torchinferno,few_shot,79,271.37,26.19,297.57,2,6.72,1
torchinferno,few_shot,80,292.31,0.00,326.14,1,3.07,1
torchinferno,few_shot,81,279.25,39.42,318.67,2,6.28,1
torchinferno,few_shot,82,270.21,38.06,308.27,2,6.49,1
torchinferno,few_shot,83,285.51,0.00,318.40,1,3.14,1
torchinferno,few_shot,84,335.58,43.94,379.52,2,5.27,1
torchinferno,few_shot,85,294.32,0.00,326.15,1,3.07,1
torchinferno,few_shot,86,310.49,47.83,358.32,2,5.58,1
torchinferno,few_shot,87,329.69,48.24,377.93,2,5.29,1
torchinferno,few_shot,88,343.18,0.00,389.09,1,2.57,1
torchinferno,few_shot,89,317.98,42.14,360.13,2,5.55,1
torchinferno,few_shot,90,291.39,39.22,330.61,2,6.05,1
torchinferno,few_shot,91,318.65,0.00,371.92,1,2.69,1
torchinferno,few_shot,92,301.98,51.07,353.05,2,5.66,1
torchinferno,few_shot,93,331.79,47.48,379.27,2,5.27,1
torchinferno,few_shot,94,311.36,0.00,358.48,1,2.79,1
torchinferno,few_shot,95,331.68,49.67,381.35,2,5.24,1
torchinferno,few_shot,96,271.59,0.00,326.90,1,3.06,1
torchinferno,few_shot,97,361.41,50.09,411.50,2,4.86,1
torchinferno,few_shot,98,315.18,0.00,366.71,1,2.73,1
torchinferno,few_shot,99,345.86,0.00,411.62,1,2.43,1
