model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-18T07:02:53.704237

Build Times
provider,build_time_s
torchinferno,483.9
vllm,515.2
sglang,280.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,137.29,141.09,vllm
ttft_p99_ms,,1001.01,917.93,sglang
tpot_median_ms,,45.35,72.80,vllm
tpot_p99_ms,,117.80,534.43,vllm
e2e_median_ms,,171.70,208.26,vllm
e2e_p99_ms,,1049.52,1429.66,vllm
throughput_median_tps,,8.24,5.65,vllm
total_output_tokens,,1458,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,191.89,218.21,vllm
ttft_p99_ms,,295.20,70785.03,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,245.76,361.22,vllm
e2e_p99_ms,,374.10,70865.96,vllm
throughput_median_tps,,4.07,2.77,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,161.93,162.97,vllm
ttft_p99_ms,,336.17,286.39,sglang
tpot_median_ms,,52.01,96.60,vllm
tpot_p99_ms,,195.80,218.86,vllm
e2e_median_ms,,209.28,258.55,vllm
e2e_p99_ms,,422.38,431.92,vllm
throughput_median_tps,,6.61,5.38,vllm
total_output_tokens,,1450,1462,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,136.94,107.53,sglang
ttft_last_turn_ms,,163.86,199.47,vllm
ttft_growth_ratio,,1.20,1.85,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,57.48,81.40,vllm
ttft_p99_ms,,3686.78,440.81,sglang
tpot_median_ms,,29.77,43.94,vllm
tpot_p99_ms,,1801.38,434.82,sglang
e2e_median_ms,,78.80,137.00,vllm
e2e_p99_ms,,3868.97,513.05,sglang
throughput_median_tps,,15.27,10.11,vllm
total_output_tokens,,1461,1480,sglang
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,71.85,73.82,vllm
ttft_p99_ms,,159.07,164.36,vllm
tpot_median_ms,,15.15,22.39,vllm
tpot_p99_ms,,25.18,27.89,vllm
e2e_median_ms,,614.83,851.31,vllm
e2e_p99_ms,,1015.63,1602.76,vllm
throughput_median_tps,,58.76,41.74,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,840.87,0.00,841.05,1,1.19,1
vllm,few_shot,1,839.11,0.00,839.23,1,1.19,1
vllm,few_shot,2,843.66,0.00,843.78,1,1.19,1
vllm,few_shot,3,847.79,0.00,847.93,1,1.18,1
vllm,few_shot,4,843.39,0.00,845.51,1,1.18,1
vllm,few_shot,5,839.88,0.00,845.13,1,1.18,1
vllm,few_shot,6,846.85,0.00,847.55,1,1.18,1
vllm,few_shot,7,847.09,0.00,854.29,1,1.17,1
vllm,few_shot,8,858.35,35.40,893.76,2,2.24,1
vllm,few_shot,9,885.12,0.00,912.78,1,1.10,1
vllm,few_shot,10,886.57,0.00,914.40,1,1.09,1
vllm,few_shot,11,892.43,0.00,920.31,1,1.09,1
vllm,few_shot,12,886.73,0.00,917.89,1,1.09,1
vllm,few_shot,13,886.02,44.12,930.14,2,2.15,1
vllm,few_shot,14,885.93,47.43,933.36,2,2.14,1
vllm,few_shot,15,907.37,0.00,931.92,1,1.07,1
vllm,few_shot,16,916.57,0.00,934.93,1,1.07,1
vllm,few_shot,17,882.95,52.11,935.06,2,2.14,1
vllm,few_shot,18,905.74,0.00,935.14,1,1.07,1
vllm,few_shot,19,911.40,0.00,935.49,1,1.07,1
vllm,few_shot,20,885.02,54.83,939.85,2,2.13,1
vllm,few_shot,21,887.43,55.88,943.32,2,2.12,1
vllm,few_shot,22,937.06,0.00,953.22,1,1.05,1
vllm,few_shot,23,908.46,48.08,956.53,2,2.09,1
vllm,few_shot,24,938.57,0.00,957.28,1,1.04,1
vllm,few_shot,25,917.79,0.00,954.10,1,1.05,1
vllm,few_shot,26,909.45,55.20,964.65,2,2.07,1
vllm,few_shot,27,928.90,0.00,956.33,1,1.05,1
vllm,few_shot,28,917.78,0.00,958.05,1,1.04,1
vllm,few_shot,29,911.30,58.20,969.50,2,2.06,1
vllm,few_shot,30,942.35,0.00,1004.00,1,1.00,1
vllm,few_shot,31,943.10,0.00,1008.26,1,0.99,1
vllm,few_shot,32,941.74,0.00,1010.16,1,0.99,1
vllm,few_shot,33,917.74,95.10,1012.85,2,1.97,1
vllm,few_shot,34,919.27,95.56,1014.83,2,1.97,1
vllm,few_shot,35,949.16,0.00,1014.67,1,0.99,1
vllm,few_shot,36,944.71,0.00,1019.13,1,0.98,1
vllm,few_shot,37,171.10,0.00,188.43,1,5.31,1
vllm,few_shot,38,947.98,0.00,1020.79,1,0.98,1
vllm,few_shot,39,939.00,81.87,1020.87,2,1.96,1
vllm,few_shot,40,930.05,105.27,1035.32,2,1.93,1
vllm,few_shot,41,920.87,107.77,1028.63,2,1.94,1
vllm,few_shot,42,997.74,0.00,1023.59,1,0.98,1
vllm,few_shot,43,936.65,102.91,1039.56,2,1.92,1
vllm,few_shot,44,1028.83,0.00,1029.05,1,0.97,1
