model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-25T21:02:58.413614+00:00

Build Times
provider,build_time_s
torchinferno,375.4
vllm,538.2
sglang,278.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,132.93,161.89,vllm
ttft_p99_ms,,1092.14,717.71,sglang
tpot_median_ms,,50.08,90.26,vllm
tpot_p99_ms,,142.26,382.57,vllm
e2e_median_ms,,177.13,244.63,vllm
e2e_p99_ms,,1146.07,885.20,sglang
throughput_median_tps,,7.81,5.02,vllm
total_output_tokens,,1458,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,195.31,231.43,vllm
ttft_p99_ms,,481.02,69760.84,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,216.57,396.65,vllm
e2e_p99_ms,,497.78,69878.04,vllm
throughput_median_tps,,4.62,2.52,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,160.17,174.81,vllm
ttft_p99_ms,,295.35,544.20,vllm
tpot_median_ms,,48.31,104.92,vllm
tpot_p99_ms,,188.29,248.71,vllm
e2e_median_ms,,201.85,280.08,vllm
e2e_p99_ms,,379.08,628.44,vllm
throughput_median_tps,,6.62,4.64,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,141.29,330.10,vllm
ttft_last_turn_ms,,157.97,208.51,vllm
ttft_growth_ratio,,1.12,0.63,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,59.09,88.11,vllm
ttft_p99_ms,,2058.26,562.34,sglang
tpot_median_ms,,29.02,54.48,vllm
tpot_p99_ms,,1725.96,156.60,sglang
e2e_median_ms,,79.92,156.27,vllm
e2e_p99_ms,,2096.22,605.80,sglang
throughput_median_tps,,15.00,8.82,vllm
total_output_tokens,,1466,1465,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,73.78,74.91,vllm
ttft_p99_ms,,244.83,220.00,sglang
tpot_median_ms,,14.78,22.09,vllm
tpot_p99_ms,,19.05,27.30,vllm
e2e_median_ms,,620.50,845.76,vllm
e2e_p99_ms,,1004.93,1590.69,vllm
throughput_median_tps,,58.79,41.87,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,919.95,0.00,921.19,1,1.09,1
vllm,few_shot,1,919.88,0.00,922.73,1,1.08,1
vllm,few_shot,2,928.22,0.00,931.25,1,1.07,1
vllm,few_shot,3,930.00,0.00,931.79,1,1.07,1
vllm,few_shot,4,925.06,0.00,927.57,1,1.08,1
vllm,few_shot,5,932.88,0.00,944.69,1,1.06,1
vllm,few_shot,6,969.39,0.00,997.63,1,1.00,1
vllm,few_shot,7,968.43,0.00,1001.13,1,1.00,1
vllm,few_shot,8,969.37,0.00,999.99,1,1.00,1
vllm,few_shot,9,967.80,0.00,999.20,1,1.00,1
vllm,few_shot,10,968.91,0.00,1002.95,1,1.00,1
vllm,few_shot,11,967.40,0.00,1004.45,1,1.00,1
vllm,few_shot,12,970.28,58.35,1028.64,2,1.94,1
vllm,few_shot,13,994.57,0.00,1029.06,1,0.97,1
vllm,few_shot,14,964.09,62.72,1026.81,2,1.95,1
vllm,few_shot,15,971.95,62.70,1034.65,2,1.93,1
vllm,few_shot,16,963.23,66.20,1029.42,2,1.94,1
vllm,few_shot,17,964.93,65.72,1030.64,2,1.94,1
vllm,few_shot,18,970.02,63.89,1033.90,2,1.93,1
vllm,few_shot,19,991.05,0.00,1032.03,1,0.97,1
vllm,few_shot,20,989.26,0.00,1033.70,1,0.97,1
vllm,few_shot,21,992.41,0.00,1035.00,1,0.97,1
vllm,few_shot,22,966.87,71.18,1038.05,2,1.93,1
vllm,few_shot,23,1022.46,0.00,1088.08,1,0.92,1
vllm,few_shot,24,1019.35,0.00,1094.16,1,0.91,1
vllm,few_shot,25,990.87,107.56,1098.44,2,1.82,1
vllm,few_shot,26,1018.38,0.00,1096.77,1,0.91,1
vllm,few_shot,27,993.38,110.15,1103.53,2,1.81,1
vllm,few_shot,28,1022.24,0.00,1100.72,1,0.91,1
vllm,few_shot,29,1026.59,0.00,1104.42,1,0.91,1
vllm,few_shot,30,1019.93,0.00,1105.38,1,0.90,1
vllm,few_shot,31,1021.33,0.00,1108.08,1,0.90,1
vllm,few_shot,32,992.72,116.12,1108.84,2,1.80,1
vllm,few_shot,33,1033.20,0.00,1110.51,1,0.90,1
vllm,few_shot,34,1020.05,0.00,1110.81,1,0.90,1
vllm,few_shot,35,1015.15,0.00,1110.79,1,0.90,1
vllm,few_shot,36,988.63,126.18,1114.81,2,1.79,1
vllm,few_shot,37,996.04,127.55,1123.58,2,1.78,1
vllm,few_shot,38,1111.57,0.00,1116.70,1,0.90,1
vllm,few_shot,39,1098.41,0.00,1117.48,1,0.89,1
vllm,few_shot,40,1092.14,0.00,1117.31,1,0.90,1
vllm,few_shot,41,1017.93,0.00,1121.51,1,0.89,1
vllm,few_shot,42,1084.22,0.00,1119.00,1,0.89,1
vllm,few_shot,43,180.00,0.00,202.91,1,4.93,1
