model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-09T21:07:07.895721

Build Times
provider,build_time_s
torchinferno,307.1
vllm,1359.8
sglang,203.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,308.72,167.82,148.97,sglang
ttft_p99_ms,2001.36,281.72,1249.79,vllm
tpot_median_ms,94.76,61.91,72.29,vllm
tpot_p99_ms,639.30,158.61,399.82,vllm
e2e_median_ms,383.34,218.88,213.37,sglang
e2e_p99_ms,2628.00,362.93,1626.67,vllm
throughput_median_tps,3.08,6.64,5.46,vllm
total_output_tokens,1460,1456,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,377.76,208.69,216.96,vllm
ttft_p99_ms,1082.07,550.91,71259.50,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,509.27,233.83,368.22,vllm
e2e_p99_ms,1509.34,552.08,71321.98,vllm
throughput_median_tps,1.96,4.28,2.72,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,635.28,179.95,162.54,sglang
ttft_p99_ms,1675.91,382.51,274.43,sglang
tpot_median_ms,65.66,53.29,104.28,vllm
tpot_p99_ms,183.99,218.19,223.75,torchinferno
e2e_median_ms,706.30,236.60,262.95,vllm
e2e_p99_ms,1767.20,462.28,421.16,sglang
throughput_median_tps,1.75,5.84,5.17,vllm
total_output_tokens,1462,1462,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,930.58,148.80,107.77,sglang
ttft_last_turn_ms,896.76,178.89,197.59,vllm
ttft_growth_ratio,0.96,1.20,1.83,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,385.49,60.71,83.47,vllm
ttft_p99_ms,1123.91,3708.54,902.89,sglang
tpot_median_ms,56.02,27.23,51.52,vllm
tpot_p99_ms,455.65,1859.00,865.14,torchinferno
e2e_median_ms,435.40,82.55,151.33,vllm
e2e_p99_ms,1316.61,3749.53,943.34,sglang
throughput_median_tps,3.31,14.85,9.49,vllm
total_output_tokens,1488,1471,1458,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,194.58,74.54,80.85,vllm
ttft_p99_ms,1306.49,199.22,168.02,sglang
tpot_median_ms,26.65,15.15,23.56,vllm
tpot_p99_ms,61.45,23.61,28.79,vllm
e2e_median_ms,1260.04,620.74,900.39,vllm
e2e_p99_ms,2948.42,1011.73,1734.30,vllm
throughput_median_tps,30.70,58.18,39.59,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1360.14,0.00,1370.10,1,0.73,1
torchinferno,few_shot,1,1363.37,0.00,1372.88,1,0.73,1
torchinferno,few_shot,2,1362.15,0.00,1375.20,1,0.73,1
torchinferno,few_shot,3,1360.98,0.00,1375.44,1,0.73,1
torchinferno,few_shot,4,1361.88,0.00,1376.49,1,0.73,1
torchinferno,few_shot,5,1366.23,291.13,1657.36,2,1.21,1
torchinferno,few_shot,6,1360.27,293.52,1653.79,2,1.21,1
torchinferno,few_shot,7,1363.25,295.55,1658.80,2,1.21,1
torchinferno,few_shot,8,1362.63,297.20,1659.83,2,1.20,1
torchinferno,few_shot,9,1367.60,297.29,1664.89,2,1.20,1
torchinferno,few_shot,10,1990.32,0.00,2531.26,1,0.40,1
torchinferno,few_shot,11,1990.03,0.00,2529.35,1,0.40,1
torchinferno,few_shot,12,1985.68,0.00,2529.69,1,0.40,1
torchinferno,few_shot,13,1995.15,0.00,2534.46,1,0.39,1
torchinferno,few_shot,14,1993.06,0.00,2543.16,1,0.39,1
torchinferno,few_shot,15,1999.46,0.00,2538.45,1,0.39,1
torchinferno,few_shot,16,1991.56,0.00,2540.81,1,0.39,1
torchinferno,few_shot,17,1998.34,0.00,2544.48,1,0.39,1
torchinferno,few_shot,18,1996.31,0.00,2555.22,1,0.39,1
torchinferno,few_shot,19,1989.42,561.78,2551.20,2,0.78,1
torchinferno,few_shot,20,1996.81,0.00,2547.09,1,0.39,1
torchinferno,few_shot,21,1996.27,0.00,2551.31,1,0.39,1
torchinferno,few_shot,22,1994.65,554.75,2549.40,2,0.78,1
torchinferno,few_shot,23,1997.00,0.00,2550.62,1,0.39,1
torchinferno,few_shot,24,1992.07,0.00,2555.30,1,0.39,1
torchinferno,few_shot,25,1989.48,568.38,2557.86,2,0.78,1
torchinferno,few_shot,26,1987.49,0.00,2555.24,1,0.39,1
torchinferno,few_shot,27,1173.85,0.00,1188.99,1,0.84,1
torchinferno,few_shot,28,1996.03,570.09,2566.12,2,0.78,1
torchinferno,few_shot,29,1992.78,572.95,2565.73,2,0.78,1
torchinferno,few_shot,30,2003.13,565.63,2568.76,2,0.78,1
torchinferno,few_shot,31,1990.70,579.19,2569.89,2,0.78,1
torchinferno,few_shot,32,1991.31,573.32,2564.63,2,0.78,1
torchinferno,few_shot,33,2525.68,38.46,2564.14,2,0.78,1
torchinferno,few_shot,34,1997.95,0.00,2576.72,1,0.39,1
torchinferno,few_shot,35,1989.21,600.61,2589.81,2,0.77,1
torchinferno,few_shot,36,1169.49,0.00,1227.38,1,0.81,1
torchinferno,few_shot,37,1987.03,608.57,2595.60,2,0.77,1
torchinferno,few_shot,38,1989.10,0.00,2603.06,1,0.38,1
torchinferno,few_shot,39,1989.81,0.00,2602.63,1,0.38,1
torchinferno,few_shot,40,2548.78,50.20,2598.99,2,0.77,1
torchinferno,few_shot,41,1998.18,605.97,2604.15,2,0.77,1
torchinferno,few_shot,42,1995.36,0.00,2610.69,1,0.38,1
torchinferno,few_shot,43,1995.46,0.00,2608.13,1,0.38,1
torchinferno,few_shot,44,2001.36,0.00,2612.52,1,0.38,1
torchinferno,few_shot,45,1990.13,618.87,2609.00,2,0.77,1
torchinferno,few_shot,46,1997.39,0.00,2612.37,1,0.38,1
torchinferno,few_shot,47,1987.81,625.05,2612.87,2,0.77,1
torchinferno,few_shot,48,1987.30,0.00,2613.56,1,0.38,1
torchinferno,few_shot,49,2579.48,0.00,2613.07,1,0.38,1
torchinferno,few_shot,50,1996.52,627.01,2623.53,2,0.76,1
torchinferno,few_shot,51,1167.25,0.00,1252.38,1,0.80,1
torchinferno,few_shot,52,1166.74,0.00,1256.72,1,0.80,1
torchinferno,few_shot,53,2000.53,620.32,2620.85,2,0.76,1
torchinferno,few_shot,54,2000.29,625.27,2625.56,2,0.76,1
torchinferno,few_shot,55,1216.24,0.00,1257.99,1,0.79,1
torchinferno,few_shot,56,2537.06,0.00,2620.49,1,0.38,1
