model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-11T07:01:23.558793

Build Times
provider,build_time_s
vllm,1033.5
sglang,285.4
torchinferno,80.0

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,165.19,150.51,586.83,sglang
ttft_p99_ms,1132.95,4798.60,2810.95,vllm
tpot_median_ms,59.57,72.97,588.40,vllm
tpot_p99_ms,153.88,7517.91,896.38,vllm
e2e_median_ms,226.73,219.67,1158.56,sglang
e2e_p99_ms,1209.83,12283.01,3660.01,vllm
throughput_median_tps,6.58,5.42,0.96,vllm
total_output_tokens,1461,1461,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,179.70,224.47,492.37,vllm
ttft_p99_ms,486.33,676.02,808.94,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,203.03,381.68,589.90,vllm
e2e_p99_ms,528.60,793.96,955.31,vllm
throughput_median_tps,4.93,2.62,1.70,vllm
total_output_tokens,1000,1000,1000,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,191.70,181.58,,sglang
ttft_p99_ms,378.64,604.73,,vllm
tpot_median_ms,67.49,105.35,,vllm
tpot_p99_ms,205.59,710.08,,vllm
e2e_median_ms,249.05,296.83,,vllm
e2e_p99_ms,470.76,879.39,,vllm
throughput_median_tps,5.68,4.29,,vllm
total_output_tokens,1450,1450,,vllm
num_requests,1000,1000,,
correctness_rate,0.98,0.98,,vllm
ttft_first_turn_ms,169.53,121.37,,sglang
ttft_last_turn_ms,171.02,249.09,,vllm
ttft_growth_ratio,1.01,2.05,,vllm

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,61.92,81.37,,vllm
ttft_p99_ms,125.74,652.43,,vllm
tpot_median_ms,28.09,72.18,,vllm
tpot_p99_ms,93.02,181.08,,vllm
e2e_median_ms,84.65,164.29,,vllm
e2e_p99_ms,167.04,710.32,,vllm
throughput_median_tps,14.91,8.73,,vllm
total_output_tokens,1457,1500,,sglang
num_requests,992,992,,
correctness_rate,0.97,0.97,,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,87.47,78.88,,sglang
ttft_p99_ms,227.35,482.71,,vllm
tpot_median_ms,14.96,21.93,,vllm
tpot_p99_ms,20.22,34.22,,vllm
e2e_median_ms,646.59,797.72,,vllm
e2e_p99_ms,1042.06,1623.63,,vllm
throughput_median_tps,56.75,42.14,,vllm
total_output_tokens,36715,36715,,vllm
num_requests,1000,1000,,
correctness_rate,1.00,1.00,,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,718.31,0.00,1058.33,1,0.94,1
vllm,few_shot,1,1120.31,0.00,1134.09,1,0.88,1
vllm,few_shot,2,1118.02,0.00,1127.74,1,0.89,1
vllm,few_shot,3,1126.73,0.00,1145.36,1,0.87,1
vllm,few_shot,4,1101.94,0.00,1127.89,1,0.89,1
vllm,few_shot,5,1136.88,0.00,1164.75,1,0.86,1
vllm,few_shot,6,1127.66,0.00,1153.02,1,0.87,1
vllm,few_shot,7,1112.77,0.00,1140.66,1,0.88,1
vllm,few_shot,8,1123.31,0.00,1147.37,1,0.87,1
vllm,few_shot,9,1131.43,25.10,1156.53,2,1.73,1
vllm,few_shot,10,1107.17,0.00,1144.60,1,0.87,1
vllm,few_shot,11,1132.95,0.00,1170.26,1,0.85,1
vllm,few_shot,12,1127.92,23.48,1151.40,2,1.74,1
vllm,few_shot,13,1114.89,29.83,1144.72,2,1.75,1
vllm,few_shot,14,1115.60,22.21,1137.81,2,1.76,1
vllm,few_shot,15,1099.30,40.42,1139.72,2,1.75,1
vllm,few_shot,16,1130.09,30.61,1160.70,2,1.72,1
vllm,few_shot,17,1126.47,0.00,1159.53,1,0.86,1
vllm,few_shot,18,1132.76,0.00,1167.93,1,0.86,1
vllm,few_shot,19,1139.34,0.00,1182.28,1,0.85,1
vllm,few_shot,20,1119.40,0.00,1155.41,1,0.87,1
vllm,few_shot,21,1116.25,39.22,1155.47,2,1.73,1
vllm,few_shot,22,1117.09,38.03,1155.12,2,1.73,1
vllm,few_shot,23,1119.84,0.00,1168.19,1,0.86,1
vllm,few_shot,24,1147.46,0.00,1188.85,1,0.84,1
vllm,few_shot,25,1130.48,45.54,1176.02,2,1.70,1
vllm,few_shot,26,1106.96,0.00,1166.90,1,0.86,1
vllm,few_shot,27,1114.91,56.81,1171.72,2,1.71,1
vllm,few_shot,28,1125.20,43.50,1168.71,2,1.71,1
vllm,few_shot,29,1102.91,0.00,1160.58,1,0.86,1
vllm,few_shot,30,1124.38,57.68,1182.06,2,1.69,1
vllm,few_shot,31,1123.39,0.00,1172.47,1,0.85,1
vllm,few_shot,32,1101.64,67.49,1169.13,2,1.71,1
vllm,few_shot,33,1120.99,0.00,1173.73,1,0.85,1
vllm,few_shot,34,1123.54,0.00,1185.22,1,0.84,1
vllm,few_shot,35,1151.34,0.00,1203.77,1,0.83,1
vllm,few_shot,36,1117.43,0.00,1183.48,1,0.84,1
vllm,few_shot,37,1120.52,71.05,1191.56,2,1.68,1
vllm,few_shot,38,1128.84,63.35,1192.20,2,1.68,1
vllm,few_shot,39,1108.90,0.00,1185.34,1,0.84,1
vllm,few_shot,40,1106.47,68.28,1174.75,2,1.70,1
vllm,few_shot,41,1132.32,0.00,1194.19,1,0.84,1
vllm,few_shot,42,1113.75,0.00,1185.66,1,0.84,1
vllm,few_shot,43,1115.00,80.93,1195.94,2,1.67,1
vllm,few_shot,44,1131.58,64.56,1196.13,2,1.67,1
vllm,few_shot,45,1135.93,0.00,1210.15,1,0.83,1
vllm,few_shot,46,1120.55,68.23,1188.79,2,1.68,1
vllm,few_shot,47,1111.92,72.03,1183.95,2,1.69,1
vllm,few_shot,48,1135.35,85.43,1220.78,2,1.64,1
vllm,few_shot,49,1118.37,79.10,1197.46,2,1.67,1
vllm,few_shot,50,1117.68,76.64,1194.31,2,1.67,1
vllm,few_shot,51,1142.20,85.32,1227.52,2,1.63,1
vllm,few_shot,52,1108.89,0.00,1198.27,1,0.83,1
vllm,few_shot,53,1132.49,0.00,1206.87,1,0.83,1
vllm,few_shot,54,1117.25,92.58,1209.83,2,1.65,1
vllm,few_shot,55,173.15,0.00,173.47,1,5.76,1
vllm,few_shot,56,1119.38,0.00,1199.57,1,0.83,1
vllm,few_shot,57,1155.15,79.70,1234.84,2,1.62,1
vllm,few_shot,58,1117.52,100.78,1218.30,2,1.64,1
vllm,few_shot,59,1119.43,87.66,1207.09,2,1.66,1
vllm,few_shot,60,1128.00,95.12,1223.12,2,1.64,1
vllm,few_shot,61,1103.09,0.00,1202.84,1,0.83,1
vllm,few_shot,62,1139.28,101.26,1240.54,2,1.61,1
vllm,few_shot,63,1132.01,92.38,1224.39,2,1.63,1
vllm,few_shot,64,1108.08,107.03,1215.11,2,1.65,1
vllm,few_shot,65,94.32,0.00,103.92,1,9.62,1
vllm,few_shot,66,106.50,0.00,121.60,1,8.22,1
vllm,few_shot,67,128.30,0.00,144.63,1,6.91,1
vllm,few_shot,68,110.92,0.00,130.09,1,7.69,1
vllm,few_shot,69,108.14,0.00,130.50,1,7.66,1
vllm,few_shot,70,132.73,0.00,149.33,1,6.70,1
vllm,few_shot,71,115.03,0.00,133.05,1,7.52,1
vllm,few_shot,72,114.97,34.85,149.82,2,13.35,1
vllm,few_shot,73,107.75,36.12,143.87,2,13.90,1
vllm,few_shot,74,99.03,0.00,113.49,1,8.81,1
vllm,few_shot,75,137.00,0.00,154.51,1,6.47,1
vllm,few_shot,76,131.20,0.00,149.59,1,6.69,1
vllm,few_shot,77,149.61,0.00,175.44,1,5.70,1
vllm,few_shot,78,138.33,83.31,221.63,2,9.02,1
vllm,few_shot,79,132.00,84.51,216.51,2,9.24,1
vllm,few_shot,80,108.10,0.00,177.95,1,5.62,1
vllm,few_shot,81,141.48,87.53,229.01,2,8.73,1
vllm,few_shot,82,121.84,86.78,208.63,2,9.59,1
vllm,few_shot,83,140.84,89.13,229.97,2,8.70,1
vllm,few_shot,84,99.44,90.38,189.82,2,10.54,1
vllm,few_shot,85,119.74,0.00,197.20,1,5.07,1
vllm,few_shot,86,113.20,0.00,193.44,1,5.17,1
vllm,few_shot,87,176.68,0.00,260.38,1,3.84,1
vllm,few_shot,88,111.02,0.00,194.65,1,5.14,1
vllm,few_shot,89,207.20,0.00,222.12,1,4.50,1
vllm,few_shot,90,215.25,0.00,229.72,1,4.35,1
vllm,few_shot,91,143.04,0.00,238.32,1,4.20,1
vllm,few_shot,92,255.54,0.00,265.38,1,3.77,1
vllm,few_shot,93,168.63,0.00,203.37,1,4.92,1
vllm,few_shot,94,197.16,0.00,229.19,1,4.36,1
vllm,few_shot,95,157.33,0.00,197.42,1,5.07,1
vllm,few_shot,96,186.52,0.00,215.80,1,4.63,1
vllm,few_shot,97,202.48,0.00,226.79,1,4.41,1
vllm,few_shot,98,222.27,0.00,227.29,1,4.40,1
vllm,few_shot,99,106.34,99.17,205.51,2,9.73,1
vllm,few_shot,100,160.02,0.00,204.10,1,4.90,1
vllm,few_shot,101,237.68,0.00,246.98,1,4.05,1
vllm,few_shot,102,118.87,109.74,228.61,2,8.75,1
vllm,few_shot,103,237.10,0.00,271.12,1,3.69,1
vllm,few_shot,104,267.26,0.00,275.63,1,3.63,1
vllm,few_shot,105,145.02,0.00,255.08,1,3.92,1
vllm,few_shot,106,190.24,0.00,204.70,1,4.89,1
vllm,few_shot,107,221.49,0.00,256.06,1,3.91,1
vllm,few_shot,108,203.13,0.00,244.38,1,4.09,1
vllm,few_shot,109,147.66,118.16,265.82,2,7.52,1
