model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-18T16:08:59.212864

Build Times
provider,build_time_s
torchinferno,248.9
vllm,1140.8
sglang,171.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,277.56,151.33,131.96,sglang
ttft_p99_ms,1405.33,524.60,4998.50,vllm
tpot_median_ms,150.28,50.53,70.96,vllm
tpot_p99_ms,204.61,175.38,7202.27,vllm
e2e_median_ms,372.85,198.06,197.53,sglang
e2e_p99_ms,1591.72,641.45,12168.05,vllm
throughput_median_tps,4.09,7.07,6.29,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,269.23,193.47,198.40,vllm
ttft_p99_ms,1432.21,561.09,70752.03,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,288.39,220.61,332.19,vllm
e2e_p99_ms,1475.30,575.76,70885.05,vllm
throughput_median_tps,3.47,4.53,3.01,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,561.10,170.90,151.35,sglang
ttft_p99_ms,1536.21,333.59,652.70,vllm
tpot_median_ms,165.14,62.75,99.90,vllm
tpot_p99_ms,518.23,191.35,241.91,vllm
e2e_median_ms,648.11,226.71,247.15,vllm
e2e_p99_ms,1757.04,406.86,722.20,vllm
throughput_median_tps,2.06,6.25,5.35,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,801.66,141.19,106.83,sglang
ttft_last_turn_ms,538.79,164.95,162.60,sglang
ttft_growth_ratio,0.67,1.17,1.52,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,299.92,57.74,74.39,vllm
ttft_p99_ms,1262.31,115.79,556.31,vllm
tpot_median_ms,130.87,26.83,61.47,vllm
tpot_p99_ms,149.81,76.13,164.73,vllm
e2e_median_ms,393.56,77.90,155.01,vllm
e2e_p99_ms,1348.48,141.15,603.67,vllm
throughput_median_tps,3.63,15.97,9.38,vllm
total_output_tokens,1460,1479,1469,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,659.43,77.10,66.61,sglang
ttft_p99_ms,2270.32,241.18,110.66,sglang
tpot_median_ms,15.18,15.01,22.19,vllm
tpot_p99_ms,32.82,20.12,27.50,vllm
e2e_median_ms,1199.66,627.90,823.66,vllm
e2e_p99_ms,3133.50,1035.66,1551.02,vllm
throughput_median_tps,28.54,57.75,42.48,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,612.55,0.00,802.93,1,1.25,1
torchinferno,few_shot,1,1395.24,0.00,1479.70,1,0.68,1
torchinferno,few_shot,2,1398.46,0.00,1486.23,1,0.67,1
torchinferno,few_shot,3,1399.71,0.00,1487.78,1,0.67,1
torchinferno,few_shot,4,1389.24,0.00,1473.40,1,0.68,1
torchinferno,few_shot,5,1389.60,0.00,1476.47,1,0.68,1
torchinferno,few_shot,6,1393.26,0.00,1482.56,1,0.67,1
torchinferno,few_shot,7,1395.27,0.00,1497.35,1,0.67,1
torchinferno,few_shot,8,1398.08,0.00,1500.70,1,0.67,1
torchinferno,few_shot,9,603.46,0.00,697.12,1,1.43,1
torchinferno,few_shot,10,1401.00,0.00,1499.84,1,0.67,1
torchinferno,few_shot,11,1406.87,0.00,1499.95,1,0.67,1
torchinferno,few_shot,12,1392.65,0.00,1492.59,1,0.67,1
torchinferno,few_shot,13,1413.36,0.00,1507.68,1,0.66,1
torchinferno,few_shot,14,1400.03,0.00,1495.74,1,0.67,1
torchinferno,few_shot,15,1394.32,0.00,1497.55,1,0.67,1
torchinferno,few_shot,16,1397.40,0.00,1509.19,1,0.66,1
torchinferno,few_shot,17,1389.61,0.00,1502.16,1,0.67,1
torchinferno,few_shot,18,1415.07,0.00,1517.52,1,0.66,1
torchinferno,few_shot,19,1389.24,0.00,1502.90,1,0.67,1
torchinferno,few_shot,20,1393.82,0.00,1513.36,1,0.66,1
torchinferno,few_shot,21,1401.75,0.00,1521.69,1,0.66,1
torchinferno,few_shot,22,1405.33,0.00,1517.64,1,0.66,1
torchinferno,few_shot,23,1395.87,0.00,1511.32,1,0.66,1
torchinferno,few_shot,24,1397.82,0.00,1524.62,1,0.66,1
torchinferno,few_shot,25,1396.03,0.00,1528.11,1,0.65,1
torchinferno,few_shot,26,1389.33,0.00,1516.70,1,0.66,1
torchinferno,few_shot,27,1383.80,0.00,1515.25,1,0.66,1
torchinferno,few_shot,28,1402.68,0.00,1526.51,1,0.66,1
torchinferno,few_shot,29,1386.59,0.00,1521.30,1,0.66,1
torchinferno,few_shot,30,1387.01,0.00,1517.98,1,0.66,1
torchinferno,few_shot,31,1402.58,0.00,1531.78,1,0.65,1
torchinferno,few_shot,32,1394.36,0.00,1526.77,1,0.65,1
torchinferno,few_shot,33,1399.05,171.67,1570.71,2,1.27,1
torchinferno,few_shot,34,1390.12,165.17,1555.29,2,1.29,1
torchinferno,few_shot,35,1394.44,174.18,1568.61,2,1.28,1
torchinferno,few_shot,36,1401.62,171.36,1572.98,2,1.27,1
torchinferno,few_shot,37,1405.37,166.18,1571.55,2,1.27,1
torchinferno,few_shot,38,1386.30,171.76,1558.06,2,1.28,1
torchinferno,few_shot,39,1398.22,165.23,1563.46,2,1.28,1
torchinferno,few_shot,40,1406.65,168.07,1574.72,2,1.27,1
torchinferno,few_shot,41,1393.22,170.14,1563.36,2,1.28,1
torchinferno,few_shot,42,1396.45,181.92,1578.37,2,1.27,1
torchinferno,few_shot,43,1407.59,177.10,1584.69,2,1.26,1
torchinferno,few_shot,44,1385.12,185.63,1570.75,2,1.27,1
torchinferno,few_shot,45,1403.79,179.13,1582.92,2,1.26,1
torchinferno,few_shot,46,1396.52,189.48,1586.01,2,1.26,1
torchinferno,few_shot,47,1399.61,177.04,1576.66,2,1.27,1
torchinferno,few_shot,48,1389.24,187.05,1576.29,2,1.27,1
torchinferno,few_shot,49,1397.29,180.05,1577.34,2,1.27,1
torchinferno,few_shot,50,1403.69,184.53,1588.22,2,1.26,1
torchinferno,few_shot,51,1399.51,192.28,1591.79,2,1.26,1
torchinferno,few_shot,52,1404.35,186.97,1591.33,2,1.26,1
torchinferno,few_shot,53,1385.60,195.48,1581.08,2,1.26,1
torchinferno,few_shot,54,1402.95,193.76,1596.72,2,1.25,1
torchinferno,few_shot,55,1390.96,195.43,1586.39,2,1.26,1
torchinferno,few_shot,56,1407.43,191.39,1598.82,2,1.25,1
torchinferno,few_shot,57,1406.19,195.45,1601.64,2,1.25,1
torchinferno,few_shot,58,1386.23,204.92,1591.15,2,1.26,1
torchinferno,few_shot,59,1387.90,203.83,1591.72,2,1.26,1
torchinferno,few_shot,60,1402.85,204.61,1607.47,2,1.24,1
torchinferno,few_shot,61,1394.02,204.67,1598.69,2,1.25,1
torchinferno,few_shot,62,1392.02,202.37,1594.40,2,1.25,1
torchinferno,few_shot,63,1414.38,199.85,1614.23,2,1.24,1
torchinferno,few_shot,64,1395.38,213.59,1608.97,2,1.24,1
torchinferno,few_shot,65,167.34,0.00,230.96,1,4.33,1
torchinferno,few_shot,66,177.03,0.00,236.44,1,4.23,1
torchinferno,few_shot,67,170.88,0.00,232.73,1,4.30,1
torchinferno,few_shot,68,157.91,0.00,229.25,1,4.36,1
torchinferno,few_shot,69,177.53,0.00,245.85,1,4.07,1
torchinferno,few_shot,70,187.51,0.00,258.27,1,3.87,1
torchinferno,few_shot,71,148.76,0.00,223.96,1,4.47,1
torchinferno,few_shot,72,138.60,0.00,212.69,1,4.70,1
torchinferno,few_shot,73,147.60,0.00,223.33,1,4.48,1
torchinferno,few_shot,74,184.07,0.00,263.39,1,3.80,1
torchinferno,few_shot,75,142.10,0.00,221.71,1,4.51,1
torchinferno,few_shot,76,156.30,0.00,233.79,1,4.28,1
torchinferno,few_shot,77,186.33,0.00,268.89,1,3.72,1
torchinferno,few_shot,78,151.85,0.00,233.69,1,4.28,1
torchinferno,few_shot,79,159.35,0.00,245.04,1,4.08,1
torchinferno,few_shot,80,182.26,0.00,268.00,1,3.73,1
torchinferno,few_shot,81,151.76,0.00,241.46,1,4.14,1
torchinferno,few_shot,82,157.38,0.00,248.36,1,4.03,1
torchinferno,few_shot,83,191.58,0.00,279.91,1,3.57,1
torchinferno,few_shot,84,136.18,0.00,226.45,1,4.42,1
torchinferno,few_shot,85,143.77,0.00,241.51,1,4.14,1
torchinferno,few_shot,86,143.34,131.76,275.10,2,7.27,1
torchinferno,few_shot,87,156.22,138.11,294.34,2,6.79,1
torchinferno,few_shot,88,171.16,134.65,305.81,2,6.54,1
torchinferno,few_shot,89,169.74,142.85,312.60,2,6.40,1
torchinferno,few_shot,90,183.37,137.07,320.44,2,6.24,1
torchinferno,few_shot,91,166.79,146.46,313.25,2,6.38,1
torchinferno,few_shot,92,145.89,142.62,288.51,2,6.93,1
torchinferno,few_shot,93,145.07,141.89,286.96,2,6.97,1
torchinferno,few_shot,94,158.23,146.64,304.87,2,6.56,1
torchinferno,few_shot,95,166.35,146.57,312.92,2,6.39,1
torchinferno,few_shot,96,167.84,148.20,316.04,2,6.33,1
torchinferno,few_shot,97,212.46,0.00,275.45,1,3.63,1
torchinferno,few_shot,98,376.32,0.00,432.37,1,2.31,1
torchinferno,few_shot,99,233.84,0.00,290.48,1,3.44,1
torchinferno,few_shot,100,350.04,0.00,413.52,1,2.42,1
torchinferno,few_shot,101,346.14,0.00,420.13,1,2.38,1
torchinferno,few_shot,102,381.52,0.00,456.63,1,2.19,1
torchinferno,few_shot,103,383.37,0.00,462.26,1,2.16,1
torchinferno,few_shot,104,211.99,0.00,290.79,1,3.44,1
torchinferno,few_shot,105,352.40,0.00,436.60,1,2.29,1
torchinferno,few_shot,106,202.22,0.00,280.56,1,3.56,1
torchinferno,few_shot,107,379.57,0.00,459.29,1,2.18,1
torchinferno,few_shot,108,213.94,0.00,291.19,1,3.43,1
torchinferno,few_shot,109,207.79,0.00,289.73,1,3.45,1
torchinferno,few_shot,110,379.54,0.00,458.70,1,2.18,1
torchinferno,few_shot,111,199.17,0.00,284.86,1,3.51,1
torchinferno,few_shot,112,359.36,0.00,450.35,1,2.22,1
torchinferno,few_shot,113,353.20,0.00,443.38,1,2.26,1
torchinferno,few_shot,114,189.74,0.00,282.12,1,3.54,1
