model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-26T11:02:58.913069+00:00

Build Times
provider,build_time_s
torchinferno,477.5
vllm,600.6
sglang,259.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,141.66,143.52,vllm
ttft_p99_ms,,988.40,641.79,sglang
tpot_median_ms,,47.69,77.47,vllm
tpot_p99_ms,,138.16,516.98,vllm
e2e_median_ms,,187.38,216.80,vllm
e2e_p99_ms,,1048.91,896.39,sglang
throughput_median_tps,,7.71,5.53,vllm
total_output_tokens,,1459,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,178.50,212.21,vllm
ttft_p99_ms,,399.85,70001.32,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,203.20,346.17,vllm
e2e_p99_ms,,413.84,70108.56,vllm
throughput_median_tps,,4.92,2.89,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,163.57,167.08,vllm
ttft_p99_ms,,337.18,556.38,vllm
tpot_median_ms,,57.69,107.20,vllm
tpot_p99_ms,,185.05,506.69,vllm
e2e_median_ms,,210.60,274.95,vllm
e2e_p99_ms,,418.04,682.95,vllm
throughput_median_tps,,6.52,4.95,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,128.45,113.21,sglang
ttft_last_turn_ms,,162.08,209.65,vllm
ttft_growth_ratio,,1.26,1.85,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,58.00,84.14,vllm
ttft_p99_ms,,3483.28,595.35,sglang
tpot_median_ms,,29.74,46.72,vllm
tpot_p99_ms,,887.51,138.62,sglang
e2e_median_ms,,80.08,139.40,vllm
e2e_p99_ms,,3542.62,666.12,sglang
throughput_median_tps,,15.38,9.86,vllm
total_output_tokens,,1492,1469,vllm
num_requests,,992,992,
correctness_rate,,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,72.25,68.27,sglang
ttft_p99_ms,,167.65,218.70,vllm
tpot_median_ms,,14.93,22.31,vllm
tpot_p99_ms,,19.56,26.49,vllm
e2e_median_ms,,605.68,820.24,vllm
e2e_p99_ms,,994.13,1595.94,vllm
throughput_median_tps,,59.10,42.08,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,879.80,0.00,881.27,1,1.13,1
vllm,few_shot,1,878.31,0.00,882.38,1,1.13,1
vllm,few_shot,2,883.56,0.00,886.33,1,1.13,1
vllm,few_shot,3,888.27,0.00,892.43,1,1.12,1
vllm,few_shot,4,880.53,0.00,888.31,1,1.13,1
vllm,few_shot,5,884.60,0.00,890.67,1,1.12,1
vllm,few_shot,6,890.03,0.00,891.87,1,1.12,1
vllm,few_shot,7,898.11,29.94,928.05,2,2.16,1
vllm,few_shot,8,930.41,0.00,944.10,1,1.06,1
vllm,few_shot,9,916.88,0.00,937.55,1,1.07,1
vllm,few_shot,10,924.69,0.00,946.61,1,1.06,1
vllm,few_shot,11,938.75,0.00,974.80,1,1.03,1
vllm,few_shot,12,922.40,48.54,970.95,2,2.06,1
vllm,few_shot,13,933.91,0.00,970.79,1,1.03,1
vllm,few_shot,14,920.10,56.62,976.72,2,2.05,1
vllm,few_shot,15,920.12,56.96,977.08,2,2.05,1
vllm,few_shot,16,919.61,61.01,980.62,2,2.04,1
vllm,few_shot,17,924.97,58.86,983.83,2,2.03,1
vllm,few_shot,18,942.69,0.00,984.29,1,1.02,1
vllm,few_shot,19,935.63,0.00,978.47,1,1.02,1
vllm,few_shot,20,918.50,64.23,982.72,2,2.04,1
vllm,few_shot,21,926.42,63.47,989.88,2,2.02,1
vllm,few_shot,22,917.37,67.22,984.59,2,2.03,1
vllm,few_shot,23,932.82,0.00,983.64,1,1.02,1
vllm,few_shot,24,937.83,53.39,991.22,2,2.02,1
vllm,few_shot,25,988.66,0.00,997.66,1,1.00,1
vllm,few_shot,26,962.44,0.00,990.88,1,1.01,1
vllm,few_shot,27,958.90,0.00,984.78,1,1.02,1
vllm,few_shot,28,968.09,0.00,995.76,1,1.00,1
vllm,few_shot,29,955.05,0.00,988.01,1,1.01,1
vllm,few_shot,30,960.43,0.00,990.66,1,1.01,1
vllm,few_shot,31,959.17,0.00,991.53,1,1.01,1
vllm,few_shot,32,966.86,0.00,993.03,1,1.01,1
vllm,few_shot,33,936.01,69.22,1005.23,2,1.99,1
vllm,few_shot,34,984.41,0.00,1011.92,1,0.99,1
vllm,few_shot,35,954.93,59.25,1014.18,2,1.97,1
vllm,few_shot,36,985.87,0.00,1015.18,1,0.99,1
vllm,few_shot,37,967.05,60.30,1027.35,2,1.95,1
vllm,few_shot,38,1015.32,0.00,1015.55,1,0.98,1
vllm,few_shot,39,958.98,61.09,1020.07,2,1.96,1
vllm,few_shot,40,962.91,56.92,1019.82,2,1.96,1
vllm,few_shot,41,983.54,0.00,1018.94,1,0.98,1
vllm,few_shot,42,979.52,0.00,1024.30,1,0.98,1
vllm,few_shot,43,77.53,0.00,95.47,1,10.47,1
vllm,few_shot,44,984.73,39.78,1024.51,2,1.95,1
vllm,few_shot,45,972.18,52.32,1024.50,2,1.95,1
vllm,few_shot,46,134.00,0.00,153.84,1,6.50,1
vllm,few_shot,47,963.77,75.48,1039.25,2,1.92,1
vllm,few_shot,48,975.50,0.00,1030.07,1,0.97,1
vllm,few_shot,49,1007.55,0.00,1030.58,1,0.97,1
vllm,few_shot,50,138.41,0.00,161.59,1,6.19,1
vllm,few_shot,51,965.38,80.12,1045.50,2,1.91,1
vllm,few_shot,52,975.03,0.00,1037.41,1,0.96,1
vllm,few_shot,53,988.17,48.44,1036.61,2,1.93,1
vllm,few_shot,54,1004.14,32.07,1036.21,2,1.93,1
vllm,few_shot,55,988.40,52.47,1040.88,2,1.92,1
vllm,few_shot,56,81.81,33.86,115.67,2,17.29,1
vllm,few_shot,57,977.70,65.46,1043.16,2,1.92,1
vllm,few_shot,58,87.08,0.00,120.16,1,8.32,1
vllm,few_shot,59,139.02,0.00,180.51,1,5.54,1
vllm,few_shot,60,139.52,0.00,177.06,1,5.65,1
vllm,few_shot,61,975.97,72.94,1048.91,2,1.91,1
vllm,few_shot,62,142.10,0.00,177.17,1,5.64,1
vllm,few_shot,63,172.05,0.00,181.52,1,5.51,1
vllm,few_shot,64,97.71,0.00,142.87,1,7.00,1
vllm,few_shot,65,1005.28,0.00,1049.73,1,0.95,1
vllm,few_shot,66,87.76,0.00,88.03,1,11.36,1
vllm,few_shot,67,991.15,75.12,1066.27,2,1.88,1
vllm,few_shot,68,974.68,81.29,1055.97,2,1.89,1
vllm,few_shot,69,990.85,0.00,1059.28,1,0.94,1
vllm,few_shot,70,983.36,77.56,1060.93,2,1.89,1
vllm,few_shot,71,100.61,0.34,100.95,2,19.81,1
vllm,few_shot,72,980.12,90.24,1070.35,2,1.87,1
vllm,few_shot,73,973.96,0.00,1068.68,1,0.94,1
vllm,few_shot,74,1042.30,23.90,1066.20,2,1.88,1
vllm,few_shot,75,144.18,49.92,194.10,2,10.30,1
vllm,few_shot,76,77.07,32.32,109.38,2,18.28,1
vllm,few_shot,77,1002.97,67.75,1070.72,2,1.87,1
vllm,few_shot,78,88.16,0.00,105.41,1,9.49,1
vllm,few_shot,79,92.72,0.00,111.85,1,8.94,1
vllm,few_shot,80,99.96,0.00,106.86,1,9.36,1
vllm,few_shot,81,96.14,0.00,100.96,1,9.91,1
vllm,few_shot,82,95.03,0.00,116.40,1,8.59,1
vllm,few_shot,83,100.37,0.00,103.67,1,9.65,1
vllm,few_shot,84,83.54,0.00,107.73,1,9.28,1
vllm,few_shot,85,93.50,0.00,98.61,1,10.14,1
vllm,few_shot,86,108.75,0.00,129.89,1,7.70,1
vllm,few_shot,87,106.32,25.68,132.00,2,15.15,1
vllm,few_shot,88,116.07,0.00,119.66,1,8.36,1
vllm,few_shot,89,89.17,0.00,100.27,1,9.97,1
vllm,few_shot,90,98.07,35.90,133.97,2,14.93,1
vllm,few_shot,91,108.77,0.36,109.13,2,18.33,1
vllm,few_shot,92,110.25,1.67,111.92,2,17.87,1
vllm,few_shot,93,87.38,0.00,110.38,1,9.06,1
vllm,few_shot,94,95.76,37.53,133.29,2,15.00,1
vllm,few_shot,95,88.99,0.00,118.74,1,8.42,1
vllm,few_shot,96,97.09,40.12,137.22,2,14.58,1
vllm,few_shot,97,83.92,40.75,124.68,2,16.04,1
vllm,few_shot,98,84.07,0.00,96.26,1,10.39,1
vllm,few_shot,99,96.60,0.00,113.15,1,8.84,1
vllm,few_shot,100,86.74,0.00,105.79,1,9.45,1
vllm,few_shot,101,89.13,35.50,124.63,2,16.05,1
vllm,few_shot,102,114.88,0.00,133.23,1,7.51,1
vllm,few_shot,103,121.06,0.00,142.80,1,7.00,1
vllm,few_shot,104,86.04,0.00,109.04,1,9.17,1
vllm,few_shot,105,101.74,0.00,127.82,1,7.82,1
vllm,few_shot,106,125.91,0.00,138.62,1,7.21,1
vllm,few_shot,107,113.88,32.60,146.48,2,13.65,1
vllm,few_shot,108,134.54,31.14,165.68,2,12.07,1
vllm,few_shot,109,104.67,38.07,142.74,2,14.01,1
vllm,few_shot,110,115.95,0.00,136.24,1,7.34,1
vllm,few_shot,111,134.52,0.00,155.99,1,6.41,1
vllm,few_shot,112,132.54,0.00,151.44,1,6.60,1
vllm,few_shot,113,97.56,36.12,133.68,2,14.96,1
vllm,few_shot,114,158.39,0.00,187.35,1,5.34,1
vllm,few_shot,115,111.03,0.00,134.41,1,7.44,1
vllm,few_shot,116,129.79,0.00,158.55,1,6.31,1
vllm,few_shot,117,115.70,0.00,139.19,1,7.18,1
vllm,few_shot,118,151.86,0.00,212.68,1,4.70,1
vllm,few_shot,119,161.85,0.00,228.93,1,4.37,1
vllm,few_shot,120,138.81,0.00,208.52,1,4.80,1
vllm,few_shot,121,132.35,93.23,225.58,2,8.87,1
vllm,few_shot,122,170.74,0.00,241.79,1,4.14,1
vllm,few_shot,123,136.23,96.33,232.56,2,8.60,1
vllm,few_shot,124,170.13,0.00,244.76,1,4.09,1
vllm,few_shot,125,218.95,0.00,226.89,1,4.41,1
vllm,few_shot,126,124.84,86.44,211.28,2,9.47,1
vllm,few_shot,127,152.54,84.94,237.48,2,8.42,1
vllm,few_shot,128,202.96,0.00,220.20,1,4.54,1
vllm,few_shot,129,164.28,90.66,254.94,2,7.84,1
vllm,few_shot,130,159.04,89.63,248.67,2,8.04,1
vllm,few_shot,131,178.19,89.44,267.63,2,7.47,1
vllm,few_shot,132,179.32,0.00,206.45,1,4.84,1
vllm,few_shot,133,195.09,19.63,214.73,2,9.31,1
vllm,few_shot,134,171.15,30.32,201.46,2,9.93,1
vllm,few_shot,135,160.33,0.00,195.13,1,5.12,1
