model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-25T00:04:03.264864

Build Times
provider,build_time_s
torchinferno,354.8
vllm,1285.0
sglang,199.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,293.16,159.67,143.58,sglang
ttft_p99_ms,1998.35,261.38,7449.28,vllm
tpot_median_ms,153.32,59.27,72.75,vllm
tpot_p99_ms,209.64,151.80,7319.45,vllm
e2e_median_ms,398.88,214.84,215.07,vllm
e2e_p99_ms,2193.09,319.37,14742.60,vllm
throughput_median_tps,3.85,7.09,5.55,vllm
total_output_tokens,1461,1449,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,300.03,194.32,206.27,vllm
ttft_p99_ms,1550.38,457.64,71585.54,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,328.70,217.67,349.79,vllm
e2e_p99_ms,1606.36,488.98,71716.88,vllm
throughput_median_tps,3.04,4.59,2.86,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,742.18,181.32,158.64,sglang
ttft_p99_ms,1979.82,324.04,584.66,vllm
tpot_median_ms,148.36,62.83,104.46,vllm
tpot_p99_ms,1113.72,190.40,260.94,vllm
e2e_median_ms,868.80,226.89,257.82,vllm
e2e_p99_ms,2115.55,418.40,722.77,vllm
throughput_median_tps,1.47,6.12,5.13,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,967.54,140.86,114.79,sglang
ttft_last_turn_ms,641.78,174.52,181.31,vllm
ttft_growth_ratio,0.66,1.24,1.58,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,358.42,58.33,76.37,vllm
ttft_p99_ms,992.78,118.52,466.83,vllm
tpot_median_ms,129.70,27.01,60.95,vllm
tpot_p99_ms,152.50,95.10,434.42,vllm
e2e_median_ms,463.58,78.92,151.75,vllm
e2e_p99_ms,1117.66,155.02,505.06,vllm
throughput_median_tps,2.93,15.65,9.49,vllm
total_output_tokens,1477,1472,1470,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,833.13,76.97,66.34,sglang
ttft_p99_ms,3781.63,209.10,119.24,sglang
tpot_median_ms,16.03,15.07,22.85,vllm
tpot_p99_ms,228.52,20.89,27.66,vllm
e2e_median_ms,1633.19,625.73,875.87,vllm
e2e_p99_ms,4178.22,1016.85,1610.07,vllm
throughput_median_tps,19.56,57.69,41.23,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,928.71,0.00,1272.69,1,0.79,1
torchinferno,few_shot,1,1993.34,0.00,2084.04,1,0.48,1
torchinferno,few_shot,2,2005.65,0.00,2084.98,1,0.48,1
torchinferno,few_shot,3,1999.95,0.00,2085.70,1,0.48,1
torchinferno,few_shot,4,1985.10,0.00,2079.97,1,0.48,1
torchinferno,few_shot,5,2004.71,0.00,2090.80,1,0.48,1
torchinferno,few_shot,6,1990.93,0.00,2083.30,1,0.48,1
torchinferno,few_shot,7,1997.90,0.00,2092.79,1,0.48,1
torchinferno,few_shot,8,1991.00,0.00,2086.31,1,0.48,1
torchinferno,few_shot,9,1988.78,0.00,2087.47,1,0.48,1
torchinferno,few_shot,10,1987.48,0.00,2086.44,1,0.48,1
torchinferno,few_shot,11,1981.96,0.00,2087.98,1,0.48,1
torchinferno,few_shot,12,1990.44,0.00,2105.20,1,0.48,1
torchinferno,few_shot,13,723.19,0.00,837.63,1,1.19,1
torchinferno,few_shot,14,1987.73,0.00,2100.65,1,0.48,1
torchinferno,few_shot,15,1991.21,0.00,2102.68,1,0.48,1
torchinferno,few_shot,16,1980.41,0.00,2097.47,1,0.48,1
torchinferno,few_shot,17,1989.34,0.00,2100.47,1,0.48,1
torchinferno,few_shot,18,1983.75,0.00,2105.96,1,0.47,1
torchinferno,few_shot,19,2005.58,0.00,2120.93,1,0.47,1
torchinferno,few_shot,20,1994.70,0.00,2104.82,1,0.48,1
torchinferno,few_shot,21,1987.48,0.00,2111.59,1,0.47,1
torchinferno,few_shot,22,1985.25,0.00,2105.44,1,0.47,1
torchinferno,few_shot,23,1980.25,0.00,2109.80,1,0.47,1
torchinferno,few_shot,24,1985.13,0.00,2114.24,1,0.47,1
torchinferno,few_shot,25,1989.86,0.00,2111.76,1,0.47,1
torchinferno,few_shot,26,1998.76,0.00,2129.51,1,0.47,1
torchinferno,few_shot,27,1991.45,0.00,2129.32,1,0.47,1
torchinferno,few_shot,28,1997.43,0.00,2132.80,1,0.47,1
torchinferno,few_shot,29,1987.82,0.00,2120.49,1,0.47,1
torchinferno,few_shot,30,1996.70,0.00,2131.40,1,0.47,1
torchinferno,few_shot,31,1994.92,0.00,2138.47,1,0.47,1
torchinferno,few_shot,32,1991.47,0.00,2139.49,1,0.47,1
torchinferno,few_shot,33,2010.21,158.51,2168.73,2,0.92,1
torchinferno,few_shot,34,1996.38,168.04,2164.41,2,0.92,1
torchinferno,few_shot,35,1987.69,162.98,2150.67,2,0.93,1
torchinferno,few_shot,36,2005.10,166.00,2171.10,2,0.92,1
torchinferno,few_shot,37,1990.34,181.86,2172.19,2,0.92,1
torchinferno,few_shot,38,1985.21,179.09,2164.30,2,0.92,1
torchinferno,few_shot,39,1998.11,177.20,2175.31,2,0.92,1
torchinferno,few_shot,40,1983.01,178.54,2161.55,2,0.93,1
torchinferno,few_shot,41,1982.83,182.19,2165.02,2,0.92,1
torchinferno,few_shot,42,1995.72,174.90,2170.63,2,0.92,1
torchinferno,few_shot,43,2006.54,177.17,2183.71,2,0.92,1
torchinferno,few_shot,44,1999.70,183.69,2183.38,2,0.92,1
torchinferno,few_shot,45,1994.24,177.93,2172.17,2,0.92,1
