model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-17T07:09:23.602905

Build Times
provider,build_time_s
torchinferno,332.5
vllm,1053.8
sglang,162.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,275.96,153.47,133.71,sglang
ttft_p99_ms,1600.95,253.61,5322.21,vllm
tpot_median_ms,149.25,53.04,71.04,vllm
tpot_p99_ms,208.69,142.01,7206.13,vllm
e2e_median_ms,365.47,201.00,199.52,sglang
e2e_p99_ms,1703.98,319.48,12495.23,vllm
throughput_median_tps,3.89,7.37,6.03,vllm
total_output_tokens,1466,1465,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,291.88,184.60,202.28,vllm
ttft_p99_ms,1611.62,418.44,70167.62,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,318.70,207.90,338.59,vllm
e2e_p99_ms,1662.72,437.45,70274.10,vllm
throughput_median_tps,3.14,4.81,2.95,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,524.46,177.61,162.45,sglang
ttft_p99_ms,1264.02,345.62,761.41,vllm
tpot_median_ms,119.27,56.39,98.34,vllm
tpot_p99_ms,421.62,217.93,648.89,vllm
e2e_median_ms,619.71,225.02,250.93,vllm
e2e_p99_ms,1389.03,438.07,859.74,vllm
throughput_median_tps,2.07,6.11,5.15,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,674.78,137.77,129.65,sglang
ttft_last_turn_ms,503.01,170.86,174.07,vllm
ttft_growth_ratio,0.75,1.24,1.34,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,341.38,57.65,74.72,vllm
ttft_p99_ms,814.37,125.29,633.44,vllm
tpot_median_ms,131.03,26.87,62.08,vllm
tpot_p99_ms,189.43,45.52,169.54,vllm
e2e_median_ms,458.86,78.21,148.72,vllm
e2e_p99_ms,904.61,158.16,683.27,vllm
throughput_median_tps,3.04,15.58,9.53,vllm
total_output_tokens,1486,1458,1467,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.96,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,68.02,65.50,sglang
ttft_p99_ms,,183.44,108.75,sglang
tpot_median_ms,,14.90,22.11,vllm
tpot_p99_ms,,21.38,26.50,vllm
e2e_median_ms,,606.98,816.70,vllm
e2e_p99_ms,,1007.73,1555.87,vllm
throughput_median_tps,,59.19,42.73,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,605.33,194.01,799.33,2,2.50,1
torchinferno,few_shot,1,1293.92,0.00,1386.26,1,0.72,1
torchinferno,few_shot,2,1300.82,0.00,1400.73,1,0.71,1
torchinferno,few_shot,3,1306.92,0.00,1402.70,1,0.71,1
torchinferno,few_shot,4,1291.82,0.00,1394.83,1,0.72,1
torchinferno,few_shot,5,1301.55,0.00,1403.88,1,0.71,1
torchinferno,few_shot,6,1310.48,0.00,1412.77,1,0.71,1
torchinferno,few_shot,7,1310.35,0.00,1410.12,1,0.71,1
torchinferno,few_shot,8,1291.62,0.00,1401.95,1,0.71,1
torchinferno,few_shot,9,1302.69,0.00,1418.31,1,0.71,1
torchinferno,few_shot,10,1294.29,0.00,1406.67,1,0.71,1
torchinferno,few_shot,11,1312.05,0.00,1420.69,1,0.70,1
torchinferno,few_shot,12,1301.95,0.00,1410.38,1,0.71,1
torchinferno,few_shot,13,1304.09,0.00,1419.07,1,0.70,1
torchinferno,few_shot,14,1301.40,0.00,1423.96,1,0.70,1
torchinferno,few_shot,15,1308.36,0.00,1422.94,1,0.70,1
torchinferno,few_shot,16,1305.70,0.00,1425.18,1,0.70,1
torchinferno,few_shot,17,1304.80,0.00,1421.20,1,0.70,1
torchinferno,few_shot,18,1313.30,0.00,1434.15,1,0.70,1
torchinferno,few_shot,19,1315.44,0.00,1434.29,1,0.70,1
torchinferno,few_shot,20,1300.63,0.00,1420.45,1,0.70,1
torchinferno,few_shot,21,1297.66,0.00,1424.65,1,0.70,1
torchinferno,few_shot,22,1290.31,0.00,1423.80,1,0.70,1
torchinferno,few_shot,23,1294.34,0.00,1425.35,1,0.70,1
torchinferno,few_shot,24,1302.52,0.00,1440.02,1,0.69,1
torchinferno,few_shot,25,1295.97,0.00,1427.76,1,0.70,1
torchinferno,few_shot,26,1301.44,0.00,1432.21,1,0.70,1
torchinferno,few_shot,27,1292.15,177.38,1469.53,2,1.36,1
torchinferno,few_shot,28,1309.28,173.15,1482.43,2,1.35,1
torchinferno,few_shot,29,1301.63,172.14,1473.77,2,1.36,1
torchinferno,few_shot,30,1302.51,183.52,1486.03,2,1.35,1
torchinferno,few_shot,31,1297.59,180.38,1477.98,2,1.35,1
torchinferno,few_shot,32,1303.30,183.82,1487.12,2,1.34,1
torchinferno,few_shot,33,1298.74,182.91,1481.65,2,1.35,1
torchinferno,few_shot,34,1294.47,184.69,1479.17,2,1.35,1
torchinferno,few_shot,35,1318.27,185.25,1503.51,2,1.33,1
torchinferno,few_shot,36,1292.61,200.56,1493.17,2,1.34,1
torchinferno,few_shot,37,1301.97,200.78,1502.74,2,1.33,1
torchinferno,few_shot,38,1299.84,204.11,1503.95,2,1.33,1
torchinferno,few_shot,39,1300.19,206.73,1506.92,2,1.33,1
torchinferno,few_shot,40,1297.72,201.25,1498.97,2,1.33,1
torchinferno,few_shot,41,1306.61,206.79,1513.40,2,1.32,1
torchinferno,few_shot,42,1292.92,206.97,1499.89,2,1.33,1
torchinferno,few_shot,43,1311.67,201.81,1513.48,2,1.32,1
torchinferno,few_shot,44,1304.05,209.45,1513.50,2,1.32,1
torchinferno,few_shot,45,1308.23,208.69,1516.92,2,1.32,1
torchinferno,few_shot,46,1306.90,212.66,1519.55,2,1.32,1
torchinferno,few_shot,47,1307.32,211.48,1518.80,2,1.32,1
torchinferno,few_shot,48,1312.42,213.34,1525.76,2,1.31,1
torchinferno,few_shot,49,824.03,0.00,886.68,1,1.13,1
torchinferno,few_shot,50,219.14,0.00,284.16,1,3.52,1
torchinferno,few_shot,51,191.27,0.00,256.62,1,3.90,1
torchinferno,few_shot,52,200.44,0.00,265.81,1,3.76,1
torchinferno,few_shot,53,179.51,0.00,252.59,1,3.96,1
torchinferno,few_shot,54,213.85,0.00,286.92,1,3.49,1
torchinferno,few_shot,55,214.99,0.00,286.70,1,3.49,1
torchinferno,few_shot,56,1606.90,0.00,1678.20,1,0.60,1
torchinferno,few_shot,57,219.60,0.00,299.05,1,3.34,1
torchinferno,few_shot,58,192.60,0.00,268.37,1,3.73,1
torchinferno,few_shot,59,176.67,0.00,259.07,1,3.86,1
torchinferno,few_shot,60,190.45,0.00,266.01,1,3.76,1
torchinferno,few_shot,61,185.26,0.00,270.78,1,3.69,1
torchinferno,few_shot,62,206.63,0.00,285.53,1,3.50,1
torchinferno,few_shot,63,202.18,0.00,290.98,1,3.44,1
torchinferno,few_shot,64,179.38,0.00,266.69,1,3.75,1
torchinferno,few_shot,65,1599.19,0.00,1692.65,1,0.59,1
torchinferno,few_shot,66,212.80,0.00,308.67,1,3.24,1
torchinferno,few_shot,67,186.92,0.00,275.75,1,3.63,1
torchinferno,few_shot,68,1603.21,0.00,1698.53,1,0.59,1
torchinferno,few_shot,69,1600.12,0.00,1701.50,1,0.59,1
torchinferno,few_shot,70,1600.10,0.00,1699.83,1,0.59,1
torchinferno,few_shot,71,180.01,0.00,273.31,1,3.66,1
torchinferno,few_shot,72,1605.25,0.00,1703.98,1,0.59,1
torchinferno,few_shot,73,213.43,0.00,311.44,1,3.21,1
torchinferno,few_shot,74,1610.34,131.20,1741.54,2,1.15,1
torchinferno,few_shot,75,202.54,133.99,336.53,2,5.94,1
torchinferno,few_shot,76,200.85,136.30,337.15,2,5.93,1
torchinferno,few_shot,77,182.00,146.48,328.47,2,6.09,1
torchinferno,few_shot,78,206.67,147.94,354.61,2,5.64,1
torchinferno,few_shot,79,1605.19,145.52,1750.71,2,1.14,1
torchinferno,few_shot,80,1611.42,141.03,1752.44,2,1.14,1
torchinferno,few_shot,81,1600.95,153.60,1754.55,2,1.14,1
torchinferno,few_shot,82,188.02,149.34,337.36,2,5.93,1
torchinferno,few_shot,83,198.40,154.74,353.14,2,5.66,1
torchinferno,few_shot,84,1605.83,150.96,1756.79,2,1.14,1
torchinferno,few_shot,85,1600.12,161.52,1761.64,2,1.14,1
torchinferno,few_shot,86,1598.03,162.83,1760.86,2,1.14,1
torchinferno,few_shot,87,205.80,157.40,363.20,2,5.51,1
torchinferno,few_shot,88,1603.43,159.91,1763.33,2,1.13,1
torchinferno,few_shot,89,198.34,158.42,356.76,2,5.61,1
torchinferno,few_shot,90,1605.11,162.11,1767.22,2,1.13,1
torchinferno,few_shot,91,425.11,0.00,480.63,1,2.08,1
torchinferno,few_shot,92,219.71,0.00,284.60,1,3.51,1
torchinferno,few_shot,93,395.25,0.00,455.76,1,2.19,1
torchinferno,few_shot,94,395.04,0.00,466.11,1,2.15,1
torchinferno,few_shot,95,188.01,0.00,250.71,1,3.99,1
torchinferno,few_shot,96,420.47,0.00,487.06,1,2.05,1
torchinferno,few_shot,97,201.87,0.00,272.47,1,3.67,1
torchinferno,few_shot,98,195.83,0.00,271.32,1,3.69,1
torchinferno,few_shot,99,192.55,0.00,266.25,1,3.76,1
torchinferno,few_shot,100,192.89,0.00,271.90,1,3.68,1
torchinferno,few_shot,101,220.63,0.00,298.76,1,3.35,1
torchinferno,few_shot,102,401.44,0.00,473.77,1,2.11,1
torchinferno,few_shot,103,387.43,0.00,467.20,1,2.14,1
torchinferno,few_shot,104,407.33,0.00,484.18,1,2.07,1
torchinferno,few_shot,105,392.14,0.00,471.77,1,2.12,1
