model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-11T16:01:16.398893

Build Times
provider,build_time_s
vllm,1003.3
sglang,274.0
torchinferno,85.3

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,167.81,147.96,405.84,sglang
ttft_p99_ms,1137.89,8498.69,1803.49,vllm
tpot_median_ms,62.70,73.73,266.03,vllm
tpot_p99_ms,147.97,7607.44,548.21,vllm
e2e_median_ms,230.43,221.62,649.85,sglang
e2e_p99_ms,1210.91,16087.23,2105.09,vllm
throughput_median_tps,6.66,5.35,2.10,vllm
total_output_tokens,1466,1461,1459,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,171.30,233.27,475.85,vllm
ttft_p99_ms,418.75,677.42,735.46,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,194.13,383.61,589.96,vllm
e2e_p99_ms,444.89,732.34,893.84,vllm
throughput_median_tps,5.15,2.61,1.70,vllm
total_output_tokens,1000,1000,1000,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,193.23,166.29,,sglang
ttft_p99_ms,369.05,558.13,,vllm
tpot_median_ms,59.38,107.55,,vllm
tpot_p99_ms,245.04,246.14,,vllm
e2e_median_ms,251.51,267.25,,vllm
e2e_p99_ms,471.90,621.21,,vllm
throughput_median_tps,5.62,4.83,,vllm
total_output_tokens,1450,1450,,vllm
num_requests,1000,1000,,
correctness_rate,0.98,0.98,,vllm
ttft_first_turn_ms,175.28,109.27,,sglang
ttft_last_turn_ms,179.93,203.06,,vllm
ttft_growth_ratio,1.03,1.86,,vllm

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,63.16,74.46,,vllm
ttft_p99_ms,112.19,401.32,,vllm
tpot_median_ms,27.44,71.10,,vllm
tpot_p99_ms,48.58,169.97,,vllm
e2e_median_ms,84.42,155.49,,vllm
e2e_p99_ms,168.88,455.64,,vllm
throughput_median_tps,14.74,9.13,,vllm
total_output_tokens,1465,1460,,vllm
num_requests,992,992,,
correctness_rate,0.97,0.97,,sglang

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,74.09,74.71,,vllm
ttft_p99_ms,229.88,276.33,,vllm
tpot_median_ms,14.91,21.92,,vllm
tpot_p99_ms,20.64,34.34,,vllm
e2e_median_ms,625.43,844.02,,vllm
e2e_p99_ms,1013.59,1540.80,,vllm
throughput_median_tps,58.39,42.20,,vllm
total_output_tokens,36715,36715,,vllm
num_requests,1000,1000,,
correctness_rate,1.00,1.00,,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,715.92,0.00,1057.02,1,0.95,1
vllm,few_shot,1,1109.07,0.00,1133.01,1,0.88,1
vllm,few_shot,2,1151.35,0.00,1157.72,1,0.86,1
vllm,few_shot,3,1137.92,0.00,1161.65,1,0.86,1
vllm,few_shot,4,1127.59,0.00,1143.57,1,0.87,1
vllm,few_shot,5,1123.10,0.00,1136.51,1,0.88,1
vllm,few_shot,6,1128.91,0.00,1148.45,1,0.87,1
vllm,few_shot,7,1121.18,0.00,1139.87,1,0.88,1
vllm,few_shot,8,1137.89,0.00,1168.25,1,0.86,1
vllm,few_shot,9,1113.12,0.00,1147.86,1,0.87,1
vllm,few_shot,10,1113.25,0.00,1152.41,1,0.87,1
vllm,few_shot,11,1120.97,30.25,1151.22,2,1.74,1
vllm,few_shot,12,1110.29,36.28,1146.57,2,1.74,1
vllm,few_shot,13,1133.63,0.00,1177.67,1,0.85,1
vllm,few_shot,14,1127.94,0.00,1159.70,1,0.86,1
vllm,few_shot,15,1148.24,0.00,1184.90,1,0.84,1
vllm,few_shot,16,1116.04,39.28,1155.32,2,1.73,1
vllm,few_shot,17,1125.73,0.00,1165.34,1,0.86,1
vllm,few_shot,18,1124.57,0.00,1169.70,1,0.85,1
vllm,few_shot,19,1130.50,0.00,1168.35,1,0.86,1
vllm,few_shot,20,1124.71,49.52,1174.23,2,1.70,1
vllm,few_shot,21,1113.47,45.31,1158.78,2,1.73,1
vllm,few_shot,22,1130.09,38.87,1168.95,2,1.71,1
vllm,few_shot,23,1117.82,0.00,1160.25,1,0.86,1
vllm,few_shot,24,1121.77,52.89,1174.65,2,1.70,1
vllm,few_shot,25,1130.49,44.11,1174.60,2,1.70,1
vllm,few_shot,26,1131.33,49.07,1180.40,2,1.69,1
vllm,few_shot,27,1127.97,0.00,1173.58,1,0.85,1
vllm,few_shot,28,1124.73,57.91,1182.64,2,1.69,1
vllm,few_shot,29,1119.53,0.00,1168.68,1,0.86,1
vllm,few_shot,30,1124.57,65.97,1190.54,2,1.68,1
vllm,few_shot,31,130.73,0.00,145.75,1,6.86,1
vllm,few_shot,32,1120.20,54.75,1174.94,2,1.70,1
vllm,few_shot,33,1123.76,59.17,1182.92,2,1.69,1
vllm,few_shot,34,1153.77,0.00,1205.62,1,0.83,1
vllm,few_shot,35,1102.97,74.56,1177.53,2,1.70,1
vllm,few_shot,36,1129.31,62.43,1191.73,2,1.68,1
vllm,few_shot,37,1125.68,67.81,1193.48,2,1.68,1
vllm,few_shot,38,1133.81,0.00,1212.47,1,0.82,1
vllm,few_shot,39,1144.25,72.29,1216.54,2,1.64,1
vllm,few_shot,40,1110.79,0.00,1182.49,1,0.85,1
vllm,few_shot,41,1112.10,0.00,1184.34,1,0.84,1
vllm,few_shot,42,1120.32,82.76,1203.08,2,1.66,1
vllm,few_shot,43,1120.77,67.02,1187.79,2,1.68,1
vllm,few_shot,44,1115.65,0.00,1196.77,1,0.84,1
vllm,few_shot,45,1110.66,74.86,1185.52,2,1.69,1
vllm,few_shot,46,1139.81,82.90,1222.70,2,1.64,1
vllm,few_shot,47,1119.10,85.94,1205.04,2,1.66,1
vllm,few_shot,48,1119.72,69.14,1188.86,2,1.68,1
vllm,few_shot,49,1123.60,86.52,1210.12,2,1.65,1
vllm,few_shot,50,1110.60,81.50,1192.10,2,1.68,1
vllm,few_shot,51,1117.75,0.00,1199.78,1,0.83,1
vllm,few_shot,52,1122.98,72.03,1195.01,2,1.67,1
vllm,few_shot,53,1105.02,0.00,1198.32,1,0.83,1
vllm,few_shot,54,1128.41,79.77,1208.19,2,1.66,1
vllm,few_shot,55,1112.53,0.00,1207.90,1,0.83,1
vllm,few_shot,56,1126.93,0.00,1207.45,1,0.83,1
vllm,few_shot,57,1124.43,0.00,1212.51,1,0.82,1
vllm,few_shot,58,1154.88,83.62,1238.50,2,1.61,1
vllm,few_shot,59,1109.83,97.64,1207.47,2,1.66,1
vllm,few_shot,60,1121.17,89.74,1210.91,2,1.65,1
vllm,few_shot,61,1136.23,85.12,1221.35,2,1.64,1
vllm,few_shot,62,1105.44,0.00,1211.96,1,0.83,1
vllm,few_shot,63,1140.45,101.26,1241.71,2,1.61,1
vllm,few_shot,64,1137.93,0.00,1245.77,1,0.80,1
vllm,few_shot,65,113.31,0.00,124.06,1,8.06,1
vllm,few_shot,66,141.17,0.00,163.04,1,6.13,1
vllm,few_shot,67,148.09,0.00,270.06,1,3.70,1
vllm,few_shot,68,153.03,0.00,275.28,1,3.63,1
vllm,few_shot,69,154.58,0.00,280.84,1,3.56,1
vllm,few_shot,70,85.59,147.88,233.46,2,8.57,1
vllm,few_shot,71,127.87,150.39,278.26,2,7.19,1
vllm,few_shot,72,221.66,0.00,286.58,1,3.49,1
vllm,few_shot,73,251.82,0.00,307.83,1,3.25,1
vllm,few_shot,74,241.00,0.00,307.70,1,3.25,1
vllm,few_shot,75,247.65,0.00,315.43,1,3.17,1
vllm,few_shot,76,247.60,0.00,318.53,1,3.14,1
vllm,few_shot,77,235.50,0.00,298.84,1,3.35,1
vllm,few_shot,78,139.72,195.66,335.38,2,5.96,1
vllm,few_shot,79,242.13,0.00,323.20,1,3.09,1
vllm,few_shot,80,242.91,0.00,313.89,1,3.19,1
vllm,few_shot,81,209.47,0.00,283.05,1,3.53,1
vllm,few_shot,82,276.80,77.75,354.55,2,5.64,1
vllm,few_shot,83,224.41,86.37,310.78,2,6.44,1
vllm,few_shot,84,277.09,0.00,303.92,1,3.29,1
vllm,few_shot,85,357.81,0.00,362.88,1,2.76,1
vllm,few_shot,86,245.11,88.16,333.28,2,6.00,1
vllm,few_shot,87,208.00,90.74,298.74,2,6.69,1
vllm,few_shot,88,299.19,0.00,334.74,1,2.99,1
vllm,few_shot,89,294.10,0.00,316.05,1,3.16,1
vllm,few_shot,90,301.00,0.00,310.70,1,3.22,1
vllm,few_shot,91,270.39,0.00,309.32,1,3.23,1
vllm,few_shot,92,325.25,0.00,355.83,1,2.81,1
vllm,few_shot,93,289.97,0.00,330.06,1,3.03,1
vllm,few_shot,94,300.03,0.00,310.30,1,3.22,1
vllm,few_shot,95,303.51,9.25,312.76,2,6.39,1
vllm,few_shot,96,335.52,0.00,370.84,1,2.70,1
vllm,few_shot,97,345.99,0.00,361.39,1,2.77,1
vllm,few_shot,98,242.11,104.00,346.11,2,5.78,1
vllm,few_shot,99,259.15,50.60,309.75,2,6.46,1
vllm,few_shot,100,221.52,0.00,231.61,1,4.32,1
vllm,few_shot,101,100.76,0.00,104.71,1,9.55,1
vllm,few_shot,102,261.98,115.72,377.70,2,5.30,1
vllm,few_shot,103,293.86,0.00,348.02,1,2.87,1
vllm,few_shot,104,302.91,50.21,353.12,2,5.66,1
vllm,few_shot,105,234.38,0.00,350.75,1,2.85,1
vllm,few_shot,106,274.33,0.00,336.46,1,2.97,1
vllm,few_shot,107,334.96,37.37,372.32,2,5.37,1
vllm,few_shot,108,289.74,0.00,320.26,1,3.12,1
