model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-22T01:03:24.451442

Build Times
provider,build_time_s
torchinferno,331.4
vllm,1307.9
sglang,184.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,291.81,161.12,141.31,sglang
ttft_p99_ms,1939.98,482.17,5669.66,vllm
tpot_median_ms,154.34,61.94,78.11,vllm
tpot_p99_ms,222.93,156.90,7301.23,vllm
e2e_median_ms,403.49,216.73,210.96,sglang
e2e_p99_ms,2129.41,584.21,12945.41,vllm
throughput_median_tps,3.82,6.80,5.70,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,258.37,195.75,194.95,sglang
ttft_p99_ms,1458.50,471.93,70797.08,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,328.15,221.25,329.61,vllm
e2e_p99_ms,1501.40,512.80,71053.21,vllm
throughput_median_tps,3.05,4.52,3.03,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,682.42,175.54,157.96,sglang
ttft_p99_ms,1851.17,366.03,767.73,vllm
tpot_median_ms,112.80,59.99,101.73,vllm
tpot_p99_ms,449.06,203.18,216.40,vllm
e2e_median_ms,781.34,229.63,253.89,vllm
e2e_p99_ms,1973.87,435.46,836.47,vllm
throughput_median_tps,1.62,6.23,5.24,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,912.72,135.41,107.94,sglang
ttft_last_turn_ms,573.75,165.79,185.98,vllm
ttft_growth_ratio,0.63,1.22,1.72,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,379.06,57.94,75.23,vllm
ttft_p99_ms,944.83,98.79,646.14,vllm
tpot_median_ms,131.86,26.67,49.74,vllm
tpot_p99_ms,155.78,50.83,634.72,vllm
e2e_median_ms,491.05,79.01,132.50,vllm
e2e_p99_ms,1095.03,141.69,711.92,vllm
throughput_median_tps,2.84,15.92,9.83,vllm
total_output_tokens,1491,1475,1473,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,863.34,79.83,64.66,sglang
ttft_p99_ms,3809.60,196.32,112.24,sglang
tpot_median_ms,16.53,14.91,22.52,vllm
tpot_p99_ms,84.65,20.73,27.29,vllm
e2e_median_ms,1522.75,624.65,827.23,vllm
e2e_p99_ms,4513.20,1071.19,1590.90,vllm
throughput_median_tps,20.04,57.97,41.99,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1033.42,251.30,1284.72,2,1.56,1
torchinferno,few_shot,1,1935.97,0.00,2020.41,1,0.49,1
torchinferno,few_shot,2,1939.59,0.00,2016.88,1,0.50,1
torchinferno,few_shot,3,1938.28,0.00,2025.27,1,0.49,1
torchinferno,few_shot,4,1932.78,0.00,2021.88,1,0.49,1
torchinferno,few_shot,5,1932.80,0.00,2023.17,1,0.49,1
torchinferno,few_shot,6,1932.48,0.00,2030.29,1,0.49,1
torchinferno,few_shot,7,1946.45,0.00,2033.54,1,0.49,1
torchinferno,few_shot,8,1933.11,0.00,2031.95,1,0.49,1
torchinferno,few_shot,9,1929.69,0.00,2032.22,1,0.49,1
torchinferno,few_shot,10,1928.42,0.00,2037.40,1,0.49,1
torchinferno,few_shot,11,1926.70,0.00,2034.82,1,0.49,1
torchinferno,few_shot,12,1931.09,0.00,2042.89,1,0.49,1
torchinferno,few_shot,13,1943.17,0.00,2045.04,1,0.49,1
torchinferno,few_shot,14,1928.33,0.00,2043.12,1,0.49,1
torchinferno,few_shot,15,1944.88,0.00,2047.98,1,0.49,1
torchinferno,few_shot,16,1937.09,0.00,2048.16,1,0.49,1
torchinferno,few_shot,17,1940.71,0.00,2051.74,1,0.49,1
torchinferno,few_shot,18,1923.72,0.00,2053.55,1,0.49,1
torchinferno,few_shot,19,1938.58,0.00,2051.53,1,0.49,1
torchinferno,few_shot,20,1935.62,0.00,2051.90,1,0.49,1
torchinferno,few_shot,21,1930.98,0.00,2054.73,1,0.49,1
torchinferno,few_shot,22,1928.22,0.00,2059.97,1,0.49,1
torchinferno,few_shot,23,1927.13,0.00,2060.94,1,0.49,1
torchinferno,few_shot,24,1925.78,0.00,2065.43,1,0.48,1
torchinferno,few_shot,25,1940.64,0.00,2063.69,1,0.48,1
torchinferno,few_shot,26,652.48,0.00,788.63,1,1.27,1
torchinferno,few_shot,27,1926.78,0.00,2064.85,1,0.48,1
torchinferno,few_shot,28,1938.28,0.00,2068.15,1,0.48,1
torchinferno,few_shot,29,1928.14,0.00,2076.75,1,0.48,1
torchinferno,few_shot,30,1938.26,0.00,2072.73,1,0.48,1
torchinferno,few_shot,31,1936.08,0.00,2074.29,1,0.48,1
torchinferno,few_shot,32,1939.72,139.45,2079.17,2,0.96,1
torchinferno,few_shot,33,1935.42,152.38,2087.80,2,0.96,1
torchinferno,few_shot,34,1928.66,159.92,2088.58,2,0.96,1
torchinferno,few_shot,35,1926.74,163.33,2090.08,2,0.96,1
torchinferno,few_shot,36,1945.50,149.90,2095.40,2,0.95,1
torchinferno,few_shot,37,1928.61,0.00,2097.35,1,0.48,1
torchinferno,few_shot,38,1938.63,161.20,2099.83,2,0.95,1
torchinferno,few_shot,39,1933.47,167.38,2100.86,2,0.95,1
torchinferno,few_shot,40,1939.98,162.97,2102.95,2,0.95,1
torchinferno,few_shot,41,1935.70,169.75,2105.45,2,0.95,1
torchinferno,few_shot,42,1929.69,169.71,2099.40,2,0.95,1
torchinferno,few_shot,43,1945.38,162.83,2108.20,2,0.95,1
torchinferno,few_shot,44,1930.42,177.16,2107.57,2,0.95,1
torchinferno,few_shot,45,1939.38,166.75,2106.14,2,0.95,1
