model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-19T17:02:58.402742

Build Times
provider,build_time_s
torchinferno,392.0
vllm,477.4
sglang,262.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,335.51,132.80,150.11,vllm
ttft_p99_ms,1835.09,225.92,1179.02,vllm
tpot_median_ms,54.35,45.08,78.09,vllm
tpot_p99_ms,241.77,119.61,450.24,vllm
e2e_median_ms,386.69,168.90,222.64,vllm
e2e_p99_ms,2039.99,287.80,1602.13,vllm
throughput_median_tps,3.07,8.12,5.17,vllm
total_output_tokens,1461,1448,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,318.88,192.94,234.64,vllm
ttft_p99_ms,716.93,250.65,70760.48,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,429.90,263.17,390.32,vllm
e2e_p99_ms,821.02,357.17,70822.82,vllm
throughput_median_tps,2.33,3.80,2.56,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,3400.29,156.96,167.27,vllm
ttft_p99_ms,5466.47,298.09,296.62,sglang
tpot_median_ms,68.97,47.22,112.13,vllm
tpot_p99_ms,273.78,179.61,249.54,vllm
e2e_median_ms,3465.08,200.08,267.25,vllm
e2e_p99_ms,5484.69,396.20,443.18,vllm
throughput_median_tps,0.47,6.74,5.03,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1941.56,128.26,115.61,sglang
ttft_last_turn_ms,3471.92,160.12,205.52,vllm
ttft_growth_ratio,1.79,1.25,1.78,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,204.57,58.20,81.52,vllm
ttft_p99_ms,849.04,2026.35,671.01,sglang
tpot_median_ms,30.68,28.53,45.61,vllm
tpot_p99_ms,228.08,513.84,142.82,sglang
e2e_median_ms,234.39,79.91,139.17,vllm
e2e_p99_ms,911.66,2059.02,698.33,sglang
throughput_median_tps,5.44,15.46,9.91,vllm
total_output_tokens,1461,1483,1459,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,434.47,65.69,67.78,vllm
ttft_p99_ms,1635.24,126.53,142.64,vllm
tpot_median_ms,35.52,15.19,22.46,vllm
tpot_p99_ms,75.91,21.69,26.61,vllm
e2e_median_ms,1625.68,601.69,830.26,vllm
e2e_p99_ms,3665.58,1020.77,1577.37,vllm
throughput_median_tps,21.94,58.83,41.95,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1291.40,0.00,1300.32,1,0.77,1
torchinferno,few_shot,1,1292.78,0.00,1302.17,1,0.77,1
torchinferno,few_shot,2,1291.47,0.00,1304.38,1,0.77,1
torchinferno,few_shot,3,1293.94,0.00,1306.19,1,0.77,1
torchinferno,few_shot,4,1294.65,0.00,1309.42,1,0.76,1
torchinferno,few_shot,5,1295.05,219.74,1514.79,2,1.32,1
torchinferno,few_shot,6,1294.50,220.41,1514.91,2,1.32,1
torchinferno,few_shot,7,1835.09,0.00,1943.35,1,0.51,1
torchinferno,few_shot,8,1819.30,0.00,1938.59,1,0.52,1
torchinferno,few_shot,9,1820.55,0.00,1944.89,1,0.51,1
torchinferno,few_shot,10,1822.07,0.00,1942.78,1,0.51,1
torchinferno,few_shot,11,1821.93,0.00,1950.84,1,0.51,1
torchinferno,few_shot,12,1822.18,0.00,1949.85,1,0.51,1
torchinferno,few_shot,13,1821.91,0.00,1954.27,1,0.51,1
torchinferno,few_shot,14,1828.43,0.00,1947.24,1,0.51,1
torchinferno,few_shot,15,1829.00,123.55,1952.55,2,1.02,1
torchinferno,few_shot,16,1821.84,0.00,1951.95,1,0.51,1
torchinferno,few_shot,17,1825.76,0.00,1951.79,1,0.51,1
torchinferno,few_shot,18,1825.32,131.15,1956.48,2,1.02,1
torchinferno,few_shot,19,1824.66,132.18,1956.84,2,1.02,1
torchinferno,few_shot,20,1823.65,140.32,1963.98,2,1.02,1
torchinferno,few_shot,21,1826.73,0.00,1966.52,1,0.51,1
torchinferno,few_shot,22,1826.51,0.00,1963.70,1,0.51,1
torchinferno,few_shot,23,1824.64,144.66,1969.30,2,1.02,1
torchinferno,few_shot,24,1829.92,0.00,1966.60,1,0.51,1
torchinferno,few_shot,25,1827.58,143.49,1971.08,2,1.01,1
torchinferno,few_shot,26,1822.25,151.50,1973.75,2,1.01,1
torchinferno,few_shot,27,1817.44,0.00,1969.88,1,0.51,1
torchinferno,few_shot,28,1821.79,156.25,1978.04,2,1.01,1
torchinferno,few_shot,29,1826.49,0.00,1978.21,1,0.51,1
torchinferno,few_shot,30,1834.45,148.54,1983.00,2,1.01,1
torchinferno,few_shot,31,1819.21,157.42,1976.63,2,1.01,1
torchinferno,few_shot,32,1824.84,0.00,1985.09,1,0.50,1
torchinferno,few_shot,33,1820.24,164.04,1984.28,2,1.01,1
torchinferno,few_shot,34,1823.23,0.00,1986.44,1,0.50,1
torchinferno,few_shot,35,1824.12,175.97,2000.09,2,1.00,1
torchinferno,few_shot,36,1833.99,0.00,2004.59,1,0.50,1
torchinferno,few_shot,37,1828.75,0.00,1999.85,1,0.50,1
torchinferno,few_shot,38,1817.47,181.15,1998.62,2,1.00,1
torchinferno,few_shot,39,1825.27,182.31,2007.58,2,1.00,1
torchinferno,few_shot,40,1822.17,191.39,2013.56,2,0.99,1
torchinferno,few_shot,41,1831.09,187.36,2018.45,2,0.99,1
torchinferno,few_shot,42,1821.91,194.64,2016.55,2,0.99,1
torchinferno,few_shot,43,1820.41,0.00,2019.00,1,0.50,1
torchinferno,few_shot,44,1828.23,186.21,2014.44,2,0.99,1
torchinferno,few_shot,45,1828.14,191.21,2019.36,2,0.99,1
