model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-03T21:02:26.593315+00:00

Build Times
provider,build_time_s
torchinferno,38.2
vllm,195.5
sglang,157.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,156.03,143.29,sglang
ttft_p99_ms,,643.30,602.92,sglang
tpot_median_ms,,53.51,75.72,vllm
tpot_p99_ms,,218.08,169.86,sglang
e2e_median_ms,,200.37,218.28,vllm
e2e_p99_ms,,684.65,647.34,sglang
throughput_median_tps,,6.84,5.78,vllm
total_output_tokens,,1466,1461,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,189.34,220.29,vllm
ttft_p99_ms,,472.99,69516.31,vllm
tpot_median_ms,,0.00,0.00,
tpot_p99_ms,,0.00,0.00,
e2e_median_ms,,218.28,377.00,vllm
e2e_p99_ms,,502.98,69615.76,vllm
throughput_median_tps,,4.58,2.65,vllm
total_output_tokens,,1000,1000,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,
unique_final_answers,,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,169.99,164.67,sglang
ttft_p99_ms,,331.00,646.73,vllm
tpot_median_ms,,57.19,105.64,vllm
tpot_p99_ms,,346.29,266.49,sglang
e2e_median_ms,,225.16,276.03,vllm
e2e_p99_ms,,553.76,722.92,vllm
throughput_median_tps,,6.13,4.90,vllm
total_output_tokens,,1450,1450,
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,
ttft_first_turn_ms,,144.55,107.41,sglang
ttft_last_turn_ms,,164.67,198.45,vllm
ttft_growth_ratio,,1.14,1.85,vllm
ttft_first_turn_median_ms,,140.73,93.30,sglang
ttft_first_turn_p99_ms,,273.15,212.48,sglang
ttft_last_turn_median_ms,,158.94,196.55,vllm
ttft_last_turn_p99_ms,,342.29,322.98,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,63.60,75.71,vllm
ttft_p99_ms,,2058.15,590.12,sglang
tpot_median_ms,,30.07,66.61,vllm
tpot_p99_ms,,1795.94,238.57,sglang
e2e_median_ms,,86.93,155.74,vllm
e2e_p99_ms,,2108.39,628.59,sglang
throughput_median_tps,,14.01,8.96,vllm
total_output_tokens,,1461,1466,sglang
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,81.32,77.39,sglang
ttft_p99_ms,,276.14,427.85,vllm
tpot_median_ms,,14.95,22.29,vllm
tpot_p99_ms,,27.43,33.90,vllm
e2e_median_ms,,633.12,832.92,vllm
e2e_p99_ms,,1033.58,1592.06,vllm
throughput_median_tps,,57.11,41.24,vllm
total_output_tokens,,36715,36715,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
vllm,few_shot,0,0,411.18,34.90,446.08,2,4.48,1,,,,,,,0,,,
vllm,few_shot,4,1,442.19,0.00,459.53,1,2.18,1,,,,,,,4,,,
vllm,few_shot,7,2,437.80,0.00,460.24,1,2.17,1,,,,,,,7,,,
vllm,few_shot,10,3,441.45,0.00,459.62,1,2.18,1,,,,,,,10,,,
vllm,few_shot,12,4,427.97,0.00,452.16,1,2.21,1,,,,,,,12,,,
vllm,few_shot,5,5,444.54,0.00,465.66,1,2.15,1,,,,,,,5,,,
vllm,few_shot,9,6,434.85,0.00,466.06,1,2.15,1,,,,,,,9,,,
vllm,few_shot,8,7,444.76,0.00,467.27,1,2.14,1,,,,,,,8,,,
vllm,few_shot,1,8,441.10,0.00,472.86,1,2.11,1,,,,,,,1,,,
vllm,few_shot,11,9,437.70,0.00,464.11,1,2.15,1,,,,,,,11,,,
vllm,few_shot,14,10,427.32,54.03,481.35,2,4.16,1,,,,,,,14,,,
vllm,few_shot,16,11,426.97,56.80,483.77,2,4.13,1,,,,,,,16,,,
vllm,few_shot,15,12,428.41,57.78,486.20,2,4.11,1,,,,,,,15,,,
vllm,few_shot,18,13,428.23,58.60,486.83,2,4.11,1,,,,,,,18,,,
vllm,few_shot,24,14,442.40,0.00,485.95,1,2.06,1,,,,,,,24,,,
vllm,few_shot,13,15,427.01,66.56,493.57,2,4.05,1,,,,,,,13,,,
vllm,few_shot,6,16,437.30,69.04,506.34,2,3.95,1,,,,,,,6,,,
vllm,few_shot,17,17,441.91,0.00,495.67,1,2.02,1,,,,,,,17,,,
vllm,few_shot,21,18,445.44,50.29,495.73,2,4.03,1,,,,,,,21,,,
vllm,few_shot,2,19,439.42,75.42,514.84,2,3.88,1,,,,,,,2,,,
vllm,few_shot,35,20,485.25,0.00,490.06,1,2.04,1,,,,,,,35,,,
vllm,few_shot,26,21,493.38,0.00,497.71,1,2.01,1,,,,,,,26,,,
vllm,few_shot,43,22,460.41,0.00,488.37,1,2.05,1,,,,,,,43,,,
vllm,few_shot,34,23,466.47,0.00,497.65,1,2.01,1,,,,,,,34,,,
vllm,few_shot,28,24,474.13,0.00,502.30,1,1.99,1,,,,,,,28,,,
vllm,few_shot,20,25,443.20,63.98,507.18,2,3.94,1,,,,,,,20,,,
vllm,few_shot,37,26,473.58,0.00,499.07,1,2.00,1,,,,,,,37,,,
vllm,few_shot,38,27,471.09,0.00,501.09,1,2.00,1,,,,,,,38,,,
vllm,few_shot,41,28,463.13,0.00,500.88,1,2.00,1,,,,,,,41,,,
vllm,few_shot,23,29,439.97,72.78,512.76,2,3.90,1,,,,,,,23,,,
vllm,few_shot,19,30,439.96,76.20,516.16,2,3.87,1,,,,,,,19,,,
vllm,few_shot,22,31,441.00,213.24,654.24,2,3.06,1,,,,,,,22,,,
vllm,few_shot,54,32,635.31,0.40,635.72,2,3.15,1,,,,,,,54,,,
vllm,few_shot,48,33,638.23,0.00,643.73,1,1.55,1,,,,,,,48,,,
vllm,few_shot,32,34,468.93,189.48,658.41,2,3.04,1,,,,,,,32,,,
vllm,few_shot,47,35,482.89,0.00,649.64,1,1.54,1,,,,,,,47,,,
