model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-01T21:18:55.627347+00:00

Build Times
provider,build_time_s
torchinferno,51.2
vllm,475.9
sglang,328.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,154.09,,156.37,torchinferno
ttft_p99_ms,2571.38,,1477.77,sglang
tpot_median_ms,49.00,,73.44,torchinferno
tpot_p99_ms,826.05,,158.84,sglang
e2e_median_ms,196.49,,227.88,torchinferno
e2e_p99_ms,2610.74,,1532.92,sglang
throughput_median_tps,5.92,,5.22,torchinferno
total_output_tokens,1461,,1460,torchinferno
num_requests,1000,,1000,
correctness_rate,0.98,,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,160.74,,232.23,torchinferno
ttft_p99_ms,406.34,,70495.13,torchinferno
tpot_median_ms,0.00,,0.00,
tpot_p99_ms,0.00,,0.00,
e2e_median_ms,173.76,,388.41,torchinferno
e2e_p99_ms,434.34,,70619.05,torchinferno
throughput_median_tps,5.75,,2.57,torchinferno
total_output_tokens,1000,,1000,
num_requests,1000,,1000,
correctness_rate,1.00,,1.00,
unique_final_answers,1,,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,296.28,,170.76,sglang
ttft_p99_ms,432.67,,673.10,torchinferno
tpot_median_ms,62.22,,108.72,torchinferno
tpot_p99_ms,119.88,,258.78,torchinferno
e2e_median_ms,349.80,,282.18,sglang
e2e_p99_ms,489.28,,806.96,torchinferno
throughput_median_tps,4.18,,4.77,sglang
total_output_tokens,1446,,1462,sglang
num_requests,1000,,1000,
correctness_rate,0.98,,0.98,torchinferno
ttft_first_turn_ms,260.49,,117.08,sglang
ttft_last_turn_ms,375.59,,187.15,sglang
ttft_growth_ratio,1.44,,1.60,torchinferno
ttft_first_turn_median_ms,247.19,,111.29,sglang
ttft_first_turn_p99_ms,434.19,,229.66,sglang
ttft_last_turn_median_ms,380.03,,172.10,sglang
ttft_last_turn_p99_ms,438.31,,564.49,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,137.74,,85.80,sglang
ttft_p99_ms,245.07,,448.45,torchinferno
tpot_median_ms,37.27,,42.84,torchinferno
tpot_p99_ms,124.15,,127.50,torchinferno
e2e_median_ms,161.28,,140.41,sglang
e2e_p99_ms,359.20,,514.74,torchinferno
throughput_median_tps,8.12,,9.71,sglang
total_output_tokens,1496,,1460,torchinferno
num_requests,992,,992,
correctness_rate,0.97,,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,246.93,,82.52,sglang
ttft_p99_ms,856.26,,394.28,sglang
tpot_median_ms,22.45,,21.77,sglang
tpot_p99_ms,30.06,,46.05,torchinferno
e2e_median_ms,1051.37,,875.34,sglang
e2e_p99_ms,1935.74,,1648.73,sglang
throughput_median_tps,34.60,,41.35,sglang
total_output_tokens,36715,,36715,
num_requests,1000,,1000,
correctness_rate,1.00,,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,11,0,1210.23,0.00,1689.69,1,0.59,1,,,,,,,11,,,
torchinferno,few_shot,5,1,1211.63,0.00,1694.96,1,0.59,1,,,,,,,5,,,
torchinferno,few_shot,1,2,1214.98,0.00,1697.78,1,0.59,1,,,,,,,1,,,
torchinferno,few_shot,10,3,1211.05,0.00,1696.63,1,0.59,1,,,,,,,10,,,
torchinferno,few_shot,9,4,1208.07,0.00,1698.11,1,0.59,1,,,,,,,9,,,
torchinferno,few_shot,12,5,1211.38,0.00,1699.14,1,0.59,1,,,,,,,12,,,
torchinferno,few_shot,8,6,1208.57,0.00,1701.43,1,0.59,1,,,,,,,8,,,
torchinferno,few_shot,7,7,1210.46,0.00,1702.91,1,0.59,1,,,,,,,7,,,
torchinferno,few_shot,0,8,1211.57,826.05,2037.62,2,0.98,1,,,,,,,0,,,
torchinferno,few_shot,3,9,1211.28,826.39,2037.67,2,0.98,1,,,,,,,3,,,
torchinferno,few_shot,13,10,1210.63,826.29,2036.91,2,0.98,1,,,,,,,13,,,
torchinferno,few_shot,2,11,1213.68,827.82,2041.50,2,0.98,1,,,,,,,2,,,
torchinferno,few_shot,14,12,1209.39,830.80,2040.19,2,0.98,1,,,,,,,14,,,
torchinferno,few_shot,17,13,2115.51,0.00,2512.28,1,0.40,1,,,,,,,17,,,
torchinferno,few_shot,38,14,2110.92,0.00,2505.02,1,0.40,1,,,,,,,38,,,
torchinferno,few_shot,25,15,2111.42,0.00,2512.11,1,0.40,1,,,,,,,25,,,
torchinferno,few_shot,26,16,2107.86,0.00,2512.09,1,0.40,1,,,,,,,26,,,
torchinferno,few_shot,34,17,2106.23,0.00,2512.16,1,0.40,1,,,,,,,34,,,
torchinferno,few_shot,35,18,2106.45,0.00,2513.19,1,0.40,1,,,,,,,35,,,
torchinferno,few_shot,24,19,2111.72,0.00,2518.95,1,0.40,1,,,,,,,24,,,
torchinferno,few_shot,43,20,2110.80,0.00,2514.53,1,0.40,1,,,,,,,43,,,
torchinferno,few_shot,29,21,2109.58,0.00,2518.96,1,0.40,1,,,,,,,29,,,
torchinferno,few_shot,4,22,2124.84,0.00,2534.09,1,0.39,1,,,,,,,4,,,
torchinferno,few_shot,16,23,2116.84,414.91,2531.75,2,0.79,1,,,,,,,16,,,
torchinferno,few_shot,28,24,2115.20,0.00,2523.03,1,0.40,1,,,,,,,28,,,
torchinferno,few_shot,36,25,2108.47,415.50,2523.97,2,0.79,1,,,,,,,36,,,
torchinferno,few_shot,41,26,2107.25,0.00,2525.25,1,0.40,1,,,,,,,41,,,
torchinferno,few_shot,46,27,2104.65,0.00,2524.82,1,0.40,1,,,,,,,46,,,
torchinferno,few_shot,21,28,2118.87,419.45,2538.31,2,0.79,1,,,,,,,21,,,
torchinferno,few_shot,6,29,2127.21,417.24,2544.45,2,0.79,1,,,,,,,6,,,
torchinferno,few_shot,20,30,2115.29,426.04,2541.33,2,0.79,1,,,,,,,20,,,
torchinferno,few_shot,37,31,2110.21,0.00,2532.20,1,0.39,1,,,,,,,37,,,
torchinferno,few_shot,32,32,2111.64,422.88,2534.52,2,0.79,1,,,,,,,32,,,
torchinferno,few_shot,15,33,2121.95,424.58,2546.53,2,0.79,1,,,,,,,15,,,
torchinferno,few_shot,39,34,2105.94,0.00,2535.50,1,0.39,1,,,,,,,39,,,
