model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-17T22:09:22.271739

Build Times
provider,build_time_s
torchinferno,321.3
vllm,998.8
sglang,170.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,274.43,135.60,140.77,vllm
ttft_p99_ms,2196.15,244.97,4717.12,vllm
tpot_median_ms,150.78,49.20,70.88,vllm
tpot_p99_ms,202.77,140.60,7412.70,vllm
e2e_median_ms,366.26,177.43,208.95,vllm
e2e_p99_ms,2386.87,310.89,12111.84,vllm
throughput_median_tps,4.15,7.74,5.84,vllm
total_output_tokens,1460,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,278.04,213.56,194.76,sglang
ttft_p99_ms,1501.57,249.94,70085.00,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,302.99,301.15,328.57,vllm
e2e_p99_ms,1572.74,356.19,70184.64,vllm
throughput_median_tps,3.30,3.32,3.04,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,537.27,173.75,161.42,sglang
ttft_p99_ms,1561.23,316.98,744.72,vllm
tpot_median_ms,112.98,56.32,101.07,vllm
tpot_p99_ms,435.52,190.57,699.67,vllm
e2e_median_ms,635.42,222.45,261.18,vllm
e2e_p99_ms,1802.26,405.53,897.39,vllm
throughput_median_tps,2.15,6.19,5.19,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,812.61,135.83,110.17,sglang
ttft_last_turn_ms,568.42,169.62,196.94,vllm
ttft_growth_ratio,0.70,1.25,1.79,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,342.93,58.18,75.71,vllm
ttft_p99_ms,973.80,142.64,718.99,vllm
tpot_median_ms,131.17,26.75,46.79,vllm
tpot_p99_ms,152.20,45.42,134.89,vllm
e2e_median_ms,448.05,78.57,137.51,vllm
e2e_p99_ms,1074.33,160.39,750.50,vllm
throughput_median_tps,2.90,15.72,10.20,vllm
total_output_tokens,1468,1473,1483,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,72.36,64.63,sglang
ttft_p99_ms,,219.80,141.47,sglang
tpot_median_ms,,15.10,22.19,vllm
tpot_p99_ms,,20.39,26.52,vllm
e2e_median_ms,,622.87,845.08,vllm
e2e_p99_ms,,1011.67,1582.09,vllm
throughput_median_tps,,58.21,42.35,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1026.08,0.00,1132.67,1,0.88,1
torchinferno,few_shot,1,2186.67,0.00,2277.54,1,0.44,1
torchinferno,few_shot,2,2186.87,0.00,2274.78,1,0.44,1
torchinferno,few_shot,3,1068.78,0.00,1147.69,1,0.87,1
torchinferno,few_shot,4,2185.29,0.00,2283.63,1,0.44,1
torchinferno,few_shot,5,2190.06,0.00,2279.69,1,0.44,1
torchinferno,few_shot,6,2190.30,0.00,2282.88,1,0.44,1
torchinferno,few_shot,7,2197.18,0.00,2290.16,1,0.44,1
torchinferno,few_shot,8,2183.93,0.00,2289.93,1,0.44,1
torchinferno,few_shot,9,2191.82,0.00,2290.16,1,0.44,1
torchinferno,few_shot,10,2195.34,0.00,2290.71,1,0.44,1
torchinferno,few_shot,11,2189.22,0.00,2291.45,1,0.44,1
torchinferno,few_shot,12,2186.93,0.00,2289.02,1,0.44,1
torchinferno,few_shot,13,2189.87,0.00,2301.09,1,0.43,1
torchinferno,few_shot,14,2189.11,0.00,2296.93,1,0.44,1
torchinferno,few_shot,15,2183.17,0.00,2293.27,1,0.44,1
torchinferno,few_shot,16,2196.26,0.00,2297.79,1,0.44,1
torchinferno,few_shot,17,2194.42,0.00,2300.74,1,0.43,1
torchinferno,few_shot,18,2188.12,0.00,2305.43,1,0.43,1
torchinferno,few_shot,19,2192.61,0.00,2304.19,1,0.43,1
torchinferno,few_shot,20,2188.17,0.00,2303.73,1,0.43,1
torchinferno,few_shot,21,2187.12,0.00,2303.65,1,0.43,1
torchinferno,few_shot,22,2200.09,0.00,2314.07,1,0.43,1
torchinferno,few_shot,23,2202.54,0.00,2316.24,1,0.43,1
torchinferno,few_shot,24,2195.99,0.00,2313.04,1,0.43,1
torchinferno,few_shot,25,2181.65,0.00,2313.52,1,0.43,1
torchinferno,few_shot,26,2187.21,0.00,2319.75,1,0.43,1
torchinferno,few_shot,27,2196.15,0.00,2324.32,1,0.43,1
torchinferno,few_shot,28,2181.04,0.00,2317.02,1,0.43,1
torchinferno,few_shot,29,2199.61,0.00,2327.38,1,0.43,1
torchinferno,few_shot,30,2187.56,0.00,2321.87,1,0.43,1
torchinferno,few_shot,31,2184.74,0.00,2324.07,1,0.43,1
torchinferno,few_shot,32,2192.31,0.00,2328.38,1,0.43,1
torchinferno,few_shot,33,2194.83,165.93,2360.76,2,0.85,1
torchinferno,few_shot,34,2194.48,169.81,2364.30,2,0.85,1
torchinferno,few_shot,35,2185.39,176.04,2361.43,2,0.85,1
torchinferno,few_shot,36,2183.85,176.59,2360.44,2,0.85,1
torchinferno,few_shot,37,2194.42,166.12,2360.54,2,0.85,1
torchinferno,few_shot,38,2198.59,166.42,2365.01,2,0.85,1
torchinferno,few_shot,39,2185.16,180.80,2365.96,2,0.85,1
torchinferno,few_shot,40,2185.41,183.46,2368.87,2,0.84,1
torchinferno,few_shot,41,2197.11,173.05,2370.15,2,0.84,1
torchinferno,few_shot,42,2180.13,185.09,2365.22,2,0.85,1
torchinferno,few_shot,43,2184.25,184.49,2368.74,2,0.84,1
torchinferno,few_shot,44,2193.36,177.33,2370.69,2,0.84,1
