model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-20T01:02:44.146725+00:00

Build Times
provider,build_time_s
torchinferno,46.3
vllm,348.0
sglang,177.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,141.13,71.70,81.97,vllm
ttft_p99_ms,707.39,127.13,529.27,vllm
tpot_median_ms,31.53,37.11,67.72,torchinferno
tpot_p99_ms,43.36,79.71,805.72,torchinferno
e2e_median_ms,165.56,96.93,138.94,vllm
e2e_p99_ms,723.75,163.56,928.61,vllm
throughput_median_tps,6.99,13.36,9.71,vllm
total_output_tokens,1461,1466,1460,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,54.25,72.83,164.14,torchinferno
ttft_p99_ms,335.81,323.50,70507.80,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,71.70,89.52,251.51,torchinferno
e2e_p99_ms,349.23,404.26,70583.15,torchinferno
throughput_median_tps,13.95,11.17,3.98,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,192.15,89.51,87.01,sglang
ttft_p99_ms,1087.67,177.42,565.90,vllm
tpot_median_ms,35.41,41.26,78.65,torchinferno
tpot_p99_ms,48.62,91.19,966.27,torchinferno
e2e_median_ms,220.64,117.76,149.86,vllm
e2e_p99_ms,1101.61,228.99,979.18,vllm
throughput_median_tps,5.14,11.01,8.89,vllm
total_output_tokens,1448,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,445.80,90.14,71.06,sglang
ttft_last_turn_ms,174.38,90.78,88.42,sglang
ttft_growth_ratio,0.39,1.01,1.24,torchinferno
ttft_first_turn_median_ms,203.30,89.73,67.70,sglang
ttft_first_turn_p99_ms,1168.64,182.83,111.78,sglang
ttft_last_turn_median_ms,187.11,83.13,84.19,vllm
ttft_last_turn_p99_ms,210.99,172.42,133.06,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.89,36.46,60.52,vllm
ttft_p99_ms,769.56,112.48,297.07,vllm
tpot_median_ms,35.08,26.52,406.85,vllm
tpot_p99_ms,71.77,34.79,1074.36,vllm
e2e_median_ms,74.01,54.33,469.53,vllm
e2e_p99_ms,822.99,157.58,1151.99,vllm
throughput_median_tps,19.35,23.37,3.10,vllm
total_output_tokens,1467,1465,1470,sglang
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.98,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,187.47,46.12,53.83,vllm
ttft_p99_ms,462.19,59.69,71.22,vllm
tpot_median_ms,18.80,15.44,27.46,vllm
tpot_p99_ms,24.35,17.01,107.32,vllm
e2e_median_ms,857.86,578.61,1034.55,vllm
e2e_p99_ms,1442.75,1055.17,1901.57,vllm
throughput_median_tps,41.84,60.90,35.33,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,763.97,0.00,776.41,1,1.29,1,,,,,,,1,,,
torchinferno,few_shot,0,1,781.50,24.33,805.83,2,2.48,1,,,,,,,0,,,
torchinferno,few_shot,7,2,738.69,0.00,753.54,1,1.33,1,,,,,,,7,,,
torchinferno,few_shot,5,3,772.21,0.00,788.25,1,1.27,1,,,,,,,5,,,
torchinferno,few_shot,25,4,435.89,0.00,451.86,1,2.21,1,,,,,,,25,,,
torchinferno,few_shot,28,5,386.35,0.00,402.05,1,2.49,1,,,,,,,28,,,
torchinferno,few_shot,12,6,654.71,0.00,671.99,1,1.49,1,,,,,,,12,,,
torchinferno,few_shot,24,7,455.70,0.00,470.31,1,2.13,1,,,,,,,24,,,
torchinferno,few_shot,9,8,707.39,0.00,723.75,1,1.38,1,,,,,,,9,,,
torchinferno,few_shot,11,9,671.83,0.00,690.61,1,1.45,1,,,,,,,11,,,
torchinferno,few_shot,8,10,723.98,0.00,741.81,1,1.35,1,,,,,,,8,,,
torchinferno,few_shot,29,11,369.71,0.00,388.64,1,2.57,1,,,,,,,29,,,
torchinferno,few_shot,31,12,337.98,0.00,356.59,1,2.80,1,,,,,,,31,,,
torchinferno,few_shot,10,13,691.34,0.00,712.46,1,1.40,1,,,,,,,10,,,
torchinferno,few_shot,17,14,571.50,0.00,595.50,1,1.68,1,,,,,,,17,,,
torchinferno,few_shot,26,15,420.05,0.00,444.35,1,2.25,1,,,,,,,26,,,
torchinferno,few_shot,4,16,788.81,0.00,815.71,1,1.23,1,,,,,,,4,,,
torchinferno,few_shot,33,17,304.00,26.05,330.05,2,6.06,1,,,,,,,33,,,
torchinferno,few_shot,19,18,539.99,26.13,566.12,2,3.53,1,,,,,,,19,,,
torchinferno,few_shot,27,19,404.42,26.80,431.22,2,4.64,1,,,,,,,27,,,
torchinferno,few_shot,3,20,809.81,26.79,836.60,2,2.39,1,,,,,,,3,,,
torchinferno,few_shot,14,21,623.62,27.64,651.26,2,3.07,1,,,,,,,14,,,
torchinferno,few_shot,23,22,470.88,29.23,500.11,2,4.00,1,,,,,,,23,,,
torchinferno,few_shot,13,23,637.72,31.30,669.02,2,2.99,1,,,,,,,13,,,
torchinferno,few_shot,16,24,588.86,30.35,619.21,2,3.23,1,,,,,,,16,,,
torchinferno,few_shot,21,25,504.78,30.88,535.67,2,3.73,1,,,,,,,21,,,
torchinferno,few_shot,32,26,320.05,31.55,351.60,2,5.69,1,,,,,,,32,,,
torchinferno,few_shot,15,27,604.44,34.00,638.45,2,3.13,1,,,,,,,15,,,
torchinferno,few_shot,22,28,486.97,34.64,521.61,2,3.83,1,,,,,,,22,,,
torchinferno,few_shot,30,29,352.84,34.88,387.72,2,5.16,1,,,,,,,30,,,
torchinferno,few_shot,20,30,522.15,35.04,557.19,2,3.59,1,,,,,,,20,,,
torchinferno,few_shot,18,31,556.10,35.32,591.42,2,3.38,1,,,,,,,18,,,
torchinferno,few_shot,6,32,759.49,34.36,793.85,2,2.52,1,,,,,,,6,,,
torchinferno,few_shot,2,33,825.73,37.56,863.30,2,2.32,1,,,,,,,2,,,
torchinferno,few_shot,48,34,135.01,0.00,148.93,1,6.71,1,,,,,,,48,,,
torchinferno,few_shot,64,35,152.27,0.00,164.39,1,6.08,1,,,,,,,64,,,
torchinferno,few_shot,34,36,372.07,0.00,386.02,1,2.59,1,,,,,,,34,,,
torchinferno,few_shot,69,37,69.40,0.00,84.55,1,11.83,1,,,,,,,69,,,
torchinferno,few_shot,38,38,302.37,0.00,317.57,1,3.15,1,,,,,,,38,,,
torchinferno,few_shot,35,39,356.24,0.00,370.33,1,2.70,1,,,,,,,35,,,
torchinferno,few_shot,66,40,71.90,0.00,88.23,1,11.33,1,,,,,,,66,,,
torchinferno,few_shot,41,41,252.09,0.00,270.65,1,3.69,1,,,,,,,41,,,
torchinferno,few_shot,72,42,68.55,0.00,85.41,1,11.71,1,,,,,,,72,,,
torchinferno,few_shot,47,43,153.00,0.00,171.18,1,5.84,1,,,,,,,47,,,
torchinferno,few_shot,74,44,66.40,0.00,85.51,1,11.69,1,,,,,,,74,,,
torchinferno,few_shot,37,45,322.19,0.00,340.46,1,2.94,1,,,,,,,37,,,
torchinferno,few_shot,67,46,71.20,0.00,91.20,1,10.96,1,,,,,,,67,,,
torchinferno,few_shot,46,47,169.84,0.00,190.98,1,5.24,1,,,,,,,46,,,
