model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-17T06:02:00.027444

Build Times
provider,build_time_s
torchinferno,88.5
vllm,1260.4
sglang,187.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,314.18,167.57,141.65,sglang
ttft_p99_ms,2338.90,812.98,6917.38,vllm
tpot_median_ms,159.94,56.98,80.72,vllm
tpot_p99_ms,195.09,175.10,7309.94,vllm
e2e_median_ms,408.04,223.39,218.47,sglang
e2e_p99_ms,2434.70,872.05,14199.60,vllm
throughput_median_tps,3.65,6.58,5.39,vllm
total_output_tokens,1466,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,235.50,214.07,215.75,vllm
ttft_p99_ms,2186.29,538.31,70244.93,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,335.62,245.54,363.29,vllm
e2e_p99_ms,2261.77,564.60,70339.59,vllm
throughput_median_tps,2.98,4.07,2.75,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,854.67,187.31,168.73,sglang
ttft_p99_ms,2745.31,407.61,713.76,vllm
tpot_median_ms,136.36,57.93,105.77,vllm
tpot_p99_ms,1003.36,189.05,256.56,vllm
e2e_median_ms,955.68,238.76,274.88,vllm
e2e_p99_ms,2886.84,470.88,756.64,vllm
throughput_median_tps,1.26,5.76,4.86,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1318.41,167.46,108.87,sglang
ttft_last_turn_ms,741.35,169.50,201.61,vllm
ttft_growth_ratio,0.56,1.01,1.85,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,375.17,61.89,79.36,vllm
ttft_p99_ms,1123.72,217.21,419.78,vllm
tpot_median_ms,137.44,27.67,72.97,vllm
tpot_p99_ms,159.44,209.82,439.13,torchinferno
e2e_median_ms,465.27,84.63,161.21,vllm
e2e_p99_ms,1236.91,264.96,518.46,vllm
throughput_median_tps,3.23,14.52,8.90,vllm
total_output_tokens,1478,1466,1462,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1149.60,74.04,75.84,vllm
ttft_p99_ms,3070.79,284.80,433.25,vllm
tpot_median_ms,16.37,15.09,22.04,vllm
tpot_p99_ms,52.87,20.74,35.53,vllm
e2e_median_ms,1910.42,617.19,841.16,vllm
e2e_p99_ms,4251.36,1022.64,1581.14,vllm
throughput_median_tps,17.99,57.95,41.98,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1282.27,0.00,1355.79,1,0.74,1
torchinferno,few_shot,1,1281.60,137.89,1419.49,2,1.41,1
torchinferno,few_shot,2,1283.93,138.94,1422.88,2,1.41,1
torchinferno,few_shot,3,2062.49,0.00,2129.44,1,0.47,1
torchinferno,few_shot,4,2056.23,0.00,2133.13,1,0.47,1
torchinferno,few_shot,5,2055.33,0.00,2132.91,1,0.47,1
torchinferno,few_shot,6,2055.49,0.00,2126.60,1,0.47,1
torchinferno,few_shot,7,2040.82,0.00,2122.75,1,0.47,1
torchinferno,few_shot,8,2052.41,0.00,2128.33,1,0.47,1
torchinferno,few_shot,9,2051.80,0.00,2129.32,1,0.47,1
torchinferno,few_shot,10,2036.20,0.00,2120.61,1,0.47,1
torchinferno,few_shot,11,2042.14,0.00,2131.06,1,0.47,1
torchinferno,few_shot,12,2041.02,0.00,2131.91,1,0.47,1
torchinferno,few_shot,13,2052.82,0.00,2135.51,1,0.47,1
torchinferno,few_shot,14,2046.32,0.00,2128.00,1,0.47,1
torchinferno,few_shot,15,2054.46,0.00,2152.27,1,0.46,1
torchinferno,few_shot,16,2059.09,0.00,2143.86,1,0.47,1
torchinferno,few_shot,17,2054.09,0.00,2142.25,1,0.47,1
torchinferno,few_shot,18,2044.14,0.00,2149.05,1,0.47,1
torchinferno,few_shot,19,2055.79,0.00,2162.70,1,0.46,1
torchinferno,few_shot,20,2038.94,0.00,2144.82,1,0.47,1
torchinferno,few_shot,21,2050.47,0.00,2148.52,1,0.47,1
torchinferno,few_shot,22,2052.68,0.00,2154.40,1,0.46,1
torchinferno,few_shot,23,2060.45,0.00,2169.79,1,0.46,1
torchinferno,few_shot,24,2044.30,0.00,2155.41,1,0.46,1
torchinferno,few_shot,25,2057.32,0.00,2174.87,1,0.46,1
torchinferno,few_shot,26,2073.40,0.00,2180.62,1,0.46,1
torchinferno,few_shot,27,2054.39,0.00,2181.28,1,0.46,1
torchinferno,few_shot,28,2057.68,152.33,2210.00,2,0.90,1
torchinferno,few_shot,29,2058.02,152.76,2210.78,2,0.90,1
torchinferno,few_shot,30,2066.71,163.20,2229.90,2,0.90,1
torchinferno,few_shot,31,2044.90,168.78,2213.68,2,0.90,1
torchinferno,few_shot,32,2059.08,168.31,2227.39,2,0.90,1
torchinferno,few_shot,33,2052.58,168.28,2220.86,2,0.90,1
torchinferno,few_shot,34,2037.38,177.72,2215.11,2,0.90,1
torchinferno,few_shot,35,2070.29,167.75,2238.04,2,0.89,1
torchinferno,few_shot,36,2059.41,168.55,2227.97,2,0.90,1
torchinferno,few_shot,37,2041.23,173.76,2214.99,2,0.90,1
torchinferno,few_shot,38,2055.95,183.12,2239.07,2,0.89,1
torchinferno,few_shot,39,2065.38,173.87,2239.25,2,0.89,1
torchinferno,few_shot,40,2063.26,176.58,2239.84,2,0.89,1
torchinferno,few_shot,41,2037.28,182.76,2220.04,2,0.90,1
torchinferno,few_shot,42,2041.27,182.38,2223.66,2,0.90,1
torchinferno,few_shot,43,2046.06,186.49,2232.55,2,0.90,1
torchinferno,few_shot,44,2043.15,189.39,2232.54,2,0.90,1
torchinferno,few_shot,45,2050.99,185.70,2236.70,2,0.89,1
