model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-15T12:08:14.639578

Build Times
provider,build_time_s
torchinferno,344.8
vllm,1114.9
sglang,172.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,307.67,164.71,141.70,sglang
ttft_p99_ms,2226.27,526.72,8232.43,vllm
tpot_median_ms,159.92,62.95,74.98,vllm
tpot_p99_ms,212.88,163.05,7322.66,vllm
e2e_median_ms,398.43,225.84,211.12,sglang
e2e_p99_ms,2314.16,612.32,15526.38,vllm
throughput_median_tps,3.67,6.46,5.76,vllm
total_output_tokens,1466,1460,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,296.26,198.06,207.88,vllm
ttft_p99_ms,1495.67,491.29,70201.07,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,351.88,219.94,351.32,vllm
e2e_p99_ms,1570.20,512.47,70290.25,vllm
throughput_median_tps,2.84,4.55,2.85,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,578.39,171.31,162.35,sglang
ttft_p99_ms,1522.44,349.25,623.37,vllm
tpot_median_ms,137.05,49.90,99.35,vllm
tpot_p99_ms,490.58,196.99,245.95,vllm
e2e_median_ms,721.01,219.70,267.33,vllm
e2e_p99_ms,1761.20,434.97,694.54,vllm
throughput_median_tps,1.83,6.33,4.96,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,852.37,141.61,109.62,sglang
ttft_last_turn_ms,529.84,166.95,191.24,vllm
ttft_growth_ratio,0.62,1.18,1.74,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,325.51,57.58,73.07,vllm
ttft_p99_ms,924.27,117.80,451.44,vllm
tpot_median_ms,133.62,26.75,61.23,vllm
tpot_p99_ms,313.84,41.47,161.69,vllm
e2e_median_ms,418.32,77.66,151.27,vllm
e2e_p99_ms,1037.77,141.45,493.68,vllm
throughput_median_tps,3.86,15.83,9.39,vllm
total_output_tokens,1467,1496,1450,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,520.08,68.36,67.35,sglang
ttft_p99_ms,2193.44,133.82,125.43,sglang
tpot_median_ms,15.48,14.97,22.48,vllm
tpot_p99_ms,35.07,20.64,28.77,vllm
e2e_median_ms,1191.21,609.86,840.34,vllm
e2e_p99_ms,2698.93,1000.99,1593.56,vllm
throughput_median_tps,27.56,59.25,41.93,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,660.92,197.34,858.27,2,2.33,1
torchinferno,few_shot,1,1934.81,0.00,2009.20,1,0.50,1
torchinferno,few_shot,2,1930.41,0.00,2009.54,1,0.50,1
torchinferno,few_shot,3,1928.53,0.00,2017.97,1,0.50,1
torchinferno,few_shot,4,1941.45,0.00,2022.07,1,0.49,1
torchinferno,few_shot,5,1929.70,0.00,2014.42,1,0.50,1
torchinferno,few_shot,6,1927.14,0.00,2019.06,1,0.50,1
torchinferno,few_shot,7,1929.80,0.00,2019.97,1,0.50,1
torchinferno,few_shot,8,1923.42,0.00,2022.22,1,0.49,1
torchinferno,few_shot,9,1931.49,0.00,2030.71,1,0.49,1
torchinferno,few_shot,10,1926.97,0.00,2025.04,1,0.49,1
torchinferno,few_shot,11,1928.41,0.00,2033.17,1,0.49,1
torchinferno,few_shot,12,1941.17,0.00,2034.07,1,0.49,1
torchinferno,few_shot,13,1934.21,0.00,2029.73,1,0.49,1
torchinferno,few_shot,14,1933.27,0.00,2035.83,1,0.49,1
torchinferno,few_shot,15,1941.94,0.00,2040.14,1,0.49,1
torchinferno,few_shot,16,1927.84,0.00,2037.91,1,0.49,1
torchinferno,few_shot,17,1928.75,0.00,2041.84,1,0.49,1
torchinferno,few_shot,18,1926.75,0.00,2043.15,1,0.49,1
torchinferno,few_shot,19,1939.82,0.00,2043.28,1,0.49,1
torchinferno,few_shot,20,1926.81,0.00,2041.36,1,0.49,1
torchinferno,few_shot,21,1930.48,0.00,2051.08,1,0.49,1
torchinferno,few_shot,22,1932.73,0.00,2046.13,1,0.49,1
torchinferno,few_shot,23,1934.23,0.00,2052.29,1,0.49,1
torchinferno,few_shot,24,1938.69,0.00,2055.79,1,0.49,1
torchinferno,few_shot,25,1936.00,0.00,2055.06,1,0.49,1
torchinferno,few_shot,26,1932.47,172.50,2104.97,2,0.95,1
torchinferno,few_shot,27,1940.70,165.82,2106.51,2,0.95,1
torchinferno,few_shot,28,1931.57,177.72,2109.29,2,0.95,1
torchinferno,few_shot,29,1921.92,176.18,2098.11,2,0.95,1
torchinferno,few_shot,30,1936.32,169.35,2105.67,2,0.95,1
torchinferno,few_shot,31,1930.08,185.55,2115.63,2,0.95,1
torchinferno,few_shot,32,1931.05,180.93,2111.97,2,0.95,1
torchinferno,few_shot,33,1929.96,185.74,2115.70,2,0.95,1
torchinferno,few_shot,34,1935.41,190.48,2125.89,2,0.94,1
torchinferno,few_shot,35,1930.49,194.30,2124.79,2,0.94,1
torchinferno,few_shot,36,1926.60,199.37,2125.97,2,0.94,1
torchinferno,few_shot,37,1929.34,207.86,2137.19,2,0.94,1
torchinferno,few_shot,38,1930.60,205.44,2136.04,2,0.94,1
torchinferno,few_shot,39,1929.92,208.22,2138.14,2,0.94,1
torchinferno,few_shot,40,1932.24,200.38,2132.62,2,0.94,1
torchinferno,few_shot,41,1930.71,212.88,2143.59,2,0.93,1
torchinferno,few_shot,42,1932.47,206.87,2139.34,2,0.93,1
torchinferno,few_shot,43,1937.95,200.57,2138.52,2,0.94,1
torchinferno,few_shot,44,1927.83,214.89,2142.72,2,0.93,1
torchinferno,few_shot,45,1930.69,210.71,2141.40,2,0.93,1
