model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-27T13:02:58.655729+00:00

Build Times
provider,build_time_s
torchinferno,367.3
vllm,510.8
sglang,267.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,148.37,143.47,sglang
ttft_p99_ms,,1041.35,634.44,sglang
tpot_median_ms,,48.74,76.47,vllm
tpot_p99_ms,,152.27,573.37,vllm
e2e_median_ms,,195.21,215.16,vllm
e2e_p99_ms,,1084.49,882.38,sglang
throughput_median_tps,,7.45,5.64,vllm
total_output_tokens,,1466,1461,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,189.99,208.91,vllm
ttft_p99_ms,,309.00,69807.07,vllm
tpot_median_ms,,0.00,0.00,
tpot_p99_ms,,0.00,0.00,
e2e_median_ms,,242.02,354.10,vllm
e2e_p99_ms,,416.58,69905.47,vllm
throughput_median_tps,,4.13,2.82,vllm
total_output_tokens,,1000,1000,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,
unique_final_answers,,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,157.47,165.60,vllm
ttft_p99_ms,,354.35,596.06,vllm
tpot_median_ms,,45.99,102.95,vllm
tpot_p99_ms,,168.28,225.36,vllm
e2e_median_ms,,199.06,262.94,vllm
e2e_p99_ms,,411.43,726.93,vllm
throughput_median_tps,,6.86,5.18,vllm
total_output_tokens,,1450,1450,
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,
ttft_first_turn_ms,,138.63,119.18,sglang
ttft_last_turn_ms,,163.61,177.59,vllm
ttft_growth_ratio,,1.18,1.49,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,62.64,80.80,vllm
ttft_p99_ms,,2022.15,644.79,sglang
tpot_median_ms,,31.31,46.13,vllm
tpot_p99_ms,,1984.91,146.54,sglang
e2e_median_ms,,85.36,141.53,vllm
e2e_p99_ms,,2052.17,690.28,sglang
throughput_median_tps,,14.42,9.78,vllm
total_output_tokens,,1476,1460,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,72.86,70.30,sglang
ttft_p99_ms,,204.52,135.70,sglang
tpot_median_ms,,14.78,22.01,vllm
tpot_p99_ms,,21.13,27.33,vllm
e2e_median_ms,,615.32,830.03,vllm
e2e_p99_ms,,993.53,1570.75,vllm
throughput_median_tps,,59.53,42.37,vllm
total_output_tokens,,36715,36715,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,913.88,0.00,914.70,1,1.09,1
vllm,few_shot,1,928.12,0.00,936.85,1,1.07,1
vllm,few_shot,2,961.51,0.00,980.97,1,1.02,1
vllm,few_shot,3,958.15,0.00,980.36,1,1.02,1
vllm,few_shot,4,961.97,0.00,983.60,1,1.02,1
vllm,few_shot,5,963.50,0.00,988.67,1,1.01,1
vllm,few_shot,6,973.56,0.00,998.56,1,1.00,1
vllm,few_shot,7,960.02,40.69,1000.71,2,2.00,1
vllm,few_shot,8,976.15,0.00,1002.16,1,1.00,1
vllm,few_shot,9,975.70,0.00,1002.68,1,1.00,1
vllm,few_shot,10,961.77,49.00,1010.76,2,1.98,1
vllm,few_shot,11,961.27,47.37,1008.64,2,1.98,1
vllm,few_shot,12,973.17,0.00,1004.30,1,1.00,1
vllm,few_shot,13,977.98,0.00,1009.58,1,0.99,1
vllm,few_shot,14,957.73,52.72,1010.45,2,1.98,1
vllm,few_shot,15,963.46,55.01,1018.47,2,1.96,1
vllm,few_shot,16,961.43,56.61,1018.04,2,1.96,1
vllm,few_shot,17,958.90,54.86,1013.76,2,1.97,1
vllm,few_shot,18,975.77,54.51,1030.29,2,1.94,1
vllm,few_shot,19,971.96,59.07,1031.03,2,1.94,1
vllm,few_shot,20,974.09,58.92,1033.00,2,1.94,1
vllm,few_shot,21,992.69,0.00,1034.00,1,0.97,1
vllm,few_shot,22,1005.81,0.00,1036.38,1,0.96,1
vllm,few_shot,23,994.25,0.00,1036.64,1,0.96,1
vllm,few_shot,24,971.83,67.55,1039.38,2,1.92,1
vllm,few_shot,25,980.21,60.82,1041.03,2,1.92,1
vllm,few_shot,26,1005.67,0.00,1041.39,1,0.96,1
vllm,few_shot,27,973.68,71.03,1044.71,2,1.91,1
vllm,few_shot,28,999.51,0.00,1042.86,1,0.96,1
vllm,few_shot,29,995.51,51.75,1047.26,2,1.91,1
vllm,few_shot,30,996.91,52.45,1049.36,2,1.91,1
vllm,few_shot,31,1038.44,0.00,1048.22,1,0.95,1
vllm,few_shot,32,1007.89,44.81,1052.70,2,1.90,1
vllm,few_shot,33,1040.62,0.00,1050.05,1,0.95,1
vllm,few_shot,34,995.32,0.00,1055.99,1,0.95,1
vllm,few_shot,35,1032.52,0.00,1055.33,1,0.95,1
vllm,few_shot,36,1028.39,0.00,1055.58,1,0.95,1
vllm,few_shot,37,1037.05,0.00,1055.70,1,0.95,1
vllm,few_shot,38,1028.53,0.00,1060.40,1,0.94,1
vllm,few_shot,39,1027.11,0.00,1059.49,1,0.94,1
vllm,few_shot,40,1021.04,39.26,1060.30,2,1.89,1
vllm,few_shot,41,1023.76,0.00,1064.13,1,0.94,1
vllm,few_shot,42,994.38,73.13,1067.52,2,1.87,1
