model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-17T05:10:51.020873

Build Times
provider,build_time_s
torchinferno,343.2
vllm,1138.9
sglang,169.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,287.25,162.81,139.95,sglang
ttft_p99_ms,1428.47,566.00,7930.67,vllm
tpot_median_ms,147.53,61.37,71.35,vllm
tpot_p99_ms,179.11,180.50,7315.24,torchinferno
e2e_median_ms,369.10,217.22,204.47,sglang
e2e_p99_ms,1526.04,638.14,15220.10,vllm
throughput_median_tps,4.02,6.70,5.91,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,273.11,200.97,205.51,vllm
ttft_p99_ms,1563.03,453.47,70624.53,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,294.65,224.36,344.29,vllm
e2e_p99_ms,1620.37,538.86,70730.80,vllm
throughput_median_tps,3.39,4.46,2.90,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,525.14,166.67,155.88,sglang
ttft_p99_ms,1230.23,355.75,606.23,vllm
tpot_median_ms,123.22,63.69,111.18,vllm
tpot_p99_ms,448.33,202.38,219.91,vllm
e2e_median_ms,628.22,221.28,259.26,vllm
e2e_p99_ms,1462.10,430.96,638.03,vllm
throughput_median_tps,2.09,6.27,5.06,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,639.10,139.47,108.04,sglang
ttft_last_turn_ms,439.61,167.45,184.47,vllm
ttft_growth_ratio,0.69,1.20,1.71,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,378.41,57.70,78.38,vllm
ttft_p99_ms,845.17,128.44,482.84,vllm
tpot_median_ms,127.52,27.17,59.39,vllm
tpot_p99_ms,151.18,45.79,183.39,vllm
e2e_median_ms,473.02,78.06,156.23,vllm
e2e_p99_ms,961.48,149.79,526.19,vllm
throughput_median_tps,3.10,15.79,9.24,vllm
total_output_tokens,1473,1448,1474,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,684.81,70.33,62.18,sglang
ttft_p99_ms,2282.70,220.15,109.11,sglang
tpot_median_ms,16.21,14.93,22.33,vllm
tpot_p99_ms,50.83,22.46,26.94,vllm
e2e_median_ms,1425.46,613.77,823.72,vllm
e2e_p99_ms,3153.13,1001.54,1580.30,vllm
throughput_median_tps,26.81,58.55,42.45,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,514.95,0.00,723.93,1,1.38,1
torchinferno,few_shot,1,510.25,226.07,736.32,2,2.72,1
torchinferno,few_shot,2,1165.17,0.00,1240.02,1,0.81,1
torchinferno,few_shot,3,1169.30,0.00,1243.37,1,0.80,1
torchinferno,few_shot,4,1164.38,0.00,1235.29,1,0.81,1
torchinferno,few_shot,5,1175.32,0.00,1247.90,1,0.80,1
torchinferno,few_shot,6,1158.85,0.00,1230.93,1,0.81,1
torchinferno,few_shot,7,1152.48,0.00,1234.58,1,0.81,1
torchinferno,few_shot,8,1160.65,0.00,1236.81,1,0.81,1
torchinferno,few_shot,9,1166.57,0.00,1243.10,1,0.80,1
torchinferno,few_shot,10,1158.28,0.00,1241.24,1,0.81,1
torchinferno,few_shot,11,1152.78,0.00,1241.87,1,0.81,1
torchinferno,few_shot,12,1151.17,0.00,1239.57,1,0.81,1
torchinferno,few_shot,13,1175.38,0.00,1260.71,1,0.79,1
torchinferno,few_shot,14,1160.76,0.00,1252.72,1,0.80,1
torchinferno,few_shot,15,1155.49,0.00,1252.31,1,0.80,1
torchinferno,few_shot,16,1175.02,0.00,1264.83,1,0.79,1
torchinferno,few_shot,17,1169.21,0.00,1256.00,1,0.80,1
torchinferno,few_shot,18,1150.40,0.00,1250.35,1,0.80,1
torchinferno,few_shot,19,1154.40,0.00,1252.45,1,0.80,1
torchinferno,few_shot,20,1155.41,0.00,1247.58,1,0.80,1
torchinferno,few_shot,21,1167.98,0.00,1273.14,1,0.79,1
torchinferno,few_shot,22,1161.18,0.00,1265.16,1,0.79,1
torchinferno,few_shot,23,1164.61,0.00,1261.72,1,0.79,1
torchinferno,few_shot,24,1174.36,0.00,1277.42,1,0.78,1
torchinferno,few_shot,25,1155.14,0.00,1263.70,1,0.79,1
torchinferno,few_shot,26,1166.95,0.00,1284.16,1,0.78,1
torchinferno,few_shot,27,1146.17,152.41,1298.58,2,1.54,1
torchinferno,few_shot,28,1173.24,151.61,1324.85,2,1.51,1
torchinferno,few_shot,29,1182.96,144.49,1327.44,2,1.51,1
torchinferno,few_shot,30,1165.56,154.43,1319.99,2,1.52,1
torchinferno,few_shot,31,1159.89,162.19,1322.08,2,1.51,1
torchinferno,few_shot,32,1172.32,161.75,1334.07,2,1.50,1
torchinferno,few_shot,33,1166.87,156.44,1323.31,2,1.51,1
torchinferno,few_shot,34,1151.85,162.29,1314.15,2,1.52,1
torchinferno,few_shot,35,1158.90,170.82,1329.73,2,1.50,1
torchinferno,few_shot,36,1159.38,172.35,1331.73,2,1.50,1
torchinferno,few_shot,37,1162.54,161.90,1324.44,2,1.51,1
torchinferno,few_shot,38,1169.83,161.94,1331.78,2,1.50,1
torchinferno,few_shot,39,1169.45,164.69,1334.14,2,1.50,1
torchinferno,few_shot,40,1161.38,168.52,1329.90,2,1.50,1
torchinferno,few_shot,41,1158.77,179.11,1337.89,2,1.49,1
torchinferno,few_shot,42,1151.46,173.45,1324.92,2,1.51,1
torchinferno,few_shot,43,1161.90,169.85,1331.76,2,1.50,1
torchinferno,few_shot,44,1175.66,178.44,1354.10,2,1.48,1
torchinferno,few_shot,45,1171.46,174.19,1345.65,2,1.49,1
