model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-08T15:01:57.615398

Build Times
provider,build_time_s
torchinferno,402.9
vllm,1376.2
sglang,205.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,326.30,160.89,149.72,sglang
ttft_p99_ms,5420.63,266.05,7638.73,vllm
tpot_median_ms,94.80,51.98,70.17,vllm
tpot_p99_ms,844.88,135.66,7327.93,vllm
e2e_median_ms,414.27,211.72,216.93,vllm
e2e_p99_ms,5503.24,323.29,7710.39,vllm
throughput_median_tps,3.02,7.01,5.43,vllm
total_output_tokens,1461,1457,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,413.72,198.25,208.24,vllm
ttft_p99_ms,1628.34,431.11,70137.96,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,539.02,219.36,334.43,vllm
e2e_p99_ms,1889.65,473.07,70227.57,vllm
throughput_median_tps,1.86,4.56,2.99,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,726.88,180.23,161.87,sglang
ttft_p99_ms,3847.34,330.82,542.52,vllm
tpot_median_ms,69.25,63.37,96.99,vllm
tpot_p99_ms,190.11,187.96,236.57,vllm
e2e_median_ms,784.12,234.68,265.75,vllm
e2e_p99_ms,3892.34,420.59,591.18,vllm
throughput_median_tps,1.62,5.94,5.10,vllm
total_output_tokens,1450,1460,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,2111.35,149.56,333.40,vllm
ttft_last_turn_ms,864.18,178.65,194.43,vllm
ttft_growth_ratio,0.41,1.19,0.58,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,422.03,63.45,80.86,vllm
ttft_p99_ms,1010.10,2059.82,595.00,sglang
tpot_median_ms,61.35,29.36,43.95,vllm
tpot_p99_ms,339.41,1718.40,570.17,torchinferno
e2e_median_ms,473.49,85.94,144.53,vllm
e2e_p99_ms,1145.82,2091.32,636.07,sglang
throughput_median_tps,2.97,13.96,9.69,vllm
total_output_tokens,1454,1480,1482,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.96,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,517.00,71.24,79.14,vllm
ttft_p99_ms,2139.18,194.92,157.59,sglang
tpot_median_ms,20.79,15.08,23.34,vllm
tpot_p99_ms,43.96,21.06,28.27,vllm
e2e_median_ms,1282.99,624.45,896.46,vllm
e2e_p99_ms,3339.55,1016.61,1740.78,vllm
throughput_median_tps,28.85,58.36,39.73,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1884.45,0.00,1891.51,1,0.53,1
torchinferno,few_shot,1,1882.74,205.33,2088.07,2,0.96,1
torchinferno,few_shot,2,1879.82,207.58,2087.40,2,0.96,1
torchinferno,few_shot,3,1884.70,208.31,2093.01,2,0.96,1
torchinferno,few_shot,4,4652.70,0.00,5406.26,1,0.18,1
torchinferno,few_shot,5,4649.93,0.00,5401.73,1,0.19,1
torchinferno,few_shot,6,4660.73,0.00,5404.43,1,0.19,1
torchinferno,few_shot,7,4646.69,0.00,5405.49,1,0.18,1
torchinferno,few_shot,8,4652.47,0.00,5409.08,1,0.18,1
torchinferno,few_shot,9,4652.28,0.00,5408.83,1,0.18,1
torchinferno,few_shot,10,4664.67,0.00,5418.72,1,0.18,1
torchinferno,few_shot,11,4655.96,0.00,5416.53,1,0.18,1
torchinferno,few_shot,12,4658.98,0.00,5416.26,1,0.18,1
torchinferno,few_shot,13,4654.10,0.00,5422.59,1,0.18,1
torchinferno,few_shot,14,4658.96,760.47,5419.42,2,0.37,1
torchinferno,few_shot,15,4652.85,0.00,5421.33,1,0.18,1
torchinferno,few_shot,16,5412.36,0.00,5422.82,1,0.18,1
torchinferno,few_shot,17,4655.81,0.00,5427.99,1,0.18,1
torchinferno,few_shot,18,4653.85,0.00,5434.23,1,0.18,1
torchinferno,few_shot,19,5412.24,0.00,5427.72,1,0.18,1
torchinferno,few_shot,20,4648.11,0.00,5432.03,1,0.18,1
torchinferno,few_shot,21,4650.79,0.00,5435.29,1,0.18,1
torchinferno,few_shot,22,4651.40,787.61,5439.01,2,0.37,1
torchinferno,few_shot,23,4657.58,783.54,5441.13,2,0.37,1
torchinferno,few_shot,24,4651.90,787.22,5439.12,2,0.37,1
torchinferno,few_shot,25,4665.11,0.00,5445.19,1,0.18,1
torchinferno,few_shot,26,4658.56,0.00,5443.42,1,0.18,1
torchinferno,few_shot,27,5415.02,24.45,5439.46,2,0.37,1
torchinferno,few_shot,28,5420.76,20.93,5441.69,2,0.37,1
torchinferno,few_shot,29,4660.45,0.00,5451.51,1,0.18,1
torchinferno,few_shot,30,4656.24,795.34,5451.58,2,0.37,1
torchinferno,few_shot,31,4650.30,803.61,5453.91,2,0.37,1
torchinferno,few_shot,32,4656.70,796.56,5453.25,2,0.37,1
torchinferno,few_shot,33,5399.64,51.56,5451.20,2,0.37,1
torchinferno,few_shot,34,4651.96,810.43,5462.39,2,0.37,1
torchinferno,few_shot,35,5439.98,20.70,5460.68,2,0.37,1
torchinferno,few_shot,36,4660.63,801.55,5462.18,2,0.37,1
torchinferno,few_shot,37,5404.31,0.00,5462.78,1,0.18,1
torchinferno,few_shot,38,4657.19,810.62,5467.81,2,0.37,1
torchinferno,few_shot,39,4652.73,815.54,5468.27,2,0.37,1
torchinferno,few_shot,40,4659.11,814.92,5474.03,2,0.37,1
torchinferno,few_shot,41,4659.72,0.00,5471.74,1,0.18,1
torchinferno,few_shot,42,4652.52,0.00,5478.42,1,0.18,1
torchinferno,few_shot,43,4652.88,0.00,5483.70,1,0.18,1
torchinferno,few_shot,44,4655.98,0.00,5486.38,1,0.18,1
torchinferno,few_shot,45,4662.26,823.20,5485.47,2,0.36,1
