model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-23T23:03:43.327678

Build Times
provider,build_time_s
torchinferno,362.9
vllm,1253.7
sglang,189.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,283.79,173.73,137.89,sglang
ttft_p99_ms,1715.99,558.79,4710.55,vllm
tpot_median_ms,152.52,62.74,74.78,vllm
tpot_p99_ms,205.21,156.08,7313.50,vllm
e2e_median_ms,378.42,227.60,211.00,sglang
e2e_p99_ms,1905.12,605.21,11997.14,vllm
throughput_median_tps,4.03,6.57,5.60,vllm
total_output_tokens,1461,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,279.63,210.28,209.54,sglang
ttft_p99_ms,1636.61,452.74,71367.38,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,299.15,233.74,354.15,vllm
e2e_p99_ms,1693.76,491.82,71460.90,vllm
throughput_median_tps,3.34,4.28,2.82,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,711.13,169.20,153.87,sglang
ttft_p99_ms,2210.97,349.22,761.66,vllm
tpot_median_ms,115.08,60.21,106.99,vllm
tpot_p99_ms,543.69,186.75,212.00,vllm
e2e_median_ms,818.40,218.40,256.06,vllm
e2e_p99_ms,2440.16,421.45,920.10,vllm
throughput_median_tps,1.51,6.36,5.26,vllm
total_output_tokens,1450,1460,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1131.97,149.49,119.10,sglang
ttft_last_turn_ms,608.71,167.35,170.93,vllm
ttft_growth_ratio,0.54,1.12,1.44,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,340.58,58.04,78.54,vllm
ttft_p99_ms,1104.13,141.18,657.88,vllm
tpot_median_ms,132.09,27.16,53.66,vllm
tpot_p99_ms,153.97,42.35,633.05,vllm
e2e_median_ms,437.93,78.44,144.92,vllm
e2e_p99_ms,1199.05,163.26,722.17,vllm
throughput_median_tps,3.27,15.52,9.30,vllm
total_output_tokens,1459,1446,1480,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,797.27,67.46,68.02,vllm
ttft_p99_ms,2693.07,134.43,116.04,sglang
tpot_median_ms,15.34,14.98,22.04,vllm
tpot_p99_ms,83.64,19.00,27.74,vllm
e2e_median_ms,1435.77,617.79,820.17,vllm
e2e_p99_ms,3722.47,997.31,1547.38,vllm
throughput_median_tps,22.72,58.90,42.77,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,764.20,0.00,1028.74,1,0.97,1
torchinferno,few_shot,1,1705.66,0.00,1791.27,1,0.56,1
torchinferno,few_shot,2,1702.65,0.00,1795.82,1,0.56,1
torchinferno,few_shot,3,1715.54,0.00,1797.38,1,0.56,1
torchinferno,few_shot,4,1712.25,0.00,1795.23,1,0.56,1
torchinferno,few_shot,5,1701.22,0.00,1788.43,1,0.56,1
torchinferno,few_shot,6,1706.71,0.00,1805.71,1,0.55,1
torchinferno,few_shot,7,1704.19,0.00,1802.23,1,0.55,1
torchinferno,few_shot,8,1714.31,0.00,1811.03,1,0.55,1
torchinferno,few_shot,9,1707.93,0.00,1807.34,1,0.55,1
torchinferno,few_shot,10,687.62,0.00,785.22,1,1.27,1
torchinferno,few_shot,11,1706.62,0.00,1801.67,1,0.56,1
torchinferno,few_shot,12,1708.58,0.00,1811.83,1,0.55,1
torchinferno,few_shot,13,1724.17,0.00,1821.39,1,0.55,1
torchinferno,few_shot,14,1704.09,0.00,1809.99,1,0.55,1
torchinferno,few_shot,15,1714.10,0.00,1823.91,1,0.55,1
torchinferno,few_shot,16,1713.74,0.00,1821.49,1,0.55,1
torchinferno,few_shot,17,1697.88,0.00,1811.75,1,0.55,1
torchinferno,few_shot,18,1700.84,0.00,1822.29,1,0.55,1
torchinferno,few_shot,19,1712.32,0.00,1828.54,1,0.55,1
torchinferno,few_shot,20,1707.92,0.00,1818.78,1,0.55,1
torchinferno,few_shot,21,1711.61,0.00,1832.83,1,0.55,1
torchinferno,few_shot,22,1717.17,0.00,1831.01,1,0.55,1
torchinferno,few_shot,23,1705.02,0.00,1838.05,1,0.54,1
torchinferno,few_shot,24,1706.36,0.00,1840.70,1,0.54,1
torchinferno,few_shot,25,1706.69,0.00,1842.11,1,0.54,1
torchinferno,few_shot,26,1711.14,0.00,1839.72,1,0.54,1
torchinferno,few_shot,27,1702.90,0.00,1839.78,1,0.54,1
torchinferno,few_shot,28,1704.08,0.00,1833.75,1,0.55,1
torchinferno,few_shot,29,1702.74,0.00,1833.64,1,0.55,1
torchinferno,few_shot,30,1717.12,0.00,1845.12,1,0.54,1
torchinferno,few_shot,31,1707.07,0.00,1838.35,1,0.54,1
torchinferno,few_shot,32,1703.23,0.00,1850.45,1,0.54,1
torchinferno,few_shot,33,1704.43,161.22,1865.65,2,1.07,1
torchinferno,few_shot,34,1708.38,171.33,1879.72,2,1.06,1
torchinferno,few_shot,35,1708.25,172.29,1880.54,2,1.06,1
torchinferno,few_shot,36,1715.99,165.62,1881.61,2,1.06,1
torchinferno,few_shot,37,1719.11,170.47,1889.58,2,1.06,1
torchinferno,few_shot,38,1698.54,176.77,1875.31,2,1.07,1
torchinferno,few_shot,39,1705.11,171.73,1876.84,2,1.07,1
torchinferno,few_shot,40,1717.98,169.46,1887.44,2,1.06,1
torchinferno,few_shot,41,1717.08,172.89,1889.98,2,1.06,1
torchinferno,few_shot,42,1694.35,183.13,1877.48,2,1.07,1
torchinferno,few_shot,43,1710.21,185.05,1895.26,2,1.06,1
torchinferno,few_shot,44,1704.03,186.46,1890.49,2,1.06,1
torchinferno,few_shot,45,1702.70,190.12,1892.82,2,1.06,1
