model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-14T15:57:52.943594+00:00

Build Times
provider,build_time_s
torchinferno,45.6
vllm,391.2
sglang,201.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,141.01,69.68,81.20,vllm
ttft_p99_ms,734.26,140.59,902.17,vllm
tpot_median_ms,31.73,36.76,64.06,torchinferno
tpot_p99_ms,44.02,79.27,493.72,torchinferno
e2e_median_ms,164.89,95.78,136.57,vllm
e2e_p99_ms,753.33,171.19,1078.84,vllm
throughput_median_tps,7.01,14.10,9.76,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,51.63,70.56,121.52,torchinferno
ttft_p99_ms,249.52,293.06,69614.97,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,68.74,90.42,200.58,torchinferno
e2e_p99_ms,277.75,302.34,69673.12,torchinferno
throughput_median_tps,14.55,11.06,4.99,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,188.14,74.14,86.71,vllm
ttft_p99_ms,1719.55,131.18,519.38,vllm
tpot_median_ms,35.40,35.37,70.10,vllm
tpot_p99_ms,47.97,84.24,933.26,torchinferno
e2e_median_ms,216.46,97.85,144.89,vllm
e2e_p99_ms,1749.78,175.39,921.32,vllm
throughput_median_tps,5.18,13.72,9.08,vllm
total_output_tokens,1444,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,786.66,72.49,69.70,sglang
ttft_last_turn_ms,170.02,74.16,95.20,vllm
ttft_growth_ratio,0.22,1.02,1.37,torchinferno
ttft_first_turn_median_ms,771.07,72.65,60.92,sglang
ttft_first_turn_p99_ms,1834.86,141.09,111.41,sglang
ttft_last_turn_median_ms,184.61,75.52,94.59,vllm
ttft_last_turn_p99_ms,204.78,121.00,116.01,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,53.05,34.76,51.80,vllm
ttft_p99_ms,328.21,75.94,440.86,vllm
tpot_median_ms,34.66,22.71,400.53,vllm
tpot_p99_ms,92.08,33.27,1071.32,vllm
e2e_median_ms,74.25,52.58,449.08,vllm
e2e_p99_ms,361.72,125.75,1119.94,vllm
throughput_median_tps,19.45,25.06,3.24,vllm
total_output_tokens,1470,1473,1475,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,186.08,45.97,52.36,vllm
ttft_p99_ms,562.60,64.18,102.27,vllm
tpot_median_ms,19.12,15.31,24.66,vllm
tpot_p99_ms,28.61,17.22,110.25,vllm
e2e_median_ms,866.13,578.99,970.57,vllm
e2e_p99_ms,1565.83,1040.66,1726.41,vllm
throughput_median_tps,41.05,60.86,39.07,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,793.14,0.00,805.17,1,1.24,1,,,,,,,1,,,
torchinferno,few_shot,0,1,810.58,24.73,835.31,2,2.39,1,,,,,,,0,,,
torchinferno,few_shot,8,2,752.37,0.00,766.06,1,1.31,1,,,,,,,8,,,
torchinferno,few_shot,4,3,822.62,0.00,835.58,1,1.20,1,,,,,,,4,,,
torchinferno,few_shot,17,4,604.77,0.00,617.63,1,1.62,1,,,,,,,17,,,
torchinferno,few_shot,26,5,453.28,0.00,468.35,1,2.14,1,,,,,,,26,,,
torchinferno,few_shot,29,6,402.18,0.00,418.90,1,2.39,1,,,,,,,29,,,
torchinferno,few_shot,9,7,734.26,0.00,753.33,1,1.33,1,,,,,,,9,,,
torchinferno,few_shot,12,8,684.68,0.00,703.82,1,1.42,1,,,,,,,12,,,
torchinferno,few_shot,31,9,369.40,0.00,387.83,1,2.58,1,,,,,,,31,,,
torchinferno,few_shot,11,10,704.96,0.00,722.12,1,1.38,1,,,,,,,11,,,
torchinferno,few_shot,28,11,418.99,0.00,439.70,1,2.27,1,,,,,,,28,,,
torchinferno,few_shot,5,12,802.07,0.00,825.10,1,1.21,1,,,,,,,5,,,
torchinferno,few_shot,24,13,486.72,0.00,508.94,1,1.96,1,,,,,,,24,,,
torchinferno,few_shot,10,14,718.22,0.00,742.58,1,1.35,1,,,,,,,10,,,
torchinferno,few_shot,25,15,469.36,0.00,493.53,1,2.03,1,,,,,,,25,,,
torchinferno,few_shot,33,16,338.59,25.13,363.72,2,5.50,1,,,,,,,33,,,
torchinferno,few_shot,7,17,767.72,0.00,797.23,1,1.25,1,,,,,,,7,,,
torchinferno,few_shot,13,18,670.35,27.25,697.60,2,2.87,1,,,,,,,13,,,
torchinferno,few_shot,6,19,784.45,31.03,815.47,2,2.45,1,,,,,,,6,,,
torchinferno,few_shot,2,20,856.08,29.61,885.69,2,2.26,1,,,,,,,2,,,
torchinferno,few_shot,20,21,554.24,28.68,582.92,2,3.43,1,,,,,,,20,,,
torchinferno,few_shot,32,22,353.67,30.46,384.13,2,5.21,1,,,,,,,32,,,
torchinferno,few_shot,30,23,387.78,30.33,418.11,2,4.78,1,,,,,,,30,,,
torchinferno,few_shot,15,24,634.48,34.10,668.58,2,2.99,1,,,,,,,15,,,
torchinferno,few_shot,3,25,838.11,33.40,871.50,2,2.29,1,,,,,,,3,,,
torchinferno,few_shot,27,26,437.62,32.82,470.44,2,4.25,1,,,,,,,27,,,
torchinferno,few_shot,21,27,536.55,34.37,570.92,2,3.50,1,,,,,,,21,,,
torchinferno,few_shot,14,28,653.62,34.58,688.20,2,2.91,1,,,,,,,14,,,
torchinferno,few_shot,22,29,517.97,38.00,555.97,2,3.60,1,,,,,,,22,,,
torchinferno,few_shot,16,30,620.24,37.07,657.31,2,3.04,1,,,,,,,16,,,
torchinferno,few_shot,19,31,570.07,37.69,607.76,2,3.29,1,,,,,,,19,,,
torchinferno,few_shot,18,32,585.44,40.38,625.82,2,3.20,1,,,,,,,18,,,
torchinferno,few_shot,23,33,504.26,39.59,543.85,2,3.68,1,,,,,,,23,,,
torchinferno,few_shot,34,34,403.43,0.00,414.92,1,2.41,1,,,,,,,34,,,
torchinferno,few_shot,67,35,69.97,0.00,81.70,1,12.24,1,,,,,,,67,,,
torchinferno,few_shot,38,36,337.82,0.00,349.80,1,2.86,1,,,,,,,38,,,
torchinferno,few_shot,46,37,204.86,0.00,217.41,1,4.60,1,,,,,,,46,,,
torchinferno,few_shot,71,38,65.05,0.00,80.18,1,12.47,1,,,,,,,71,,,
