model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-06T15:02:14.982198+00:00

Build Times
provider,build_time_s
torchinferno,51.8
vllm,544.8
sglang,249.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,142.97,120.20,132.58,vllm
ttft_p99_ms,588.12,249.82,559.47,vllm
tpot_median_ms,44.68,39.77,80.00,vllm
tpot_p99_ms,148.95,135.66,585.24,vllm
e2e_median_ms,182.43,153.05,211.71,vllm
e2e_p99_ms,704.16,313.77,671.04,vllm
throughput_median_tps,6.44,9.01,5.77,vllm
total_output_tokens,1460,1460,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,93.93,127.33,213.19,torchinferno
ttft_p99_ms,304.63,304.70,69993.94,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,100.65,150.88,355.68,torchinferno
e2e_p99_ms,320.91,328.64,70085.25,torchinferno
throughput_median_tps,9.94,6.63,2.81,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,278.48,151.61,162.24,vllm
ttft_p99_ms,467.06,465.89,634.61,vllm
tpot_median_ms,62.28,46.42,109.13,vllm
tpot_p99_ms,306.59,222.25,970.06,vllm
e2e_median_ms,330.72,197.48,274.36,vllm
e2e_p99_ms,599.69,480.38,1012.66,vllm
throughput_median_tps,4.33,6.85,4.76,vllm
total_output_tokens,1450,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,228.32,150.69,90.62,sglang
ttft_last_turn_ms,250.71,168.15,196.77,vllm
ttft_growth_ratio,1.10,1.12,2.17,torchinferno
ttft_first_turn_median_ms,204.76,126.61,62.56,sglang
ttft_first_turn_p99_ms,425.10,469.12,183.29,sglang
ttft_last_turn_median_ms,239.25,154.68,194.28,vllm
ttft_last_turn_p99_ms,454.85,437.39,315.85,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,81.21,32.60,47.36,vllm
ttft_p99_ms,382.87,52.24,402.44,vllm
tpot_median_ms,64.00,21.75,371.75,vllm
tpot_p99_ms,163.42,29.11,1034.93,vllm
e2e_median_ms,116.99,48.07,395.76,vllm
e2e_p99_ms,461.55,111.15,1092.12,vllm
throughput_median_tps,12.40,25.66,3.70,vllm
total_output_tokens,1488,1461,1477,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,251.46,76.43,68.63,sglang
ttft_p99_ms,1147.55,167.72,587.60,vllm
tpot_median_ms,20.75,14.70,22.22,vllm
tpot_p99_ms,112.32,16.83,98.89,vllm
e2e_median_ms,1068.11,599.00,918.78,vllm
e2e_p99_ms,2365.97,996.01,1838.87,vllm
throughput_median_tps,35.52,59.92,41.53,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,5,0,135.16,0.00,265.69,1,3.76,1,,,,,,,5,,,
torchinferno,few_shot,4,1,154.86,0.00,287.20,1,3.48,1,,,,,,,4,,,
torchinferno,few_shot,7,2,279.62,0.00,295.89,1,3.38,1,,,,,,,7,,,
torchinferno,few_shot,12,3,184.78,0.00,200.90,1,4.98,1,,,,,,,12,,,
torchinferno,few_shot,1,4,422.17,0.00,439.94,1,2.27,1,,,,,,,1,,,
torchinferno,few_shot,10,5,223.34,0.00,244.39,1,4.09,1,,,,,,,10,,,
torchinferno,few_shot,17,6,89.55,0.00,109.24,1,9.15,1,,,,,,,17,,,
torchinferno,few_shot,8,7,260.27,0.00,284.49,1,3.52,1,,,,,,,8,,,
torchinferno,few_shot,9,8,243.30,0.00,267.88,1,3.73,1,,,,,,,9,,,
torchinferno,few_shot,11,9,205.52,0.00,232.95,1,4.29,1,,,,,,,11,,,
torchinferno,few_shot,0,10,442.34,27.46,469.80,2,4.26,1,,,,,,,0,,,
torchinferno,few_shot,14,11,151.05,26.76,177.81,2,11.25,1,,,,,,,14,,,
torchinferno,few_shot,2,12,382.50,29.06,411.56,2,4.86,1,,,,,,,2,,,
torchinferno,few_shot,3,13,356.92,33.75,390.68,2,5.12,1,,,,,,,3,,,
torchinferno,few_shot,6,14,299.72,36.14,335.85,2,5.95,1,,,,,,,6,,,
torchinferno,few_shot,16,15,107.05,35.33,142.38,2,14.05,1,,,,,,,16,,,
torchinferno,few_shot,18,16,70.45,36.50,106.95,2,18.70,1,,,,,,,18,,,
torchinferno,few_shot,15,17,127.11,39.72,166.83,2,11.99,1,,,,,,,15,,,
torchinferno,few_shot,13,18,169.69,40.80,210.49,2,9.50,1,,,,,,,13,,,
torchinferno,few_shot,65,19,112.79,0.00,126.88,1,7.88,1,,,,,,,65,,,
torchinferno,few_shot,64,20,114.31,0.00,129.21,1,7.74,1,,,,,,,64,,,
torchinferno,few_shot,19,21,112.33,25.41,137.74,2,14.52,1,,,,,,,19,,,
torchinferno,few_shot,22,22,58.72,26.42,85.14,2,23.49,1,,,,,,,22,,,
torchinferno,few_shot,20,23,94.53,28.45,122.98,2,16.26,1,,,,,,,20,,,
torchinferno,few_shot,21,24,78.08,28.72,106.79,2,18.73,1,,,,,,,21,,,
torchinferno,few_shot,68,25,122.28,0.00,133.31,1,7.50,1,,,,,,,68,,,
torchinferno,few_shot,67,26,121.80,0.00,137.50,1,7.27,1,,,,,,,67,,,
torchinferno,few_shot,25,27,66.19,0.00,80.27,1,12.46,1,,,,,,,25,,,
torchinferno,few_shot,76,28,110.86,0.00,126.32,1,7.92,1,,,,,,,76,,,
torchinferno,few_shot,69,29,117.55,0.00,138.17,1,7.24,1,,,,,,,69,,,
torchinferno,few_shot,66,30,122.80,0.00,145.49,1,6.87,1,,,,,,,66,,,
torchinferno,few_shot,81,31,100.44,0.00,123.63,1,8.09,1,,,,,,,81,,,
torchinferno,few_shot,72,32,111.74,0.00,139.69,1,7.16,1,,,,,,,72,,,
torchinferno,few_shot,24,33,82.70,0.00,110.59,1,9.04,1,,,,,,,24,,,
torchinferno,few_shot,80,34,102.81,0.00,130.47,1,7.66,1,,,,,,,80,,,
torchinferno,few_shot,83,35,66.73,30.11,96.84,2,20.65,1,,,,,,,83,,,
torchinferno,few_shot,75,36,108.28,33.68,141.96,2,14.09,1,,,,,,,75,,,
torchinferno,few_shot,74,37,110.24,0.00,143.99,1,6.94,1,,,,,,,74,,,
torchinferno,few_shot,82,38,98.49,0.00,129.59,1,7.72,1,,,,,,,82,,,
