model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-18T23:02:52.913050+00:00

Build Times
provider,build_time_s
torchinferno,41.8
vllm,284.7
sglang,170.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,139.78,85.87,87.72,vllm
ttft_p99_ms,740.94,188.12,501.41,vllm
tpot_median_ms,32.11,39.00,69.43,torchinferno
tpot_p99_ms,45.05,128.44,829.18,torchinferno
e2e_median_ms,164.20,123.16,149.93,vllm
e2e_p99_ms,754.48,226.11,825.10,vllm
throughput_median_tps,7.08,11.54,8.85,vllm
total_output_tokens,1461,1466,1465,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,76.02,86.91,158.66,torchinferno
ttft_p99_ms,408.72,344.18,71042.55,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,93.07,105.60,244.52,torchinferno
e2e_p99_ms,441.35,344.51,71088.43,vllm
throughput_median_tps,10.74,9.47,4.09,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,188.72,73.89,100.73,vllm
ttft_p99_ms,997.79,159.62,482.10,vllm
tpot_median_ms,35.54,36.15,80.88,torchinferno
tpot_p99_ms,47.78,91.15,902.62,torchinferno
e2e_median_ms,217.49,101.16,168.11,vllm
e2e_p99_ms,1021.33,218.72,962.55,vllm
throughput_median_tps,5.18,13.14,7.68,vllm
total_output_tokens,1442,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,428.36,76.85,83.45,vllm
ttft_last_turn_ms,170.00,79.34,107.86,vllm
ttft_growth_ratio,0.40,1.03,1.29,torchinferno
ttft_first_turn_median_ms,222.47,70.21,78.20,vllm
ttft_first_turn_p99_ms,1101.07,154.69,133.70,sglang
ttft_last_turn_median_ms,184.51,75.84,102.21,vllm
ttft_last_turn_p99_ms,206.25,147.10,139.97,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.31,37.78,65.77,vllm
ttft_p99_ms,779.10,105.48,136.85,vllm
tpot_median_ms,34.71,27.96,452.71,vllm
tpot_p99_ms,76.84,36.08,1140.94,vllm
e2e_median_ms,72.40,58.19,495.27,vllm
e2e_p99_ms,818.33,151.09,1196.98,vllm
throughput_median_tps,19.88,22.40,2.93,vllm
total_output_tokens,1463,1461,1463,
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,184.66,46.83,62.91,vllm
ttft_p99_ms,651.13,64.57,451.84,vllm
tpot_median_ms,19.38,15.44,29.41,vllm
tpot_p99_ms,27.87,17.26,76.37,vllm
e2e_median_ms,885.86,577.96,1097.85,vllm
e2e_p99_ms,1709.83,1054.37,2056.15,vllm
throughput_median_tps,39.27,60.70,32.95,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,799.55,0.00,811.25,1,1.23,1,,,,,,,1,,,
torchinferno,few_shot,0,1,816.41,24.06,840.47,2,2.38,1,,,,,,,0,,,
torchinferno,few_shot,4,2,823.68,0.00,838.56,1,1.19,1,,,,,,,4,,,
torchinferno,few_shot,9,3,740.94,0.00,754.48,1,1.33,1,,,,,,,9,,,
torchinferno,few_shot,11,4,705.14,0.00,721.39,1,1.39,1,,,,,,,11,,,
torchinferno,few_shot,26,5,450.51,0.00,467.14,1,2.14,1,,,,,,,26,,,
torchinferno,few_shot,5,6,808.42,0.00,824.91,1,1.21,1,,,,,,,5,,,
torchinferno,few_shot,12,7,690.50,0.00,706.90,1,1.41,1,,,,,,,12,,,
torchinferno,few_shot,8,8,756.33,0.00,775.70,1,1.29,1,,,,,,,8,,,
torchinferno,few_shot,24,9,484.89,0.00,504.26,1,1.98,1,,,,,,,24,,,
torchinferno,few_shot,7,10,775.71,0.00,793.92,1,1.26,1,,,,,,,7,,,
torchinferno,few_shot,10,11,723.84,0.00,743.78,1,1.34,1,,,,,,,10,,,
torchinferno,few_shot,31,12,368.31,0.00,388.15,1,2.58,1,,,,,,,31,,,
torchinferno,few_shot,17,13,606.27,0.00,627.80,1,1.59,1,,,,,,,17,,,
torchinferno,few_shot,28,14,417.88,0.00,441.42,1,2.27,1,,,,,,,28,,,
torchinferno,few_shot,25,15,469.36,0.00,492.95,1,2.03,1,,,,,,,25,,,
torchinferno,few_shot,16,16,621.21,28.04,649.25,2,3.08,1,,,,,,,16,,,
torchinferno,few_shot,20,17,552.89,28.76,581.65,2,3.44,1,,,,,,,20,,,
torchinferno,few_shot,29,18,402.11,0.00,429.34,1,2.33,1,,,,,,,29,,,
torchinferno,few_shot,13,19,671.37,30.62,701.98,2,2.85,1,,,,,,,13,,,
torchinferno,few_shot,19,20,569.77,31.35,601.12,2,3.33,1,,,,,,,19,,,
torchinferno,few_shot,2,21,859.22,31.32,890.54,2,2.25,1,,,,,,,2,,,
torchinferno,few_shot,22,22,520.30,30.97,551.27,2,3.63,1,,,,,,,22,,,
torchinferno,few_shot,27,23,436.15,30.78,466.92,2,4.28,1,,,,,,,27,,,
torchinferno,few_shot,3,24,842.46,33.38,875.84,2,2.28,1,,,,,,,3,,,
torchinferno,few_shot,30,25,383.79,33.89,417.68,2,4.79,1,,,,,,,30,,,
torchinferno,few_shot,15,26,638.52,35.64,674.16,2,2.97,1,,,,,,,15,,,
torchinferno,few_shot,6,27,789.77,37.57,827.33,2,2.42,1,,,,,,,6,,,
torchinferno,few_shot,21,28,538.25,35.40,573.64,2,3.49,1,,,,,,,21,,,
torchinferno,few_shot,18,29,586.97,38.57,625.54,2,3.20,1,,,,,,,18,,,
torchinferno,few_shot,32,30,350.57,37.54,388.11,2,5.15,1,,,,,,,32,,,
torchinferno,few_shot,33,31,331.61,41.36,372.97,2,5.36,1,,,,,,,33,,,
torchinferno,few_shot,23,32,503.61,42.37,545.98,2,3.66,1,,,,,,,23,,,
torchinferno,few_shot,14,33,656.36,44.42,700.78,2,2.85,1,,,,,,,14,,,
torchinferno,few_shot,35,34,377.72,0.00,392.13,1,2.55,1,,,,,,,35,,,
torchinferno,few_shot,43,35,242.85,0.00,257.60,1,3.88,1,,,,,,,43,,,
torchinferno,few_shot,47,36,177.81,0.00,190.63,1,5.25,1,,,,,,,47,,,
torchinferno,few_shot,34,37,397.01,0.00,412.30,1,2.43,1,,,,,,,34,,,
torchinferno,few_shot,74,38,62.09,0.00,77.63,1,12.88,1,,,,,,,74,,,
