model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-05T05:02:10.521622+00:00

Build Times
provider,build_time_s
torchinferno,41.8
vllm,273.4
sglang,213.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,152.63,136.51,143.32,vllm
ttft_p99_ms,841.64,235.12,554.43,vllm
tpot_median_ms,49.98,43.38,76.69,vllm
tpot_p99_ms,123.49,121.36,154.11,vllm
e2e_median_ms,200.27,174.22,218.84,vllm
e2e_p99_ms,878.90,291.49,611.87,vllm
throughput_median_tps,5.96,8.26,5.45,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,169.17,201.71,216.75,torchinferno
ttft_p99_ms,517.01,512.58,70200.16,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,180.78,226.81,367.77,torchinferno
e2e_p99_ms,534.80,547.61,70286.14,torchinferno
throughput_median_tps,5.53,4.41,2.72,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,336.45,186.30,168.23,sglang
ttft_p99_ms,618.22,426.76,632.97,vllm
tpot_median_ms,60.79,58.34,100.45,vllm
tpot_p99_ms,133.04,213.87,247.48,torchinferno
e2e_median_ms,396.85,240.08,272.80,vllm
e2e_p99_ms,647.73,488.26,711.55,vllm
throughput_median_tps,3.48,5.77,4.96,vllm
total_output_tokens,1469,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,238.92,169.96,107.30,sglang
ttft_last_turn_ms,419.86,180.73,197.26,vllm
ttft_growth_ratio,1.76,1.06,1.84,vllm
ttft_first_turn_median_ms,247.68,156.16,90.15,sglang
ttft_first_turn_p99_ms,346.52,477.59,240.15,sglang
ttft_last_turn_median_ms,395.49,189.14,195.70,vllm
ttft_last_turn_p99_ms,654.35,318.13,304.87,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,116.88,61.82,75.74,vllm
ttft_p99_ms,282.19,225.67,570.60,vllm
tpot_median_ms,74.12,29.50,64.85,vllm
tpot_p99_ms,99.42,87.47,152.52,vllm
e2e_median_ms,147.28,84.48,144.79,vllm
e2e_p99_ms,362.74,239.53,635.97,vllm
throughput_median_tps,8.96,14.66,9.82,vllm
total_output_tokens,1455,1477,1453,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,262.41,78.05,72.64,sglang
ttft_p99_ms,849.86,292.86,493.67,vllm
tpot_median_ms,19.98,14.79,21.93,vllm
tpot_p99_ms,33.65,24.29,28.66,vllm
e2e_median_ms,1016.36,621.88,838.42,vllm
e2e_p99_ms,1769.98,1037.60,1566.04,vllm
throughput_median_tps,35.94,58.90,42.01,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,4,0,698.84,0.00,703.54,1,1.42,1,,,,,,,4,,,
torchinferno,few_shot,10,1,692.18,0.00,703.94,1,1.42,1,,,,,,,10,,,
torchinferno,few_shot,11,2,695.65,0.00,706.34,1,1.42,1,,,,,,,11,,,
torchinferno,few_shot,9,3,694.86,0.00,708.12,1,1.41,1,,,,,,,9,,,
torchinferno,few_shot,7,4,695.61,0.00,710.16,1,1.41,1,,,,,,,7,,,
torchinferno,few_shot,1,5,699.09,0.00,714.13,1,1.40,1,,,,,,,1,,,
torchinferno,few_shot,5,6,695.56,0.00,713.21,1,1.40,1,,,,,,,5,,,
torchinferno,few_shot,12,7,692.75,0.00,714.10,1,1.40,1,,,,,,,12,,,
torchinferno,few_shot,18,8,691.02,22.78,713.80,2,2.80,1,,,,,,,18,,,
torchinferno,few_shot,6,9,693.43,25.92,719.35,2,2.78,1,,,,,,,6,,,
torchinferno,few_shot,2,10,698.35,25.08,723.43,2,2.76,1,,,,,,,2,,,
torchinferno,few_shot,3,11,696.27,27.96,724.22,2,2.76,1,,,,,,,3,,,
torchinferno,few_shot,15,12,691.20,30.79,721.99,2,2.77,1,,,,,,,15,,,
torchinferno,few_shot,13,13,697.20,27.64,724.83,2,2.76,1,,,,,,,13,,,
torchinferno,few_shot,16,14,692.07,33.26,725.33,2,2.76,1,,,,,,,16,,,
torchinferno,few_shot,8,15,698.23,0.00,728.84,1,1.37,1,,,,,,,8,,,
torchinferno,few_shot,14,16,695.70,33.75,729.45,2,2.74,1,,,,,,,14,,,
torchinferno,few_shot,0,17,700.99,37.55,738.54,2,2.71,1,,,,,,,0,,,
torchinferno,few_shot,39,18,766.24,0.00,772.61,1,1.29,1,,,,,,,39,,,
torchinferno,few_shot,24,19,760.65,0.00,778.46,1,1.28,1,,,,,,,24,,,
torchinferno,few_shot,28,20,769.46,0.00,778.85,1,1.28,1,,,,,,,28,,,
torchinferno,few_shot,17,21,771.43,0.00,791.60,1,1.26,1,,,,,,,17,,,
torchinferno,few_shot,34,22,766.72,0.00,782.60,1,1.28,1,,,,,,,34,,,
torchinferno,few_shot,48,23,763.67,0.00,782.31,1,1.28,1,,,,,,,48,,,
torchinferno,few_shot,37,24,759.50,0.00,786.45,1,1.27,1,,,,,,,37,,,
torchinferno,few_shot,41,25,765.91,0.00,786.69,1,1.27,1,,,,,,,41,,,
torchinferno,few_shot,35,26,761.17,0.00,789.35,1,1.27,1,,,,,,,35,,,
torchinferno,few_shot,32,27,766.50,25.91,792.41,2,2.52,1,,,,,,,32,,,
torchinferno,few_shot,47,28,765.04,0.00,789.79,1,1.27,1,,,,,,,47,,,
torchinferno,few_shot,38,29,762.65,0.00,793.12,1,1.26,1,,,,,,,38,,,
torchinferno,few_shot,25,30,764.52,0.00,797.87,1,1.25,1,,,,,,,25,,,
torchinferno,few_shot,44,31,762.56,32.33,794.90,2,2.52,1,,,,,,,44,,,
torchinferno,few_shot,20,32,769.21,39.80,809.01,2,2.47,1,,,,,,,20,,,
torchinferno,few_shot,49,33,765.06,32.60,797.66,2,2.51,1,,,,,,,49,,,
torchinferno,few_shot,23,34,767.18,38.79,805.97,2,2.48,1,,,,,,,23,,,
torchinferno,few_shot,42,35,758.45,0.00,802.59,1,1.25,1,,,,,,,42,,,
torchinferno,few_shot,29,36,760.70,0.00,807.28,1,1.24,1,,,,,,,29,,,
torchinferno,few_shot,26,37,765.02,0.00,809.75,1,1.23,1,,,,,,,26,,,
torchinferno,few_shot,40,38,762.51,45.31,807.82,2,2.48,1,,,,,,,40,,,
torchinferno,few_shot,22,39,761.32,52.55,813.87,2,2.46,1,,,,,,,22,,,
torchinferno,few_shot,33,40,759.07,55.35,814.43,2,2.46,1,,,,,,,33,,,
torchinferno,few_shot,46,41,759.78,0.00,812.37,1,1.23,1,,,,,,,46,,,
torchinferno,few_shot,45,42,763.58,50.82,814.40,2,2.46,1,,,,,,,45,,,
torchinferno,few_shot,19,43,770.79,56.98,827.76,2,2.42,1,,,,,,,19,,,
torchinferno,few_shot,36,44,763.87,55.78,819.65,2,2.44,1,,,,,,,36,,,
torchinferno,few_shot,31,45,769.36,0.00,822.84,1,1.22,1,,,,,,,31,,,
