model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-25T04:04:53.236240

Build Times
provider,build_time_s
torchinferno,425.6
vllm,1278.6
sglang,215.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,284.50,159.13,138.33,sglang
ttft_p99_ms,2548.85,530.88,9538.39,vllm
tpot_median_ms,152.47,58.02,77.00,vllm
tpot_p99_ms,210.72,145.19,7415.33,vllm
e2e_median_ms,377.39,217.00,210.22,sglang
e2e_p99_ms,2742.03,586.08,16919.55,vllm
throughput_median_tps,4.05,6.50,5.69,vllm
total_output_tokens,1460,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,248.27,210.20,202.33,sglang
ttft_p99_ms,1539.26,507.37,71042.88,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,300.95,234.79,333.80,vllm
e2e_p99_ms,1588.32,531.83,71129.49,vllm
throughput_median_tps,3.32,4.26,3.00,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,726.82,179.75,163.16,sglang
ttft_p99_ms,1972.89,363.93,616.59,vllm
tpot_median_ms,101.92,51.51,102.34,vllm
tpot_p99_ms,565.20,188.26,231.57,vllm
e2e_median_ms,826.88,231.59,260.15,vllm
e2e_p99_ms,2277.70,420.52,676.03,vllm
throughput_median_tps,1.58,6.28,5.15,vllm
total_output_tokens,1450,1460,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1003.89,154.56,107.39,sglang
ttft_last_turn_ms,567.03,174.22,197.46,vllm
ttft_growth_ratio,0.56,1.13,1.84,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,350.50,58.06,76.74,vllm
ttft_p99_ms,1065.98,142.09,508.70,vllm
tpot_median_ms,131.14,26.70,55.25,vllm
tpot_p99_ms,154.13,38.70,165.23,vllm
e2e_median_ms,438.10,78.47,153.72,vllm
e2e_p99_ms,1191.22,162.95,543.97,vllm
throughput_median_tps,3.20,15.68,9.28,vllm
total_output_tokens,1482,1468,1470,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,799.85,67.25,65.57,sglang
ttft_p99_ms,2445.36,108.75,117.75,vllm
tpot_median_ms,15.35,15.03,22.15,vllm
tpot_p99_ms,34.33,19.71,27.11,vllm
e2e_median_ms,1466.35,606.39,841.56,vllm
e2e_p99_ms,3329.64,1007.64,1527.96,vllm
throughput_median_tps,24.42,59.33,42.31,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1443.38,258.48,1701.86,2,1.18,1
torchinferno,few_shot,1,2539.93,0.00,2632.32,1,0.38,1
torchinferno,few_shot,2,2548.85,0.00,2626.66,1,0.38,1
torchinferno,few_shot,3,2537.31,0.00,2632.86,1,0.38,1
torchinferno,few_shot,4,2542.42,0.00,2632.73,1,0.38,1
torchinferno,few_shot,5,2547.47,0.00,2634.21,1,0.38,1
torchinferno,few_shot,6,2557.09,0.00,2641.60,1,0.38,1
torchinferno,few_shot,7,2547.34,0.00,2640.03,1,0.38,1
torchinferno,few_shot,8,2544.58,0.00,2646.27,1,0.38,1
torchinferno,few_shot,9,2546.14,0.00,2639.91,1,0.38,1
torchinferno,few_shot,10,847.82,0.00,950.98,1,1.05,1
torchinferno,few_shot,11,2548.56,0.00,2648.31,1,0.38,1
torchinferno,few_shot,12,2550.65,0.00,2653.78,1,0.38,1
torchinferno,few_shot,13,2545.69,0.00,2647.94,1,0.38,1
torchinferno,few_shot,14,2539.96,0.00,2657.59,1,0.38,1
torchinferno,few_shot,15,2542.63,0.00,2653.87,1,0.38,1
torchinferno,few_shot,16,2546.10,0.00,2662.54,1,0.38,1
torchinferno,few_shot,17,2551.71,0.00,2659.59,1,0.38,1
torchinferno,few_shot,18,2542.11,0.00,2660.93,1,0.38,1
torchinferno,few_shot,19,2546.03,0.00,2657.48,1,0.38,1
torchinferno,few_shot,20,2547.17,0.00,2664.52,1,0.38,1
torchinferno,few_shot,21,2544.29,0.00,2659.22,1,0.38,1
torchinferno,few_shot,22,2538.70,0.00,2663.15,1,0.38,1
torchinferno,few_shot,23,2531.73,0.00,2662.02,1,0.38,1
torchinferno,few_shot,24,2542.90,0.00,2666.19,1,0.38,1
torchinferno,few_shot,25,2543.58,0.00,2668.30,1,0.37,1
torchinferno,few_shot,26,2550.45,0.00,2670.87,1,0.37,1
torchinferno,few_shot,27,2545.54,0.00,2672.27,1,0.37,1
torchinferno,few_shot,28,2542.09,0.00,2673.75,1,0.37,1
torchinferno,few_shot,29,2545.33,0.00,2680.72,1,0.37,1
torchinferno,few_shot,30,2541.44,0.00,2683.25,1,0.37,1
torchinferno,few_shot,31,2548.69,0.00,2679.31,1,0.37,1
torchinferno,few_shot,32,2540.63,0.00,2687.75,1,0.37,1
torchinferno,few_shot,33,2554.95,0.00,2694.57,1,0.37,1
torchinferno,few_shot,34,2542.58,173.56,2716.13,2,0.74,1
torchinferno,few_shot,35,2543.12,170.74,2713.86,2,0.74,1
torchinferno,few_shot,36,2541.95,174.72,2716.67,2,0.74,1
torchinferno,few_shot,37,2545.45,175.14,2720.58,2,0.74,1
torchinferno,few_shot,38,2544.77,169.32,2714.09,2,0.74,1
torchinferno,few_shot,39,2544.90,175.56,2720.46,2,0.74,1
torchinferno,few_shot,40,2538.86,179.19,2718.05,2,0.74,1
torchinferno,few_shot,41,2533.63,183.93,2717.56,2,0.74,1
torchinferno,few_shot,42,2543.26,175.52,2718.78,2,0.74,1
torchinferno,few_shot,43,2537.21,188.46,2725.67,2,0.73,1
torchinferno,few_shot,44,2549.95,175.38,2725.33,2,0.73,1
torchinferno,few_shot,45,2546.19,184.17,2730.36,2,0.73,1
