model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-11T09:03:29.970239

Build Times
provider,build_time_s
torchinferno,385.9
vllm,1346.2
sglang,191.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,313.53,159.97,156.62,sglang
ttft_p99_ms,2047.86,268.83,977.94,vllm
tpot_median_ms,94.41,55.44,74.72,vllm
tpot_p99_ms,618.56,139.32,394.36,vllm
e2e_median_ms,401.63,211.19,227.30,vllm
e2e_p99_ms,2662.66,334.72,1347.98,vllm
throughput_median_tps,3.13,7.13,5.11,vllm
total_output_tokens,1461,1462,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,407.92,202.68,207.95,vllm
ttft_p99_ms,1119.97,459.21,70314.87,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,556.01,234.13,341.33,vllm
e2e_p99_ms,1391.29,508.90,70408.43,vllm
throughput_median_tps,1.80,4.27,2.93,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,728.20,177.32,165.23,sglang
ttft_p99_ms,2159.05,371.59,526.93,vllm
tpot_median_ms,66.75,42.84,99.87,vllm
tpot_p99_ms,189.42,190.75,222.00,torchinferno
e2e_median_ms,785.46,217.42,269.99,vllm
e2e_p99_ms,2180.54,410.04,629.11,vllm
throughput_median_tps,1.83,6.15,5.04,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,830.18,150.82,329.94,vllm
ttft_last_turn_ms,916.71,180.50,169.98,sglang
ttft_growth_ratio,1.10,1.20,0.52,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,367.13,60.83,83.16,vllm
ttft_p99_ms,1100.63,2025.00,886.80,sglang
tpot_median_ms,58.19,28.47,42.68,vllm
tpot_p99_ms,452.44,1993.06,160.03,sglang
e2e_median_ms,432.17,83.42,135.75,vllm
e2e_p99_ms,1245.54,2059.03,901.70,sglang
throughput_median_tps,3.44,14.40,9.72,vllm
total_output_tokens,1477,1465,1477,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,190.45,70.08,76.06,vllm
ttft_p99_ms,1354.47,173.09,161.36,sglang
tpot_median_ms,26.23,15.16,24.20,vllm
tpot_p99_ms,60.92,22.66,30.33,vllm
e2e_median_ms,1242.51,611.94,909.45,vllm
e2e_p99_ms,2852.03,1025.01,1757.47,vllm
throughput_median_tps,30.76,58.97,38.36,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1659.41,0.00,1668.76,1,0.60,1
torchinferno,few_shot,1,1659.97,0.00,1668.02,1,0.60,1
torchinferno,few_shot,2,1658.45,0.00,1669.91,1,0.60,1
torchinferno,few_shot,3,1662.69,0.00,1675.54,1,0.60,1
torchinferno,few_shot,4,1663.49,17.36,1680.85,2,1.19,1
torchinferno,few_shot,5,1658.66,19.84,1678.49,2,1.19,1
torchinferno,few_shot,6,1656.03,23.39,1679.41,2,1.19,1
torchinferno,few_shot,7,1661.47,22.79,1684.26,2,1.19,1
torchinferno,few_shot,8,1656.47,25.06,1681.53,2,1.19,1
torchinferno,few_shot,9,2043.27,0.00,2582.23,1,0.39,1
torchinferno,few_shot,10,2045.26,0.00,2587.68,1,0.39,1
torchinferno,few_shot,11,2036.13,0.00,2587.10,1,0.39,1
torchinferno,few_shot,12,2041.14,0.00,2590.65,1,0.39,1
torchinferno,few_shot,13,2036.69,0.00,2594.54,1,0.39,1
torchinferno,few_shot,14,2034.60,0.00,2589.48,1,0.39,1
torchinferno,few_shot,15,2050.44,0.00,2603.27,1,0.38,1
torchinferno,few_shot,16,2042.73,0.00,2599.07,1,0.38,1
torchinferno,few_shot,17,2043.83,0.00,2601.14,1,0.38,1
torchinferno,few_shot,18,2045.54,0.00,2608.54,1,0.38,1
torchinferno,few_shot,19,2038.57,571.34,2609.90,2,0.77,1
torchinferno,few_shot,20,2045.56,561.78,2607.34,2,0.77,1
torchinferno,few_shot,21,2035.39,0.00,2605.47,1,0.38,1
torchinferno,few_shot,22,2054.39,565.28,2619.67,2,0.76,1
torchinferno,few_shot,23,2036.45,575.65,2612.11,2,0.77,1
torchinferno,few_shot,24,2580.12,28.20,2608.31,2,0.77,1
torchinferno,few_shot,25,2038.99,574.55,2613.54,2,0.77,1
torchinferno,few_shot,26,2039.82,0.00,2614.18,1,0.38,1
torchinferno,few_shot,27,2034.40,578.80,2613.20,2,0.77,1
torchinferno,few_shot,28,2040.07,575.22,2615.29,2,0.76,1
torchinferno,few_shot,29,2036.20,579.80,2615.99,2,0.76,1
torchinferno,few_shot,30,2041.74,577.39,2619.13,2,0.76,1
torchinferno,few_shot,31,2047.79,577.15,2624.94,2,0.76,1
torchinferno,few_shot,32,930.04,0.00,957.82,1,1.04,1
torchinferno,few_shot,33,2042.94,593.99,2636.94,2,0.76,1
torchinferno,few_shot,34,2036.30,594.71,2631.01,2,0.76,1
torchinferno,few_shot,35,2047.86,588.67,2636.53,2,0.76,1
torchinferno,few_shot,36,2040.83,0.00,2634.77,1,0.38,1
torchinferno,few_shot,37,2042.33,590.56,2632.89,2,0.76,1
torchinferno,few_shot,38,2034.79,0.00,2634.59,1,0.38,1
torchinferno,few_shot,39,2042.80,594.13,2636.92,2,0.76,1
torchinferno,few_shot,40,944.07,0.00,979.76,1,1.02,1
torchinferno,few_shot,41,2042.09,602.80,2644.90,2,0.76,1
torchinferno,few_shot,42,2039.65,0.00,2649.57,1,0.38,1
torchinferno,few_shot,43,2043.65,0.00,2643.97,1,0.38,1
torchinferno,few_shot,44,2040.17,0.00,2644.90,1,0.38,1
torchinferno,few_shot,45,2035.58,614.38,2649.96,2,0.75,1
