model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-23T13:03:32.418946

Build Times
provider,build_time_s
torchinferno,381.7
vllm,1286.9
sglang,223.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,321.58,156.82,142.70,sglang
ttft_p99_ms,1971.60,259.32,6158.05,vllm
tpot_median_ms,148.96,56.19,73.09,vllm
tpot_p99_ms,213.00,136.69,8354.84,vllm
e2e_median_ms,444.89,210.90,213.15,vllm
e2e_p99_ms,2158.11,326.25,14478.52,vllm
throughput_median_tps,3.00,7.18,5.47,vllm
total_output_tokens,1461,1457,1460,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,263.86,194.36,198.02,vllm
ttft_p99_ms,1778.58,332.47,71318.85,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,319.37,235.46,337.06,vllm
e2e_p99_ms,1819.66,422.22,71474.56,vllm
throughput_median_tps,3.13,4.25,2.97,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,891.99,170.98,161.82,sglang
ttft_p99_ms,2077.60,309.85,751.91,vllm
tpot_median_ms,134.75,60.30,108.20,vllm
tpot_p99_ms,573.63,202.15,229.08,vllm
e2e_median_ms,992.77,223.02,258.54,vllm
e2e_p99_ms,2324.00,422.02,920.23,vllm
throughput_median_tps,1.30,6.32,5.15,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1157.61,134.92,116.23,sglang
ttft_last_turn_ms,821.59,171.25,179.06,vllm
ttft_growth_ratio,0.71,1.27,1.54,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,354.10,57.05,74.32,vllm
ttft_p99_ms,956.82,125.45,622.34,vllm
tpot_median_ms,130.29,27.21,63.80,vllm
tpot_p99_ms,156.75,43.85,630.46,vllm
e2e_median_ms,455.61,77.93,150.81,vllm
e2e_p99_ms,1081.82,151.55,709.26,vllm
throughput_median_tps,2.96,15.89,9.49,vllm
total_output_tokens,1483,1477,1465,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,963.70,67.80,65.21,sglang
ttft_p99_ms,2838.95,114.52,108.13,sglang
tpot_median_ms,16.12,15.04,22.36,vllm
tpot_p99_ms,67.29,19.35,26.52,vllm
e2e_median_ms,1636.06,598.99,839.97,vllm
e2e_p99_ms,3440.59,1012.86,1567.79,vllm
throughput_median_tps,19.59,59.44,42.14,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,835.22,0.00,1171.36,1,0.85,1
torchinferno,few_shot,1,1957.09,0.00,2046.43,1,0.49,1
torchinferno,few_shot,2,1969.70,0.00,2049.66,1,0.49,1
torchinferno,few_shot,3,1955.04,0.00,2050.64,1,0.49,1
torchinferno,few_shot,4,1962.11,0.00,2049.97,1,0.49,1
torchinferno,few_shot,5,1959.82,0.00,2056.62,1,0.49,1
torchinferno,few_shot,6,1972.49,0.00,2054.41,1,0.49,1
torchinferno,few_shot,7,1972.55,0.00,2058.73,1,0.49,1
torchinferno,few_shot,8,1952.18,0.00,2055.70,1,0.49,1
torchinferno,few_shot,9,1959.00,0.00,2060.00,1,0.49,1
torchinferno,few_shot,10,1955.86,0.00,2064.74,1,0.48,1
torchinferno,few_shot,11,1980.44,0.00,2071.98,1,0.48,1
torchinferno,few_shot,12,1968.04,0.00,2068.72,1,0.48,1
torchinferno,few_shot,13,1962.83,0.00,2074.14,1,0.48,1
torchinferno,few_shot,14,1965.42,0.00,2072.82,1,0.48,1
torchinferno,few_shot,15,1971.23,0.00,2075.46,1,0.48,1
torchinferno,few_shot,16,1958.86,0.00,2074.74,1,0.48,1
torchinferno,few_shot,17,1957.15,0.00,2082.10,1,0.48,1
torchinferno,few_shot,18,809.32,0.00,914.86,1,1.09,1
torchinferno,few_shot,19,1971.70,0.00,2085.63,1,0.48,1
torchinferno,few_shot,20,1955.44,0.00,2082.98,1,0.48,1
torchinferno,few_shot,21,1966.84,0.00,2087.56,1,0.48,1
torchinferno,few_shot,22,1957.73,0.00,2091.10,1,0.48,1
torchinferno,few_shot,23,1957.02,0.00,2092.16,1,0.48,1
torchinferno,few_shot,24,1959.68,0.00,2089.25,1,0.48,1
torchinferno,few_shot,25,1953.92,0.00,2090.70,1,0.48,1
torchinferno,few_shot,26,1959.00,0.00,2096.10,1,0.48,1
torchinferno,few_shot,27,1964.27,0.00,2096.19,1,0.48,1
torchinferno,few_shot,28,1968.26,0.00,2097.55,1,0.48,1
torchinferno,few_shot,29,1958.88,0.00,2099.67,1,0.48,1
torchinferno,few_shot,30,1965.70,0.00,2106.98,1,0.47,1
torchinferno,few_shot,31,1970.27,0.00,2111.06,1,0.47,1
torchinferno,few_shot,32,1962.27,152.65,2114.92,2,0.95,1
torchinferno,few_shot,33,1954.47,155.74,2110.22,2,0.95,1
torchinferno,few_shot,34,1964.75,152.28,2117.03,2,0.94,1
torchinferno,few_shot,35,1966.85,148.85,2115.69,2,0.95,1
torchinferno,few_shot,36,1968.99,157.86,2126.85,2,0.94,1
torchinferno,few_shot,37,1958.96,161.52,2120.48,2,0.94,1
torchinferno,few_shot,38,1962.91,158.47,2121.39,2,0.94,1
torchinferno,few_shot,39,1970.12,155.15,2125.27,2,0.94,1
torchinferno,few_shot,40,1963.74,169.85,2133.59,2,0.94,1
torchinferno,few_shot,41,1977.61,157.90,2135.51,2,0.94,1
torchinferno,few_shot,42,1962.03,166.26,2128.29,2,0.94,1
torchinferno,few_shot,43,1965.97,163.17,2129.14,2,0.94,1
torchinferno,few_shot,44,1971.49,165.13,2136.62,2,0.94,1
torchinferno,few_shot,45,1958.08,175.80,2133.88,2,0.94,1
