model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-26T22:59:03.663592+00:00

Build Times
provider,build_time_s
vllm,0.0
sglang,0.0
torchinferno,0.0

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,151.90,162.57,167.64,vllm
ttft_p99_ms,568.31,628.13,8502.55,vllm
tpot_median_ms,56.91,77.76,53.10,torchinferno
tpot_p99_ms,145.06,268.38,5231.36,vllm
e2e_median_ms,202.98,237.29,217.03,vllm
e2e_p99_ms,629.09,714.81,8554.05,vllm
throughput_median_tps,7.00,5.02,5.31,vllm
total_output_tokens,1465,1456,1449,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,175.83,234.14,150.84,torchinferno
ttft_p99_ms,568.36,59333.46,624.53,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,263.36,394.39,353.68,vllm
e2e_p99_ms,769.11,59451.05,890.30,vllm
throughput_median_tps,3.80,2.54,2.83,vllm
total_output_tokens,1000,1000,1000,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,130.28,170.06,593.22,vllm
ttft_p99_ms,327.33,707.26,1904.06,vllm
tpot_median_ms,83.28,119.76,66.08,torchinferno
tpot_p99_ms,262.81,745.40,130.41,torchinferno
e2e_median_ms,222.16,286.19,647.27,vllm
e2e_p99_ms,492.46,907.53,1954.90,vllm
throughput_median_tps,5.92,4.52,2.14,vllm
total_output_tokens,1462,1450,1452,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,119.66,177.53,1017.00,vllm
ttft_last_turn_ms,135.27,235.72,752.19,vllm
ttft_growth_ratio,1.13,1.33,0.74,torchinferno

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,72.72,77.41,296.68,vllm
ttft_p99_ms,181.92,556.44,1697.04,vllm
tpot_median_ms,35.32,66.80,55.38,vllm
tpot_p99_ms,87.59,208.65,559.50,vllm
e2e_median_ms,99.01,158.46,332.07,vllm
e2e_p99_ms,203.69,618.60,1741.48,vllm
throughput_median_tps,12.39,8.65,4.13,vllm
total_output_tokens,1458,1462,1452,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,77.48,90.38,329.16,vllm
ttft_p99_ms,174.25,562.35,1886.31,vllm
tpot_median_ms,18.83,26.95,27.88,vllm
tpot_p99_ms,26.34,39.09,100.22,vllm
e2e_median_ms,740.67,1039.12,1536.99,vllm
e2e_p99_ms,1273.28,2335.12,4177.28,vllm
throughput_median_tps,47.80,34.11,25.17,vllm
total_output_tokens,36715,36714,36715,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,431.27,0.00,432.20,1,2.31,1
vllm,few_shot,1,431.02,0.00,433.48,1,2.31,1
vllm,few_shot,2,448.72,35.64,484.36,2,4.13,1
vllm,few_shot,3,477.56,0.00,504.00,1,1.98,1
vllm,few_shot,4,481.40,0.00,513.96,1,1.95,1
vllm,few_shot,5,488.02,0.00,515.90,1,1.94,1
vllm,few_shot,6,483.40,0.00,517.62,1,1.93,1
vllm,few_shot,7,509.16,0.00,558.01,1,1.79,1
vllm,few_shot,8,484.92,77.07,562.00,2,3.56,1
vllm,few_shot,9,496.27,0.00,553.65,1,1.81,1
vllm,few_shot,10,501.90,0.00,560.36,1,1.78,1
vllm,few_shot,11,473.90,86.44,560.34,2,3.57,1
vllm,few_shot,12,501.42,0.00,558.69,1,1.79,1
vllm,few_shot,13,498.16,0.00,560.12,1,1.79,1
vllm,few_shot,14,478.02,85.84,563.87,2,3.55,1
vllm,few_shot,15,507.73,0.00,571.27,1,1.75,1
vllm,few_shot,16,508.14,0.00,568.50,1,1.76,1
vllm,few_shot,17,473.96,95.11,569.07,2,3.51,1
vllm,few_shot,18,473.90,94.95,568.85,2,3.52,1
vllm,few_shot,19,508.06,0.00,572.56,1,1.75,1
vllm,few_shot,20,474.77,97.30,572.08,2,3.50,1
vllm,few_shot,21,476.27,96.21,572.48,2,3.49,1
vllm,few_shot,22,484.93,98.14,583.07,2,3.43,1
vllm,few_shot,23,538.63,0.00,575.44,1,1.74,1
vllm,few_shot,24,556.99,0.00,571.60,1,1.75,1
vllm,few_shot,25,541.66,0.00,574.29,1,1.74,1
vllm,few_shot,26,547.56,0.00,577.23,1,1.73,1
vllm,few_shot,27,501.38,89.83,591.20,2,3.38,1
vllm,few_shot,28,501.38,92.12,593.50,2,3.37,1
vllm,few_shot,29,536.49,0.00,583.06,1,1.72,1
vllm,few_shot,30,502.65,96.67,599.32,2,3.34,1
vllm,few_shot,31,550.77,0.00,594.03,1,1.68,1
vllm,few_shot,32,550.43,0.00,593.63,1,1.68,1
vllm,few_shot,33,557.53,37.26,594.79,2,3.36,1
vllm,few_shot,34,535.22,55.66,590.88,2,3.38,1
vllm,few_shot,35,535.99,56.91,592.90,2,3.37,1
vllm,few_shot,36,546.87,0.00,598.64,1,1.67,1
vllm,few_shot,37,108.38,0.00,135.54,1,7.38,1
vllm,few_shot,38,503.41,108.23,611.64,2,3.27,1
vllm,few_shot,39,568.31,0.00,608.01,1,1.64,1
vllm,few_shot,40,594.75,0.00,594.96,1,1.68,1
vllm,few_shot,41,573.56,22.07,595.63,2,3.36,1
vllm,few_shot,42,157.39,0.00,193.20,1,5.18,1
vllm,few_shot,43,568.68,0.00,600.62,1,1.66,1
vllm,few_shot,44,539.48,0.00,608.45,1,1.64,1
vllm,few_shot,45,548.53,0.00,617.82,1,1.62,1
vllm,few_shot,46,569.01,0.00,605.13,1,1.65,1
vllm,few_shot,47,586.79,22.93,609.72,2,3.28,1
vllm,few_shot,48,159.73,0.00,205.39,1,4.87,1
vllm,few_shot,49,552.02,73.67,625.69,2,3.20,1
vllm,few_shot,50,536.63,78.00,614.64,2,3.25,1
vllm,few_shot,51,565.82,46.97,612.79,2,3.26,1
