model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-08T13:19:15.683774

Build Times
provider,build_time_s
vllm,807.8
sglang,87.5
torchinferno,39.2

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,31.73,30.68,94.50,sglang
ttft_p99_ms,286.46,43.72,1232.29,sglang
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,45.41,41.68,173.49,sglang
e2e_p99_ms,299.09,50.95,1579.71,sglang
throughput_median_tps,22.02,23.99,5.76,sglang
total_output_tokens,8,8,8,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,69.34,427.81,1143.09,vllm
ttft_p99_ms,82.57,440.52,1160.89,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,91.37,437.92,1459.27,vllm
e2e_p99_ms,100.21,449.68,1476.01,vllm
throughput_median_tps,10.95,2.28,0.69,vllm
total_output_tokens,16,16,16,vllm
num_requests,16,16,16,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,31.16,30.86,356.79,sglang
ttft_p99_ms,32.10,32.40,375.25,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,44.80,41.82,627.42,sglang
e2e_p99_ms,45.94,43.13,648.35,sglang
throughput_median_tps,22.32,23.91,1.59,sglang
total_output_tokens,8,8,8,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm
ttft_first_turn_ms,26.22,24.05,349.91,sglang
ttft_last_turn_ms,31.18,32.40,373.73,vllm
ttft_growth_ratio,1.19,1.35,1.07,torchinferno

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,45.63,40.29,318.27,sglang
ttft_p99_ms,64.94,44.72,1077.21,sglang
tpot_median_ms,29.10,22.06,353.73,sglang
tpot_p99_ms,30.37,23.42,547.08,sglang
e2e_median_ms,60.02,53.75,588.57,sglang
e2e_p99_ms,86.65,67.36,1357.45,sglang
throughput_median_tps,17.08,18.83,2.29,sglang
total_output_tokens,33,33,33,vllm
num_requests,31,31,31,
correctness_rate,1.00,1.00,1.00,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,31.43,32.11,326.72,vllm
ttft_p99_ms,32.42,33.89,370.23,vllm
tpot_median_ms,14.05,12.10,271.09,sglang
tpot_p99_ms,15.59,13.15,300.21,sglang
e2e_median_ms,550.61,479.56,10338.46,sglang
e2e_p99_ms,946.48,823.41,17697.40,sglang
throughput_median_tps,68.98,79.18,3.67,sglang
total_output_tokens,303,303,303,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,286.46,0.00,299.09,1,3.34,1
vllm,few_shot,1,31.75,0.00,45.48,1,21.99,1
vllm,few_shot,2,31.71,0.00,45.33,1,22.06,1
vllm,few_shot,3,31.54,0.00,45.30,1,22.08,1
vllm,few_shot,4,32.28,0.00,46.10,1,21.69,1
vllm,few_shot,5,32.33,0.00,45.81,1,21.83,1
vllm,few_shot,6,31.58,0.00,45.12,1,22.16,1
vllm,few_shot,7,31.24,0.00,44.79,1,22.33,1
vllm,self_consistency,0,38.79,0.00,52.20,1,19.16,1
vllm,self_consistency,1,72.10,0.00,100.21,1,9.98,1
vllm,self_consistency,2,61.88,0.00,90.78,1,11.02,1
vllm,self_consistency,3,59.90,0.00,86.82,1,11.52,1
vllm,self_consistency,4,69.01,0.00,96.80,1,10.33,1
vllm,self_consistency,5,64.26,0.00,93.22,1,10.73,1
vllm,self_consistency,6,65.69,0.00,93.25,1,10.72,1
vllm,self_consistency,7,57.56,0.00,85.00,1,11.76,1
vllm,self_consistency,8,71.01,0.00,99.45,1,10.06,1
vllm,self_consistency,9,59.28,0.00,87.10,1,11.48,1
vllm,self_consistency,10,69.67,0.00,83.84,1,11.93,1
vllm,self_consistency,11,79.67,0.00,91.95,1,10.88,1
vllm,self_consistency,12,72.37,0.00,85.95,1,11.63,1
vllm,self_consistency,13,76.00,0.00,89.08,1,11.23,1
vllm,self_consistency,14,82.57,0.00,94.58,1,10.57,1
vllm,self_consistency,15,82.28,0.00,96.12,1,10.40,1
vllm,multi_turn,0,26.22,0.00,39.40,1,25.38,1
vllm,multi_turn,1,30.94,0.00,44.25,1,22.60,1
vllm,multi_turn,2,31.11,0.00,44.79,1,22.33,1
vllm,multi_turn,3,31.40,0.00,44.74,1,22.35,1
vllm,multi_turn,4,32.10,0.00,45.94,1,21.77,1
vllm,multi_turn,5,31.14,0.00,44.80,1,22.32,1
vllm,multi_turn,6,31.67,0.00,45.31,1,22.07,1
vllm,multi_turn,7,31.18,0.00,44.99,1,22.23,1
vllm,tree_of_thought,0,32.64,0.00,49.98,1,20.01,1
vllm,tree_of_thought,1,33.98,0.00,51.80,1,19.31,1
vllm,tree_of_thought,2,45.60,0.00,60.02,1,16.66,1
vllm,tree_of_thought,3,48.05,0.00,61.66,1,16.22,1
vllm,tree_of_thought,4,34.58,0.00,48.28,1,20.71,1
vllm,tree_of_thought,5,63.02,0.00,77.80,1,12.85,1
vllm,tree_of_thought,6,64.94,0.00,79.03,1,12.65,1
vllm,tree_of_thought,7,62.17,0.00,76.34,1,13.10,1
vllm,tree_of_thought,8,35.01,0.00,51.46,1,19.43,1
vllm,tree_of_thought,9,50.35,0.00,65.31,1,15.31,1
vllm,tree_of_thought,10,48.43,0.00,63.96,1,15.63,1
vllm,tree_of_thought,11,59.94,0.00,73.22,1,13.66,1
vllm,tree_of_thought,12,33.16,0.00,50.28,1,19.89,1
vllm,tree_of_thought,13,46.59,0.00,62.77,1,15.93,1
vllm,tree_of_thought,14,60.59,0.00,75.82,1,13.19,1
vllm,tree_of_thought,15,48.70,30.37,79.07,2,25.29,1
vllm,tree_of_thought,16,29.93,0.00,43.24,1,23.13,1
vllm,tree_of_thought,17,31.80,0.00,49.65,1,20.14,1
vllm,tree_of_thought,18,46.45,0.00,60.24,1,16.60,1
vllm,tree_of_thought,19,48.89,0.00,61.93,1,16.15,1
vllm,tree_of_thought,20,45.26,0.00,58.66,1,17.05,1
vllm,tree_of_thought,21,30.84,0.00,48.17,1,20.76,1
vllm,tree_of_thought,22,32.72,0.00,49.77,1,20.09,1
vllm,tree_of_thought,23,45.63,0.00,58.56,1,17.08,1
vllm,tree_of_thought,24,44.57,0.00,57.16,1,17.50,1
vllm,tree_of_thought,25,29.56,0.00,42.90,1,23.31,1
vllm,tree_of_thought,26,31.72,0.00,44.97,1,22.24,1
vllm,tree_of_thought,27,57.55,0.00,71.55,1,13.98,1
vllm,tree_of_thought,28,61.07,0.00,74.67,1,13.39,1
vllm,tree_of_thought,29,58.83,27.82,86.65,2,23.08,1
vllm,tree_of_thought,30,30.51,0.00,43.92,1,22.77,1
vllm,long_output,0,25.66,15.59,150.40,9,59.84,1
vllm,long_output,1,31.00,14.69,266.05,17,63.90,1
vllm,long_output,2,31.64,14.22,372.94,25,67.03,1
vllm,long_output,3,31.04,14.08,495.57,34,68.61,1
vllm,long_output,4,31.93,13.99,605.65,42,69.35,1
vllm,long_output,5,31.41,14.03,719.01,50,69.54,1
vllm,long_output,6,31.46,13.92,838.60,59,70.35,1
vllm,long_output,7,32.42,13.85,946.48,67,70.79,1
sglang,few_shot,0,43.72,0.00,50.95,1,19.63,1
sglang,few_shot,1,31.49,0.00,41.33,1,24.19,1
sglang,few_shot,2,30.96,0.00,41.76,1,23.95,1
sglang,few_shot,3,30.36,0.00,41.54,1,24.08,1
sglang,few_shot,4,30.49,0.00,41.60,1,24.04,1
