model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-28T23:02:59.290014+00:00

Build Times
provider,build_time_s
torchinferno,123.5
vllm,543.7
sglang,265.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,163.41,134.11,148.18,vllm
ttft_p99_ms,2705.43,244.29,640.86,vllm
tpot_median_ms,50.28,43.15,82.33,vllm
tpot_p99_ms,850.76,127.48,380.20,vllm
e2e_median_ms,203.65,166.86,226.50,vllm
e2e_p99_ms,2760.04,302.15,898.40,vllm
throughput_median_tps,5.77,7.94,5.40,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,252.18,195.58,222.42,vllm
ttft_p99_ms,585.86,423.58,70342.12,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,268.86,217.97,368.72,vllm
e2e_p99_ms,651.10,477.25,70432.69,vllm
throughput_median_tps,3.72,4.59,2.71,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,319.29,163.73,180.86,vllm
ttft_p99_ms,590.02,323.19,425.29,vllm
tpot_median_ms,58.16,54.38,105.18,vllm
tpot_p99_ms,108.32,179.38,229.65,torchinferno
e2e_median_ms,376.34,208.59,281.49,vllm
e2e_p99_ms,649.56,412.17,522.80,vllm
throughput_median_tps,3.39,6.63,4.59,vllm
total_output_tokens,1469,1450,1448,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,448.76,134.05,286.57,vllm
ttft_last_turn_ms,495.02,160.67,188.47,vllm
ttft_growth_ratio,1.10,1.20,0.66,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,196.20,60.68,89.01,vllm
ttft_p99_ms,651.98,3760.91,673.43,torchinferno
tpot_median_ms,57.86,30.83,46.13,vllm
tpot_p99_ms,94.98,2001.55,642.23,torchinferno
e2e_median_ms,241.23,84.65,149.42,vllm
e2e_p99_ms,692.73,3803.96,725.54,torchinferno
throughput_median_tps,5.77,14.35,9.08,vllm
total_output_tokens,1473,1462,1473,
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,338.39,77.71,74.10,sglang
ttft_p99_ms,1143.90,206.07,256.15,vllm
tpot_median_ms,22.82,15.03,22.73,vllm
tpot_p99_ms,55.91,23.42,27.55,vllm
e2e_median_ms,1164.87,621.83,863.02,vllm
e2e_p99_ms,2325.99,1024.24,1643.25,vllm
throughput_median_tps,31.85,57.88,40.70,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1406.33,0.00,1867.96,1,0.54,1
torchinferno,few_shot,1,1417.04,0.00,1877.40,1,0.53,1
torchinferno,few_shot,2,1424.42,0.00,1888.57,1,0.53,1
torchinferno,few_shot,3,1428.14,0.00,1888.31,1,0.53,1
torchinferno,few_shot,4,1411.61,0.00,1884.05,1,0.53,1
torchinferno,few_shot,5,1411.95,0.00,1888.35,1,0.53,1
torchinferno,few_shot,6,1418.62,0.00,1894.71,1,0.53,1
torchinferno,few_shot,7,1419.00,0.00,1892.72,1,0.53,1
torchinferno,few_shot,8,1413.30,0.00,1894.24,1,0.53,1
torchinferno,few_shot,9,1417.18,0.00,1898.11,1,0.53,1
torchinferno,few_shot,10,1423.36,0.00,1901.22,1,0.53,1
torchinferno,few_shot,11,1418.99,0.00,1903.79,1,0.53,1
torchinferno,few_shot,12,1409.24,0.00,1902.77,1,0.53,1
torchinferno,few_shot,13,1407.04,0.00,1898.49,1,0.53,1
torchinferno,few_shot,14,1411.38,0.00,1899.37,1,0.53,1
torchinferno,few_shot,15,1425.35,0.00,1913.41,1,0.52,1
torchinferno,few_shot,16,1408.23,836.81,2245.04,2,0.89,1
torchinferno,few_shot,17,1416.39,832.34,2248.73,2,0.89,1
torchinferno,few_shot,18,1403.62,838.61,2242.24,2,0.89,1
torchinferno,few_shot,19,1418.69,834.51,2253.19,2,0.89,1
torchinferno,few_shot,20,1430.19,831.50,2261.69,2,0.88,1
torchinferno,few_shot,21,1416.29,840.24,2256.53,2,0.89,1
torchinferno,few_shot,22,1422.24,838.33,2260.57,2,0.88,1
torchinferno,few_shot,23,1414.07,846.53,2260.60,2,0.88,1
torchinferno,few_shot,24,1415.67,849.44,2265.11,2,0.88,1
torchinferno,few_shot,25,1418.74,845.25,2264.00,2,0.88,1
torchinferno,few_shot,26,1413.06,855.78,2268.84,2,0.88,1
torchinferno,few_shot,27,1419.10,850.76,2269.86,2,0.88,1
torchinferno,few_shot,28,1426.97,849.97,2276.94,2,0.88,1
torchinferno,few_shot,29,1415.96,858.92,2274.88,2,0.88,1
torchinferno,few_shot,30,1427.57,854.97,2282.54,2,0.88,1
torchinferno,few_shot,31,1431.10,854.43,2285.54,2,0.88,1
torchinferno,few_shot,32,2241.38,387.73,2629.12,2,0.76,1
torchinferno,few_shot,33,2700.45,0.00,2716.79,1,0.37,1
torchinferno,few_shot,34,2705.88,0.00,2715.43,1,0.37,1
torchinferno,few_shot,35,2703.18,0.00,2718.57,1,0.37,1
torchinferno,few_shot,36,2705.43,0.00,2721.39,1,0.37,1
torchinferno,few_shot,37,2699.72,0.00,2725.40,1,0.37,1
torchinferno,few_shot,38,2706.66,0.00,2727.40,1,0.37,1
torchinferno,few_shot,39,2701.62,0.00,2725.00,1,0.37,1
torchinferno,few_shot,40,833.30,0.00,867.96,1,1.15,1
torchinferno,few_shot,41,2699.98,0.00,2735.79,1,0.37,1
torchinferno,few_shot,42,2700.43,0.00,2738.90,1,0.37,1
torchinferno,few_shot,43,2706.56,0.00,2737.81,1,0.37,1
