model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-12T07:03:01.574542

Build Times
provider,build_time_s
torchinferno,421.1
vllm,1355.8
sglang,233.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,168.57,146.17,sglang
ttft_p99_ms,,1008.11,1266.74,vllm
tpot_median_ms,,61.54,73.17,vllm
tpot_p99_ms,,144.78,399.23,vllm
e2e_median_ms,,224.98,213.74,sglang
e2e_p99_ms,,1059.35,1637.95,vllm
throughput_median_tps,,6.76,5.47,vllm
total_output_tokens,,1458,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,190.74,218.12,vllm
ttft_p99_ms,,459.73,70545.31,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,212.63,353.06,vllm
e2e_p99_ms,,468.34,70648.99,vllm
throughput_median_tps,,4.70,2.83,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,172.85,160.45,sglang
ttft_p99_ms,,358.03,283.52,sglang
tpot_median_ms,,66.91,102.69,vllm
tpot_p99_ms,,218.95,220.70,vllm
e2e_median_ms,,225.93,257.08,vllm
e2e_p99_ms,,447.27,423.11,sglang
throughput_median_tps,,6.18,5.29,vllm
total_output_tokens,,1460,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,138.85,114.63,sglang
ttft_last_turn_ms,,171.66,199.41,vllm
ttft_growth_ratio,,1.24,1.74,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,60.88,83.41,vllm
ttft_p99_ms,,2057.11,784.47,sglang
tpot_median_ms,,28.04,61.30,vllm
tpot_p99_ms,,1761.29,150.52,sglang
e2e_median_ms,,82.45,155.59,vllm
e2e_p99_ms,,2085.78,824.49,sglang
throughput_median_tps,,14.79,9.19,vllm
total_output_tokens,,1459,1471,sglang
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,70.98,77.36,vllm
ttft_p99_ms,,229.75,162.04,sglang
tpot_median_ms,,14.94,23.24,vllm
tpot_p99_ms,,21.03,29.36,vllm
e2e_median_ms,,623.29,883.39,vllm
e2e_p99_ms,,1022.05,1713.23,vllm
throughput_median_tps,,58.46,39.48,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,863.52,0.00,864.71,1,1.16,1
vllm,few_shot,1,872.57,0.00,872.72,1,1.15,1
vllm,few_shot,2,864.71,0.00,868.63,1,1.15,1
vllm,few_shot,3,868.85,0.00,873.23,1,1.15,1
vllm,few_shot,4,869.70,0.00,873.64,1,1.14,1
vllm,few_shot,5,874.29,0.00,874.42,1,1.14,1
vllm,few_shot,6,875.19,0.00,878.73,1,1.14,1
vllm,few_shot,7,876.33,0.00,876.44,1,1.14,1
vllm,few_shot,8,875.61,0.00,878.69,1,1.14,1
vllm,few_shot,9,877.87,0.00,879.74,1,1.14,1
vllm,few_shot,10,889.48,0.00,899.14,1,1.11,1
vllm,few_shot,11,891.37,37.49,928.87,2,2.15,1
vllm,few_shot,12,921.26,0.00,939.14,1,1.06,1
vllm,few_shot,13,921.86,0.00,936.80,1,1.07,1
vllm,few_shot,14,923.04,0.00,940.46,1,1.06,1
vllm,few_shot,15,922.19,0.00,938.35,1,1.07,1
vllm,few_shot,16,922.95,79.43,1002.37,2,2.00,1
vllm,few_shot,17,924.85,78.31,1003.17,2,1.99,1
vllm,few_shot,18,922.16,84.84,1007.00,2,1.99,1
vllm,few_shot,19,930.52,0.00,1002.39,1,1.00,1
vllm,few_shot,20,920.63,86.61,1007.24,2,1.99,1
vllm,few_shot,21,931.83,0.00,1007.58,1,0.99,1
vllm,few_shot,22,922.40,87.11,1009.51,2,1.98,1
vllm,few_shot,23,931.71,0.00,1008.33,1,0.99,1
vllm,few_shot,24,921.16,92.46,1013.62,2,1.97,1
vllm,few_shot,25,921.89,89.11,1011.01,2,1.98,1
vllm,few_shot,26,923.05,92.24,1015.29,2,1.97,1
vllm,few_shot,27,934.90,0.00,1015.24,1,0.98,1
vllm,few_shot,28,919.69,97.60,1017.29,2,1.97,1
vllm,few_shot,29,922.28,96.57,1018.85,2,1.96,1
vllm,few_shot,30,994.38,0.00,1020.64,1,0.98,1
vllm,few_shot,31,922.20,106.28,1028.48,2,1.94,1
vllm,few_shot,32,992.00,0.00,1022.27,1,0.98,1
vllm,few_shot,33,986.61,0.00,1021.48,1,0.98,1
vllm,few_shot,34,991.23,0.00,1025.48,1,0.98,1
vllm,few_shot,35,931.93,96.46,1028.39,2,1.94,1
vllm,few_shot,36,990.93,0.00,1024.33,1,0.98,1
vllm,few_shot,37,1016.64,0.00,1030.82,1,0.97,1
vllm,few_shot,38,930.09,101.36,1031.44,2,1.94,1
vllm,few_shot,39,988.97,0.00,1028.31,1,0.97,1
vllm,few_shot,40,1013.38,0.00,1031.91,1,0.97,1
vllm,few_shot,41,994.66,0.00,1034.05,1,0.97,1
vllm,few_shot,42,989.79,0.00,1034.00,1,0.97,1
vllm,few_shot,43,167.98,0.00,168.20,1,5.95,1
vllm,few_shot,44,990.58,0.00,1039.39,1,0.96,1
vllm,few_shot,45,1015.86,21.66,1037.52,2,1.93,1
vllm,few_shot,46,169.64,0.00,186.46,1,5.36,1
vllm,few_shot,47,153.29,0.00,173.51,1,5.76,1
vllm,few_shot,48,1006.07,0.00,1046.01,1,0.96,1
vllm,few_shot,49,998.28,45.75,1044.02,2,1.92,1
vllm,few_shot,50,987.18,56.20,1043.39,2,1.92,1
vllm,few_shot,51,129.16,0.00,155.79,1,6.42,1
vllm,few_shot,52,1015.92,30.98,1046.90,2,1.91,1
vllm,few_shot,53,1010.13,0.00,1048.50,1,0.95,1
vllm,few_shot,54,996.50,0.00,1048.25,1,0.95,1
vllm,few_shot,55,155.00,0.00,193.13,1,5.18,1
vllm,few_shot,56,1010.18,42.47,1052.65,2,1.90,1
vllm,few_shot,57,178.50,0.00,193.52,1,5.17,1
vllm,few_shot,58,995.18,59.11,1054.29,2,1.90,1
vllm,few_shot,59,989.99,66.82,1056.81,2,1.89,1
vllm,few_shot,60,155.57,40.06,195.63,2,10.22,1
vllm,few_shot,61,993.57,70.71,1064.28,2,1.88,1
vllm,few_shot,62,1050.98,8.37,1059.35,2,1.89,1
vllm,few_shot,63,157.65,0.00,206.23,1,4.85,1
vllm,few_shot,64,996.07,70.05,1066.12,2,1.88,1
vllm,few_shot,65,128.16,4.56,132.72,2,15.07,1
vllm,few_shot,66,998.72,67.56,1066.28,2,1.88,1
vllm,few_shot,67,196.00,0.00,205.58,1,4.86,1
vllm,few_shot,68,158.22,0.00,209.59,1,4.77,1
vllm,few_shot,69,1008.11,60.32,1068.43,2,1.87,1
vllm,few_shot,70,996.70,0.00,1072.33,1,0.93,1
vllm,few_shot,71,1002.30,70.67,1072.97,2,1.86,1
vllm,few_shot,72,1013.65,57.27,1070.92,2,1.87,1
vllm,few_shot,73,204.72,0.33,205.05,2,9.75,1
vllm,few_shot,74,118.61,40.38,158.99,2,12.58,1
vllm,few_shot,75,144.35,0.32,144.67,2,13.82,1
vllm,few_shot,76,1078.69,1.74,1080.43,2,1.85,1
vllm,few_shot,77,154.78,0.00,155.01,1,6.45,1
vllm,few_shot,78,104.14,49.62,153.77,2,13.01,1
vllm,few_shot,79,68.72,0.00,84.05,1,11.90,1
vllm,few_shot,80,993.82,0.00,1089.54,1,0.92,1
vllm,few_shot,81,80.45,0.00,89.24,1,11.21,1
vllm,few_shot,82,95.46,0.00,105.67,1,9.46,1
vllm,few_shot,83,104.56,0.00,115.44,1,8.66,1
vllm,few_shot,84,110.60,0.00,122.37,1,8.17,1
vllm,few_shot,85,100.99,0.00,114.80,1,8.71,1
vllm,few_shot,86,121.10,0.00,134.68,1,7.43,1
vllm,few_shot,87,115.94,0.00,126.79,1,7.89,1
vllm,few_shot,88,101.85,0.00,126.95,1,7.88,1
vllm,few_shot,89,114.60,40.84,155.44,2,12.87,1
vllm,few_shot,90,159.60,0.00,171.49,1,5.83,1
vllm,few_shot,91,127.02,0.00,146.67,1,6.82,1
vllm,few_shot,92,129.06,42.91,171.97,2,11.63,1
vllm,few_shot,93,151.60,0.00,165.73,1,6.03,1
vllm,few_shot,94,131.06,74.91,205.97,2,9.71,1
vllm,few_shot,95,142.75,0.00,210.42,1,4.75,1
vllm,few_shot,96,105.63,84.90,190.53,2,10.50,1
vllm,few_shot,97,121.02,0.00,192.69,1,5.19,1
vllm,few_shot,98,101.59,0.00,176.37,1,5.67,1
vllm,few_shot,99,143.18,0.00,219.74,1,4.55,1
vllm,few_shot,100,124.74,0.00,200.22,1,4.99,1
vllm,few_shot,101,166.90,0.00,218.50,1,4.58,1
vllm,few_shot,102,137.92,127.98,265.90,2,7.52,1
vllm,few_shot,103,180.18,0.00,247.90,1,4.03,1
vllm,few_shot,104,125.65,132.71,258.37,2,7.74,1
vllm,few_shot,105,107.77,136.99,244.76,2,8.17,1
vllm,few_shot,106,168.96,0.00,228.07,1,4.38,1
vllm,few_shot,107,209.63,0.00,280.89,1,3.56,1
vllm,few_shot,108,166.85,78.52,245.37,2,8.15,1
vllm,few_shot,109,174.79,0.00,252.59,1,3.96,1
vllm,few_shot,110,188.31,0.00,271.64,1,3.68,1
vllm,few_shot,111,185.20,85.04,270.24,2,7.40,1
vllm,few_shot,112,275.65,0.00,294.74,1,3.39,1
vllm,few_shot,113,198.35,0.00,271.88,1,3.68,1
vllm,few_shot,114,219.21,0.00,248.51,1,4.02,1
vllm,few_shot,115,221.57,0.00,250.99,1,3.98,1
vllm,few_shot,116,196.83,0.00,283.07,1,3.53,1
vllm,few_shot,117,194.38,0.00,280.62,1,3.56,1
vllm,few_shot,118,228.04,0.00,257.82,1,3.88,1
vllm,few_shot,119,234.58,0.00,263.59,1,3.79,1
vllm,few_shot,120,170.48,0.00,208.87,1,4.79,1
vllm,few_shot,121,218.83,99.97,318.80,2,6.27,1
vllm,few_shot,122,205.32,93.55,298.87,2,6.69,1
vllm,few_shot,123,210.83,84.72,295.55,2,6.77,1
vllm,few_shot,124,260.90,0.00,298.95,1,3.35,1
vllm,few_shot,125,182.68,97.63,280.31,2,7.13,1
vllm,few_shot,126,226.21,0.00,259.25,1,3.86,1
vllm,few_shot,127,221.22,102.32,323.54,2,6.18,1
vllm,few_shot,128,150.86,0.00,166.10,1,6.02,1
vllm,few_shot,129,166.16,0.00,166.51,1,6.01,1
vllm,few_shot,130,141.59,29.37,170.95,2,11.70,1
vllm,few_shot,131,206.48,98.03,304.51,2,6.57,1
vllm,few_shot,132,216.79,9.62,226.41,2,8.83,1
vllm,few_shot,133,200.45,0.00,310.22,1,3.22,1
vllm,few_shot,134,162.03,51.87,213.90,2,9.35,1
vllm,few_shot,135,100.85,0.00,105.86,1,9.45,1
vllm,few_shot,136,165.49,109.55,275.04,2,7.27,1
vllm,few_shot,137,213.45,0.00,260.62,1,3.84,1
vllm,few_shot,138,176.21,118.83,295.05,2,6.78,1
vllm,few_shot,139,177.68,0.00,192.76,1,5.19,1
vllm,few_shot,140,274.20,56.46,330.67,2,6.05,1
vllm,few_shot,141,120.36,0.00,120.59,1,8.29,1
vllm,few_shot,142,185.52,119.94,305.46,2,6.55,1
vllm,few_shot,143,272.20,0.00,333.35,1,3.00,1
