model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-13T05:02:53.238804

Build Times
provider,build_time_s
torchinferno,332.2
vllm,1368.0
sglang,214.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,287.04,158.59,142.25,sglang
ttft_p99_ms,2187.50,263.55,633.65,vllm
tpot_median_ms,81.49,51.51,76.53,vllm
tpot_p99_ms,633.11,132.44,402.32,vllm
e2e_median_ms,362.82,202.40,213.48,vllm
e2e_p99_ms,2285.05,333.92,900.57,vllm
throughput_median_tps,3.78,7.24,5.74,vllm
total_output_tokens,1466,1452,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,402.91,186.37,227.01,vllm
ttft_p99_ms,1075.08,242.80,71330.19,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,571.72,242.89,381.22,vllm
e2e_p99_ms,1341.75,338.66,71428.70,vllm
throughput_median_tps,1.75,4.12,2.62,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,720.13,175.94,167.96,sglang
ttft_p99_ms,1916.27,363.76,282.98,sglang
tpot_median_ms,60.91,61.36,104.77,torchinferno
tpot_p99_ms,188.79,199.58,227.82,torchinferno
e2e_median_ms,777.54,236.85,267.97,vllm
e2e_p99_ms,1969.41,422.30,427.04,vllm
throughput_median_tps,1.81,6.10,5.01,vllm
total_output_tokens,1450,1450,1448,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,733.64,150.02,118.87,sglang
ttft_last_turn_ms,958.50,170.32,202.04,vllm
ttft_growth_ratio,1.31,1.14,1.70,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,442.83,60.65,78.89,vllm
ttft_p99_ms,1118.14,2027.66,600.20,sglang
tpot_median_ms,65.51,28.09,58.17,vllm
tpot_p99_ms,345.86,1994.08,163.97,sglang
e2e_median_ms,524.67,82.88,154.39,vllm
e2e_p99_ms,1263.29,2078.65,656.35,sglang
throughput_median_tps,2.92,14.47,9.19,vllm
total_output_tokens,1460,1479,1463,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,190.50,65.12,72.81,vllm
ttft_p99_ms,1245.17,111.07,135.43,vllm
tpot_median_ms,25.83,15.20,22.57,vllm
tpot_p99_ms,57.87,20.76,27.14,vllm
e2e_median_ms,1226.49,608.91,842.90,vllm
e2e_p99_ms,2667.56,1022.76,1562.10,vllm
throughput_median_tps,31.13,58.84,41.44,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1205.40,0.00,1213.58,1,0.82,1
torchinferno,few_shot,1,1206.95,0.00,1216.37,1,0.82,1
torchinferno,few_shot,2,1208.23,109.90,1318.13,2,1.52,1
torchinferno,few_shot,3,1206.19,111.55,1317.74,2,1.52,1
torchinferno,few_shot,4,1666.78,0.00,2198.17,1,0.45,1
torchinferno,few_shot,5,1649.12,0.00,2188.27,1,0.46,1
torchinferno,few_shot,6,1667.31,0.00,2202.70,1,0.45,1
torchinferno,few_shot,7,1654.92,0.00,2195.52,1,0.46,1
torchinferno,few_shot,8,1648.88,0.00,2197.82,1,0.45,1
torchinferno,few_shot,9,1649.01,0.00,2201.57,1,0.45,1
torchinferno,few_shot,10,1663.36,0.00,2216.30,1,0.45,1
torchinferno,few_shot,11,2201.71,0.00,2201.99,1,0.45,1
torchinferno,few_shot,12,1649.51,0.00,2210.19,1,0.45,1
torchinferno,few_shot,13,1657.55,0.00,2207.19,1,0.45,1
torchinferno,few_shot,14,1656.42,552.22,2208.64,2,0.91,1
torchinferno,few_shot,15,1665.68,555.85,2221.53,2,0.90,1
torchinferno,few_shot,16,1671.46,0.00,2225.16,1,0.45,1
torchinferno,few_shot,17,1661.94,0.00,2230.08,1,0.45,1
torchinferno,few_shot,18,1653.85,0.00,2221.16,1,0.45,1
torchinferno,few_shot,19,1653.94,0.00,2219.86,1,0.45,1
torchinferno,few_shot,20,1656.12,0.00,2224.20,1,0.45,1
torchinferno,few_shot,21,2189.66,27.50,2217.16,2,0.90,1
torchinferno,few_shot,22,1648.64,574.44,2223.08,2,0.90,1
torchinferno,few_shot,23,1647.18,0.00,2223.64,1,0.45,1
torchinferno,few_shot,24,1664.08,573.65,2237.74,2,0.89,1
torchinferno,few_shot,25,1653.78,578.48,2232.26,2,0.90,1
torchinferno,few_shot,26,1660.41,586.53,2246.94,2,0.89,1
torchinferno,few_shot,27,1658.66,574.55,2233.21,2,0.90,1
torchinferno,few_shot,28,1660.01,0.00,2246.30,1,0.45,1
torchinferno,few_shot,29,2196.72,0.00,2229.98,1,0.45,1
torchinferno,few_shot,30,1654.71,578.74,2233.45,2,0.90,1
torchinferno,few_shot,31,1648.48,0.00,2236.66,1,0.45,1
torchinferno,few_shot,32,1647.96,0.00,2241.02,1,0.45,1
torchinferno,few_shot,33,2187.08,0.00,2237.48,1,0.45,1
torchinferno,few_shot,34,1656.56,0.00,2245.32,1,0.45,1
torchinferno,few_shot,35,1656.67,0.00,2262.91,1,0.44,1
torchinferno,few_shot,36,1657.23,603.64,2260.87,2,0.88,1
torchinferno,few_shot,37,2206.76,41.27,2248.03,2,0.89,1
torchinferno,few_shot,38,1668.86,600.48,2269.34,2,0.88,1
torchinferno,few_shot,39,1655.87,598.64,2254.51,2,0.89,1
torchinferno,few_shot,40,1656.14,603.37,2259.51,2,0.89,1
torchinferno,few_shot,41,1644.84,0.00,2258.63,1,0.44,1
torchinferno,few_shot,42,1051.73,0.00,1057.11,1,0.95,1
torchinferno,few_shot,43,2188.61,67.09,2255.70,2,0.89,1
torchinferno,few_shot,44,1662.84,610.95,2273.79,2,0.88,1
torchinferno,few_shot,45,1656.72,608.73,2265.45,2,0.88,1
