model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-24T06:03:49.934579

Build Times
provider,build_time_s
torchinferno,293.9
vllm,1267.4
sglang,192.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,274.58,161.25,143.45,sglang
ttft_p99_ms,1937.03,596.38,8037.14,vllm
tpot_median_ms,154.70,54.90,81.81,vllm
tpot_p99_ms,208.80,137.87,7320.93,vllm
e2e_median_ms,368.94,214.05,221.29,vllm
e2e_p99_ms,2128.53,630.53,15330.06,vllm
throughput_median_tps,4.05,6.88,5.36,vllm
total_output_tokens,1461,1460,1460,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,266.34,213.36,202.89,sglang
ttft_p99_ms,1771.06,262.11,71179.69,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,292.78,300.28,348.24,torchinferno
e2e_p99_ms,1852.30,375.67,71286.86,vllm
throughput_median_tps,3.42,3.33,2.87,torchinferno
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,755.50,180.88,160.91,sglang
ttft_p99_ms,2038.88,364.30,571.46,vllm
tpot_median_ms,122.81,63.14,110.04,vllm
tpot_p99_ms,572.25,221.79,217.67,sglang
e2e_median_ms,873.60,237.46,260.56,vllm
e2e_p99_ms,2152.34,453.24,721.22,vllm
throughput_median_tps,1.54,5.73,5.06,vllm
total_output_tokens,1450,1469,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,1061.97,142.76,111.33,sglang
ttft_last_turn_ms,625.47,180.62,185.40,vllm
ttft_growth_ratio,0.59,1.27,1.67,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,353.73,57.76,74.59,vllm
ttft_p99_ms,1523.30,152.82,443.60,vllm
tpot_median_ms,133.98,26.54,64.95,vllm
tpot_p99_ms,157.16,38.48,394.07,vllm
e2e_median_ms,448.36,78.05,157.20,vllm
e2e_p99_ms,1589.42,179.35,486.64,vllm
throughput_median_tps,3.21,15.68,8.98,vllm
total_output_tokens,1477,1470,1468,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,834.60,74.81,68.73,sglang
ttft_p99_ms,3126.92,209.24,126.75,sglang
tpot_median_ms,15.11,14.95,22.47,vllm
tpot_p99_ms,61.83,20.49,27.64,vllm
e2e_median_ms,1325.71,613.89,855.52,vllm
e2e_p99_ms,4032.12,1040.26,1575.26,vllm
throughput_median_tps,23.05,58.52,41.87,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,933.40,0.00,1262.80,1,0.79,1
torchinferno,few_shot,1,1928.59,0.00,2020.56,1,0.49,1
torchinferno,few_shot,2,1936.11,0.00,2024.26,1,0.49,1
torchinferno,few_shot,3,1929.23,0.00,2031.72,1,0.49,1
torchinferno,few_shot,4,1943.48,0.00,2033.22,1,0.49,1
torchinferno,few_shot,5,1932.54,0.00,2029.95,1,0.49,1
torchinferno,few_shot,6,1924.84,0.00,2032.96,1,0.49,1
torchinferno,few_shot,7,1928.97,0.00,2029.76,1,0.49,1
torchinferno,few_shot,8,1932.07,0.00,2035.29,1,0.49,1
torchinferno,few_shot,9,1937.03,0.00,2041.98,1,0.49,1
torchinferno,few_shot,10,1927.20,0.00,2035.74,1,0.49,1
torchinferno,few_shot,11,1934.17,0.00,2034.84,1,0.49,1
torchinferno,few_shot,12,1931.83,0.00,2040.11,1,0.49,1
torchinferno,few_shot,13,1935.14,0.00,2042.72,1,0.49,1
torchinferno,few_shot,14,1930.43,0.00,2040.71,1,0.49,1
torchinferno,few_shot,15,1935.36,0.00,2048.79,1,0.49,1
torchinferno,few_shot,16,1927.70,0.00,2043.52,1,0.49,1
torchinferno,few_shot,17,1940.09,0.00,2047.39,1,0.49,1
torchinferno,few_shot,18,1936.96,0.00,2044.77,1,0.49,1
torchinferno,few_shot,19,1942.04,0.00,2052.35,1,0.49,1
torchinferno,few_shot,20,1927.01,0.00,2050.44,1,0.49,1
torchinferno,few_shot,21,1932.09,0.00,2050.12,1,0.49,1
torchinferno,few_shot,22,1927.25,0.00,2050.71,1,0.49,1
torchinferno,few_shot,23,1931.14,0.00,2062.44,1,0.48,1
torchinferno,few_shot,24,1933.15,0.00,2055.55,1,0.49,1
torchinferno,few_shot,25,1926.69,0.00,2056.39,1,0.49,1
torchinferno,few_shot,26,1933.82,0.00,2059.73,1,0.49,1
torchinferno,few_shot,27,1931.23,0.00,2066.05,1,0.48,1
torchinferno,few_shot,28,1927.61,0.00,2062.04,1,0.48,1
torchinferno,few_shot,29,1925.42,0.00,2065.27,1,0.48,1
torchinferno,few_shot,30,1936.19,0.00,2065.66,1,0.48,1
torchinferno,few_shot,31,1924.87,0.00,2066.49,1,0.48,1
torchinferno,few_shot,32,679.59,0.00,811.45,1,1.23,1
torchinferno,few_shot,33,1937.00,163.60,2100.60,2,0.95,1
torchinferno,few_shot,34,1929.95,175.76,2105.71,2,0.95,1
torchinferno,few_shot,35,1936.42,165.45,2101.87,2,0.95,1
torchinferno,few_shot,36,1929.57,170.08,2099.65,2,0.95,1
torchinferno,few_shot,37,1927.94,175.87,2103.81,2,0.95,1
torchinferno,few_shot,38,1933.11,168.65,2101.76,2,0.95,1
torchinferno,few_shot,39,1940.80,167.49,2108.29,2,0.95,1
torchinferno,few_shot,40,1939.98,170.73,2110.71,2,0.95,1
torchinferno,few_shot,41,1933.09,180.64,2113.73,2,0.95,1
torchinferno,few_shot,42,1948.44,170.33,2118.77,2,0.94,1
torchinferno,few_shot,43,1925.72,182.89,2108.60,2,0.95,1
torchinferno,few_shot,44,1934.67,177.29,2111.96,2,0.95,1
torchinferno,few_shot,45,1929.31,189.26,2118.57,2,0.94,1
