model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-24T02:03:51.519672

Build Times
provider,build_time_s
torchinferno,389.5
vllm,1288.7
sglang,203.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,273.75,157.59,139.98,sglang
ttft_p99_ms,1996.10,265.87,6874.49,vllm
tpot_median_ms,154.14,54.80,75.91,vllm
tpot_p99_ms,205.70,135.52,7412.79,vllm
e2e_median_ms,371.48,212.20,209.71,sglang
e2e_p99_ms,2193.89,315.06,14250.17,vllm
throughput_median_tps,4.05,7.09,5.83,vllm
total_output_tokens,1461,1456,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,267.16,198.70,202.66,vllm
ttft_p99_ms,2640.66,499.09,71565.91,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,291.27,226.49,341.37,vllm
e2e_p99_ms,2722.58,563.58,71683.14,vllm
throughput_median_tps,3.43,4.42,2.93,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,857.26,173.22,156.97,sglang
ttft_p99_ms,2041.54,335.37,604.87,vllm
tpot_median_ms,125.08,64.00,98.20,vllm
tpot_p99_ms,498.73,165.96,232.63,vllm
e2e_median_ms,946.10,226.20,259.92,vllm
e2e_p99_ms,2176.29,408.59,659.73,vllm
throughput_median_tps,1.40,6.21,5.12,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1009.05,140.09,105.05,sglang
ttft_last_turn_ms,644.69,163.06,194.69,vllm
ttft_growth_ratio,0.64,1.16,1.85,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,335.39,58.92,75.81,vllm
ttft_p99_ms,963.46,179.47,714.33,vllm
tpot_median_ms,133.64,27.10,68.59,vllm
tpot_p99_ms,157.98,42.44,166.90,vllm
e2e_median_ms,435.65,79.90,159.34,vllm
e2e_p99_ms,1108.05,199.87,756.67,vllm
throughput_median_tps,3.23,15.49,9.05,vllm
total_output_tokens,1479,1468,1469,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,704.07,67.37,68.78,vllm
ttft_p99_ms,2539.00,218.17,112.43,sglang
tpot_median_ms,14.81,15.00,22.22,torchinferno
tpot_p99_ms,32.73,20.03,27.92,vllm
e2e_median_ms,1345.79,615.96,818.98,vllm
e2e_p99_ms,3074.50,1017.20,1568.21,vllm
throughput_median_tps,24.97,58.70,42.36,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,931.73,0.00,1269.45,1,0.79,1
torchinferno,few_shot,1,1986.21,0.00,2074.18,1,0.48,1
torchinferno,few_shot,2,1994.68,0.00,2078.95,1,0.48,1
torchinferno,few_shot,3,1988.97,0.00,2077.39,1,0.48,1
torchinferno,few_shot,4,1995.16,0.00,2082.52,1,0.48,1
torchinferno,few_shot,5,1992.95,0.00,2080.94,1,0.48,1
torchinferno,few_shot,6,1985.45,0.00,2084.46,1,0.48,1
torchinferno,few_shot,7,1989.30,0.00,2086.28,1,0.48,1
torchinferno,few_shot,8,1996.75,0.00,2090.20,1,0.48,1
torchinferno,few_shot,9,1990.80,0.00,2086.37,1,0.48,1
torchinferno,few_shot,10,1989.91,0.00,2088.43,1,0.48,1
torchinferno,few_shot,11,1995.48,0.00,2092.11,1,0.48,1
torchinferno,few_shot,12,1988.64,0.00,2095.33,1,0.48,1
torchinferno,few_shot,13,1993.09,0.00,2100.77,1,0.48,1
torchinferno,few_shot,14,1987.06,0.00,2102.67,1,0.48,1
torchinferno,few_shot,15,1995.15,0.00,2099.46,1,0.48,1
torchinferno,few_shot,16,1986.50,0.00,2106.85,1,0.47,1
torchinferno,few_shot,17,1997.68,0.00,2106.24,1,0.47,1
torchinferno,few_shot,18,1984.09,0.00,2107.15,1,0.47,1
torchinferno,few_shot,19,723.73,0.00,844.19,1,1.18,1
torchinferno,few_shot,20,1993.19,0.00,2112.58,1,0.47,1
torchinferno,few_shot,21,1986.90,0.00,2112.52,1,0.47,1
torchinferno,few_shot,22,1989.31,0.00,2111.53,1,0.47,1
torchinferno,few_shot,23,1987.70,0.00,2114.69,1,0.47,1
torchinferno,few_shot,24,1987.06,0.00,2123.49,1,0.47,1
torchinferno,few_shot,25,2002.73,0.00,2123.31,1,0.47,1
torchinferno,few_shot,26,1988.11,0.00,2127.68,1,0.47,1
torchinferno,few_shot,27,1984.36,0.00,2122.65,1,0.47,1
torchinferno,few_shot,28,1987.39,0.00,2128.81,1,0.47,1
torchinferno,few_shot,29,1998.78,0.00,2128.32,1,0.47,1
torchinferno,few_shot,30,1985.00,0.00,2126.77,1,0.47,1
torchinferno,few_shot,31,1995.13,0.00,2135.11,1,0.47,1
torchinferno,few_shot,32,1983.72,0.00,2136.17,1,0.47,1
torchinferno,few_shot,33,1993.36,161.37,2154.73,2,0.93,1
torchinferno,few_shot,34,1985.53,171.59,2157.13,2,0.93,1
torchinferno,few_shot,35,1994.67,170.93,2165.60,2,0.92,1
torchinferno,few_shot,36,1985.28,176.45,2161.73,2,0.93,1
torchinferno,few_shot,37,1998.65,168.91,2167.56,2,0.92,1
torchinferno,few_shot,38,1996.10,172.93,2169.03,2,0.92,1
torchinferno,few_shot,39,1992.37,176.60,2168.98,2,0.92,1
torchinferno,few_shot,40,1997.35,179.06,2176.42,2,0.92,1
torchinferno,few_shot,41,1993.60,174.86,2168.46,2,0.92,1
torchinferno,few_shot,42,1985.13,191.87,2177.00,2,0.92,1
torchinferno,few_shot,43,1995.62,188.22,2183.84,2,0.92,1
torchinferno,few_shot,44,1985.49,194.19,2179.68,2,0.92,1
torchinferno,few_shot,45,1985.60,191.33,2176.93,2,0.92,1
