model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-16T01:02:29.286688+00:00

Build Times
provider,build_time_s
torchinferno,45.8
vllm,334.2
sglang,171.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,140.87,76.87,79.06,vllm
ttft_p99_ms,721.38,155.55,533.64,vllm
tpot_median_ms,31.84,38.53,66.41,torchinferno
tpot_p99_ms,44.83,100.28,905.23,torchinferno
e2e_median_ms,165.59,112.28,133.56,vllm
e2e_p99_ms,740.86,194.21,922.91,vllm
throughput_median_tps,7.01,12.20,10.04,vllm
total_output_tokens,1461,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,59.21,76.60,119.49,torchinferno
ttft_p99_ms,331.28,285.62,70837.96,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,77.03,96.69,206.97,torchinferno
e2e_p99_ms,357.77,288.93,70883.28,vllm
throughput_median_tps,12.98,10.34,4.83,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,190.48,75.57,91.36,vllm
ttft_p99_ms,997.02,155.42,478.29,vllm
tpot_median_ms,34.29,36.46,70.15,torchinferno
tpot_p99_ms,43.53,91.71,938.13,torchinferno
e2e_median_ms,218.10,101.09,148.37,vllm
e2e_p99_ms,1022.94,196.67,967.86,vllm
throughput_median_tps,5.18,13.02,9.01,vllm
total_output_tokens,1444,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,422.49,73.25,68.83,sglang
ttft_last_turn_ms,173.78,80.31,94.84,vllm
ttft_growth_ratio,0.41,1.10,1.38,torchinferno
ttft_first_turn_median_ms,213.26,66.85,63.20,sglang
ttft_first_turn_p99_ms,1097.36,134.07,117.36,sglang
ttft_last_turn_median_ms,186.96,73.03,94.93,vllm
ttft_last_turn_p99_ms,206.59,142.85,123.33,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,53.39,35.51,54.10,vllm
ttft_p99_ms,764.01,104.68,466.15,vllm
tpot_median_ms,34.89,23.45,364.85,vllm
tpot_p99_ms,73.34,40.08,1027.63,vllm
e2e_median_ms,73.97,53.93,421.88,vllm
e2e_p99_ms,792.49,153.01,1084.43,vllm
throughput_median_tps,19.34,24.23,3.30,vllm
total_output_tokens,1484,1468,1460,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.96,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,184.83,47.29,53.40,vllm
ttft_p99_ms,426.71,65.44,104.53,vllm
tpot_median_ms,19.20,15.31,24.83,vllm
tpot_p99_ms,25.25,16.82,77.20,vllm
e2e_median_ms,885.53,573.03,952.25,vllm
e2e_p99_ms,1566.32,1041.39,1763.21,vllm
throughput_median_tps,41.20,61.41,38.76,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,781.67,0.00,792.46,1,1.26,1,,,,,,,1,,,
torchinferno,few_shot,0,1,798.05,24.09,822.14,2,2.43,1,,,,,,,0,,,
torchinferno,few_shot,5,2,791.13,0.00,803.53,1,1.24,1,,,,,,,5,,,
torchinferno,few_shot,26,3,435.33,0.00,448.16,1,2.23,1,,,,,,,26,,,
torchinferno,few_shot,12,4,672.01,0.00,687.11,1,1.46,1,,,,,,,12,,,
torchinferno,few_shot,24,5,466.84,0.00,483.59,1,2.07,1,,,,,,,24,,,
torchinferno,few_shot,8,6,738.24,0.00,756.13,1,1.32,1,,,,,,,8,,,
torchinferno,few_shot,25,7,452.56,0.00,468.01,1,2.14,1,,,,,,,25,,,
torchinferno,few_shot,28,8,399.08,0.00,417.34,1,2.40,1,,,,,,,28,,,
torchinferno,few_shot,9,9,721.38,0.00,740.86,1,1.35,1,,,,,,,9,,,
torchinferno,few_shot,11,10,689.53,0.00,707.43,1,1.41,1,,,,,,,11,,,
torchinferno,few_shot,29,11,383.82,0.00,401.97,1,2.49,1,,,,,,,29,,,
torchinferno,few_shot,7,12,757.17,0.00,775.98,1,1.29,1,,,,,,,7,,,
torchinferno,few_shot,10,13,704.31,0.00,726.72,1,1.38,1,,,,,,,10,,,
torchinferno,few_shot,4,14,805.42,0.00,829.02,1,1.21,1,,,,,,,4,,,
torchinferno,few_shot,31,15,350.72,0.00,373.86,1,2.67,1,,,,,,,31,,,
torchinferno,few_shot,17,16,588.39,0.00,612.08,1,1.63,1,,,,,,,17,,,
torchinferno,few_shot,3,17,824.45,26.69,851.14,2,2.35,1,,,,,,,3,,,
torchinferno,few_shot,20,18,534.51,29.25,563.76,2,3.55,1,,,,,,,20,,,
torchinferno,few_shot,13,19,656.92,26.86,683.79,2,2.92,1,,,,,,,13,,,
torchinferno,few_shot,16,20,602.41,29.96,632.36,2,3.16,1,,,,,,,16,,,
torchinferno,few_shot,22,21,501.32,30.03,531.35,2,3.76,1,,,,,,,22,,,
torchinferno,few_shot,15,22,622.41,29.14,651.55,2,3.07,1,,,,,,,15,,,
torchinferno,few_shot,23,23,485.49,30.22,515.70,2,3.88,1,,,,,,,23,,,
torchinferno,few_shot,2,24,841.12,30.94,872.07,2,2.29,1,,,,,,,2,,,
torchinferno,few_shot,30,25,365.39,32.93,398.32,2,5.02,1,,,,,,,30,,,
torchinferno,few_shot,21,26,519.93,31.74,551.67,2,3.63,1,,,,,,,21,,,
torchinferno,few_shot,6,27,771.60,34.99,806.59,2,2.48,1,,,,,,,6,,,
torchinferno,few_shot,33,28,316.95,32.51,349.46,2,5.72,1,,,,,,,33,,,
torchinferno,few_shot,27,29,418.29,34.66,452.95,2,4.42,1,,,,,,,27,,,
torchinferno,few_shot,32,30,332.11,36.86,368.97,2,5.42,1,,,,,,,32,,,
torchinferno,few_shot,14,31,638.07,37.80,675.87,2,2.96,1,,,,,,,14,,,
torchinferno,few_shot,19,32,551.62,39.26,590.88,2,3.38,1,,,,,,,19,,,
torchinferno,few_shot,18,33,570.16,38.36,608.52,2,3.29,1,,,,,,,18,,,
torchinferno,few_shot,35,34,363.96,0.00,375.75,1,2.66,1,,,,,,,35,,,
torchinferno,few_shot,47,35,158.24,0.00,172.50,1,5.80,1,,,,,,,47,,,
torchinferno,few_shot,71,36,63.90,0.00,77.90,1,12.84,1,,,,,,,71,,,
torchinferno,few_shot,42,37,245.47,0.00,257.93,1,3.88,1,,,,,,,42,,,
torchinferno,few_shot,48,38,140.75,0.00,155.74,1,6.42,1,,,,,,,48,,,
