model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-26T18:58:34.666330+00:00

Build Times
provider,build_time_s
vllm,0.0
sglang,0.0
torchinferno,0.0

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,152.27,162.67,167.35,vllm
ttft_p99_ms,750.45,631.86,4514.37,sglang
tpot_median_ms,57.04,88.24,55.24,torchinferno
tpot_p99_ms,136.66,322.48,1260.98,vllm
e2e_median_ms,199.56,246.63,214.82,vllm
e2e_p99_ms,812.37,807.45,4558.32,sglang
throughput_median_tps,6.89,4.91,5.28,vllm
total_output_tokens,1457,1455,1454,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,182.52,324.88,161.40,torchinferno
ttft_p99_ms,654.31,62610.21,668.67,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,316.27,626.62,325.68,vllm
e2e_p99_ms,856.28,62772.95,872.72,vllm
throughput_median_tps,3.16,1.60,3.07,vllm
total_output_tokens,1000,1000,1000,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,197.63,187.85,477.67,sglang
ttft_p99_ms,401.73,775.57,2151.78,vllm
tpot_median_ms,60.18,108.98,67.15,vllm
tpot_p99_ms,256.25,463.95,130.93,torchinferno
e2e_median_ms,249.55,302.41,535.37,vllm
e2e_p99_ms,532.86,829.45,2199.62,vllm
throughput_median_tps,5.53,4.20,2.24,vllm
total_output_tokens,1450,1450,1446,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,167.54,107.61,1163.69,sglang
ttft_last_turn_ms,181.34,277.37,922.94,vllm
ttft_growth_ratio,1.08,2.58,0.79,torchinferno

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,74.88,77.52,281.23,vllm
ttft_p99_ms,166.72,576.45,1601.64,vllm
tpot_median_ms,36.07,82.81,56.44,vllm
tpot_p99_ms,115.41,193.09,582.83,vllm
e2e_median_ms,102.05,165.92,377.16,vllm
e2e_p99_ms,208.99,640.99,1652.68,vllm
throughput_median_tps,12.25,8.59,4.12,vllm
total_output_tokens,1479,1499,1466,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,82.20,85.13,349.98,vllm
ttft_p99_ms,218.78,365.86,1925.24,vllm
tpot_median_ms,18.81,26.97,27.83,vllm
tpot_p99_ms,22.70,40.94,189.41,vllm
e2e_median_ms,759.25,1004.85,1446.38,vllm
e2e_p99_ms,1270.18,2045.22,4285.08,vllm
throughput_median_tps,47.56,34.49,26.17,vllm
total_output_tokens,36715,36715,36715,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,626.86,0.00,627.04,1,1.59,1
vllm,few_shot,1,632.51,0.00,634.44,1,1.58,1
vllm,few_shot,2,636.95,0.00,637.08,1,1.57,1
vllm,few_shot,3,632.46,0.00,633.50,1,1.58,1
vllm,few_shot,4,640.61,0.00,643.56,1,1.55,1
vllm,few_shot,5,641.80,0.00,645.03,1,1.55,1
vllm,few_shot,6,640.42,0.00,645.38,1,1.55,1
vllm,few_shot,7,645.17,0.00,648.36,1,1.54,1
vllm,few_shot,8,635.07,0.00,641.93,1,1.56,1
vllm,few_shot,9,644.43,0.00,657.23,1,1.52,1
vllm,few_shot,10,652.51,0.00,665.94,1,1.50,1
vllm,few_shot,11,674.98,0.00,699.33,1,1.43,1
vllm,few_shot,12,684.83,0.00,708.25,1,1.41,1
vllm,few_shot,13,686.30,0.00,708.13,1,1.41,1
vllm,few_shot,14,684.56,0.00,711.84,1,1.40,1
vllm,few_shot,15,683.68,56.01,739.69,2,2.70,1
vllm,few_shot,16,681.24,58.16,739.39,2,2.70,1
vllm,few_shot,17,678.66,63.19,741.85,2,2.70,1
vllm,few_shot,18,682.41,63.88,746.29,2,2.68,1
vllm,few_shot,19,675.76,67.22,742.98,2,2.69,1
vllm,few_shot,20,706.22,0.00,741.45,1,1.35,1
vllm,few_shot,21,680.89,69.53,750.42,2,2.67,1
vllm,few_shot,22,699.67,0.00,744.38,1,1.34,1
vllm,few_shot,23,680.61,71.73,752.34,2,2.66,1
vllm,few_shot,24,701.61,0.00,749.89,1,1.33,1
vllm,few_shot,25,695.95,0.00,750.70,1,1.33,1
vllm,few_shot,26,678.17,77.32,755.49,2,2.65,1
vllm,few_shot,27,701.21,0.00,748.62,1,1.34,1
vllm,few_shot,28,695.55,0.00,753.81,1,1.33,1
vllm,few_shot,29,681.70,80.46,762.15,2,2.62,1
vllm,few_shot,30,683.44,81.13,764.57,2,2.62,1
vllm,few_shot,31,729.96,0.00,761.88,1,1.31,1
vllm,few_shot,32,699.31,74.44,773.75,2,2.58,1
vllm,few_shot,33,692.56,80.05,772.61,2,2.59,1
vllm,few_shot,34,737.72,0.00,768.90,1,1.30,1
vllm,few_shot,35,719.46,0.00,768.03,1,1.30,1
vllm,few_shot,36,723.11,0.00,772.02,1,1.30,1
vllm,few_shot,37,703.60,76.89,780.49,2,2.56,1
vllm,few_shot,38,698.38,84.03,782.41,2,2.56,1
vllm,few_shot,39,749.17,0.00,781.41,1,1.28,1
vllm,few_shot,40,723.15,0.00,775.38,1,1.29,1
vllm,few_shot,41,727.32,0.00,784.56,1,1.27,1
vllm,few_shot,42,747.75,0.00,786.58,1,1.27,1
vllm,few_shot,43,122.08,0.00,141.52,1,7.07,1
vllm,few_shot,44,731.65,0.00,786.11,1,1.27,1
vllm,few_shot,45,721.08,64.38,785.46,2,2.55,1
vllm,few_shot,46,156.06,0.00,176.81,1,5.66,1
vllm,few_shot,47,150.95,0.00,174.96,1,5.72,1
vllm,few_shot,48,736.72,55.05,791.78,2,2.53,1
vllm,few_shot,49,148.13,0.00,172.74,1,5.79,1
vllm,few_shot,50,753.20,0.00,790.65,1,1.26,1
vllm,few_shot,51,767.16,0.00,791.12,1,1.26,1
vllm,few_shot,52,106.15,0.00,106.36,1,9.40,1
vllm,few_shot,53,182.00,0.00,187.02,1,5.35,1
vllm,few_shot,54,147.81,0.00,182.11,1,5.49,1
vllm,few_shot,55,718.42,78.34,796.76,2,2.51,1
vllm,few_shot,56,752.63,44.30,796.94,2,2.51,1
vllm,few_shot,57,141.53,42.41,183.94,2,10.87,1
vllm,few_shot,58,752.77,0.00,800.86,1,1.25,1
vllm,few_shot,59,767.24,35.13,802.37,2,2.49,1
vllm,few_shot,60,716.37,88.41,804.78,2,2.49,1
vllm,few_shot,61,170.64,0.00,185.82,1,5.38,1
vllm,few_shot,62,93.87,23.07,116.94,2,17.10,1
vllm,few_shot,63,741.12,0.00,812.37,1,1.23,1
vllm,few_shot,64,180.15,0.00,207.08,1,4.83,1
vllm,few_shot,65,695.74,129.86,825.60,2,2.42,1
vllm,few_shot,66,120.54,57.18,177.72,2,11.25,1
vllm,few_shot,67,778.47,33.85,812.32,2,2.46,1
vllm,few_shot,68,739.54,82.48,822.01,2,2.43,1
vllm,few_shot,69,721.60,96.12,817.71,2,2.45,1
vllm,few_shot,70,138.08,0.00,199.89,1,5.00,1
vllm,few_shot,71,753.55,64.60,818.15,2,2.44,1
vllm,few_shot,72,96.42,0.00,98.18,1,10.19,1
vllm,few_shot,73,758.42,0.00,824.62,1,1.21,1
vllm,few_shot,74,126.49,16.36,142.84,2,14.00,1
vllm,few_shot,75,728.18,100.32,828.51,2,2.41,1
vllm,few_shot,76,750.45,76.18,826.63,2,2.42,1
vllm,few_shot,77,102.52,0.00,110.84,1,9.02,1
vllm,few_shot,78,728.88,105.35,834.23,2,2.40,1
vllm,few_shot,79,134.97,16.49,151.47,2,13.20,1
vllm,few_shot,80,767.39,0.00,840.26,1,1.19,1
vllm,few_shot,81,109.29,0.00,116.84,1,8.56,1
vllm,few_shot,82,107.30,0.00,118.43,1,8.44,1
vllm,few_shot,83,103.89,0.00,113.08,1,8.84,1
vllm,few_shot,84,102.28,0.00,119.72,1,8.35,1
vllm,few_shot,85,89.24,47.73,136.97,2,14.60,1
vllm,few_shot,86,110.82,0.00,124.10,1,8.06,1
vllm,few_shot,87,95.76,0.00,124.41,1,8.04,1
vllm,few_shot,88,111.36,0.00,137.31,1,7.28,1
vllm,few_shot,89,97.53,0.00,126.09,1,7.93,1
vllm,few_shot,90,122.45,20.65,143.10,2,13.98,1
vllm,few_shot,91,136.47,6.58,143.05,2,13.98,1
vllm,few_shot,92,94.80,37.19,131.99,2,15.15,1
vllm,few_shot,93,93.61,38.83,132.45,2,15.10,1
vllm,few_shot,94,92.81,50.36,143.17,2,13.97,1
vllm,few_shot,95,78.47,0.00,99.88,1,10.01,1
vllm,few_shot,96,64.73,31.08,95.80,2,20.88,1
vllm,few_shot,97,124.78,0.00,140.89,1,7.10,1
vllm,few_shot,98,127.46,0.00,141.63,1,7.06,1
vllm,few_shot,99,142.98,0.00,161.38,1,6.20,1
vllm,few_shot,100,155.48,0.00,175.66,1,5.69,1
vllm,few_shot,101,119.22,0.00,141.56,1,7.06,1
vllm,few_shot,102,129.74,0.00,151.18,1,6.61,1
vllm,few_shot,103,110.77,0.00,132.38,1,7.55,1
vllm,few_shot,104,167.27,0.00,183.06,1,5.46,1
vllm,few_shot,105,152.37,0.00,176.75,1,5.66,1
vllm,few_shot,106,161.00,0.00,179.08,1,5.58,1
vllm,few_shot,107,140.67,0.00,167.57,1,5.97,1
vllm,few_shot,108,167.78,0.00,196.45,1,5.09,1
vllm,few_shot,109,168.15,0.00,193.93,1,5.16,1
vllm,few_shot,110,150.06,49.53,199.60,2,10.02,1
vllm,few_shot,111,112.67,0.00,144.84,1,6.90,1
vllm,few_shot,112,109.52,50.95,160.47,2,12.46,1
vllm,few_shot,113,132.31,65.43,197.73,2,10.11,1
vllm,few_shot,114,136.04,0.00,183.91,1,5.44,1
vllm,few_shot,115,130.48,0.00,179.69,1,5.57,1
vllm,few_shot,116,153.98,73.44,227.42,2,8.79,1
vllm,few_shot,117,144.71,0.00,195.15,1,5.12,1
vllm,few_shot,118,140.94,0.00,196.31,1,5.09,1
vllm,few_shot,119,163.69,0.00,221.47,1,4.52,1
vllm,few_shot,120,186.44,0.00,246.53,1,4.06,1
vllm,few_shot,121,195.09,0.00,252.53,1,3.96,1
vllm,few_shot,122,188.17,0.00,221.32,1,4.52,1
vllm,few_shot,123,148.35,0.00,182.87,1,5.47,1
vllm,few_shot,124,183.79,0.00,210.77,1,4.74,1
vllm,few_shot,125,185.01,88.78,273.80,2,7.30,1
vllm,few_shot,126,180.14,0.00,211.44,1,4.73,1
vllm,few_shot,127,184.34,0.00,230.36,1,4.34,1
vllm,few_shot,128,169.76,93.61,263.37,2,7.59,1
vllm,few_shot,129,174.25,84.70,258.96,2,7.72,1
vllm,few_shot,130,189.97,83.33,273.30,2,7.32,1
vllm,few_shot,131,206.08,0.00,250.71,1,3.99,1
vllm,few_shot,132,158.50,0.00,208.55,1,4.80,1
vllm,few_shot,133,207.74,0.00,256.09,1,3.90,1
vllm,few_shot,134,140.10,0.00,144.81,1,6.91,1
vllm,few_shot,135,138.80,64.88,203.68,2,9.82,1
vllm,few_shot,136,188.65,63.75,252.40,2,7.92,1
vllm,few_shot,137,164.22,0.00,187.21,1,5.34,1
vllm,few_shot,138,184.67,53.46,238.13,2,8.40,1
vllm,few_shot,139,165.57,60.46,226.02,2,8.85,1
vllm,few_shot,140,202.08,72.97,275.05,2,7.27,1
vllm,few_shot,141,97.31,0.00,112.09,1,8.92,1
vllm,few_shot,142,96.77,40.88,137.65,2,14.53,1
vllm,few_shot,143,221.22,59.62,280.85,2,7.12,1
vllm,few_shot,144,134.99,0.00,174.87,1,5.72,1
vllm,few_shot,145,90.07,0.00,109.63,1,9.12,1
vllm,few_shot,146,186.37,61.32,247.69,2,8.07,1
vllm,few_shot,147,203.78,74.92,278.69,2,7.18,1
vllm,few_shot,148,179.35,67.37,246.72,2,8.11,1
vllm,few_shot,149,152.72,0.00,194.04,1,5.15,1
vllm,few_shot,150,114.52,0.00,121.72,1,8.22,1
vllm,few_shot,151,193.68,77.15,270.83,2,7.38,1
vllm,few_shot,152,170.11,77.76,247.87,2,8.07,1
vllm,few_shot,153,144.03,0.00,149.08,1,6.71,1
vllm,few_shot,154,177.91,49.04,226.95,2,8.81,1
vllm,few_shot,155,177.45,0.00,216.67,1,4.62,1
vllm,few_shot,156,180.02,56.74,236.76,2,8.45,1
vllm,few_shot,157,175.04,58.01,233.05,2,8.58,1
vllm,few_shot,158,184.12,90.87,274.99,2,7.27,1
vllm,few_shot,159,151.56,95.16,246.72,2,8.11,1
vllm,few_shot,160,181.55,46.00,227.55,2,8.79,1
vllm,few_shot,161,96.55,36.35,132.90,2,15.05,1
vllm,few_shot,162,161.35,0.00,217.40,1,4.60,1
vllm,few_shot,163,121.63,16.77,138.40,2,14.45,1
vllm,few_shot,164,174.41,0.00,236.17,1,4.23,1
vllm,few_shot,165,101.37,48.85,150.22,2,13.31,1
vllm,few_shot,166,99.06,68.32,167.38,2,11.95,1
vllm,few_shot,167,110.35,0.00,171.41,1,5.83,1
vllm,few_shot,168,106.42,0.00,106.62,1,9.38,1
vllm,few_shot,169,184.09,58.34,242.43,2,8.25,1
vllm,few_shot,170,162.37,50.62,263.62,3,11.38,0
vllm,few_shot,171,239.81,102.90,342.71,2,5.84,1
vllm,few_shot,172,109.41,0.00,114.70,1,8.72,1
vllm,few_shot,173,114.89,0.00,200.14,1,5.00,1
vllm,few_shot,174,100.10,9.19,109.29,2,18.30,1
vllm,few_shot,175,196.18,120.02,316.20,2,6.33,1
