model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-17T21:03:35.529243

Build Times
provider,build_time_s
torchinferno,468.9
vllm,539.1
sglang,284.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,364.25,144.11,,vllm
ttft_p99_ms,1656.89,278.06,,vllm
tpot_median_ms,54.77,53.39,,vllm
tpot_p99_ms,193.80,131.88,,vllm
e2e_median_ms,413.61,191.98,,vllm
e2e_p99_ms,1835.78,331.79,,vllm
throughput_median_tps,3.41,7.43,,vllm
total_output_tokens,1461,1457,,torchinferno
num_requests,1000,1000,,
correctness_rate,0.98,0.98,,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,281.24,183.47,,vllm
ttft_p99_ms,494.23,437.97,,vllm
tpot_median_ms,0.00,0.00,,torchinferno
tpot_p99_ms,0.00,0.00,,torchinferno
e2e_median_ms,385.94,204.31,,vllm
e2e_p99_ms,602.79,460.31,,vllm
throughput_median_tps,2.59,4.89,,vllm
total_output_tokens,1000,1000,,torchinferno
num_requests,1000,1000,,
correctness_rate,1.00,1.00,,torchinferno
unique_final_answers,1,1,,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,722.68,162.73,,vllm
ttft_p99_ms,2018.82,305.84,,vllm
tpot_median_ms,62.39,47.36,,vllm
tpot_p99_ms,167.95,189.90,,torchinferno
e2e_median_ms,789.25,206.09,,vllm
e2e_p99_ms,2053.75,409.02,,vllm
throughput_median_tps,1.89,6.67,,vllm
total_output_tokens,1450,1450,,torchinferno
num_requests,1000,1000,,
correctness_rate,0.98,0.98,,torchinferno
ttft_first_turn_ms,569.95,135.47,,vllm
ttft_last_turn_ms,996.16,155.53,,vllm
ttft_growth_ratio,1.75,1.15,,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,191.19,60.06,,vllm
ttft_p99_ms,522.90,2031.39,,torchinferno
tpot_median_ms,31.42,27.65,,vllm
tpot_p99_ms,257.48,1722.87,,torchinferno
e2e_median_ms,225.27,81.38,,vllm
e2e_p99_ms,654.36,2067.77,,torchinferno
throughput_median_tps,5.67,14.81,,vllm
total_output_tokens,1461,1466,,vllm
num_requests,992,992,,
correctness_rate,0.97,0.97,,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,335.42,81.93,,vllm
ttft_p99_ms,1244.45,209.03,,vllm
tpot_median_ms,21.97,15.04,,vllm
tpot_p99_ms,46.52,21.09,,vllm
e2e_median_ms,1086.13,642.45,,vllm
e2e_p99_ms,2607.31,1023.13,,vllm
throughput_median_tps,32.19,57.27,,vllm
total_output_tokens,36715,36715,,torchinferno
num_requests,1000,1000,,
correctness_rate,1.00,1.00,,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1206.66,0.00,1216.16,1,0.82,1
torchinferno,few_shot,1,1206.78,0.00,1217.28,1,0.82,1
torchinferno,few_shot,2,1205.57,0.00,1217.51,1,0.82,1
torchinferno,few_shot,3,1206.86,0.00,1219.88,1,0.82,1
torchinferno,few_shot,4,1210.93,0.00,1225.07,1,0.82,1
torchinferno,few_shot,5,1207.65,0.00,1224.28,1,0.82,1
torchinferno,few_shot,6,1212.10,144.90,1357.00,2,1.47,1
torchinferno,few_shot,7,1207.32,149.00,1356.32,2,1.47,1
torchinferno,few_shot,8,1210.46,148.83,1359.29,2,1.47,1
torchinferno,few_shot,9,1212.82,149.56,1362.38,2,1.47,1
torchinferno,few_shot,10,1644.94,0.00,1763.76,1,0.57,1
torchinferno,few_shot,11,1646.63,0.00,1752.75,1,0.57,1
torchinferno,few_shot,12,1656.99,0.00,1766.96,1,0.57,1
torchinferno,few_shot,13,1631.38,0.00,1754.93,1,0.57,1
torchinferno,few_shot,14,1646.76,0.00,1772.92,1,0.56,1
torchinferno,few_shot,15,1638.58,0.00,1763.64,1,0.57,1
torchinferno,few_shot,16,1641.95,0.00,1762.25,1,0.57,1
torchinferno,few_shot,17,1629.97,0.00,1761.35,1,0.57,1
torchinferno,few_shot,18,1636.56,0.00,1767.21,1,0.57,1
torchinferno,few_shot,19,1649.97,0.00,1782.56,1,0.56,1
torchinferno,few_shot,20,1637.33,0.00,1773.32,1,0.56,1
torchinferno,few_shot,21,1635.56,133.44,1769.00,2,1.13,1
torchinferno,few_shot,22,1638.58,0.00,1774.29,1,0.56,1
torchinferno,few_shot,23,1638.23,0.00,1774.55,1,0.56,1
torchinferno,few_shot,24,1638.30,0.00,1781.33,1,0.56,1
torchinferno,few_shot,25,1656.89,134.53,1791.42,2,1.12,1
torchinferno,few_shot,26,1631.40,0.00,1779.73,1,0.56,1
torchinferno,few_shot,27,1648.87,143.97,1792.84,2,1.12,1
torchinferno,few_shot,28,1640.15,0.00,1780.40,1,0.56,1
torchinferno,few_shot,29,1658.96,137.86,1796.82,2,1.11,1
torchinferno,few_shot,30,1638.30,0.00,1785.82,1,0.56,1
torchinferno,few_shot,31,1640.08,0.00,1782.72,1,0.56,1
torchinferno,few_shot,32,1632.27,155.53,1787.80,2,1.12,1
torchinferno,few_shot,33,1635.05,151.92,1786.97,2,1.12,1
torchinferno,few_shot,34,1655.53,149.85,1805.38,2,1.11,1
torchinferno,few_shot,35,1658.37,144.99,1803.36,2,1.11,1
torchinferno,few_shot,36,1645.75,0.00,1796.34,1,0.56,1
torchinferno,few_shot,37,1643.07,0.00,1795.64,1,0.56,1
torchinferno,few_shot,38,1639.57,0.00,1801.70,1,0.56,1
torchinferno,few_shot,39,1647.85,156.60,1804.45,2,1.11,1
torchinferno,few_shot,40,1647.91,0.00,1808.75,1,0.55,1
