model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-18T07:09:59.922458

Build Times
provider,build_time_s
torchinferno,306.0
vllm,1114.2
sglang,169.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,276.26,161.41,134.99,sglang
ttft_p99_ms,1566.79,546.48,4862.17,vllm
tpot_median_ms,151.03,58.27,74.37,vllm
tpot_p99_ms,207.77,176.60,7318.27,vllm
e2e_median_ms,373.08,215.55,203.65,sglang
e2e_p99_ms,1758.81,638.98,12147.95,vllm
throughput_median_tps,4.10,6.75,6.02,vllm
total_output_tokens,1461,1459,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,261.62,192.30,202.93,vllm
ttft_p99_ms,1439.38,256.09,70613.68,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,289.68,236.54,342.23,vllm
e2e_p99_ms,1495.09,349.53,70734.12,vllm
throughput_median_tps,3.45,4.23,2.92,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,538.32,174.81,153.43,sglang
ttft_p99_ms,1556.77,335.01,610.57,vllm
tpot_median_ms,124.23,55.61,105.16,vllm
tpot_p99_ms,377.11,177.58,223.49,vllm
e2e_median_ms,630.77,220.03,255.05,vllm
e2e_p99_ms,1793.74,424.91,740.05,vllm
throughput_median_tps,2.08,6.11,5.12,vllm
total_output_tokens,1450,1462,1462,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,859.32,146.10,115.10,sglang
ttft_last_turn_ms,494.22,172.69,173.88,vllm
ttft_growth_ratio,0.58,1.18,1.51,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,335.58,58.20,77.68,vllm
ttft_p99_ms,1008.75,116.67,469.97,vllm
tpot_median_ms,131.06,27.30,69.41,vllm
tpot_p99_ms,151.81,42.40,159.03,vllm
e2e_median_ms,436.03,78.88,164.20,vllm
e2e_p99_ms,1083.92,157.98,505.30,vllm
throughput_median_tps,3.13,15.43,8.87,vllm
total_output_tokens,1481,1466,1457,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,797.01,69.75,63.53,sglang
ttft_p99_ms,2396.02,125.47,108.76,sglang
tpot_median_ms,17.44,15.08,22.37,vllm
tpot_p99_ms,33.99,20.04,26.55,vllm
e2e_median_ms,1370.86,608.87,820.03,vllm
e2e_p99_ms,3321.10,1006.06,1561.30,vllm
throughput_median_tps,24.48,58.91,42.44,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,810.11,0.00,920.31,1,1.09,1
torchinferno,few_shot,1,1562.43,0.00,1648.13,1,0.61,1
torchinferno,few_shot,2,1553.86,0.00,1647.69,1,0.61,1
torchinferno,few_shot,3,649.58,0.00,734.66,1,1.36,1
torchinferno,few_shot,4,1557.40,0.00,1658.22,1,0.60,1
torchinferno,few_shot,5,1556.72,0.00,1658.37,1,0.60,1
torchinferno,few_shot,6,1559.12,0.00,1657.76,1,0.60,1
torchinferno,few_shot,7,1563.45,0.00,1660.67,1,0.60,1
torchinferno,few_shot,8,1557.04,0.00,1660.16,1,0.60,1
torchinferno,few_shot,9,1552.98,0.00,1659.64,1,0.60,1
torchinferno,few_shot,10,1555.68,0.00,1665.70,1,0.60,1
torchinferno,few_shot,11,1566.79,0.00,1664.43,1,0.60,1
torchinferno,few_shot,12,1562.29,0.00,1669.07,1,0.60,1
torchinferno,few_shot,13,1557.71,0.00,1667.11,1,0.60,1
torchinferno,few_shot,14,1554.45,0.00,1667.25,1,0.60,1
torchinferno,few_shot,15,1556.05,0.00,1664.78,1,0.60,1
torchinferno,few_shot,16,1565.42,0.00,1667.34,1,0.60,1
torchinferno,few_shot,17,1551.83,0.00,1671.89,1,0.60,1
torchinferno,few_shot,18,1564.24,0.00,1671.80,1,0.60,1
torchinferno,few_shot,19,1558.72,0.00,1677.50,1,0.60,1
torchinferno,few_shot,20,1553.80,0.00,1676.47,1,0.60,1
torchinferno,few_shot,21,1553.90,0.00,1676.72,1,0.60,1
torchinferno,few_shot,22,1573.01,0.00,1686.65,1,0.59,1
torchinferno,few_shot,23,1558.70,0.00,1678.67,1,0.60,1
torchinferno,few_shot,24,1565.99,0.00,1686.04,1,0.59,1
torchinferno,few_shot,25,1554.66,0.00,1684.18,1,0.59,1
torchinferno,few_shot,26,1552.90,0.00,1686.27,1,0.59,1
torchinferno,few_shot,27,1561.88,0.00,1693.17,1,0.59,1
torchinferno,few_shot,28,1561.30,0.00,1689.49,1,0.59,1
torchinferno,few_shot,29,1566.13,0.00,1690.71,1,0.59,1
torchinferno,few_shot,30,1570.83,0.00,1697.75,1,0.59,1
torchinferno,few_shot,31,1553.20,0.00,1693.05,1,0.59,1
torchinferno,few_shot,32,1570.70,0.00,1706.63,1,0.59,1
torchinferno,few_shot,33,1566.08,164.76,1730.84,2,1.16,1
torchinferno,few_shot,34,1570.37,162.24,1732.61,2,1.15,1
torchinferno,few_shot,35,1560.01,173.83,1733.85,2,1.15,1
torchinferno,few_shot,36,1568.33,170.63,1738.96,2,1.15,1
torchinferno,few_shot,37,1562.98,180.06,1743.04,2,1.15,1
torchinferno,few_shot,38,1558.27,179.27,1737.54,2,1.15,1
torchinferno,few_shot,39,1566.15,175.16,1741.31,2,1.15,1
torchinferno,few_shot,40,1550.25,184.76,1735.01,2,1.15,1
torchinferno,few_shot,41,1558.16,179.60,1737.76,2,1.15,1
torchinferno,few_shot,42,1552.61,185.09,1737.70,2,1.15,1
torchinferno,few_shot,43,1560.03,180.76,1740.79,2,1.15,1
torchinferno,few_shot,44,1553.27,191.65,1744.92,2,1.15,1
torchinferno,few_shot,45,1561.80,186.17,1747.97,2,1.14,1
torchinferno,few_shot,46,1557.41,186.45,1743.86,2,1.15,1
torchinferno,few_shot,47,1568.39,185.34,1753.73,2,1.14,1
