model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-20T09:02:49.356716+00:00

Build Times
provider,build_time_s
torchinferno,529.4
vllm,227.2
sglang,219.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,51.07,81.67,89.73,torchinferno
ttft_p99_ms,761.70,147.50,566.09,vllm
tpot_median_ms,47.66,37.19,74.70,vllm
tpot_p99_ms,363.31,92.56,853.33,vllm
e2e_median_ms,85.55,112.36,156.63,torchinferno
e2e_p99_ms,1065.51,191.63,948.37,vllm
throughput_median_tps,14.41,12.56,8.33,torchinferno
total_output_tokens,1466,1465,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,33.57,68.40,155.10,torchinferno
ttft_p99_ms,169.02,250.88,69999.37,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,49.83,84.62,234.84,torchinferno
e2e_p99_ms,180.98,290.96,70045.08,torchinferno
throughput_median_tps,20.07,11.82,4.26,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,42.79,89.49,92.57,torchinferno
ttft_p99_ms,1018.50,190.79,574.81,vllm
tpot_median_ms,38.16,35.04,77.62,vllm
tpot_p99_ms,261.44,119.76,880.94,vllm
e2e_median_ms,77.99,114.24,156.60,torchinferno
e2e_p99_ms,1035.57,235.41,931.40,vllm
throughput_median_tps,16.68,11.72,8.53,torchinferno
total_output_tokens,1460,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,479.05,88.60,70.51,sglang
ttft_last_turn_ms,48.62,94.31,100.33,torchinferno
ttft_growth_ratio,0.10,1.06,1.42,torchinferno
ttft_first_turn_median_ms,413.19,74.41,64.57,sglang
ttft_first_turn_p99_ms,1081.81,190.26,112.89,sglang
ttft_last_turn_median_ms,40.29,85.62,100.51,torchinferno
ttft_last_turn_p99_ms,251.71,192.13,130.05,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,24.53,36.76,61.09,torchinferno
ttft_p99_ms,251.03,110.19,480.72,vllm
tpot_median_ms,16.48,26.55,369.04,torchinferno
tpot_p99_ms,24.00,34.83,1027.42,torchinferno
e2e_median_ms,36.72,54.87,455.48,torchinferno
e2e_p99_ms,277.47,156.25,1128.13,vllm
throughput_median_tps,38.41,23.18,2.97,torchinferno
total_output_tokens,1477,1470,1481,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,45.01,47.62,59.55,torchinferno
ttft_p99_ms,140.11,66.55,165.70,vllm
tpot_median_ms,13.97,15.56,27.79,torchinferno
tpot_p99_ms,15.83,18.60,124.01,torchinferno
e2e_median_ms,550.24,590.53,1050.31,torchinferno
e2e_p99_ms,985.31,1066.26,2007.54,torchinferno
throughput_median_tps,65.98,59.83,34.71,torchinferno
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,0,0,34.13,17.75,51.88,2,38.55,1,,,,,,,0,,,
torchinferno,few_shot,1,1,844.47,0.00,875.27,1,1.14,1,,,,,,,1,,,
torchinferno,few_shot,25,2,478.27,0.00,804.45,1,1.24,1,,,,,,,25,,,
torchinferno,few_shot,28,3,427.71,0.00,755.27,1,1.32,1,,,,,,,28,,,
torchinferno,few_shot,41,4,212.90,0.00,538.89,1,1.86,1,,,,,,,41,,,
torchinferno,few_shot,37,5,278.46,0.00,606.82,1,1.65,1,,,,,,,37,,,
torchinferno,few_shot,34,6,329.27,0.00,657.22,1,1.52,1,,,,,,,34,,,
torchinferno,few_shot,11,7,712.34,0.00,1039.76,1,0.96,1,,,,,,,11,,,
torchinferno,few_shot,31,8,380.26,0.00,708.16,1,1.41,1,,,,,,,31,,,
torchinferno,few_shot,5,9,809.82,0.00,1140.92,1,0.88,1,,,,,,,5,,,
torchinferno,few_shot,4,10,828.99,0.00,1158.24,1,0.86,1,,,,,,,4,,,
torchinferno,few_shot,26,11,463.03,0.00,792.60,1,1.26,1,,,,,,,26,,,
torchinferno,few_shot,38,12,263.39,0.00,593.55,1,1.68,1,,,,,,,38,,,
torchinferno,few_shot,39,13,244.99,0.00,577.49,1,1.73,1,,,,,,,39,,,
torchinferno,few_shot,2,14,827.42,365.77,1193.19,2,1.68,1,,,,,,,2,,,
torchinferno,few_shot,12,15,691.81,0.00,1026.96,1,0.97,1,,,,,,,12,,,
torchinferno,few_shot,7,16,778.94,0.00,1111.55,1,0.90,1,,,,,,,7,,,
torchinferno,few_shot,43,17,176.78,0.00,511.76,1,1.95,1,,,,,,,43,,,
torchinferno,few_shot,64,18,843.23,0.00,1178.00,1,0.85,1,,,,,,,64,,,
torchinferno,few_shot,29,19,409.87,0.00,747.54,1,1.34,1,,,,,,,29,,,
torchinferno,few_shot,17,20,612.05,0.00,947.76,1,1.06,1,,,,,,,17,,,
torchinferno,few_shot,8,21,761.70,0.00,1098.55,1,0.91,1,,,,,,,8,,,
torchinferno,few_shot,10,22,727.80,0.00,1065.51,1,0.94,1,,,,,,,10,,,
torchinferno,few_shot,9,23,744.10,0.00,1083.66,1,0.92,1,,,,,,,9,,,
torchinferno,few_shot,42,24,192.34,0.00,533.65,1,1.87,1,,,,,,,42,,,
torchinferno,few_shot,46,25,125.89,0.00,470.03,1,2.13,1,,,,,,,46,,,
torchinferno,few_shot,24,26,493.82,0.00,837.55,1,1.19,1,,,,,,,24,,,
torchinferno,few_shot,19,27,579.58,351.88,931.46,2,2.15,1,,,,,,,19,,,
torchinferno,few_shot,40,28,229.14,354.24,583.39,2,3.43,0,,,,,,,40,,,
torchinferno,few_shot,20,29,559.60,356.55,916.16,2,2.18,1,,,,,,,20,,,
torchinferno,few_shot,30,30,395.88,354.92,750.79,2,2.66,1,,,,,,,30,,,
torchinferno,few_shot,36,31,293.77,357.48,651.25,2,3.07,1,,,,,,,36,,,
torchinferno,few_shot,22,32,527.71,356.74,884.45,2,2.26,1,,,,,,,22,,,
torchinferno,few_shot,23,33,511.59,357.11,868.70,2,2.30,1,,,,,,,23,,,
torchinferno,few_shot,3,34,845.94,356.08,1202.02,2,1.66,1,,,,,,,3,,,
torchinferno,few_shot,6,35,793.59,358.99,1152.57,2,1.74,1,,,,,,,6,,,
torchinferno,few_shot,18,36,595.37,357.62,952.99,2,2.10,1,,,,,,,18,,,
torchinferno,few_shot,15,37,644.35,358.79,1003.13,2,1.99,1,,,,,,,15,,,
torchinferno,few_shot,44,38,160.57,359.97,520.54,2,3.84,1,,,,,,,44,,,
