model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-16T15:12:10.032195+00:00

Build Times
provider,build_time_s
torchinferno,37.4
vllm,265.2
sglang,170.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,141.42,77.27,79.26,vllm
ttft_p99_ms,718.61,187.90,522.69,vllm
tpot_median_ms,30.73,37.58,65.21,torchinferno
tpot_p99_ms,41.04,131.65,886.73,torchinferno
e2e_median_ms,165.38,106.68,133.93,vllm
e2e_p99_ms,736.52,229.80,953.78,vllm
throughput_median_tps,6.92,12.14,10.05,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,64.97,72.56,133.03,torchinferno
ttft_p99_ms,397.81,379.45,70525.17,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,84.93,88.55,211.31,torchinferno
e2e_p99_ms,426.33,384.08,70579.80,vllm
throughput_median_tps,11.77,11.29,4.73,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,190.71,81.37,84.21,vllm
ttft_p99_ms,1049.83,190.36,458.69,vllm
tpot_median_ms,34.32,35.06,80.20,torchinferno
tpot_p99_ms,42.64,116.63,896.92,torchinferno
e2e_median_ms,217.90,110.18,143.52,vllm
e2e_p99_ms,1073.44,227.03,951.31,vllm
throughput_median_tps,5.07,12.24,9.07,vllm
total_output_tokens,1442,1450,1448,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,451.59,82.03,66.05,sglang
ttft_last_turn_ms,173.58,83.44,90.92,vllm
ttft_growth_ratio,0.38,1.02,1.38,torchinferno
ttft_first_turn_median_ms,260.28,74.08,60.29,sglang
ttft_first_turn_p99_ms,1135.53,178.70,105.99,sglang
ttft_last_turn_median_ms,186.35,71.51,89.73,vllm
ttft_last_turn_p99_ms,203.23,175.67,115.62,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.53,35.10,52.68,vllm
ttft_p99_ms,809.72,84.51,128.08,vllm
tpot_median_ms,34.67,22.97,417.64,vllm
tpot_p99_ms,72.98,37.53,1035.24,vllm
e2e_median_ms,73.48,53.34,414.70,vllm
e2e_p99_ms,833.95,131.48,1105.71,vllm
throughput_median_tps,19.73,24.54,3.32,vllm
total_output_tokens,1481,1475,1455,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,187.57,45.91,51.72,vllm
ttft_p99_ms,527.08,61.56,271.23,vllm
tpot_median_ms,18.75,15.27,25.08,vllm
tpot_p99_ms,25.96,16.74,65.41,vllm
e2e_median_ms,829.22,578.20,964.23,vllm
e2e_p99_ms,1558.93,1039.86,1738.70,vllm
throughput_median_tps,41.90,61.47,38.51,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,780.48,0.00,792.27,1,1.26,1,,,,,,,1,,,
torchinferno,few_shot,0,1,798.25,23.81,822.06,2,2.43,1,,,,,,,0,,,
torchinferno,few_shot,5,2,787.81,0.00,801.26,1,1.25,1,,,,,,,5,,,
torchinferno,few_shot,10,3,702.24,0.00,716.46,1,1.40,1,,,,,,,10,,,
torchinferno,few_shot,4,4,803.21,0.00,819.92,1,1.22,1,,,,,,,4,,,
torchinferno,few_shot,29,5,373.67,0.00,388.49,1,2.57,1,,,,,,,29,,,
torchinferno,few_shot,8,6,736.77,0.00,752.88,1,1.33,1,,,,,,,8,,,
torchinferno,few_shot,9,7,718.61,0.00,736.52,1,1.36,1,,,,,,,9,,,
torchinferno,few_shot,17,8,580.87,0.00,597.90,1,1.67,1,,,,,,,17,,,
torchinferno,few_shot,24,9,459.22,0.00,477.49,1,2.09,1,,,,,,,24,,,
torchinferno,few_shot,26,10,425.84,0.00,443.71,1,2.25,1,,,,,,,26,,,
torchinferno,few_shot,28,11,391.13,0.00,409.21,1,2.44,1,,,,,,,28,,,
torchinferno,few_shot,25,12,441.98,0.00,461.75,1,2.17,1,,,,,,,25,,,
torchinferno,few_shot,11,13,684.12,0.00,705.09,1,1.42,1,,,,,,,11,,,
torchinferno,few_shot,12,14,668.72,0.00,688.97,1,1.45,1,,,,,,,12,,,
torchinferno,few_shot,7,15,752.45,0.00,775.87,1,1.29,1,,,,,,,7,,,
torchinferno,few_shot,31,16,339.64,0.00,361.30,1,2.77,1,,,,,,,31,,,
torchinferno,few_shot,22,17,493.95,26.84,520.79,2,3.84,1,,,,,,,22,,,
torchinferno,few_shot,16,18,597.72,28.53,626.26,2,3.19,1,,,,,,,16,,,
torchinferno,few_shot,18,19,564.06,27.30,591.36,2,3.38,1,,,,,,,18,,,
torchinferno,few_shot,32,20,321.38,29.05,350.43,2,5.71,1,,,,,,,32,,,
torchinferno,few_shot,13,21,652.47,28.00,680.47,2,2.94,1,,,,,,,13,,,
torchinferno,few_shot,15,22,615.01,30.76,645.76,2,3.10,1,,,,,,,15,,,
torchinferno,few_shot,14,23,635.00,29.32,664.32,2,3.01,1,,,,,,,14,,,
torchinferno,few_shot,33,24,305.90,29.54,335.44,2,5.96,1,,,,,,,33,,,
torchinferno,few_shot,27,25,408.91,30.12,439.03,2,4.56,1,,,,,,,27,,,
torchinferno,few_shot,20,26,529.87,29.90,559.77,2,3.57,1,,,,,,,20,,,
torchinferno,few_shot,19,27,544.36,32.95,577.31,2,3.46,1,,,,,,,19,,,
torchinferno,few_shot,23,28,478.60,31.10,509.69,2,3.92,1,,,,,,,23,,,
torchinferno,few_shot,2,29,841.39,31.86,873.26,2,2.29,1,,,,,,,2,,,
torchinferno,few_shot,21,30,512.40,32.66,545.06,2,3.67,1,,,,,,,21,,,
torchinferno,few_shot,30,31,357.61,33.92,391.53,2,5.11,1,,,,,,,30,,,
torchinferno,few_shot,6,32,769.28,37.79,807.07,2,2.48,1,,,,,,,6,,,
torchinferno,few_shot,3,33,822.53,37.42,859.96,2,2.33,1,,,,,,,3,,,
torchinferno,few_shot,35,34,354.98,0.00,366.27,1,2.73,1,,,,,,,35,,,
torchinferno,few_shot,43,35,217.21,0.00,229.95,1,4.35,1,,,,,,,43,,,
torchinferno,few_shot,72,36,68.26,0.00,79.61,1,12.56,1,,,,,,,72,,,
torchinferno,few_shot,64,37,150.15,0.00,163.05,1,6.13,1,,,,,,,64,,,
torchinferno,few_shot,39,38,286.58,0.00,300.66,1,3.33,1,,,,,,,39,,,
