model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-31T23:01:39.605335

Build Times
provider,build_time_s
torchinferno,249.4
vllm,1210.6
sglang,178.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,247.02,158.23,148.92,sglang
ttft_p99_ms,3298.60,276.75,726.46,vllm
tpot_median_ms,49.99,55.37,74.83,torchinferno
tpot_p99_ms,318.45,143.09,7215.20,vllm
e2e_median_ms,294.14,209.22,216.89,vllm
e2e_p99_ms,3496.10,335.06,7918.08,vllm
throughput_median_tps,3.88,6.94,5.57,vllm
total_output_tokens,1461,1457,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,560.63,189.15,203.53,vllm
ttft_p99_ms,1408.47,424.52,71382.51,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,653.18,210.45,330.11,vllm
e2e_p99_ms,1503.63,451.61,71481.11,vllm
throughput_median_tps,1.53,4.75,3.03,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,876.31,170.26,160.03,sglang
ttft_p99_ms,3022.09,350.69,583.50,vllm
tpot_median_ms,99.28,67.03,98.91,vllm
tpot_p99_ms,410.35,189.56,231.14,vllm
e2e_median_ms,954.78,218.95,258.83,vllm
e2e_p99_ms,3044.50,428.46,643.15,vllm
throughput_median_tps,1.29,6.35,5.17,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,964.08,136.56,110.59,sglang
ttft_last_turn_ms,1450.39,166.08,193.43,vllm
ttft_growth_ratio,1.50,1.22,1.75,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,468.01,58.60,78.77,vllm
ttft_p99_ms,1461.40,107.71,552.30,vllm
tpot_median_ms,28.81,28.17,49.63,vllm
tpot_p99_ms,247.92,43.80,137.15,vllm
e2e_median_ms,513.46,79.86,139.81,vllm
e2e_p99_ms,1492.56,147.99,599.05,vllm
throughput_median_tps,2.64,15.45,9.97,vllm
total_output_tokens,1459,1471,1479,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,958.30,67.18,73.96,vllm
ttft_p99_ms,36387.89,132.15,163.30,vllm
tpot_median_ms,35.46,15.00,23.86,vllm
tpot_p99_ms,104.39,21.80,29.03,vllm
e2e_median_ms,2472.96,601.37,879.41,vllm
e2e_p99_ms,37467.30,1001.74,1719.13,vllm
throughput_median_tps,12.70,59.63,39.23,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,889.02,0.00,1067.83,1,0.94,1
torchinferno,few_shot,1,892.44,0.00,1072.18,1,0.93,1
torchinferno,few_shot,2,889.03,0.00,1071.38,1,0.93,1
torchinferno,few_shot,3,889.09,0.00,1071.14,1,0.93,1
torchinferno,few_shot,4,1208.40,0.00,1441.34,1,0.69,1
torchinferno,few_shot,5,1212.44,0.00,1440.49,1,0.69,1
torchinferno,few_shot,6,1207.38,0.00,1440.38,1,0.69,1
torchinferno,few_shot,7,1208.78,0.00,1438.45,1,0.70,1
torchinferno,few_shot,8,1213.95,0.00,1449.01,1,0.69,1
torchinferno,few_shot,9,1206.63,0.00,1446.31,1,0.69,1
torchinferno,few_shot,10,1212.83,0.00,1457.33,1,0.69,1
torchinferno,few_shot,11,1209.70,0.00,1457.51,1,0.69,1
torchinferno,few_shot,12,1207.05,0.00,1452.33,1,0.69,1
torchinferno,few_shot,13,1206.26,0.00,1452.03,1,0.69,1
torchinferno,few_shot,14,1203.14,0.00,1454.55,1,0.69,1
torchinferno,few_shot,15,1204.77,0.00,1458.41,1,0.69,1
torchinferno,few_shot,16,1204.51,0.00,1457.17,1,0.69,1
torchinferno,few_shot,17,1204.67,0.00,1457.65,1,0.69,1
torchinferno,few_shot,18,1207.77,0.00,1458.37,1,0.69,1
torchinferno,few_shot,19,1204.75,0.00,1464.10,1,0.68,1
torchinferno,few_shot,20,1212.57,307.80,1520.38,2,1.32,1
torchinferno,few_shot,21,1207.48,307.68,1515.16,2,1.32,1
torchinferno,few_shot,22,1207.60,312.65,1520.25,2,1.32,1
torchinferno,few_shot,23,1209.16,309.84,1519.00,2,1.32,1
torchinferno,few_shot,24,1206.30,315.10,1521.40,2,1.31,1
torchinferno,few_shot,25,1204.00,318.45,1522.45,2,1.31,1
torchinferno,few_shot,26,1209.29,322.76,1532.04,2,1.31,1
torchinferno,few_shot,27,1216.45,316.84,1533.29,2,1.30,1
torchinferno,few_shot,28,1212.54,317.19,1529.73,2,1.31,1
torchinferno,few_shot,29,1204.71,324.62,1529.33,2,1.31,1
torchinferno,few_shot,30,1208.49,328.50,1536.98,2,1.30,1
torchinferno,few_shot,31,1212.80,327.09,1539.89,2,1.30,1
torchinferno,few_shot,32,549.89,0.00,625.39,1,1.60,1
torchinferno,few_shot,33,548.91,0.00,625.18,1,1.60,1
torchinferno,few_shot,34,151.55,0.00,230.23,1,4.34,1
torchinferno,few_shot,35,169.96,0.00,249.67,1,4.01,1
torchinferno,few_shot,36,151.89,0.00,231.07,1,4.33,1
torchinferno,few_shot,37,550.05,0.00,631.29,1,1.58,1
torchinferno,few_shot,38,546.55,0.00,630.93,1,1.58,1
torchinferno,few_shot,39,168.64,0.00,253.15,1,3.95,1
torchinferno,few_shot,40,159.97,0.00,251.73,1,3.97,1
torchinferno,few_shot,41,154.16,153.76,307.93,2,6.50,1
torchinferno,few_shot,42,172.70,153.09,325.79,2,6.14,1
torchinferno,few_shot,43,167.94,0.00,240.91,1,4.15,1
torchinferno,few_shot,44,159.84,0.00,235.46,1,4.25,1
torchinferno,few_shot,45,332.25,0.00,407.93,1,2.45,1
torchinferno,few_shot,46,331.56,0.00,406.09,1,2.46,1
