model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-30T07:03:11.684265+00:00

Build Times
provider,build_time_s
torchinferno,719.5
vllm,626.4
sglang,344.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,164.90,144.57,142.88,sglang
ttft_p99_ms,4293.09,249.58,619.42,vllm
tpot_median_ms,49.25,55.02,67.53,torchinferno
tpot_p99_ms,2831.30,129.92,146.22,vllm
e2e_median_ms,206.56,195.66,211.24,vllm
e2e_p99_ms,4322.43,301.52,656.43,vllm
throughput_median_tps,5.57,7.48,5.83,vllm
total_output_tokens,1461,1452,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,240.54,181.33,204.27,vllm
ttft_p99_ms,513.35,270.61,72728.89,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,258.53,225.42,358.24,vllm
e2e_p99_ms,525.44,335.95,72813.38,vllm
throughput_median_tps,3.87,4.44,2.79,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,288.22,157.31,161.24,vllm
ttft_p99_ms,428.29,306.57,281.69,sglang
tpot_median_ms,56.22,51.15,92.39,vllm
tpot_p99_ms,111.20,168.39,199.45,torchinferno
e2e_median_ms,339.09,200.60,252.60,vllm
e2e_p99_ms,474.19,394.81,414.74,vllm
throughput_median_tps,4.36,6.92,5.17,vllm
total_output_tokens,1446,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,230.84,132.48,137.58,vllm
ttft_last_turn_ms,386.88,154.42,199.88,vllm
ttft_growth_ratio,1.68,1.17,1.45,vllm
ttft_first_turn_median_ms,233.29,122.25,135.71,vllm
ttft_first_turn_p99_ms,415.90,276.69,194.55,sglang
ttft_last_turn_median_ms,386.04,152.25,191.91,vllm
ttft_last_turn_p99_ms,455.60,272.24,292.17,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,201.63,60.28,82.15,vllm
ttft_p99_ms,525.13,2046.28,566.40,torchinferno
tpot_median_ms,58.04,32.17,40.81,vllm
tpot_p99_ms,120.59,1755.04,528.25,torchinferno
e2e_median_ms,244.88,84.90,131.36,vllm
e2e_p99_ms,578.31,2167.19,605.28,torchinferno
throughput_median_tps,5.67,14.35,10.05,vllm
total_output_tokens,1457,1481,1457,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,280.96,73.04,72.07,sglang
ttft_p99_ms,900.08,154.17,139.16,sglang
tpot_median_ms,23.51,14.95,22.20,vllm
tpot_p99_ms,60.95,21.98,25.83,vllm
e2e_median_ms,1165.31,601.69,820.72,vllm
e2e_p99_ms,1970.25,1006.16,1591.78,vllm
throughput_median_tps,32.61,59.25,42.14,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,17,0,1292.01,0.00,1738.56,1,0.58,1,,,,,,,17,,,
torchinferno,few_shot,10,1,1291.46,0.00,1742.15,1,0.57,1,,,,,,,10,,,
torchinferno,few_shot,7,2,1297.35,0.00,1746.70,1,0.57,1,,,,,,,7,,,
torchinferno,few_shot,11,3,1293.62,0.00,1747.66,1,0.57,1,,,,,,,11,,,
torchinferno,few_shot,8,4,1291.46,0.00,1749.06,1,0.57,1,,,,,,,8,,,
torchinferno,few_shot,9,5,1296.32,0.00,1750.15,1,0.57,1,,,,,,,9,,,
torchinferno,few_shot,4,6,1295.09,0.00,1753.69,1,0.57,1,,,,,,,4,,,
torchinferno,few_shot,5,7,1297.67,0.00,1754.78,1,0.57,1,,,,,,,5,,,
torchinferno,few_shot,2,8,1295.18,2820.43,4115.60,2,0.49,1,,,,,,,2,,,
torchinferno,few_shot,19,9,1290.26,2822.76,4113.03,2,0.49,1,,,,,,,19,,,
torchinferno,few_shot,14,10,1293.74,2822.59,4116.33,2,0.49,1,,,,,,,14,,,
torchinferno,few_shot,21,11,1293.52,2823.29,4116.81,2,0.49,1,,,,,,,21,,,
torchinferno,few_shot,18,12,1292.74,2825.96,4118.70,2,0.49,1,,,,,,,18,,,
torchinferno,few_shot,16,13,1293.49,2826.47,4119.96,2,0.49,1,,,,,,,16,,,
torchinferno,few_shot,13,14,1290.46,2831.30,4121.77,2,0.49,1,,,,,,,13,,,
torchinferno,few_shot,22,15,1295.09,2826.14,4121.23,2,0.49,1,,,,,,,22,,,
torchinferno,few_shot,0,16,1295.40,2832.15,4127.55,2,0.48,1,,,,,,,0,,,
torchinferno,few_shot,6,17,1295.58,2830.72,4126.30,2,0.48,1,,,,,,,6,,,
torchinferno,few_shot,20,18,1293.42,2831.38,4124.81,2,0.48,1,,,,,,,20,,,
torchinferno,few_shot,3,19,1292.98,2837.06,4130.03,2,0.48,1,,,,,,,3,,,
torchinferno,few_shot,15,20,1291.56,2836.45,4128.00,2,0.48,1,,,,,,,15,,,
torchinferno,few_shot,26,21,4207.53,0.00,4217.70,1,0.24,1,,,,,,,26,,,
torchinferno,few_shot,34,22,4204.64,0.00,4217.82,1,0.24,1,,,,,,,34,,,
torchinferno,few_shot,43,23,4206.31,0.00,4217.65,1,0.24,1,,,,,,,43,,,
torchinferno,few_shot,53,24,4202.77,0.00,4217.35,1,0.24,1,,,,,,,53,,,
torchinferno,few_shot,41,25,4207.16,0.00,4222.74,1,0.24,1,,,,,,,41,,,
torchinferno,few_shot,46,26,4204.52,0.00,4222.93,1,0.24,1,,,,,,,46,,,
torchinferno,few_shot,38,27,4209.18,0.00,4225.45,1,0.24,1,,,,,,,38,,,
torchinferno,few_shot,25,28,4203.65,0.00,4228.68,1,0.24,1,,,,,,,25,,,
torchinferno,few_shot,42,29,4202.93,0.00,4227.88,1,0.24,1,,,,,,,42,,,
torchinferno,few_shot,47,30,4203.84,0.00,4228.40,1,0.24,1,,,,,,,47,,,
torchinferno,few_shot,35,31,4202.81,0.00,4231.26,1,0.24,1,,,,,,,35,,,
torchinferno,few_shot,49,32,4202.73,27.98,4230.70,2,0.47,1,,,,,,,49,,,
torchinferno,few_shot,28,33,4206.80,0.00,4234.81,1,0.24,1,,,,,,,28,,,
torchinferno,few_shot,29,34,4202.76,0.00,4235.75,1,0.24,1,,,,,,,29,,,
torchinferno,few_shot,39,35,4202.05,0.00,4235.25,1,0.24,1,,,,,,,39,,,
torchinferno,few_shot,51,36,4206.63,28.54,4235.16,2,0.47,1,,,,,,,51,,,
