model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-20T03:02:22.099016+00:00

Build Times
provider,build_time_s
torchinferno,58.0
vllm,331.8
sglang,191.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,143.70,85.24,88.06,vllm
ttft_p99_ms,714.29,191.09,564.65,vllm
tpot_median_ms,31.10,37.47,69.78,torchinferno
tpot_p99_ms,41.03,136.09,858.59,torchinferno
e2e_median_ms,166.70,118.97,146.08,vllm
e2e_p99_ms,733.80,238.23,974.32,vllm
throughput_median_tps,6.86,11.56,9.08,vllm
total_output_tokens,1461,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,57.29,73.92,155.51,torchinferno
ttft_p99_ms,298.06,304.72,70478.75,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,75.21,90.46,232.74,torchinferno
e2e_p99_ms,298.12,312.26,70520.75,torchinferno
throughput_median_tps,13.30,11.06,4.30,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,191.15,74.92,85.07,vllm
ttft_p99_ms,1028.09,157.02,555.71,vllm
tpot_median_ms,34.23,41.96,79.35,torchinferno
tpot_p99_ms,43.94,85.60,904.90,torchinferno
e2e_median_ms,219.36,104.97,146.10,vllm
e2e_p99_ms,1044.24,221.33,945.72,vllm
throughput_median_tps,5.07,11.91,9.15,vllm
total_output_tokens,1442,1450,1448,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,435.04,80.25,66.98,sglang
ttft_last_turn_ms,175.26,90.40,91.65,vllm
ttft_growth_ratio,0.40,1.13,1.37,torchinferno
ttft_first_turn_median_ms,224.85,66.29,65.36,sglang
ttft_first_turn_p99_ms,1110.39,146.90,110.20,sglang
ttft_last_turn_median_ms,188.86,69.85,91.23,vllm
ttft_last_turn_p99_ms,207.60,154.59,113.34,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,53.13,35.64,58.08,vllm
ttft_p99_ms,1949.06,99.22,474.30,vllm
tpot_median_ms,34.46,24.65,374.21,vllm
tpot_p99_ms,81.49,33.95,994.96,vllm
e2e_median_ms,73.28,54.07,437.13,vllm
e2e_p99_ms,1976.63,144.40,1122.34,vllm
throughput_median_tps,19.66,24.28,3.40,vllm
total_output_tokens,1475,1473,1477,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,180.83,46.76,55.61,vllm
ttft_p99_ms,494.16,65.35,110.10,vllm
tpot_median_ms,19.02,15.38,26.95,vllm
tpot_p99_ms,24.59,17.58,121.07,vllm
e2e_median_ms,894.47,576.23,1051.37,vllm
e2e_p99_ms,1516.53,1038.13,1886.17,vllm
throughput_median_tps,42.01,60.65,35.82,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,772.34,0.00,784.64,1,1.27,1,,,,,,,1,,,
torchinferno,few_shot,0,1,790.13,24.06,814.20,2,2.46,1,,,,,,,0,,,
torchinferno,few_shot,5,2,781.30,0.00,795.35,1,1.26,1,,,,,,,5,,,
torchinferno,few_shot,7,3,748.14,0.00,762.71,1,1.31,1,,,,,,,7,,,
torchinferno,few_shot,4,4,801.11,0.00,813.35,1,1.23,1,,,,,,,4,,,
torchinferno,few_shot,10,5,697.50,0.00,712.96,1,1.40,1,,,,,,,10,,,
torchinferno,few_shot,26,6,429.31,0.00,445.30,1,2.25,1,,,,,,,26,,,
torchinferno,few_shot,29,7,378.86,0.00,393.12,1,2.54,1,,,,,,,29,,,
torchinferno,few_shot,12,8,664.44,0.00,680.52,1,1.47,1,,,,,,,12,,,
torchinferno,few_shot,17,9,581.27,0.00,597.15,1,1.67,1,,,,,,,17,,,
torchinferno,few_shot,25,10,446.21,0.00,463.83,1,2.16,1,,,,,,,25,,,
torchinferno,few_shot,8,11,733.96,0.00,750.74,1,1.33,1,,,,,,,8,,,
torchinferno,few_shot,9,12,714.29,0.00,733.80,1,1.36,1,,,,,,,9,,,
torchinferno,few_shot,28,13,397.34,0.00,415.68,1,2.41,1,,,,,,,28,,,
torchinferno,few_shot,11,14,680.74,0.00,701.20,1,1.43,1,,,,,,,11,,,
torchinferno,few_shot,31,15,344.11,0.00,364.05,1,2.75,1,,,,,,,31,,,
torchinferno,few_shot,24,16,463.95,0.00,486.16,1,2.06,1,,,,,,,24,,,
torchinferno,few_shot,19,17,546.85,26.47,573.32,2,3.49,1,,,,,,,19,,,
torchinferno,few_shot,6,18,767.54,25.58,793.12,2,2.52,1,,,,,,,6,,,
torchinferno,few_shot,32,19,326.18,27.90,354.08,2,5.65,1,,,,,,,32,,,
torchinferno,few_shot,14,20,630.84,28.32,659.16,2,3.03,1,,,,,,,14,,,
torchinferno,few_shot,13,21,646.39,29.83,676.23,2,2.96,1,,,,,,,13,,,
torchinferno,few_shot,3,22,816.73,28.97,845.70,2,2.36,1,,,,,,,3,,,
torchinferno,few_shot,16,23,596.00,32.42,628.42,2,3.18,1,,,,,,,16,,,
torchinferno,few_shot,21,24,512.41,33.02,545.44,2,3.67,1,,,,,,,21,,,
torchinferno,few_shot,30,25,359.87,33.19,393.06,2,5.09,1,,,,,,,30,,,
torchinferno,few_shot,15,26,614.39,32.50,646.90,2,3.09,1,,,,,,,15,,,
torchinferno,few_shot,2,27,831.26,35.25,866.51,2,2.31,1,,,,,,,2,,,
torchinferno,few_shot,23,28,480.23,33.96,514.19,2,3.89,1,,,,,,,23,,,
torchinferno,few_shot,22,29,498.64,33.43,532.07,2,3.76,1,,,,,,,22,,,
torchinferno,few_shot,33,30,309.50,36.07,345.56,2,5.79,1,,,,,,,33,,,
torchinferno,few_shot,18,31,564.98,35.15,600.13,2,3.33,1,,,,,,,18,,,
torchinferno,few_shot,20,32,531.13,39.29,570.42,2,3.51,1,,,,,,,20,,,
torchinferno,few_shot,27,33,413.01,41.03,454.04,2,4.40,1,,,,,,,27,,,
torchinferno,few_shot,34,34,378.58,0.00,389.59,1,2.57,1,,,,,,,34,,,
torchinferno,few_shot,48,35,142.22,0.00,155.10,1,6.45,1,,,,,,,48,,,
torchinferno,few_shot,35,36,358.30,0.00,374.07,1,2.67,1,,,,,,,35,,,
torchinferno,few_shot,72,37,67.79,0.00,82.25,1,12.16,1,,,,,,,72,,,
torchinferno,few_shot,47,38,160.02,0.00,173.48,1,5.76,1,,,,,,,47,,,
