model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-03T13:02:10.632029+00:00

Build Times
provider,build_time_s
torchinferno,40.1
vllm,230.2
sglang,160.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,148.78,144.75,141.14,sglang
ttft_p99_ms,841.38,259.02,592.35,vllm
tpot_median_ms,46.83,51.44,77.21,torchinferno
tpot_p99_ms,130.92,143.28,182.71,torchinferno
e2e_median_ms,189.08,191.70,217.38,torchinferno
e2e_p99_ms,871.68,327.41,633.32,vllm
throughput_median_tps,6.52,7.56,5.49,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,154.48,204.40,215.23,torchinferno
ttft_p99_ms,467.14,469.34,69425.78,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,162.30,229.65,367.47,torchinferno
e2e_p99_ms,484.60,500.44,69556.19,torchinferno
throughput_median_tps,6.16,4.35,2.72,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,312.06,177.48,163.04,sglang
ttft_p99_ms,442.32,355.44,766.37,vllm
tpot_median_ms,60.74,55.07,103.49,vllm
tpot_p99_ms,116.22,197.76,287.54,torchinferno
e2e_median_ms,365.49,226.91,269.98,vllm
e2e_p99_ms,491.83,427.72,823.40,vllm
throughput_median_tps,4.03,6.06,4.96,vllm
total_output_tokens,1464,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,263.74,153.52,108.65,sglang
ttft_last_turn_ms,355.35,164.53,195.91,vllm
ttft_growth_ratio,1.35,1.07,1.80,vllm
ttft_first_turn_median_ms,329.15,153.07,103.19,sglang
ttft_first_turn_p99_ms,426.50,374.70,205.80,sglang
ttft_last_turn_median_ms,362.69,160.69,190.91,vllm
ttft_last_turn_p99_ms,463.08,317.26,315.33,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,127.95,62.05,73.25,vllm
ttft_p99_ms,199.41,2094.19,470.89,torchinferno
tpot_median_ms,27.02,29.91,57.15,torchinferno
tpot_p99_ms,108.80,515.46,149.98,torchinferno
e2e_median_ms,148.40,84.14,138.71,vllm
e2e_p99_ms,313.97,2130.65,554.27,torchinferno
throughput_median_tps,9.00,14.14,10.29,vllm
total_output_tokens,1503,1468,1478,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,265.64,81.51,70.98,sglang
ttft_p99_ms,559.04,342.80,298.99,sglang
tpot_median_ms,20.68,15.07,22.30,vllm
tpot_p99_ms,35.91,23.02,38.01,vllm
e2e_median_ms,953.28,612.81,856.77,vllm
e2e_p99_ms,1776.16,1100.00,1765.81,vllm
throughput_median_tps,36.50,57.05,41.82,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,7,0,693.82,0.00,703.72,1,1.42,1,,,,,,,7,,,
torchinferno,few_shot,11,1,698.82,0.00,704.31,1,1.42,1,,,,,,,11,,,
torchinferno,few_shot,1,2,699.69,0.00,709.72,1,1.41,1,,,,,,,1,,,
torchinferno,few_shot,4,3,697.90,0.00,711.60,1,1.41,1,,,,,,,4,,,
torchinferno,few_shot,5,4,696.30,0.00,713.90,1,1.40,1,,,,,,,5,,,
torchinferno,few_shot,12,5,697.44,0.00,712.71,1,1.40,1,,,,,,,12,,,
torchinferno,few_shot,8,6,700.59,0.00,715.36,1,1.40,1,,,,,,,8,,,
torchinferno,few_shot,9,7,697.84,0.00,716.78,1,1.40,1,,,,,,,9,,,
torchinferno,few_shot,10,8,694.07,0.00,718.23,1,1.39,1,,,,,,,10,,,
torchinferno,few_shot,15,9,694.34,24.60,718.94,2,2.78,1,,,,,,,15,,,
torchinferno,few_shot,16,10,696.25,23.34,719.59,2,2.78,1,,,,,,,16,,,
torchinferno,few_shot,13,11,696.80,25.61,722.41,2,2.77,1,,,,,,,13,,,
torchinferno,few_shot,6,12,696.49,29.48,725.97,2,2.75,1,,,,,,,6,,,
torchinferno,few_shot,14,13,693.97,30.42,724.39,2,2.76,1,,,,,,,14,,,
torchinferno,few_shot,3,14,699.77,30.82,730.59,2,2.74,1,,,,,,,3,,,
torchinferno,few_shot,18,15,690.63,30.02,720.65,2,2.78,1,,,,,,,18,,,
torchinferno,few_shot,2,16,701.57,33.84,735.41,2,2.72,1,,,,,,,2,,,
torchinferno,few_shot,0,17,697.48,40.91,738.39,2,2.71,1,,,,,,,0,,,
torchinferno,few_shot,37,18,760.26,0.00,774.85,1,1.29,1,,,,,,,37,,,
torchinferno,few_shot,17,19,765.82,0.00,782.92,1,1.28,1,,,,,,,17,,,
torchinferno,few_shot,31,20,767.13,0.00,779.87,1,1.28,1,,,,,,,31,,,
torchinferno,few_shot,48,21,757.82,0.00,775.33,1,1.29,1,,,,,,,48,,,
torchinferno,few_shot,42,22,761.77,0.00,778.88,1,1.28,1,,,,,,,42,,,
torchinferno,few_shot,39,23,762.64,0.00,784.85,1,1.27,1,,,,,,,39,,,
torchinferno,few_shot,25,24,771.80,0.00,790.03,1,1.27,1,,,,,,,25,,,
torchinferno,few_shot,41,25,765.87,0.00,786.18,1,1.27,1,,,,,,,41,,,
torchinferno,few_shot,38,26,765.13,0.00,789.57,1,1.27,1,,,,,,,38,,,
torchinferno,few_shot,34,27,765.28,0.00,792.53,1,1.26,1,,,,,,,34,,,
torchinferno,few_shot,32,28,760.65,33.67,794.32,2,2.52,1,,,,,,,32,,,
torchinferno,few_shot,27,29,762.89,35.15,798.04,2,2.51,1,,,,,,,27,,,
torchinferno,few_shot,23,30,767.54,32.90,800.43,2,2.50,1,,,,,,,23,,,
torchinferno,few_shot,47,31,757.61,0.00,792.87,1,1.26,1,,,,,,,47,,,
torchinferno,few_shot,33,32,765.80,34.71,800.51,2,2.50,1,,,,,,,33,,,
torchinferno,few_shot,44,33,757.13,40.66,797.80,2,2.51,1,,,,,,,44,,,
torchinferno,few_shot,40,34,764.64,36.34,800.98,2,2.50,1,,,,,,,40,,,
torchinferno,few_shot,26,35,764.10,0.00,806.89,1,1.24,1,,,,,,,26,,,
torchinferno,few_shot,24,36,765.07,0.00,808.23,1,1.24,1,,,,,,,24,,,
torchinferno,few_shot,20,37,772.04,38.91,810.95,2,2.47,1,,,,,,,20,,,
torchinferno,few_shot,43,38,762.50,0.00,803.59,1,1.24,1,,,,,,,43,,,
