model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-27T21:01:52.892728

Build Times
provider,build_time_s
torchinferno,426.6
vllm,1356.8
sglang,206.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,287.46,155.91,146.33,sglang
ttft_p99_ms,1953.34,969.60,8336.96,vllm
tpot_median_ms,72.03,58.31,75.89,vllm
tpot_p99_ms,162.75,146.01,7208.75,vllm
e2e_median_ms,352.67,216.15,215.57,sglang
e2e_p99_ms,2057.33,1004.25,15526.47,vllm
throughput_median_tps,3.43,7.03,5.59,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,290.20,187.61,200.84,vllm
ttft_p99_ms,531.62,413.91,71612.45,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,333.77,206.47,335.41,vllm
e2e_p99_ms,573.58,493.30,71736.45,vllm
throughput_median_tps,3.00,4.84,2.98,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,774.61,180.03,165.36,sglang
ttft_p99_ms,2406.23,332.98,676.05,vllm
tpot_median_ms,59.01,66.09,104.25,torchinferno
tpot_p99_ms,119.72,184.64,237.06,torchinferno
e2e_median_ms,835.65,242.49,266.09,vllm
e2e_p99_ms,2434.80,432.78,846.81,vllm
throughput_median_tps,1.51,6.00,5.10,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,926.07,147.32,117.76,sglang
ttft_last_turn_ms,1598.95,180.29,168.88,sglang
ttft_growth_ratio,1.73,1.22,1.43,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,195.53,60.16,75.92,vllm
ttft_p99_ms,442.87,119.21,554.74,vllm
tpot_median_ms,28.73,28.72,47.00,vllm
tpot_p99_ms,117.09,49.68,143.73,vllm
e2e_median_ms,227.23,82.13,137.76,vllm
e2e_p99_ms,469.21,162.94,579.73,vllm
throughput_median_tps,6.11,14.98,9.94,vllm
total_output_tokens,1454,1456,1465,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,700.12,69.12,77.80,vllm
ttft_p99_ms,2783.17,138.16,180.74,vllm
tpot_median_ms,15.07,15.09,23.02,torchinferno
tpot_p99_ms,99.21,23.05,28.57,vllm
e2e_median_ms,1391.35,610.50,869.14,vllm
e2e_p99_ms,3104.03,1006.23,1675.75,vllm
throughput_median_tps,24.62,58.57,40.32,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1205.83,0.00,1696.69,1,0.59,1
torchinferno,few_shot,1,1206.18,0.00,1698.57,1,0.59,1
torchinferno,few_shot,2,1204.30,548.76,1753.06,2,1.14,1
torchinferno,few_shot,3,1958.15,0.00,1959.85,1,0.51,1
torchinferno,few_shot,4,1933.47,0.00,1955.45,1,0.51,1
torchinferno,few_shot,5,1961.04,0.00,1961.39,1,0.51,1
torchinferno,few_shot,6,1973.04,0.00,1973.32,1,0.51,1
torchinferno,few_shot,7,1934.55,0.00,1967.24,1,0.51,1
torchinferno,few_shot,8,1945.49,26.84,1972.33,2,1.01,1
torchinferno,few_shot,9,1943.89,0.00,1972.95,1,0.51,1
torchinferno,few_shot,10,1933.99,31.63,1965.62,2,1.02,1
torchinferno,few_shot,11,1959.58,5.31,1964.89,2,1.02,1
torchinferno,few_shot,12,1942.18,45.84,1988.02,2,1.01,1
torchinferno,few_shot,13,1934.58,0.00,1981.41,1,0.50,1
torchinferno,few_shot,14,1934.06,0.00,1981.36,1,0.50,1
torchinferno,few_shot,15,1940.34,51.21,1991.54,2,1.00,1
torchinferno,few_shot,16,1937.95,45.93,1983.88,2,1.01,1
torchinferno,few_shot,17,1941.72,0.00,1984.95,1,0.50,1
torchinferno,few_shot,18,1927.53,52.24,1979.77,2,1.01,1
torchinferno,few_shot,19,1938.35,55.90,1994.25,2,1.00,1
torchinferno,few_shot,20,1942.63,48.49,1991.12,2,1.00,1
torchinferno,few_shot,21,1953.34,43.87,1997.21,2,1.00,1
torchinferno,few_shot,22,1935.81,58.07,1993.88,2,1.00,1
torchinferno,few_shot,23,1933.54,0.00,1994.06,1,0.50,1
torchinferno,few_shot,24,1942.83,0.00,2003.27,1,0.50,1
torchinferno,few_shot,25,1940.20,0.00,2000.46,1,0.50,1
torchinferno,few_shot,26,1932.51,56.02,1988.53,2,1.01,1
torchinferno,few_shot,27,1942.44,52.18,1994.62,2,1.00,1
torchinferno,few_shot,28,1938.66,0.00,2008.99,1,0.50,1
torchinferno,few_shot,29,258.93,0.00,316.66,1,3.16,1
torchinferno,few_shot,30,1947.90,0.00,2013.50,1,0.50,1
torchinferno,few_shot,31,1940.74,72.03,2012.77,2,0.99,1
torchinferno,few_shot,32,1937.73,60.97,1998.71,2,1.00,1
torchinferno,few_shot,33,1930.00,0.00,2004.95,1,0.50,1
torchinferno,few_shot,34,1942.02,0.00,2015.83,1,0.50,1
torchinferno,few_shot,35,1928.11,78.99,2007.10,2,1.00,1
torchinferno,few_shot,36,1946.07,77.35,2023.41,2,0.99,1
torchinferno,few_shot,37,1933.19,0.00,2011.47,1,0.50,1
torchinferno,few_shot,38,1938.22,74.32,2012.54,2,0.99,1
torchinferno,few_shot,39,1939.71,86.61,2026.31,2,0.99,1
torchinferno,few_shot,40,1944.51,0.00,2019.26,1,0.50,1
torchinferno,few_shot,41,1944.45,0.00,2028.25,1,0.49,1
torchinferno,few_shot,42,258.56,0.00,339.17,1,2.95,1
torchinferno,few_shot,43,1964.41,70.93,2035.34,2,0.98,1
torchinferno,few_shot,44,1948.45,0.00,2034.51,1,0.49,1
torchinferno,few_shot,45,1938.71,0.00,2025.53,1,0.49,1
