model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-19T21:02:41.173171

Build Times
provider,build_time_s
torchinferno,353.7
vllm,408.3
sglang,254.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,314.08,138.53,148.93,vllm
ttft_p99_ms,1990.78,225.30,671.02,vllm
tpot_median_ms,54.39,48.06,74.36,vllm
tpot_p99_ms,211.19,127.12,377.28,vllm
e2e_median_ms,368.20,178.12,213.22,vllm
e2e_p99_ms,2004.75,285.22,887.05,vllm
throughput_median_tps,3.34,8.07,5.63,vllm
total_output_tokens,1461,1455,1459,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,310.77,195.41,220.05,vllm
ttft_p99_ms,881.17,228.39,70697.76,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,422.57,279.23,359.36,vllm
e2e_p99_ms,984.61,322.69,70794.89,vllm
throughput_median_tps,2.37,3.58,2.78,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,701.67,159.12,161.64,vllm
ttft_p99_ms,1969.25,313.67,286.13,sglang
tpot_median_ms,63.41,52.35,105.73,vllm
tpot_p99_ms,159.24,171.41,213.18,torchinferno
e2e_median_ms,760.62,206.63,260.07,vllm
e2e_p99_ms,1988.39,401.12,434.29,vllm
throughput_median_tps,1.93,6.89,5.29,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,535.23,133.33,103.63,sglang
ttft_last_turn_ms,864.53,157.75,195.77,vllm
ttft_growth_ratio,1.62,1.18,1.89,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,193.80,57.05,81.59,vllm
ttft_p99_ms,749.88,2073.50,500.02,sglang
tpot_median_ms,33.30,29.00,37.17,vllm
tpot_p99_ms,300.68,151.49,147.13,sglang
e2e_median_ms,233.32,79.53,124.59,vllm
e2e_p99_ms,776.26,2099.44,585.53,sglang
throughput_median_tps,5.55,15.01,10.17,vllm
total_output_tokens,1485,1464,1468,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,331.45,66.03,73.91,vllm
ttft_p99_ms,1273.26,120.21,131.60,vllm
tpot_median_ms,21.35,14.95,22.64,vllm
tpot_p99_ms,41.64,22.81,27.83,vllm
e2e_median_ms,1080.32,594.79,834.34,vllm
e2e_p99_ms,2568.12,1024.96,1632.39,vllm
throughput_median_tps,32.29,59.36,41.03,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1199.94,0.00,1208.37,1,0.83,1
torchinferno,few_shot,1,1199.23,0.00,1210.01,1,0.83,1
torchinferno,few_shot,2,1200.80,0.00,1212.58,1,0.82,1
torchinferno,few_shot,3,1201.72,127.31,1329.03,2,1.50,1
torchinferno,few_shot,4,1200.92,130.63,1331.55,2,1.50,1
torchinferno,few_shot,5,1199.91,130.56,1330.47,2,1.50,1
torchinferno,few_shot,6,1650.50,0.00,1765.18,1,0.57,1
torchinferno,few_shot,7,1642.38,0.00,1760.48,1,0.57,1
torchinferno,few_shot,8,1637.34,0.00,1761.48,1,0.57,1
torchinferno,few_shot,9,1637.06,0.00,1764.56,1,0.57,1
torchinferno,few_shot,10,1634.08,0.00,1765.70,1,0.57,1
torchinferno,few_shot,11,1637.63,0.00,1769.32,1,0.57,1
torchinferno,few_shot,12,1643.86,0.00,1768.48,1,0.57,1
torchinferno,few_shot,13,1637.10,0.00,1769.91,1,0.57,1
torchinferno,few_shot,14,1641.46,0.00,1769.43,1,0.57,1
torchinferno,few_shot,15,1641.87,0.00,1777.64,1,0.56,1
torchinferno,few_shot,16,1636.49,135.84,1772.33,2,1.13,1
torchinferno,few_shot,17,1642.79,131.87,1774.66,2,1.13,1
torchinferno,few_shot,18,1643.49,0.00,1776.35,1,0.56,1
torchinferno,few_shot,19,1642.60,0.00,1780.59,1,0.56,1
torchinferno,few_shot,20,1639.52,139.09,1778.61,2,1.12,1
torchinferno,few_shot,21,1641.63,0.00,1782.90,1,0.56,1
torchinferno,few_shot,22,1648.67,136.61,1785.27,2,1.12,1
torchinferno,few_shot,23,1643.22,0.00,1786.81,1,0.56,1
torchinferno,few_shot,24,1642.15,147.65,1789.80,2,1.12,1
torchinferno,few_shot,25,1635.99,155.23,1791.22,2,1.12,1
torchinferno,few_shot,26,1646.89,143.86,1790.75,2,1.12,1
torchinferno,few_shot,27,1638.18,153.65,1791.82,2,1.12,1
torchinferno,few_shot,28,1641.53,149.86,1791.39,2,1.12,1
torchinferno,few_shot,29,1649.52,148.49,1798.01,2,1.11,1
torchinferno,few_shot,30,1639.63,0.00,1794.54,1,0.56,1
torchinferno,few_shot,31,1651.41,151.94,1803.35,2,1.11,1
torchinferno,few_shot,32,1641.88,0.00,1797.72,1,0.56,1
torchinferno,few_shot,33,1640.30,160.13,1800.43,2,1.11,1
torchinferno,few_shot,34,1638.63,0.00,1798.74,1,0.56,1
torchinferno,few_shot,35,1649.40,0.00,1806.05,1,0.55,1
torchinferno,few_shot,36,1640.34,0.00,1804.56,1,0.55,1
torchinferno,few_shot,37,1641.92,159.66,1801.58,2,1.11,1
torchinferno,few_shot,38,1640.83,170.03,1810.86,2,1.10,1
torchinferno,few_shot,39,1644.86,173.30,1818.16,2,1.10,1
torchinferno,few_shot,40,1646.58,0.00,1821.12,1,0.55,1
torchinferno,few_shot,41,1639.95,186.38,1826.33,2,1.10,1
torchinferno,few_shot,42,1633.33,0.00,1830.39,1,0.55,1
torchinferno,few_shot,43,1634.79,198.05,1832.83,2,1.09,1
torchinferno,few_shot,44,1636.16,201.12,1837.27,2,1.09,1
torchinferno,few_shot,45,1640.80,0.00,1840.69,1,0.54,1
