model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-01T11:02:09.766448

Build Times
provider,build_time_s
torchinferno,442.0
vllm,1408.8
sglang,248.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,163.03,137.58,sglang
ttft_p99_ms,,1175.72,5025.09,vllm
tpot_median_ms,,55.86,75.36,vllm
tpot_p99_ms,,144.46,404.28,vllm
e2e_median_ms,,219.30,206.84,sglang
e2e_p99_ms,,1253.71,5406.04,vllm
throughput_median_tps,,6.60,5.89,vllm
total_output_tokens,,1460,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,182.15,209.36,vllm
ttft_p99_ms,,429.66,72658.27,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,202.41,341.10,vllm
e2e_p99_ms,,466.08,72779.36,vllm
throughput_median_tps,,4.94,2.93,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,172.41,158.18,sglang
ttft_p99_ms,,322.64,628.22,vllm
tpot_median_ms,,69.55,110.05,vllm
tpot_p99_ms,,200.13,231.81,vllm
e2e_median_ms,,229.48,262.13,vllm
e2e_p99_ms,,429.57,763.40,vllm
throughput_median_tps,,6.17,5.04,vllm
total_output_tokens,,1450,1448,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,139.22,118.30,sglang
ttft_last_turn_ms,,169.17,183.83,vllm
ttft_growth_ratio,,1.22,1.55,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,58.33,77.23,vllm
ttft_p99_ms,,82.92,582.70,vllm
tpot_median_ms,,27.43,54.06,vllm
tpot_p99_ms,,41.37,164.11,vllm
e2e_median_ms,,79.45,141.88,vllm
e2e_p99_ms,,123.42,624.11,vllm
throughput_median_tps,,15.67,9.83,vllm
total_output_tokens,,1484,1480,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,75.40,82.68,vllm
ttft_p99_ms,,239.70,142.83,sglang
tpot_median_ms,,14.95,23.33,vllm
tpot_p99_ms,,28.34,29.88,vllm
e2e_median_ms,,613.94,888.36,vllm
e2e_p99_ms,,999.01,1762.60,vllm
throughput_median_tps,,58.64,39.73,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,1070.10,0.00,1078.88,1,0.93,1
vllm,few_shot,1,1073.07,97.00,1170.07,2,1.71,1
vllm,few_shot,2,1075.52,100.08,1175.60,2,1.70,1
vllm,few_shot,3,1156.86,0.00,1188.17,1,0.84,1
vllm,few_shot,4,1159.10,0.00,1190.66,1,0.84,1
vllm,few_shot,5,1167.33,0.00,1191.07,1,0.84,1
vllm,few_shot,6,1170.70,0.00,1197.67,1,0.83,1
vllm,few_shot,7,1172.77,0.00,1193.76,1,0.84,1
vllm,few_shot,8,1171.90,0.00,1203.17,1,0.83,1
vllm,few_shot,9,1172.38,0.00,1198.49,1,0.83,1
vllm,few_shot,10,1178.31,0.00,1207.34,1,0.83,1
vllm,few_shot,11,1166.17,0.00,1204.47,1,0.83,1
vllm,few_shot,12,1160.40,0.00,1205.01,1,0.83,1
vllm,few_shot,13,1151.39,0.00,1200.75,1,0.83,1
vllm,few_shot,14,1176.07,0.00,1204.49,1,0.83,1
vllm,few_shot,15,1182.87,0.00,1211.80,1,0.83,1
vllm,few_shot,16,1174.77,0.00,1204.64,1,0.83,1
vllm,few_shot,17,1166.43,0.00,1215.61,1,0.82,1
vllm,few_shot,18,1171.32,0.00,1211.54,1,0.83,1
vllm,few_shot,19,1154.30,0.00,1210.12,1,0.83,1
vllm,few_shot,20,1169.64,38.77,1208.41,2,1.66,1
vllm,few_shot,21,1154.74,55.14,1209.89,2,1.65,1
vllm,few_shot,22,1157.77,54.56,1212.33,2,1.65,1
vllm,few_shot,23,1160.48,51.03,1211.51,2,1.65,1
vllm,few_shot,24,1176.83,46.76,1223.59,2,1.63,1
vllm,few_shot,25,1167.67,0.00,1219.57,1,0.82,1
vllm,few_shot,26,1172.60,0.00,1221.37,1,0.82,1
vllm,few_shot,27,1174.49,0.00,1220.96,1,0.82,1
vllm,few_shot,28,1172.73,49.88,1222.61,2,1.64,1
vllm,few_shot,29,1167.40,0.00,1223.26,1,0.82,1
vllm,few_shot,30,1168.95,0.00,1229.16,1,0.81,1
vllm,few_shot,31,1179.34,48.14,1227.48,2,1.63,1
vllm,few_shot,32,1154.46,69.61,1224.07,2,1.63,1
vllm,few_shot,33,1179.83,52.75,1232.59,2,1.62,1
vllm,few_shot,34,1175.72,0.00,1236.27,1,0.81,1
vllm,few_shot,35,1172.47,0.00,1233.26,1,0.81,1
vllm,few_shot,36,1179.86,0.00,1241.29,1,0.81,1
vllm,few_shot,37,1160.75,74.67,1235.42,2,1.62,1
vllm,few_shot,38,1169.63,67.97,1237.60,2,1.62,1
vllm,few_shot,39,1161.25,72.29,1233.54,2,1.62,1
vllm,few_shot,40,1167.45,75.58,1243.04,2,1.61,1
vllm,few_shot,41,1161.22,81.08,1242.31,2,1.61,1
vllm,few_shot,42,1173.99,67.40,1241.39,2,1.61,1
