model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-26T07:03:20.191873+00:00

Build Times
provider,build_time_s
torchinferno,445.1
vllm,545.0
sglang,258.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,152.43,151.21,sglang
ttft_p99_ms,,1001.23,616.02,sglang
tpot_median_ms,,49.98,70.83,vllm
tpot_p99_ms,,127.21,385.85,vllm
e2e_median_ms,,198.88,220.12,vllm
e2e_p99_ms,,1051.20,907.09,sglang
throughput_median_tps,,7.36,5.52,vllm
total_output_tokens,,1460,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,204.97,207.83,vllm
ttft_p99_ms,,433.41,70238.54,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,230.99,356.42,vllm
e2e_p99_ms,,489.72,70319.64,vllm
throughput_median_tps,,4.33,2.81,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,169.24,172.62,vllm
ttft_p99_ms,,323.19,293.82,sglang
tpot_median_ms,,47.20,105.85,vllm
tpot_p99_ms,,179.84,240.24,vllm
e2e_median_ms,,206.21,269.19,vllm
e2e_p99_ms,,407.04,460.58,vllm
throughput_median_tps,,6.48,4.90,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,135.56,129.10,sglang
ttft_last_turn_ms,,164.04,184.92,vllm
ttft_growth_ratio,,1.21,1.43,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,59.67,84.18,vllm
ttft_p99_ms,,3707.20,537.00,sglang
tpot_median_ms,,29.53,38.64,vllm
tpot_p99_ms,,1739.68,121.95,sglang
e2e_median_ms,,80.93,134.18,vllm
e2e_p99_ms,,3782.01,582.53,sglang
throughput_median_tps,,15.13,10.09,vllm
total_output_tokens,,1474,1455,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,74.25,71.61,sglang
ttft_p99_ms,,212.03,193.76,sglang
tpot_median_ms,,14.83,22.10,vllm
tpot_p99_ms,,26.18,27.07,vllm
e2e_median_ms,,604.71,847.06,vllm
e2e_p99_ms,,1007.69,1572.13,vllm
throughput_median_tps,,59.35,42.23,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,846.32,0.00,847.18,1,1.18,1
vllm,few_shot,1,841.52,0.00,845.42,1,1.18,1
vllm,few_shot,2,844.07,0.00,846.10,1,1.18,1
vllm,few_shot,3,845.22,0.00,847.84,1,1.18,1
vllm,few_shot,4,852.84,0.00,853.77,1,1.17,1
vllm,few_shot,5,862.48,0.00,872.89,1,1.15,1
vllm,few_shot,6,897.57,0.00,918.01,1,1.09,1
vllm,few_shot,7,898.19,0.00,916.99,1,1.09,1
vllm,few_shot,8,901.71,0.00,920.67,1,1.09,1
vllm,few_shot,9,894.54,0.00,918.04,1,1.09,1
vllm,few_shot,10,896.44,0.00,920.86,1,1.09,1
vllm,few_shot,11,897.63,45.97,943.60,2,2.12,1
vllm,few_shot,12,893.41,50.79,944.20,2,2.12,1
vllm,few_shot,13,908.82,0.00,944.42,1,1.06,1
vllm,few_shot,14,914.29,0.00,945.74,1,1.06,1
vllm,few_shot,15,897.74,50.10,947.85,2,2.11,1
vllm,few_shot,16,893.95,56.01,949.96,2,2.11,1
vllm,few_shot,17,904.89,52.19,957.08,2,2.09,1
vllm,few_shot,18,908.45,0.00,951.66,1,1.05,1
vllm,few_shot,19,896.93,58.94,955.87,2,2.09,1
vllm,few_shot,20,909.27,0.00,954.05,1,1.05,1
vllm,few_shot,21,900.36,61.13,961.49,2,2.08,1
vllm,few_shot,22,895.84,64.69,960.53,2,2.08,1
vllm,few_shot,23,893.35,64.38,957.73,2,2.09,1
vllm,few_shot,24,901.26,60.30,961.56,2,2.08,1
vllm,few_shot,25,937.51,0.00,1004.23,1,1.00,1
vllm,few_shot,26,936.91,0.00,1006.69,1,0.99,1
vllm,few_shot,27,911.02,99.23,1010.25,2,1.98,1
vllm,few_shot,28,948.95,0.00,1011.24,1,0.99,1
vllm,few_shot,29,911.98,100.62,1012.60,2,1.98,1
vllm,few_shot,30,947.75,0.00,1011.22,1,0.99,1
vllm,few_shot,31,946.42,0.00,1012.63,1,0.99,1
vllm,few_shot,32,912.25,106.68,1018.93,2,1.96,1
vllm,few_shot,33,936.55,0.00,1018.62,1,0.98,1
vllm,few_shot,34,950.29,70.45,1020.74,2,1.96,1
vllm,few_shot,35,149.31,0.00,154.49,1,6.47,1
vllm,few_shot,36,954.55,0.00,1020.24,1,0.98,1
vllm,few_shot,37,1021.78,0.00,1022.07,1,0.98,1
vllm,few_shot,38,911.02,118.75,1029.77,2,1.94,1
vllm,few_shot,39,911.69,119.31,1030.99,2,1.94,1
vllm,few_shot,40,1001.41,0.00,1026.17,1,0.97,1
vllm,few_shot,41,945.69,0.00,1029.59,1,0.97,1
vllm,few_shot,42,175.61,0.00,189.62,1,5.27,1
vllm,few_shot,43,166.62,0.00,196.25,1,5.10,1
vllm,few_shot,44,1011.64,0.00,1031.43,1,0.97,1
