model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-12T10:07:00.279999

Build Times
provider,build_time_s
torchinferno,418.8
vllm,993.9
sglang,176.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,448.90,160.38,137.57,sglang
ttft_p99_ms,2113.76,997.80,5162.48,vllm
tpot_median_ms,365.92,60.68,75.81,vllm
tpot_p99_ms,746.59,146.88,7320.48,vllm
e2e_median_ms,780.61,220.79,208.01,sglang
e2e_p99_ms,2371.91,1046.91,12448.88,vllm
throughput_median_tps,1.73,6.80,5.86,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,385.50,195.57,209.13,vllm
ttft_p99_ms,973.24,467.59,679.89,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,438.64,217.19,358.90,vllm
e2e_p99_ms,1144.73,507.82,778.99,vllm
throughput_median_tps,2.28,4.60,2.79,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,643.14,180.34,158.49,sglang
ttft_p99_ms,1454.03,339.55,585.73,vllm
tpot_median_ms,532.46,62.38,107.42,vllm
tpot_p99_ms,1100.87,189.05,223.38,vllm
e2e_median_ms,1187.31,230.29,259.66,vllm
e2e_p99_ms,2333.27,427.18,666.81,vllm
throughput_median_tps,1.13,6.06,5.16,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,947.17,134.02,105.58,sglang
ttft_last_turn_ms,704.80,168.12,356.63,vllm
ttft_growth_ratio,0.74,1.25,3.38,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,449.57,57.93,76.89,vllm
ttft_p99_ms,1039.79,128.44,702.39,vllm
tpot_median_ms,479.12,26.55,63.24,vllm
tpot_p99_ms,673.70,103.58,174.05,vllm
e2e_median_ms,878.33,78.71,156.73,vllm
e2e_p99_ms,1540.64,154.14,733.09,vllm
throughput_median_tps,1.69,15.60,9.27,vllm
total_output_tokens,1474,1472,1471,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,718.67,70.65,68.47,sglang
ttft_p99_ms,2980.44,207.23,120.08,sglang
tpot_median_ms,26.64,14.88,22.28,vllm
tpot_p99_ms,65.41,19.56,26.95,vllm
e2e_median_ms,1913.82,607.11,835.46,vllm
e2e_p99_ms,3879.98,997.57,1586.07,vllm
throughput_median_tps,17.87,58.95,42.20,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1126.90,0.00,1661.69,1,0.60,1
torchinferno,few_shot,1,1130.48,0.00,1667.71,1,0.60,1
torchinferno,few_shot,2,1120.33,0.00,1668.78,1,0.60,1
torchinferno,few_shot,3,1121.05,0.00,1671.79,1,0.60,1
torchinferno,few_shot,4,1123.66,0.00,1670.89,1,0.60,1
torchinferno,few_shot,5,1127.15,0.00,1671.36,1,0.60,1
torchinferno,few_shot,6,1124.46,0.00,1671.71,1,0.60,1
torchinferno,few_shot,7,1122.97,0.00,1672.08,1,0.60,1
torchinferno,few_shot,8,1129.49,0.00,1675.09,1,0.60,1
torchinferno,few_shot,9,1123.96,0.00,1675.46,1,0.60,1
torchinferno,few_shot,10,1122.43,0.00,1679.07,1,0.60,1
torchinferno,few_shot,11,1120.71,0.00,1676.34,1,0.60,1
torchinferno,few_shot,12,1124.55,0.00,1676.37,1,0.60,1
torchinferno,few_shot,13,1122.19,0.00,1681.25,1,0.59,1
torchinferno,few_shot,14,1120.80,0.00,1678.96,1,0.60,1
torchinferno,few_shot,15,1121.32,0.00,1682.57,1,0.59,1
torchinferno,few_shot,16,1129.46,0.00,1683.77,1,0.59,1
torchinferno,few_shot,17,1124.21,0.00,1682.98,1,0.59,1
torchinferno,few_shot,18,1121.02,0.00,1689.61,1,0.59,1
torchinferno,few_shot,19,1129.52,0.00,1692.88,1,0.59,1
torchinferno,few_shot,20,1121.25,0.00,1688.83,1,0.59,1
torchinferno,few_shot,21,1131.14,0.00,1696.53,1,0.59,1
torchinferno,few_shot,22,1127.95,0.00,1699.56,1,0.59,1
torchinferno,few_shot,23,1132.63,0.00,1707.73,1,0.59,1
torchinferno,few_shot,24,1124.01,721.04,1845.05,2,1.08,1
torchinferno,few_shot,25,1121.69,727.25,1848.94,2,1.08,1
torchinferno,few_shot,26,1124.77,722.28,1847.05,2,1.08,1
torchinferno,few_shot,27,1131.20,724.29,1855.49,2,1.08,1
torchinferno,few_shot,28,1121.08,730.81,1851.89,2,1.08,1
torchinferno,few_shot,29,1126.15,724.77,1850.91,2,1.08,1
torchinferno,few_shot,30,1121.36,733.06,1854.43,2,1.08,1
torchinferno,few_shot,31,1122.75,737.36,1860.11,2,1.08,1
torchinferno,few_shot,32,1123.20,732.87,1856.07,2,1.08,1
torchinferno,few_shot,33,1124.83,735.42,1860.25,2,1.08,1
torchinferno,few_shot,34,1123.12,738.74,1861.86,2,1.07,1
torchinferno,few_shot,35,1121.41,740.93,1862.33,2,1.07,1
torchinferno,few_shot,36,1124.70,733.85,1858.55,2,1.08,1
torchinferno,few_shot,37,1121.20,742.47,1863.67,2,1.07,1
torchinferno,few_shot,38,1125.93,736.20,1862.14,2,1.07,1
torchinferno,few_shot,39,1126.71,739.96,1866.68,2,1.07,1
torchinferno,few_shot,40,1121.33,742.30,1863.63,2,1.07,1
torchinferno,few_shot,41,1125.97,742.33,1868.30,2,1.07,1
torchinferno,few_shot,42,1121.16,746.59,1867.75,2,1.07,1
torchinferno,few_shot,43,1121.17,750.04,1871.21,2,1.07,1
torchinferno,few_shot,44,1129.27,741.79,1871.05,2,1.07,1
torchinferno,few_shot,45,1129.00,747.63,1876.63,2,1.07,1
