model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-23T19:03:00.060927

Build Times
provider,build_time_s
torchinferno,457.7
vllm,582.9
sglang,275.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,142.73,147.13,vllm
ttft_p99_ms,,1111.98,623.48,sglang
tpot_median_ms,,42.87,73.24,vllm
tpot_p99_ms,,126.80,397.94,vllm
e2e_median_ms,,177.43,218.87,vllm
e2e_p99_ms,,1158.33,889.61,sglang
throughput_median_tps,,8.01,5.66,vllm
total_output_tokens,,1461,1461,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,195.81,208.67,vllm
ttft_p99_ms,,301.98,72474.13,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,244.38,348.60,vllm
e2e_p99_ms,,409.88,72561.70,vllm
throughput_median_tps,,4.09,2.87,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,159.81,168.25,vllm
ttft_p99_ms,,316.80,845.22,vllm
tpot_median_ms,,53.79,104.57,vllm
tpot_p99_ms,,175.65,235.29,vllm
e2e_median_ms,,202.78,276.89,vllm
e2e_p99_ms,,407.46,874.02,vllm
throughput_median_tps,,6.47,4.92,vllm
total_output_tokens,,1450,1460,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,129.36,117.81,sglang
ttft_last_turn_ms,,163.36,203.40,vllm
ttft_growth_ratio,,1.26,1.73,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,60.44,85.77,vllm
ttft_p99_ms,,2092.05,188.13,sglang
tpot_median_ms,,29.38,44.22,vllm
tpot_p99_ms,,1746.05,601.36,sglang
e2e_median_ms,,82.92,139.83,vllm
e2e_p99_ms,,2121.01,674.82,sglang
throughput_median_tps,,14.86,9.36,vllm
total_output_tokens,,1453,1450,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,75.73,70.13,sglang
ttft_p99_ms,,164.99,239.13,vllm
tpot_median_ms,,14.77,22.33,vllm
tpot_p99_ms,,20.38,27.34,vllm
e2e_median_ms,,614.98,830.06,vllm
e2e_p99_ms,,997.25,1578.34,vllm
throughput_median_tps,,58.93,41.87,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,988.97,0.00,989.14,1,1.01,1
vllm,few_shot,1,995.55,0.00,995.69,1,1.00,1
vllm,few_shot,2,987.28,0.00,991.65,1,1.01,1
vllm,few_shot,3,987.02,0.00,994.49,1,1.01,1
vllm,few_shot,4,854.16,144.02,998.18,2,2.00,1
vllm,few_shot,5,994.74,0.00,998.81,1,1.00,1
vllm,few_shot,6,994.28,0.00,998.76,1,1.00,1
vllm,few_shot,7,996.44,0.00,1001.46,1,1.00,1
vllm,few_shot,8,992.77,0.00,1001.85,1,1.00,1
vllm,few_shot,9,999.90,0.00,1004.62,1,1.00,1
vllm,few_shot,10,1005.73,0.00,1008.28,1,0.99,1
vllm,few_shot,11,1010.47,0.00,1011.64,1,0.99,1
vllm,few_shot,12,998.88,0.00,1007.92,1,0.99,1
vllm,few_shot,13,1004.69,0.00,1008.32,1,0.99,1
vllm,few_shot,14,1017.56,0.00,1031.72,1,0.97,1
vllm,few_shot,15,1014.53,34.27,1048.81,2,1.91,1
vllm,few_shot,16,1046.36,0.00,1064.57,1,0.94,1
vllm,few_shot,17,1048.85,0.00,1067.55,1,0.94,1
vllm,few_shot,18,1051.93,0.00,1073.68,1,0.93,1
vllm,few_shot,19,1051.88,0.00,1073.33,1,0.93,1
vllm,few_shot,20,1061.41,0.00,1087.89,1,0.92,1
vllm,few_shot,21,1067.33,0.00,1092.05,1,0.92,1
vllm,few_shot,22,1066.30,0.00,1093.91,1,0.91,1
vllm,few_shot,23,1063.55,0.00,1095.55,1,0.91,1
vllm,few_shot,24,1049.74,48.85,1098.59,2,1.82,1
vllm,few_shot,25,1054.26,45.31,1099.57,2,1.82,1
vllm,few_shot,26,1050.89,48.93,1099.82,2,1.82,1
vllm,few_shot,27,1045.61,54.40,1100.01,2,1.82,1
vllm,few_shot,28,1067.94,0.00,1100.80,1,0.91,1
vllm,few_shot,29,1053.15,51.37,1104.52,2,1.81,1
vllm,few_shot,30,1057.78,53.61,1111.39,2,1.80,1
vllm,few_shot,31,1050.53,56.53,1107.05,2,1.81,1
vllm,few_shot,32,1049.67,58.97,1108.64,2,1.80,1
vllm,few_shot,33,1061.01,0.00,1108.36,1,0.90,1
vllm,few_shot,34,1062.42,56.42,1118.84,2,1.79,1
vllm,few_shot,35,1106.48,0.00,1118.95,1,0.89,1
vllm,few_shot,36,1099.48,0.00,1120.64,1,0.89,1
vllm,few_shot,37,1094.71,0.00,1119.74,1,0.89,1
vllm,few_shot,38,1086.44,0.00,1123.21,1,0.89,1
vllm,few_shot,39,1062.44,64.04,1126.48,2,1.78,1
vllm,few_shot,40,1089.47,0.00,1125.70,1,0.89,1
vllm,few_shot,41,1088.98,0.00,1127.71,1,0.89,1
vllm,few_shot,42,1069.21,61.24,1130.45,2,1.77,1
vllm,few_shot,43,1100.57,0.00,1131.31,1,0.88,1
