model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-13T02:08:55.550692

Build Times
provider,build_time_s
torchinferno,318.7
vllm,978.8
sglang,158.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,413.33,162.03,131.83,sglang
ttft_p99_ms,1285.24,539.81,5684.78,vllm
tpot_median_ms,480.84,60.39,74.43,vllm
tpot_p99_ms,622.47,161.30,7305.81,vllm
e2e_median_ms,814.61,224.60,199.34,sglang
e2e_p99_ms,1896.45,592.25,12948.89,vllm
throughput_median_tps,1.67,6.47,6.12,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,740.02,191.31,,vllm
ttft_p99_ms,996.63,451.60,,vllm
tpot_median_ms,0.00,0.00,,torchinferno
tpot_p99_ms,0.00,0.00,,torchinferno
e2e_median_ms,770.11,221.44,,vllm
e2e_p99_ms,1024.12,513.71,,vllm
throughput_median_tps,1.30,4.52,,vllm
total_output_tokens,1000,1000,,torchinferno
num_requests,1000,1000,,
correctness_rate,1.00,1.00,,torchinferno
unique_final_answers,1,1,,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,635.76,170.54,,vllm
ttft_p99_ms,1358.04,347.15,,vllm
tpot_median_ms,209.82,57.68,,vllm
tpot_p99_ms,519.26,179.59,,vllm
e2e_median_ms,814.09,216.30,,vllm
e2e_p99_ms,1715.47,422.64,,vllm
throughput_median_tps,1.57,6.35,,vllm
total_output_tokens,1448,1448,,torchinferno
num_requests,1000,1000,,
correctness_rate,0.98,0.98,,vllm
ttft_first_turn_ms,779.34,143.99,,vllm
ttft_last_turn_ms,610.43,162.34,,vllm
ttft_growth_ratio,0.78,1.13,,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,462.24,58.30,,vllm
ttft_p99_ms,1240.92,139.07,,vllm
tpot_median_ms,493.84,27.54,,vllm
tpot_p99_ms,620.57,118.79,,vllm
e2e_median_ms,865.27,78.57,,vllm
e2e_p99_ms,1753.14,168.60,,vllm
throughput_median_tps,1.57,15.54,,vllm
total_output_tokens,1478,1467,,torchinferno
num_requests,992,992,,
correctness_rate,0.97,0.97,,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,625.67,74.15,,vllm
ttft_p99_ms,2093.94,188.76,,vllm
tpot_median_ms,31.37,14.92,,vllm
tpot_p99_ms,75.82,19.42,,vllm
e2e_median_ms,2015.76,614.29,,vllm
e2e_p99_ms,3106.66,1032.77,,vllm
throughput_median_tps,18.29,58.42,,vllm
total_output_tokens,36715,36715,,torchinferno
num_requests,1000,1000,,
correctness_rate,1.00,1.00,,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,759.63,0.00,942.91,1,1.06,1
torchinferno,few_shot,1,760.63,0.00,944.63,1,1.06,1
torchinferno,few_shot,2,759.77,0.00,944.97,1,1.06,1
torchinferno,few_shot,3,761.77,0.00,947.93,1,1.05,1
torchinferno,few_shot,4,1279.22,0.00,1675.98,1,0.60,1
torchinferno,few_shot,5,1281.66,0.00,1684.53,1,0.59,1
torchinferno,few_shot,6,1275.80,0.00,1671.59,1,0.60,1
torchinferno,few_shot,7,343.16,0.00,743.81,1,1.34,1
torchinferno,few_shot,8,1274.68,0.00,1682.79,1,0.59,1
torchinferno,few_shot,9,1270.12,0.00,1674.38,1,0.60,1
torchinferno,few_shot,10,1263.74,0.00,1674.85,1,0.60,1
torchinferno,few_shot,11,1281.97,0.00,1686.53,1,0.59,1
torchinferno,few_shot,12,343.49,0.00,748.41,1,1.34,1
torchinferno,few_shot,13,1276.74,0.00,1681.49,1,0.59,1
torchinferno,few_shot,14,1286.66,0.00,1695.86,1,0.59,1
torchinferno,few_shot,15,1278.44,0.00,1697.83,1,0.59,1
torchinferno,few_shot,16,347.20,0.00,753.33,1,1.33,1
torchinferno,few_shot,17,1287.60,0.00,1696.48,1,0.59,1
torchinferno,few_shot,18,1276.31,0.00,1691.00,1,0.59,1
torchinferno,few_shot,19,1272.24,0.00,1692.21,1,0.59,1
torchinferno,few_shot,20,1266.55,0.00,1689.66,1,0.59,1
torchinferno,few_shot,21,1287.07,0.00,1702.89,1,0.59,1
torchinferno,few_shot,22,339.66,0.00,762.01,1,1.31,1
torchinferno,few_shot,23,1276.92,0.00,1695.38,1,0.59,1
torchinferno,few_shot,24,1271.65,0.00,1700.51,1,0.59,1
torchinferno,few_shot,25,1272.84,0.00,1702.98,1,0.59,1
torchinferno,few_shot,26,1268.36,0.00,1703.51,1,0.59,1
torchinferno,few_shot,27,1276.95,0.00,1705.19,1,0.59,1
torchinferno,few_shot,28,1285.24,0.00,1717.53,1,0.58,1
torchinferno,few_shot,29,1271.55,0.00,1707.45,1,0.59,1
torchinferno,few_shot,30,1275.52,0.00,1717.67,1,0.58,1
torchinferno,few_shot,31,1273.80,0.00,1706.81,1,0.59,1
torchinferno,few_shot,32,1286.58,0.00,1727.11,1,0.58,1
torchinferno,few_shot,33,1277.29,0.00,1722.32,1,0.58,1
torchinferno,few_shot,34,1276.44,0.00,1721.27,1,0.58,1
torchinferno,few_shot,35,1280.47,0.00,1733.16,1,0.58,1
torchinferno,few_shot,36,1279.36,590.25,1869.60,2,1.07,1
torchinferno,few_shot,37,1270.79,583.96,1854.76,2,1.08,1
torchinferno,few_shot,38,1270.12,586.38,1856.50,2,1.08,1
torchinferno,few_shot,39,1274.96,594.49,1869.45,2,1.07,1
torchinferno,few_shot,40,1265.41,591.88,1857.28,2,1.08,1
torchinferno,few_shot,41,1268.02,592.80,1860.82,2,1.07,1
torchinferno,few_shot,42,1268.49,596.56,1865.04,2,1.07,1
