model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-18T21:02:48.751319

Build Times
provider,build_time_s
torchinferno,233.0
vllm,1051.4
sglang,171.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,275.10,157.43,135.12,sglang
ttft_p99_ms,1253.93,935.25,4212.31,vllm
tpot_median_ms,152.28,55.05,79.47,vllm
tpot_p99_ms,213.28,144.87,7312.98,vllm
e2e_median_ms,373.96,216.05,205.26,sglang
e2e_p99_ms,1444.39,987.83,11485.60,vllm
throughput_median_tps,4.08,6.83,5.93,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,269.94,193.14,209.92,vllm
ttft_p99_ms,1511.53,253.61,70450.32,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,300.34,249.18,357.69,vllm
e2e_p99_ms,1553.30,341.76,70551.66,vllm
throughput_median_tps,3.33,4.01,2.80,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,521.34,165.05,158.75,sglang
ttft_p99_ms,1489.61,332.57,832.91,vllm
tpot_median_ms,100.45,60.10,102.29,vllm
tpot_p99_ms,463.68,196.56,225.16,vllm
e2e_median_ms,630.44,216.77,262.99,vllm
e2e_p99_ms,1724.21,423.20,875.38,vllm
throughput_median_tps,2.12,6.06,5.08,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,788.39,138.52,104.67,sglang
ttft_last_turn_ms,438.61,172.79,194.01,vllm
ttft_growth_ratio,0.56,1.25,1.85,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,332.18,58.02,75.51,vllm
ttft_p99_ms,800.56,148.55,728.59,vllm
tpot_median_ms,130.83,26.73,46.85,vllm
tpot_p99_ms,151.29,45.27,140.29,vllm
e2e_median_ms,425.32,78.04,127.09,vllm
e2e_p99_ms,938.70,164.02,761.06,vllm
throughput_median_tps,3.70,15.80,10.19,vllm
total_output_tokens,1490,1462,1467,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,720.84,71.90,68.90,sglang
ttft_p99_ms,2252.05,200.72,124.27,sglang
tpot_median_ms,16.28,14.86,22.36,vllm
tpot_p99_ms,45.79,22.49,28.99,vllm
e2e_median_ms,1458.51,611.57,823.72,vllm
e2e_p99_ms,3493.92,1009.80,1644.21,vllm
throughput_median_tps,28.31,58.55,42.11,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,630.40,0.00,814.95,1,1.23,1
torchinferno,few_shot,1,1243.93,0.00,1334.31,1,0.75,1
torchinferno,few_shot,2,1243.83,0.00,1336.47,1,0.75,1
torchinferno,few_shot,3,1248.07,0.00,1338.80,1,0.75,1
torchinferno,few_shot,4,1239.65,0.00,1334.80,1,0.75,1
torchinferno,few_shot,5,1245.98,0.00,1342.56,1,0.74,1
torchinferno,few_shot,6,1244.67,0.00,1336.82,1,0.75,1
torchinferno,few_shot,7,1242.60,0.00,1343.76,1,0.74,1
torchinferno,few_shot,8,1252.85,0.00,1346.34,1,0.74,1
torchinferno,few_shot,9,1249.14,0.00,1347.29,1,0.74,1
torchinferno,few_shot,10,1247.43,0.00,1338.45,1,0.75,1
torchinferno,few_shot,11,1246.53,0.00,1342.30,1,0.74,1
torchinferno,few_shot,12,1252.49,0.00,1356.91,1,0.74,1
torchinferno,few_shot,13,1235.62,0.00,1342.77,1,0.74,1
torchinferno,few_shot,14,1236.16,0.00,1344.92,1,0.74,1
torchinferno,few_shot,15,1247.33,0.00,1350.08,1,0.74,1
torchinferno,few_shot,16,1258.14,0.00,1362.49,1,0.73,1
torchinferno,few_shot,17,1241.47,0.00,1353.49,1,0.74,1
torchinferno,few_shot,18,1245.60,0.00,1365.17,1,0.73,1
torchinferno,few_shot,19,1250.12,0.00,1356.20,1,0.74,1
torchinferno,few_shot,20,1256.41,0.00,1370.00,1,0.73,1
torchinferno,few_shot,21,1239.56,0.00,1361.88,1,0.73,1
torchinferno,few_shot,22,1253.93,0.00,1372.40,1,0.73,1
torchinferno,few_shot,23,1248.28,0.00,1380.84,1,0.72,1
torchinferno,few_shot,24,1236.78,0.00,1365.88,1,0.73,1
torchinferno,few_shot,25,1234.51,0.00,1364.32,1,0.73,1
torchinferno,few_shot,26,1236.40,0.00,1368.12,1,0.73,1
torchinferno,few_shot,27,1238.37,0.00,1367.02,1,0.73,1
torchinferno,few_shot,28,1248.93,0.00,1372.02,1,0.73,1
torchinferno,few_shot,29,1247.15,0.00,1387.14,1,0.72,1
torchinferno,few_shot,30,1233.88,0.00,1372.94,1,0.73,1
torchinferno,few_shot,31,1245.46,0.00,1390.77,1,0.72,1
torchinferno,few_shot,32,440.94,0.00,578.31,1,1.73,1
torchinferno,few_shot,33,1257.99,159.58,1417.57,2,1.41,1
torchinferno,few_shot,34,1233.47,173.89,1407.36,2,1.42,1
torchinferno,few_shot,35,1239.90,171.63,1411.53,2,1.42,1
torchinferno,few_shot,36,1260.37,162.44,1422.81,2,1.41,1
torchinferno,few_shot,37,1243.90,182.63,1426.53,2,1.40,1
torchinferno,few_shot,38,1244.69,182.10,1426.79,2,1.40,1
torchinferno,few_shot,39,1255.67,169.67,1425.34,2,1.40,1
torchinferno,few_shot,40,1243.21,174.03,1417.25,2,1.41,1
torchinferno,few_shot,41,1235.06,181.62,1416.67,2,1.41,1
torchinferno,few_shot,42,1248.99,180.53,1429.51,2,1.40,1
torchinferno,few_shot,43,1235.14,184.21,1419.36,2,1.41,1
torchinferno,few_shot,44,1249.81,189.20,1439.01,2,1.39,1
torchinferno,few_shot,45,1238.86,185.70,1424.56,2,1.40,1
torchinferno,few_shot,46,1253.01,185.41,1438.43,2,1.39,1
torchinferno,few_shot,47,1258.06,182.08,1440.15,2,1.39,1
torchinferno,few_shot,48,1253.35,188.13,1441.48,2,1.39,1
torchinferno,few_shot,49,1259.18,184.21,1443.39,2,1.39,1
torchinferno,few_shot,50,1264.43,183.91,1448.34,2,1.38,1
torchinferno,few_shot,51,1246.93,185.75,1432.68,2,1.40,1
torchinferno,few_shot,52,1247.71,196.69,1444.39,2,1.38,1
torchinferno,few_shot,53,1232.39,201.68,1434.07,2,1.39,1
torchinferno,few_shot,54,1238.57,197.94,1436.51,2,1.39,1
torchinferno,few_shot,55,1243.46,196.68,1440.14,2,1.39,1
torchinferno,few_shot,56,1242.28,197.85,1440.14,2,1.39,1
torchinferno,few_shot,57,1255.48,201.56,1457.04,2,1.37,1
torchinferno,few_shot,58,1253.37,200.28,1453.65,2,1.38,1
torchinferno,few_shot,59,1244.22,213.42,1457.64,2,1.37,1
torchinferno,few_shot,60,1236.63,213.28,1449.92,2,1.38,1
