model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-23T00:03:33.478298

Build Times
provider,build_time_s
torchinferno,333.3
vllm,1288.8
sglang,213.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,295.08,159.22,142.62,sglang
ttft_p99_ms,1636.70,482.89,6114.98,vllm
tpot_median_ms,151.16,60.86,75.70,vllm
tpot_p99_ms,213.84,155.94,7316.17,vllm
e2e_median_ms,396.59,215.61,214.49,sglang
e2e_p99_ms,1832.35,590.27,13402.94,vllm
throughput_median_tps,3.86,6.87,5.53,vllm
total_output_tokens,1460,1460,1461,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,285.25,207.32,200.35,sglang
ttft_p99_ms,1837.49,537.27,70893.27,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,311.71,225.92,335.92,vllm
e2e_p99_ms,1896.33,562.44,71009.03,vllm
throughput_median_tps,3.21,4.43,2.98,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,706.22,172.75,153.46,sglang
ttft_p99_ms,2064.18,370.29,298.63,sglang
tpot_median_ms,134.75,54.90,105.74,vllm
tpot_p99_ms,574.33,191.76,577.40,vllm
e2e_median_ms,821.86,216.13,257.66,vllm
e2e_p99_ms,2186.48,437.53,671.61,vllm
throughput_median_tps,1.60,6.30,5.20,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1030.61,141.68,125.95,sglang
ttft_last_turn_ms,615.48,171.66,192.23,vllm
ttft_growth_ratio,0.60,1.21,1.53,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,352.00,61.39,75.86,vllm
ttft_p99_ms,852.15,147.53,444.61,vllm
tpot_median_ms,132.27,28.00,58.10,vllm
tpot_p99_ms,151.86,98.87,159.13,vllm
e2e_median_ms,458.61,84.19,148.70,vllm
e2e_p99_ms,1067.79,174.24,499.31,vllm
throughput_median_tps,3.10,14.49,9.62,vllm
total_output_tokens,1478,1459,1475,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,949.55,68.08,66.07,sglang
ttft_p99_ms,2621.81,134.42,116.61,sglang
tpot_median_ms,19.28,15.03,22.25,vllm
tpot_p99_ms,69.10,22.20,26.46,vllm
e2e_median_ms,1538.60,603.19,831.05,vllm
e2e_p99_ms,3481.66,1011.38,1552.09,vllm
throughput_median_tps,20.24,59.37,42.47,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,879.20,0.00,1059.65,1,0.94,1
torchinferno,few_shot,1,1632.12,0.00,1714.10,1,0.58,1
torchinferno,few_shot,2,1634.46,0.00,1718.46,1,0.58,1
torchinferno,few_shot,3,1636.15,0.00,1719.84,1,0.58,1
torchinferno,few_shot,4,1623.84,0.00,1724.22,1,0.58,1
torchinferno,few_shot,5,1638.91,0.00,1723.53,1,0.58,1
torchinferno,few_shot,6,1632.53,0.00,1720.70,1,0.58,1
torchinferno,few_shot,7,1629.11,0.00,1731.34,1,0.58,1
torchinferno,few_shot,8,1644.91,0.00,1733.33,1,0.58,1
torchinferno,few_shot,9,1629.39,0.00,1727.74,1,0.58,1
torchinferno,few_shot,10,1628.73,0.00,1727.43,1,0.58,1
torchinferno,few_shot,11,574.67,0.00,677.20,1,1.48,1
torchinferno,few_shot,12,1620.12,0.00,1730.44,1,0.58,1
torchinferno,few_shot,13,1632.86,0.00,1742.49,1,0.57,1
torchinferno,few_shot,14,1635.60,0.00,1738.27,1,0.58,1
torchinferno,few_shot,15,1622.50,0.00,1737.98,1,0.58,1
torchinferno,few_shot,16,1622.51,0.00,1742.84,1,0.57,1
torchinferno,few_shot,17,1641.34,0.00,1747.93,1,0.57,1
torchinferno,few_shot,18,1637.22,0.00,1743.73,1,0.57,1
torchinferno,few_shot,19,1624.28,0.00,1746.29,1,0.57,1
torchinferno,few_shot,20,1630.33,0.00,1747.68,1,0.57,1
torchinferno,few_shot,21,1632.19,0.00,1757.61,1,0.57,1
torchinferno,few_shot,22,1623.03,0.00,1753.56,1,0.57,1
torchinferno,few_shot,23,1630.45,0.00,1754.63,1,0.57,1
torchinferno,few_shot,24,1623.56,0.00,1755.33,1,0.57,1
torchinferno,few_shot,25,1625.56,0.00,1763.57,1,0.57,1
torchinferno,few_shot,26,1637.88,0.00,1764.84,1,0.57,1
torchinferno,few_shot,27,1621.40,0.00,1763.46,1,0.57,1
torchinferno,few_shot,28,1636.28,0.00,1765.08,1,0.57,1
torchinferno,few_shot,29,1624.87,0.00,1766.12,1,0.57,1
torchinferno,few_shot,30,1632.61,0.00,1769.51,1,0.57,1
torchinferno,few_shot,31,1636.70,0.00,1767.74,1,0.57,1
torchinferno,few_shot,32,1627.40,0.00,1771.51,1,0.56,1
torchinferno,few_shot,33,1629.41,160.42,1789.83,2,1.12,1
torchinferno,few_shot,34,1631.22,166.41,1797.63,2,1.11,1
torchinferno,few_shot,35,1624.01,175.34,1799.35,2,1.11,1
torchinferno,few_shot,36,1631.72,165.68,1797.39,2,1.11,1
torchinferno,few_shot,37,1627.95,173.42,1801.37,2,1.11,1
torchinferno,few_shot,38,1621.99,180.24,1802.22,2,1.11,1
torchinferno,few_shot,39,1619.80,181.58,1801.38,2,1.11,1
torchinferno,few_shot,40,1622.73,185.87,1808.60,2,1.11,1
torchinferno,few_shot,41,1633.52,180.82,1814.34,2,1.10,1
torchinferno,few_shot,42,1626.11,185.57,1811.68,2,1.10,1
torchinferno,few_shot,43,1639.00,174.54,1813.54,2,1.10,1
torchinferno,few_shot,44,1630.97,179.12,1810.09,2,1.10,1
torchinferno,few_shot,45,1634.61,182.94,1817.55,2,1.10,1
